,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,VAMCO,20050507,1300.0,1300.0,1300.0,23916548500,18397345,2697,D,0.0,1300.0
1,VAMCO,20050508,1365.0,1365.0,1365.0,4628784615,3391051,767,D,1300.0,1365.0
2,VAMCO,20050509,1433.0,1433.0,1433.0,5732000000,4000000,521,D,1365.0,1433.0
3,VAMCO,20050511,1430.0,1377.0,1393.0,4267582796,3061934,1261,D,1433.0,1393.0
4,VAMCO,20050514,1390.0,1325.0,1371.0,3267884307,2382144,781,D,1393.0,1371.0
5,VAMCO,20050524,1300.0,1252.0,1278.0,23028780,18010,4,D,1371.0,1278.0
6,VAMCO,20050525,1329.0,1276.0,1287.0,741012079,575345,169,D,1278.0,1287.0
7,VAMCO,20050528,1351.0,1287.0,1323.0,651711627,492413,140,D,1287.0,1323.0
8,VAMCO,20050529,1329.0,1280.0,1306.0,418110504,319922,99,D,1323.0,1306.0
9,VAMCO,20050530,1292.0,1278.0,1279.0,611919066,478106,140,D,1306.0,1279.0
10,VAMCO,20050531,1280.0,1265.0,1277.0,395627640,309588,86,D,1279.0,1277.0
11,VAMCO,20050601,1280.0,1265.0,1275.0,359209128,281611,80,D,1277.0,1275.0
12,VAMCO,20050606,1278.0,1221.0,1257.0,298145666,237085,58,D,1275.0,1257.0
13,VAMCO,20050607,1270.0,1230.0,1249.0,336234352,269004,83,D,1257.0,1249.0
14,VAMCO,20050608,1266.0,1229.0,1252.0,402801710,321559,82,D,1249.0,1252.0
15,VAMCO,20050611,1250.0,1213.0,1243.0,133627023,108354,41,D,1252.0,1243.0
16,VAMCO,20050612,1250.0,1200.0,1231.0,167550482,136918,51,D,1243.0,1231.0
17,VAMCO,20050613,1231.0,1175.0,1201.0,360361985,299978,61,D,1231.0,1201.0
18,VAMCO,20050614,1222.0,1200.0,1205.0,139549676,115241,37,D,1201.0,1205.0
19,VAMCO,20050615,1221.0,1204.0,1207.0,203082715,168073,67,D,1205.0,1207.0
20,VAMCO,20050618,1214.0,1200.0,1205.0,92119234,76654,30,D,1207.0,1205.0
21,VAMCO,20050619,1204.0,1177.0,1199.0,427046110,356035,79,D,1205.0,1199.0
22,VAMCO,20050620,1200.0,1160.0,1193.0,183889117,154330,44,D,1199.0,1193.0
23,VAMCO,20050621,1200.0,1172.0,1191.0,145446171,122215,40,D,1193.0,1191.0
24,VAMCO,20050622,1200.0,1180.0,1194.0,228622445,191128,46,D,1191.0,1194.0
25,VAMCO,20050625,1140.0,1135.0,1139.0,255689529,224970,60,D,1194.0,1139.0
26,VAMCO,20050626,1184.0,1136.0,1142.0,87205082,75861,27,D,1139.0,1142.0
27,VAMCO,20050627,1180.0,1142.0,1142.0,12804360,11068,11,D,1142.0,1142.0
28,VAMCO,20050628,1199.0,1171.0,1198.0,334254958,278862,78,D,1142.0,1198.0
29,VAMCO,20050629,1199.0,1160.0,1195.0,93948420,79005,31,D,1198.0,1195.0
30,VAMCO,20050702,1196.0,1150.0,1189.0,50679117,43450,15,D,1195.0,1189.0
31,VAMCO,20050703,1163.0,1134.0,1163.0,182004480,158225,38,D,1189.0,1163.0
32,VAMCO,20050704,1152.0,1129.0,1152.0,164669404,143595,34,D,1163.0,1152.0
33,VAMCO,20050705,1146.0,1122.0,1144.0,150347568,132026,33,D,1152.0,1144.0
34,VAMCO,20050706,1150.0,1100.0,1141.0,32060716,28496,12,D,1144.0,1141.0
35,VAMCO,20050709,1146.0,1120.0,1139.0,50928528,44952,18,D,1141.0,1139.0
36,VAMCO,20050711,1147.0,1103.0,1137.0,24347698,21734,10,D,1139.0,1137.0
37,VAMCO,20050712,1134.0,1100.0,1134.0,15946406,14449,8,D,1137.0,1134.0
38,VAMCO,20050713,1125.0,1080.0,1125.0,48856990,44756,18,D,1134.0,1125.0
39,VAMCO,20050716,1129.0,1101.0,1120.0,81808072,73637,24,D,1125.0,1120.0
40,VAMCO,20050717,1120.0,1100.0,1117.0,77354761,69561,19,D,1120.0,1117.0
41,VAMCO,20050718,1115.0,1100.0,1115.0,20363650,18502,8,D,1117.0,1115.0
42,VAMCO,20050719,1170.0,1110.0,1127.0,147411075,129341,37,D,1115.0,1127.0
43,VAMCO,20050720,1159.0,1129.0,1129.0,23239596,20158,9,D,1127.0,1129.0
44,VAMCO,20050723,1185.0,1139.0,1139.0,55841994,47224,25,D,1129.0,1139.0
45,VAMCO,20050724,1195.0,1155.0,1155.0,87020390,72846,31,D,1139.0,1155.0
46,VAMCO,20050725,1180.0,1155.0,1155.0,16670143,14300,10,D,1155.0,1155.0
47,VAMCO,20050726,1171.0,1157.0,1157.0,61566766,52786,18,D,1155.0,1157.0
48,VAMCO,20050727,1200.0,1175.0,1181.0,466106879,392288,57,D,1157.0,1181.0
49,VAMCO,20050730,1201.0,1179.0,1189.0,144345482,120395,25,D,1181.0,1189.0
50,VAMCO,20050731,1189.0,1180.0,1187.0,59981448,50622,18,D,1189.0,1187.0
51,VAMCO,20050801,1180.0,1128.0,1180.0,39735467,34720,23,D,1187.0,1180.0
52,VAMCO,20050802,1179.0,1160.0,1179.0,14293470,12283,8,D,1180.0,1179.0
53,VAMCO,20050803,1194.0,1154.0,1178.0,24689640,21135,16,D,1179.0,1178.0
54,VAMCO,20050806,1197.0,1133.0,1176.0,23963466,20679,12,D,1178.0,1176.0
55,VAMCO,20050807,1171.0,1118.0,1163.0,58391957,52092,22,D,1176.0,1163.0
56,VAMCO,20050808,1160.0,1105.0,1160.0,10616463,9593,7,D,1163.0,1160.0
57,VAMCO,20050809,1159.0,1139.0,1159.0,3139515,2735,3,D,1160.0,1159.0
58,VAMCO,20050810,1160.0,1113.0,1150.0,113814839,100008,29,D,1159.0,1150.0
59,VAMCO,20050813,1149.0,1111.0,1149.0,6099770,5490,3,D,1150.0,1149.0
60,VAMCO,20050814,1147.0,1108.0,1147.0,11195524,10083,6,D,1149.0,1147.0
61,VAMCO,20050816,1158.0,1105.0,1143.0,68463371,60320,22,D,1147.0,1143.0
62,VAMCO,20050817,1142.0,1102.0,1142.0,12084296,10702,8,D,1143.0,1142.0
63,VAMCO,20050820,1138.0,1110.0,1138.0,56131673,49921,19,D,1142.0,1138.0
64,VAMCO,20050821,1155.0,1138.0,1138.0,11621819,10210,4,D,1138.0,1138.0
65,VAMCO,20050822,1130.0,1100.0,1130.0,58807778,53238,16,D,1138.0,1130.0
66,VAMCO,20050823,1118.0,1087.0,1118.0,87553342,79955,27,D,1130.0,1118.0
67,VAMCO,20050824,1112.0,1080.0,1112.0,42855578,39535,17,D,1118.0,1112.0
68,VAMCO,20050827,1128.0,1112.0,1116.0,94247031,83742,26,D,1112.0,1116.0
69,VAMCO,20050828,1114.0,1106.0,1114.0,74856874,67464,21,D,1116.0,1114.0
70,VAMCO,20050829,1130.0,1103.0,1112.0,119858056,107894,25,D,1114.0,1112.0
71,VAMCO,20050830,1109.0,1080.0,1105.0,160514672,145643,25,D,1112.0,1105.0
72,VAMCO,20050831,1160.0,1056.0,1105.0,124442488,112427,31,D,1105.0,1105.0
73,VAMCO,20050903,1114.0,1082.0,1105.0,56534040,51145,19,D,1105.0,1105.0
74,VAMCO,20050904,1130.0,1067.0,1104.0,440989036,397610,32,D,1105.0,1104.0
75,VAMCO,20050905,1120.0,1076.0,1094.0,372868594,344486,39,D,1104.0,1094.0
76,VAMCO,20050906,1100.0,1090.0,1094.0,50264961,45760,15,D,1094.0,1094.0
77,VAMCO,20050907,1140.0,1099.0,1099.0,57564685,51408,20,D,1094.0,1099.0
78,VAMCO,20050910,1139.0,1101.0,1102.0,59239555,53195,15,D,1099.0,1102.0
79,VAMCO,20050911,1115.0,1070.0,1100.0,15321515,14252,6,D,1102.0,1100.0
80,VAMCO,20050912,1094.0,1060.0,1094.0,45653273,42761,17,D,1100.0,1094.0
81,VAMCO,20050913,1093.0,1070.0,1093.0,9363898,8719,8,D,1094.0,1093.0
82,VAMCO,20050914,1100.0,1070.0,1091.0,67756728,62275,15,D,1093.0,1091.0
83,VAMCO,20050917,1111.0,1083.0,1091.0,12645410,11510,4,D,1091.0,1091.0
84,VAMCO,20050918,1100.0,1090.0,1091.0,11562710,10598,5,D,1091.0,1091.0
85,VAMCO,20050919,1090.0,1060.0,1090.0,6724012,6322,5,D,1091.0,1090.0
86,VAMCO,20050921,1140.0,1036.0,1100.0,119375532,107180,34,D,1090.0,1100.0
87,VAMCO,20050924,1100.0,1100.0,1100.0,5879500,5345,3,D,1100.0,1100.0
88,VAMCO,20050925,1100.0,1045.0,1091.0,90354489,83874,23,D,1100.0,1091.0
89,VAMCO,20050926,1089.0,1037.0,1089.0,8104675,7815,5,D,1091.0,1089.0
90,VAMCO,20050928,1075.0,1035.0,1075.0,63498685,61351,17,D,1089.0,1075.0
91,VAMCO,20051001,1074.0,1022.0,1074.0,102720,100,2,D,1075.0,1074.0
92,VAMCO,20051002,1064.0,1021.0,1064.0,45123423,44193,16,D,1074.0,1064.0
93,VAMCO,20051003,1055.0,1011.0,1055.0,37279043,36873,14,D,1064.0,1055.0
94,VAMCO,20051004,1054.0,1035.0,1054.0,3014110,2912,2,D,1055.0,1054.0
95,VAMCO,20051005,1053.0,1002.0,1053.0,5215640,5065,5,D,1054.0,1053.0
96,VAMCO,20051008,1075.0,1033.0,1051.0,63163825,60324,17,D,1053.0,1051.0
97,VAMCO,20051009,1074.0,1040.0,1052.0,26513900,24880,9,D,1051.0,1052.0
98,VAMCO,20051010,1051.0,1040.0,1051.0,4429310,4255,4,D,1052.0,1051.0
99,VAMCO,20051011,1055.0,1000.0,1048.0,38082160,36761,12,D,1051.0,1048.0
100,VAMCO,20051012,1055.0,996.0,1032.0,153609960,150010,27,D,1048.0,1032.0
101,VAMCO,20051015,1041.0,1015.0,1032.0,66932690,64789,20,D,1032.0,1032.0
102,VAMCO,20051016,1040.0,1027.0,1031.0,72460559,70286,21,D,1032.0,1031.0
103,VAMCO,20051017,1030.0,1020.0,1028.0,90391780,88335,19,D,1031.0,1028.0
104,VAMCO,20051018,1015.0,1000.0,1004.0,215092040,214478,50,D,1028.0,1004.0
105,VAMCO,20051019,1045.0,1000.0,1005.0,213545917,212250,41,D,1004.0,1005.0
106,VAMCO,20051022,1001.0,1000.0,1001.0,162731010,162731,22,D,1005.0,1001.0
107,VAMCO,20051023,1000.0,1000.0,1000.0,100256000,100256,13,D,1001.0,1000.0
108,VAMCO,20051024,1000.0,1000.0,1000.0,52487000,52487,12,D,1000.0,1000.0
109,VAMCO,20051026,1000.0,999.0,999.0,101005990,101010,13,D,1000.0,999.0
110,VAMCO,20051029,1000.0,980.0,997.0,83714830,84097,19,D,999.0,997.0
111,VAMCO,20051030,1000.0,990.0,997.0,85151509,85196,29,D,997.0,997.0
112,VAMCO,20051031,1000.0,997.0,997.0,80106736,80110,28,D,997.0,997.0
113,VAMCO,20051101,1000.0,951.0,991.0,65655571,67210,21,D,997.0,991.0
114,VAMCO,20051102,1000.0,942.0,977.0,211963661,217077,37,D,991.0,977.0
115,VAMCO,20051105,976.0,976.0,976.0,9760000,10000,3,D,977.0,976.0
116,VAMCO,20051106,1000.0,976.0,976.0,11404100,11568,8,D,976.0,976.0
117,VAMCO,20051107,977.0,976.0,976.0,15728660,16110,6,D,976.0,976.0
118,VAMCO,20051108,999.0,976.0,976.0,11407649,11510,5,D,976.0,976.0
119,VAMCO,20051109,998.0,955.0,974.0,36893191,38262,14,D,976.0,974.0
120,VAMCO,20051112,971.0,955.0,971.0,33454872,35011,10,D,974.0,971.0
121,VAMCO,20051113,1000.0,979.0,979.0,85630656,85986,24,D,971.0,979.0
122,VAMCO,20051114,1027.0,1001.0,1023.0,330336433,322625,60,D,979.0,1023.0
123,VAMCO,20051116,1028.0,1010.0,1022.0,22805512,22506,8,D,1023.0,1022.0
124,VAMCO,20051119,1020.0,1015.0,1018.0,110897540,109234,25,D,1022.0,1018.0
125,VAMCO,20051120,1049.0,1016.0,1018.0,214000324,204267,13,D,1018.0,1018.0
126,VAMCO,20051121,1043.0,1012.0,1018.0,74484016,73088,15,D,1018.0,1018.0
127,VAMCO,20051122,1020.0,1018.0,1018.0,30590180,30010,5,D,1018.0,1018.0
128,VAMCO,20051123,1045.0,1029.0,1031.0,170508850,164349,38,D,1018.0,1031.0
129,VAMCO,20051126,1082.0,1080.0,1080.0,249952800,231010,33,D,1031.0,1080.0
130,VAMCO,20051127,1134.0,1089.0,1089.0,92686328,83774,32,D,1080.0,1089.0
131,VAMCO,20051129,1137.0,1075.0,1089.0,65885797,60456,21,D,1089.0,1089.0
132,VAMCO,20051130,1136.0,1090.0,1092.0,61423625,55519,21,D,1089.0,1092.0
133,VAMCO,20051203,1146.0,1106.0,1129.0,251330033,221674,47,D,1092.0,1129.0
134,VAMCO,20051204,1139.0,1111.0,1127.0,30259849,27081,12,D,1129.0,1127.0
135,VAMCO,20051205,1183.0,1139.0,1156.0,232138743,199559,50,D,1127.0,1156.0
136,VAMCO,20051206,1170.0,1128.0,1142.0,245256569,214855,48,D,1156.0,1142.0
137,VAMCO,20051210,1128.0,1101.0,1128.0,96487336,87290,31,D,1142.0,1128.0
138,VAMCO,20051211,1145.0,1110.0,1125.0,60230704,53889,16,D,1128.0,1125.0
139,VAMCO,20051212,1120.0,1105.0,1120.0,67993520,61394,12,D,1125.0,1120.0
140,VAMCO,20051213,1101.0,1064.0,1101.0,91216010,85375,24,D,1120.0,1101.0
141,VAMCO,20051214,1101.0,1090.0,1100.0,58614627,53331,12,D,1101.0,1100.0
142,VAMCO,20051217,1097.0,1063.0,1097.0,16035285,15015,7,D,1100.0,1097.0
