,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tukafoolad.Inv.,20030416,1731.0,1730.0,1730.0,1712780000,990000,50,D,1730.0,1730.0
1,Tukafoolad.Inv.,20030419,1730.0,1730.0,1730.0,173000000,100000,22,D,1730.0,1730.0
2,Tukafoolad.Inv.,20030420,1734.0,1732.0,1733.0,86650050,50000,10,D,1730.0,1733.0
3,Tukafoolad.Inv.,20030421,1770.0,1761.0,1770.0,176591314,100000,15,D,1733.0,1770.0
4,Tukafoolad.Inv.,20030422,1800.0,1798.0,1799.0,89933538,50000,17,D,1770.0,1799.0
5,Tukafoolad.Inv.,20030426,1888.0,1832.0,1832.0,495484210,267562,74,D,1799.0,1832.0
6,Tukafoolad.Inv.,20030427,1920.0,1834.0,1920.0,201241517,109532,21,D,1832.0,1920.0
7,Tukafoolad.Inv.,20030428,1958.0,1930.0,1942.0,213666432,110000,19,D,1920.0,1942.0
8,Tukafoolad.Inv.,20030429,2039.0,1980.0,1980.0,620187257,310000,64,D,1942.0,1980.0
9,Tukafoolad.Inv.,20030430,2079.0,2000.0,2000.0,1626977581,791875,107,D,1980.0,2000.0
10,Tukafoolad.Inv.,20030503,2100.0,2033.0,2100.0,429539730,206310,35,D,2000.0,2100.0
11,Tukafoolad.Inv.,20030504,2157.0,2157.0,2157.0,45888018,21274,7,D,2100.0,2157.0
12,Tukafoolad.Inv.,20030506,2264.0,2264.0,2264.0,24904000,11000,5,D,2157.0,2264.0
13,Tukafoolad.Inv.,20030507,2377.0,2377.0,2377.0,23579840,9920,3,D,2264.0,2377.0
14,Tukafoolad.Inv.,20030510,2495.0,2264.0,2264.0,547714929,221836,103,D,2377.0,2264.0
15,Tukafoolad.Inv.,20030511,2310.0,2200.0,2310.0,127214876,55456,27,D,2264.0,2310.0
16,Tukafoolad.Inv.,20030512,2350.0,2310.0,2350.0,26002700,11170,8,D,2310.0,2350.0
17,Tukafoolad.Inv.,20030513,2360.0,2349.0,2350.0,576167228,244725,51,D,2350.0,2350.0
18,Tukafoolad.Inv.,20030514,2250.0,2233.0,2233.0,56028000,25000,8,D,2350.0,2233.0
19,Tukafoolad.Inv.,20030517,2220.0,2151.0,2152.0,29749766,13718,11,D,2233.0,2152.0
20,Tukafoolad.Inv.,20030518,2228.0,2156.0,2228.0,52121756,23800,6,D,2152.0,2228.0
21,Tukafoolad.Inv.,20030520,2232.0,2208.0,2208.0,74435804,33380,14,D,2228.0,2208.0
22,Tukafoolad.Inv.,20030521,2207.0,2150.0,2160.0,27846300,12900,7,D,2208.0,2160.0
23,Tukafoolad.Inv.,20030524,2071.0,2070.0,2071.0,12586600,6080,2,D,2160.0,2071.0
24,Tukafoolad.Inv.,20030525,2100.0,2075.0,2100.0,3755000,1800,2,D,2071.0,2100.0
25,Tukafoolad.Inv.,20030526,2205.0,2174.0,2205.0,330600760,150072,26,D,2100.0,2205.0
26,Tukafoolad.Inv.,20030527,2315.0,2206.0,2315.0,215849815,93947,21,D,2205.0,2315.0
27,Tukafoolad.Inv.,20030528,2400.0,2300.0,2353.0,129684595,55333,20,D,2315.0,2353.0
28,Tukafoolad.Inv.,20030531,2353.0,2324.0,2353.0,59465298,25350,11,D,2353.0,2353.0
29,Tukafoolad.Inv.,20030601,2353.0,2326.0,2328.0,159364321,68406,24,D,2353.0,2328.0
30,Tukafoolad.Inv.,20030603,2214.0,2212.0,2212.0,12705574,5741,5,D,2328.0,2212.0
31,Tukafoolad.Inv.,20030607,2105.0,2102.0,2103.0,207026074,98442,25,D,2212.0,2103.0
32,Tukafoolad.Inv.,20030608,2156.0,2110.0,2156.0,2558000,1200,6,D,2103.0,2156.0
33,Tukafoolad.Inv.,20030609,2207.0,2152.0,2207.0,37960340,17360,8,D,2156.0,2207.0
34,Tukafoolad.Inv.,20030611,2207.0,2160.0,2207.0,71060825,32527,10,D,2207.0,2207.0
35,Tukafoolad.Inv.,20030614,2207.0,2107.0,2107.0,102228496,47160,11,D,2207.0,2107.0
36,Tukafoolad.Inv.,20030615,2107.0,2049.0,2050.0,124255513,60011,18,D,2107.0,2050.0
37,Tukafoolad.Inv.,20030616,2100.0,2100.0,2100.0,43995000,20950,3,D,2050.0,2100.0
38,Tukafoolad.Inv.,20030617,2119.0,2100.0,2119.0,71209000,33900,11,D,2100.0,2119.0
39,Tukafoolad.Inv.,20030618,2152.0,2150.0,2152.0,8127360,3780,2,D,2119.0,2152.0
40,Tukafoolad.Inv.,20030622,2200.0,2198.0,2200.0,18503976,8412,2,D,2152.0,2200.0
41,Tukafoolad.Inv.,20030623,2158.0,2158.0,2158.0,2158000,1000,1,D,2200.0,2158.0
42,Tukafoolad.Inv.,20030624,2167.0,2166.0,2166.0,40885343,18873,7,D,2158.0,2166.0
43,Tukafoolad.Inv.,20030625,2167.0,2164.0,2167.0,10343700,4775,8,D,2166.0,2167.0
44,Tukafoolad.Inv.,20030628,2167.0,2100.0,2167.0,47017300,21850,6,D,2167.0,2167.0
45,Tukafoolad.Inv.,20030629,2168.0,2166.0,2168.0,53642326,24761,6,D,2167.0,2168.0
46,Tukafoolad.Inv.,20030630,2199.0,2101.0,2199.0,83616540,39160,5,D,2168.0,2199.0
47,Tukafoolad.Inv.,20030701,2200.0,2190.0,2200.0,166527160,75769,21,D,2199.0,2200.0
48,Tukafoolad.Inv.,20030702,2220.0,2199.0,2220.0,33983680,15395,9,D,2200.0,2220.0
49,Tukafoolad.Inv.,20030705,2250.0,2222.0,2250.0,15137600,6800,4,D,2220.0,2250.0
50,Tukafoolad.Inv.,20030706,2362.0,2300.0,2362.0,11574400,5000,3,D,2250.0,2362.0
51,Tukafoolad.Inv.,20030707,2402.0,2363.0,2401.0,11082972,4637,5,D,2362.0,2401.0
52,Tukafoolad.Inv.,20030708,2440.0,2401.0,2440.0,56268803,23203,10,D,2401.0,2440.0
53,Tukafoolad.Inv.,20030709,2460.0,2448.0,2449.0,131981962,53872,20,D,2440.0,2449.0
54,Tukafoolad.Inv.,20030715,5000.0,2500.0,3200.0,43060000,13000,13,D,2449.0,3200.0
55,Tukafoolad.Inv.,20030716,3200.0,3199.0,3200.0,28791200,9000,5,D,3200.0,3200.0
56,Tukafoolad.Inv.,20030719,3200.0,3180.0,3190.0,186844020,58588,15,D,3200.0,3190.0
57,Tukafoolad.Inv.,20030720,3169.0,3062.0,3062.0,42096597,13562,13,D,3190.0,3062.0
58,Tukafoolad.Inv.,20030721,3180.0,3140.0,3180.0,279595336,88292,28,D,3062.0,3180.0
59,Tukafoolad.Inv.,20030722,3339.0,3338.0,3339.0,3338050,1000,2,D,3180.0,3339.0
60,Tukafoolad.Inv.,20030723,3200.0,3200.0,3200.0,51504000,16095,7,D,3339.0,3200.0
61,Tukafoolad.Inv.,20030726,3195.0,3160.0,3160.0,51369101,16190,5,D,3200.0,3160.0
62,Tukafoolad.Inv.,20030727,3002.0,3002.0,3002.0,47782834,15917,5,D,3160.0,3002.0
63,Tukafoolad.Inv.,20030728,3100.0,3100.0,3100.0,56854000,18340,9,D,3002.0,3100.0
64,Tukafoolad.Inv.,20030729,3255.0,3100.0,3255.0,249629200,77325,20,D,3100.0,3255.0
65,Tukafoolad.Inv.,20030730,3200.0,3200.0,3200.0,2496000,780,1,D,3255.0,3200.0
66,Tukafoolad.Inv.,20030826,3170.0,3170.0,3170.0,15723200,4960,1,D,3200.0,3170.0
67,Tukafoolad.Inv.,20030827,3270.0,3170.0,3170.0,18082954,5533,6,D,3170.0,3170.0
68,Tukafoolad.Inv.,20030830,3328.0,3170.0,3170.0,52003170,15626,9,D,3170.0,3170.0
