,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Ind..Dev.,20010408,1000.0,1000.0,1000.0,4800000,4800,2,D,0.0,1000.0
1,Iran.Ind..Dev.,20010409,1000.0,1000.0,1000.0,5200000,5200,2,D,1000.0,1000.0
2,Iran.Ind..Dev.,20010410,1000.0,1000.0,1000.0,4500000,4500,1,D,1000.0,1000.0
3,Iran.Ind..Dev.,20010411,1000.0,1000.0,1000.0,5500000,5500,2,D,1000.0,1000.0
4,Iran.Ind..Dev.,20010414,1000.0,1000.0,1000.0,4000000,4000,1,D,1000.0,1000.0
5,Iran.Ind..Dev.,20010415,1000.0,1000.0,1000.0,6000000,6000,2,D,1000.0,1000.0
6,Iran.Ind..Dev.,20010416,1000.0,1000.0,1000.0,4000000,4000,1,D,1000.0,1000.0
7,Iran.Ind..Dev.,20010417,1000.0,1000.0,1000.0,4500000,4500,2,D,1000.0,1000.0
8,Iran.Ind..Dev.,20010418,1000.0,1000.0,1000.0,16500000,16500,3,D,1000.0,1000.0
9,Iran.Ind..Dev.,20010421,1000.0,1000.0,1000.0,3900000,3900,6,D,1000.0,1000.0
10,Iran.Ind..Dev.,20010422,1000.0,1000.0,1000.0,4800000,4800,1,D,1000.0,1000.0
11,Iran.Ind..Dev.,20010423,1000.0,1000.0,1000.0,5200000,5200,2,D,1000.0,1000.0
12,Iran.Ind..Dev.,20010424,1000.0,1000.0,1000.0,17870000,17870,9,D,1000.0,1000.0
13,Iran.Ind..Dev.,20010425,1000.0,1000.0,1000.0,5100000,5100,1,D,1000.0,1000.0
14,Iran.Ind..Dev.,20010428,1000.0,1000.0,1000.0,5423000,5423,4,D,1000.0,1000.0
15,Iran.Ind..Dev.,20010429,1000.0,1000.0,1000.0,5100000,5100,1,D,1000.0,1000.0
16,Iran.Ind..Dev.,20010502,1000.0,1000.0,1000.0,14957000,14957,5,D,1000.0,1000.0
17,Iran.Ind..Dev.,20010506,1000.0,1000.0,1000.0,5500000,5500,1,D,1000.0,1000.0
18,Iran.Ind..Dev.,20010507,1000.0,1000.0,1000.0,379000,379,3,D,1000.0,1000.0
19,Iran.Ind..Dev.,20010508,1000.0,1000.0,1000.0,100000,100,1,D,1000.0,1000.0
20,Iran.Ind..Dev.,20010512,1000.0,1000.0,1000.0,6000000,6000,3,D,1000.0,1000.0
21,Iran.Ind..Dev.,20010515,1000.0,1000.0,1000.0,1200000,1200,2,D,1000.0,1000.0
22,Iran.Ind..Dev.,20010521,1000.0,1000.0,1000.0,30000,30,1,D,1000.0,1000.0
23,Iran.Ind..Dev.,20010527,1000.0,1000.0,1000.0,25752000,25752,29,D,1000.0,1000.0
24,Iran.Ind..Dev.,20010528,1000.0,1000.0,1000.0,13990000,13990,4,D,1000.0,1000.0
25,Iran.Ind..Dev.,20010529,1000.0,1000.0,1000.0,15000000,15000,11,D,1000.0,1000.0
26,Iran.Ind..Dev.,20010530,1000.0,1000.0,1000.0,790000,790,4,D,1000.0,1000.0
27,Iran.Ind..Dev.,20010602,1000.0,1000.0,1000.0,70828000,70828,16,D,1000.0,1000.0
28,Iran.Ind..Dev.,20010603,1000.0,1000.0,1000.0,8000000,8000,1,D,1000.0,1000.0
29,Iran.Ind..Dev.,20010606,1000.0,1000.0,1000.0,27600000,27600,8,D,1000.0,1000.0
30,Iran.Ind..Dev.,20010609,1000.0,1000.0,1000.0,9000000,9000,3,D,1000.0,1000.0
31,Iran.Ind..Dev.,20010611,1000.0,1000.0,1000.0,263791000,263791,48,D,1000.0,1000.0
32,Iran.Ind..Dev.,20010612,1000.0,1000.0,1000.0,100000000,100000,43,D,1000.0,1000.0
33,Iran.Ind..Dev.,20010613,1000.0,1000.0,1000.0,2615000,2615,2,D,1000.0,1000.0
34,Iran.Ind..Dev.,20010618,1000.0,1000.0,1000.0,34625000,34625,25,D,1000.0,1000.0
