,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Tousheh,20010819,4620.0,4620.0,4620.0,3049200,660,1,D,4620.0,4620.0
1,Pars.Tousheh,20010821,4851.0,4851.0,4851.0,5966730,1230,2,D,4620.0,4851.0
2,Pars.Tousheh,20010822,5093.0,5093.0,5093.0,18268591,3587,3,D,4851.0,5093.0
3,Pars.Tousheh,20010825,5347.0,5094.0,5152.0,102934974,19632,15,D,5093.0,5152.0
4,Pars.Tousheh,20010826,5409.0,5166.0,5409.0,38576042,7232,4,D,5152.0,5409.0
5,Pars.Tousheh,20010827,5679.0,5500.0,5679.0,23186550,4180,4,D,5409.0,5679.0
6,Pars.Tousheh,20010828,5962.0,5962.0,5962.0,14159750,2375,6,D,5679.0,5962.0
7,Pars.Tousheh,20010829,6260.0,6260.0,6260.0,174522540,27879,33,D,5962.0,6260.0
8,Pars.Tousheh,20010901,6573.0,6548.0,6548.0,47158323,7176,13,D,6260.0,6548.0
9,Pars.Tousheh,20010902,6535.0,6380.0,6535.0,225626723,34879,27,D,6548.0,6535.0
10,Pars.Tousheh,20010903,6861.0,6270.0,6861.0,383100950,59859,44,D,6535.0,6861.0
11,Pars.Tousheh,20010904,7204.0,6800.0,7204.0,209146925,30000,22,D,6861.0,7204.0
12,Pars.Tousheh,20010905,7203.0,7140.0,7140.0,11884574,1658,4,D,7204.0,7140.0
13,Pars.Tousheh,20010908,7120.0,7000.0,7000.0,14598400,2070,4,D,7140.0,7000.0
14,Pars.Tousheh,20010909,6950.0,6879.0,6900.0,72403340,10500,10,D,7000.0,6900.0
15,Pars.Tousheh,20010910,6800.0,6555.0,6555.0,353570610,53902,54,D,6900.0,6555.0
16,Pars.Tousheh,20010911,6555.0,6228.0,6555.0,219840832,34249,44,D,6555.0,6555.0
17,Pars.Tousheh,20010912,6500.0,6489.0,6500.0,249353566,38369,35,D,6555.0,6500.0
18,Pars.Tousheh,20010915,6500.0,6500.0,6500.0,167687000,25798,20,D,6500.0,6500.0
19,Pars.Tousheh,20010916,6470.0,6400.0,6400.0,160215133,24774,23,D,6500.0,6400.0
20,Pars.Tousheh,20010918,6175.0,6175.0,6175.0,64837500,10500,10,D,6400.0,6175.0
21,Pars.Tousheh,20010919,6079.0,6078.0,6079.0,26538577,4366,4,D,6175.0,6079.0
22,Pars.Tousheh,20010922,6079.0,6069.0,6079.0,104869547,17263,19,D,6079.0,6079.0
23,Pars.Tousheh,20010923,6081.0,6079.0,6079.0,664453377,109303,59,D,6079.0,6079.0
24,Pars.Tousheh,20010924,6100.0,6079.0,6079.0,122876611,20206,20,D,6079.0,6079.0
25,Pars.Tousheh,20010925,6100.0,6078.0,6100.0,89783199,14763,15,D,6079.0,6100.0
26,Pars.Tousheh,20010926,6108.0,6100.0,6108.0,144421328,23663,20,D,6100.0,6108.0
27,Pars.Tousheh,20010929,6115.0,6101.0,6101.0,115204159,18857,27,D,6108.0,6101.0
28,Pars.Tousheh,20010930,6200.0,6120.0,6200.0,376119107,61383,45,D,6101.0,6200.0
29,Pars.Tousheh,20011002,6267.0,6202.0,6235.0,376057866,60310,49,D,6200.0,6235.0
30,Pars.Tousheh,20011003,6247.0,6245.0,6247.0,212103550,33958,36,D,6235.0,6247.0
31,Pars.Tousheh,20011006,6559.0,6265.0,6500.0,300424009,47526,41,D,6247.0,6500.0
32,Pars.Tousheh,20011007,6555.0,6500.0,6555.0,469678325,71845,56,D,6500.0,6555.0
33,Pars.Tousheh,20011008,6801.0,6536.0,6555.0,449347427,68502,62,D,6555.0,6555.0
34,Pars.Tousheh,20011009,6790.0,6534.0,6789.0,203237444,30911,26,D,6555.0,6789.0
35,Pars.Tousheh,20011013,6790.0,6748.0,6790.0,429371421,63249,47,D,6789.0,6790.0
36,Pars.Tousheh,20011014,6785.0,6650.0,6785.0,450829455,66895,49,D,6790.0,6785.0
37,Pars.Tousheh,20011016,7050.0,6750.0,7050.0,573418401,84094,67,D,6785.0,7050.0
38,Pars.Tousheh,20011017,7200.0,7049.0,7200.0,635955304,90049,71,D,7050.0,7200.0
39,Pars.Tousheh,20011020,7210.0,6872.0,7200.0,317994192,44332,33,D,7200.0,7200.0
40,Pars.Tousheh,20011021,7400.0,7200.0,7400.0,523862665,72558,59,D,7200.0,7400.0
41,Pars.Tousheh,20011022,7585.0,7200.0,7585.0,578660500,80139,60,D,7400.0,7585.0
42,Pars.Tousheh,20011023,7585.0,7500.0,7585.0,64225600,8490,10,D,7585.0,7585.0
43,Pars.Tousheh,20011024,7684.0,7260.0,7684.0,883235128,120785,94,D,7585.0,7684.0
44,Pars.Tousheh,20011027,7700.0,7680.0,7700.0,71665476,9323,11,D,7684.0,7700.0
45,Pars.Tousheh,20011028,7789.0,7315.0,7315.0,136439899,17900,10,D,7700.0,7315.0
46,Pars.Tousheh,20011029,7680.0,7320.0,7680.0,842728835,112847,82,D,7315.0,7680.0
47,Pars.Tousheh,20011030,7780.0,7600.0,7780.0,124117080,16092,16,D,7680.0,7780.0
48,Pars.Tousheh,20011031,7879.0,7684.0,7879.0,229223832,29652,27,D,7780.0,7879.0
49,Pars.Tousheh,20011103,7999.0,7684.0,7999.0,571583601,74136,54,D,7879.0,7999.0
50,Pars.Tousheh,20011104,8050.0,7999.0,8050.0,184361086,23002,11,D,7999.0,8050.0
51,Pars.Tousheh,20011105,8100.0,8100.0,8100.0,32869800,4058,7,D,8050.0,8100.0
52,Pars.Tousheh,20011106,8150.0,8100.0,8150.0,117346600,14426,14,D,8100.0,8150.0
53,Pars.Tousheh,20011107,8200.0,8148.0,8200.0,120820790,14766,16,D,8150.0,8200.0
54,Pars.Tousheh,20011112,8094.0,7790.0,8094.0,60941250,7700,8,D,8200.0,8094.0
55,Pars.Tousheh,20011113,8044.0,7750.0,7996.0,218403211,27418,17,D,8094.0,7996.0
56,Pars.Tousheh,20011114,7800.0,7690.0,7790.0,157852960,20411,27,D,7996.0,7790.0
57,Pars.Tousheh,20011117,7780.0,7700.0,7780.0,187241653,24200,20,D,7790.0,7780.0
58,Pars.Tousheh,20011119,7700.0,7650.0,7700.0,31696100,4123,6,D,7780.0,7700.0
59,Pars.Tousheh,20011120,7650.0,7550.0,7550.0,140982796,18558,19,D,7700.0,7550.0
60,Pars.Tousheh,20011121,7501.0,7450.0,7450.0,283122487,37809,37,D,7550.0,7450.0
61,Pars.Tousheh,20011124,7453.0,7450.0,7453.0,48305832,6482,7,D,7450.0,7453.0
62,Pars.Tousheh,20011125,7699.0,7456.0,7699.0,220543146,29046,23,D,7453.0,7699.0
63,Pars.Tousheh,20011126,7810.0,7650.0,7810.0,125240705,16135,12,D,7699.0,7810.0
64,Pars.Tousheh,20011127,7820.0,7810.0,7819.0,100160047,12819,12,D,7810.0,7819.0
65,Pars.Tousheh,20011128,7850.0,7795.0,7850.0,1952481903,248756,62,D,7819.0,7850.0
66,Pars.Tousheh,20011201,7850.0,7850.0,7850.0,989100,126,1,D,7850.0,7850.0
67,Pars.Tousheh,20011202,7601.0,7600.0,7600.0,136056200,17902,31,D,7850.0,7600.0
68,Pars.Tousheh,20011203,7590.0,7589.0,7590.0,39685881,5229,4,D,7600.0,7590.0
69,Pars.Tousheh,20011204,7598.0,7550.0,7550.0,153931635,20299,15,D,7590.0,7550.0
