,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Razi.P..Glasses,20050514,2800.0,2800.0,2800.0,1023120000,365400,647,D,2800.0,2800.0
1,Razi.P..Glasses,20050515,2940.0,2940.0,2940.0,117600000,40000,22,D,2800.0,2940.0
2,Razi.P..Glasses,20050516,3087.0,3087.0,3087.0,123480000,40000,25,D,2940.0,3087.0
3,Razi.P..Glasses,20050517,3241.0,3241.0,3241.0,129640000,40000,26,D,3087.0,3241.0
4,Razi.P..Glasses,20050518,3403.0,3403.0,3403.0,748493253,219951,168,D,3241.0,3403.0
5,Razi.P..Glasses,20050521,3573.0,3500.0,3572.0,2292188828,641648,398,D,3403.0,3572.0
6,Razi.P..Glasses,20050522,3600.0,3395.0,3482.0,320458462,92030,143,D,3572.0,3482.0
7,Razi.P..Glasses,20050523,3600.0,3400.0,3508.0,148496442,42330,49,D,3482.0,3508.0
8,Razi.P..Glasses,20050524,3475.0,3410.0,3475.0,60389750,17510,10,D,3508.0,3475.0
9,Razi.P..Glasses,20050525,3580.0,3306.0,3534.0,206156703,58319,44,D,3475.0,3534.0
10,Razi.P..Glasses,20050528,3565.0,3536.0,3548.0,116058196,32707,20,D,3534.0,3548.0
11,Razi.P..Glasses,20050529,3550.0,3380.0,3512.0,52540601,15130,14,D,3548.0,3512.0
12,Razi.P..Glasses,20050530,3630.0,3401.0,3592.0,385621037,107326,68,D,3512.0,3592.0
13,Razi.P..Glasses,20050531,3630.0,3550.0,3602.0,144215570,40035,20,D,3592.0,3602.0
14,Razi.P..Glasses,20050601,3571.0,3550.0,3571.0,72925710,20510,12,D,3602.0,3571.0
15,Razi.P..Glasses,20050606,3600.0,3500.0,3554.0,52562197,14867,12,D,3571.0,3554.0
16,Razi.P..Glasses,20050607,3718.0,3533.0,3594.0,145541250,40494,31,D,3554.0,3594.0
17,Razi.P..Glasses,20050608,3570.0,3500.0,3570.0,44823485,12678,20,D,3594.0,3570.0
18,Razi.P..Glasses,20050611,3596.0,3580.0,3584.0,600781319,167604,47,D,3570.0,3584.0
19,Razi.P..Glasses,20050612,3600.0,3580.0,3591.0,314992270,87714,32,D,3584.0,3591.0
20,Razi.P..Glasses,20050613,3610.0,3593.0,3593.0,33201060,9218,7,D,3591.0,3593.0
21,Razi.P..Glasses,20050614,3620.0,3580.0,3605.0,101529028,28143,21,D,3593.0,3605.0
22,Razi.P..Glasses,20050615,3700.0,3610.0,3610.0,7028650,1900,5,D,3605.0,3610.0
23,Razi.P..Glasses,20050619,3599.0,3430.0,3599.0,8360390,2409,6,D,3610.0,3599.0
24,Razi.P..Glasses,20050620,3575.0,3420.0,3575.0,15217360,4439,7,D,3599.0,3575.0
25,Razi.P..Glasses,20050621,3571.0,3545.0,3571.0,16000118,4510,6,D,3575.0,3571.0
26,Razi.P..Glasses,20050626,3568.0,3514.0,3568.0,4639020,1320,3,D,3571.0,3568.0
27,Razi.P..Glasses,20050629,3468.0,3390.0,3468.0,60613980,17880,9,D,3568.0,3468.0
28,Razi.P..Glasses,20050716,3325.0,3295.0,3325.0,88390595,26801,17,D,3468.0,3325.0
29,Razi.P..Glasses,20050717,3323.0,3159.0,3162.0,1751049207,535557,19,D,3325.0,3162.0
30,Razi.P..Glasses,20050724,3785.0,3400.0,3514.0,16712740,4756,8,D,3162.0,3514.0
31,Razi.P..Glasses,20050730,3513.0,3510.0,3513.0,3545130,1010,3,D,3514.0,3513.0
32,Razi.P..Glasses,20050806,3574.0,3515.0,3515.0,4502650,1260,4,D,3513.0,3515.0
33,Razi.P..Glasses,20050810,3490.0,3340.0,3468.0,375870460,112021,7,D,3515.0,3468.0
34,Razi.P..Glasses,20050813,3446.0,3340.0,3446.0,18224100,5456,3,D,3468.0,3446.0
35,Razi.P..Glasses,20050814,3479.0,3274.0,3446.0,524222360,160110,3,D,3446.0,3446.0
