,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mellat.Leasing,20160601,1060.0,1060.0,1060.0,92434447540,87202309,20952,D,1000.0,1060.0
1,Mellat.Leasing,20160605,1113.0,1113.0,1113.0,525011004,471708,93,D,1060.0,1113.0
2,Mellat.Leasing,20160606,1168.0,1168.0,1168.0,555031264,475198,127,D,1113.0,1168.0
3,Mellat.Leasing,20160607,1226.0,1226.0,1207.0,385049820,314070,183,D,1168.0,1226.0
4,Mellat.Leasing,20160608,1267.0,1267.0,1267.0,2754056361,2173683,968,D,1207.0,1267.0
5,Mellat.Leasing,20160611,1330.0,1280.0,1319.0,99349620196,75317042,32086,D,1267.0,1330.0
6,Mellat.Leasing,20160612,1302.0,1262.0,1287.0,19130980816,14868938,5664,D,1319.0,1287.0
7,Mellat.Leasing,20160613,1328.0,1263.0,1298.0,11299895672,8706429,2640,D,1287.0,1280.0
8,Mellat.Leasing,20160614,1284.0,1234.0,1241.0,12561376695,10124406,1565,D,1298.0,1251.0
9,Mellat.Leasing,20160615,1303.0,1226.0,1300.0,18292179505,14071157,1704,D,1241.0,1303.0
10,Mellat.Leasing,20160618,1316.0,1250.0,1271.0,5521401780,4345625,733,D,1300.0,1270.0
11,Mellat.Leasing,20160619,1263.0,1221.0,1229.0,5239531479,4261968,975,D,1271.0,1222.0
12,Mellat.Leasing,20160620,1225.0,1180.0,1199.0,2782797183,2321449,521,D,1229.0,1184.0
13,Mellat.Leasing,20160621,1239.0,1170.0,1207.0,3828884426,3172088,590,D,1199.0,1230.0
14,Mellat.Leasing,20160622,1254.0,1210.0,1235.0,3531796613,2860306,435,D,1207.0,1220.0
15,Mellat.Leasing,20160625,1220.0,1174.0,1191.0,2724316033,2287894,381,D,1235.0,1179.0
16,Mellat.Leasing,20160626,1219.0,1156.0,1184.0,3839678157,3243364,574,D,1191.0,1182.0
17,Mellat.Leasing,20160628,1230.0,1176.0,1210.0,2241735900,1852163,444,D,1184.0,1190.0
18,Mellat.Leasing,20160629,1200.0,1151.0,1168.0,3679488063,3151277,456,D,1210.0,1151.0
19,Mellat.Leasing,20160702,1198.0,1150.0,1165.0,1441728701,1237329,303,D,1168.0,1169.0
20,Mellat.Leasing,20160703,1194.0,1158.0,1175.0,1101426805,937059,293,D,1165.0,1170.0
21,Mellat.Leasing,20160704,1175.0,1151.0,1156.0,969074850,838255,210,D,1175.0,1151.0
22,Mellat.Leasing,20160705,1165.0,1140.0,1154.0,1302264342,1128237,223,D,1156.0,1156.0
23,Mellat.Leasing,20160709,1150.0,1120.0,1132.0,1120608779,989508,196,D,1154.0,1125.0
24,Mellat.Leasing,20160710,1150.0,1121.0,1132.0,1318019368,1163891,194,D,1132.0,1130.0
