,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Agro.,20181017,3500.0,3500.0,3500.0,113869000000,32534000,212123,D,1000.0,3500.0
1,Pars.Agro.,20181020,3675.0,3675.0,3556.0,168950775,45973,344,D,3500.0,3675.0
2,Pars.Agro.,20181021,3733.0,3733.0,3733.0,534640260,143220,487,D,3556.0,3733.0
3,Pars.Agro.,20181022,3919.0,3919.0,3919.0,609228145,155455,1031,D,3733.0,3919.0
4,Pars.Agro.,20181023,4114.0,4114.0,4114.0,663937890,161385,1068,D,3919.0,4114.0
5,Pars.Agro.,20181024,4319.0,4319.0,4319.0,917303772,212388,1460,D,4114.0,4319.0
6,Pars.Agro.,20181027,4534.0,4534.0,4534.0,1287624262,283993,1938,D,4319.0,4534.0
7,Pars.Agro.,20181028,4760.0,4760.0,4760.0,11163813640,2345339,2409,D,4534.0,4760.0
8,Pars.Agro.,20181029,4998.0,4998.0,4998.0,1469516958,294021,1995,D,4760.0,4998.0
9,Pars.Agro.,20181031,5247.0,5247.0,5247.0,22863251565,4357395,2558,D,4998.0,5247.0
10,Pars.Agro.,20181103,5509.0,5509.0,5509.0,16086384671,2920019,2385,D,5247.0,5509.0
11,Pars.Agro.,20181104,5784.0,5784.0,5784.0,16857213504,2914456,2375,D,5509.0,5784.0
12,Pars.Agro.,20181105,6073.0,6073.0,6073.0,16965714990,2793630,2088,D,5784.0,6073.0
13,Pars.Agro.,20181106,6376.0,6376.0,6376.0,20841428856,3268731,5236,D,6073.0,6376.0
14,Pars.Agro.,20181110,6694.0,6694.0,6660.0,776771760,116040,636,D,6376.0,6694.0
15,Pars.Agro.,20181111,7342.0,6993.0,7319.0,38163074092,5213966,16512,D,6660.0,7342.0
16,Pars.Agro.,20181112,7684.0,7684.0,7684.0,9089380548,1182897,5325,D,7319.0,7684.0
17,Pars.Agro.,20181113,8068.0,8068.0,8068.0,2326117352,288314,1960,D,7684.0,8068.0
18,Pars.Agro.,20181114,8471.0,8471.0,8370.0,825465066,97446,637,D,8068.0,8471.0
19,Pars.Agro.,20181119,9227.0,8349.0,9162.0,268177817834,29269428,70485,D,8370.0,9227.0
20,Pars.Agro.,20181120,9620.0,9231.0,9576.0,317293356781,33135790,39689,D,9162.0,9619.0
21,Pars.Agro.,20181121,9720.0,9098.0,9188.0,151255709225,16462185,25389,D,9576.0,9098.0
22,Pars.Agro.,20181124,8971.0,8729.0,8763.0,28113113741,3208089,3668,D,9188.0,8729.0
23,Pars.Agro.,20181126,8325.0,8325.0,8325.0,19675463175,2363419,1559,D,8763.0,8325.0
24,Pars.Agro.,20181127,8550.0,7909.0,8069.0,82212290724,10188481,11879,D,8325.0,8059.0
25,Pars.Agro.,20181128,8250.0,7703.0,7967.0,22135191246,2778420,4254,D,8069.0,7750.0
26,Pars.Agro.,20181201,7780.0,7569.0,7572.0,56915928195,7517031,2268,D,7967.0,7569.0
27,Pars.Agro.,20181202,7749.0,7311.0,7563.0,20313765118,2686020,3448,D,7572.0,7700.0
28,Pars.Agro.,20181203,7941.0,7800.0,7935.0,30326963586,3822004,1675,D,7563.0,7941.0
29,Pars.Agro.,20181204,8187.0,7640.0,7879.0,14929353463,1894842,1638,D,7935.0,7780.0
30,Pars.Agro.,20181205,7890.0,7490.0,7631.0,15118462269,1981093,1816,D,7879.0,7547.0
31,Pars.Agro.,20181208,7645.0,7290.0,7368.0,18963152716,2573584,2096,D,7631.0,7291.0
32,Pars.Agro.,20181209,7300.0,7000.0,7043.0,26955403200,3827499,2080,D,7368.0,7030.0
33,Pars.Agro.,20181210,7395.0,7005.0,7317.0,18927979683,2586852,1878,D,7043.0,7395.0
34,Pars.Agro.,20181211,7394.0,7055.0,7180.0,7219276413,1005476,1045,D,7317.0,7100.0
35,Pars.Agro.,20181212,7400.0,7070.0,7171.0,9848298034,1373353,2058,D,7180.0,7077.0
36,Pars.Agro.,20181215,7200.0,6813.0,6890.0,14319354681,2078325,1566,D,7171.0,6820.0
37,Pars.Agro.,20181216,6819.0,6580.0,6651.0,9535335222,1433671,1051,D,6890.0,6650.0
38,Pars.Agro.,20181217,6900.0,6602.0,6771.0,8627723139,1274199,1094,D,6651.0,6740.0
39,Pars.Agro.,20181218,6870.0,6560.0,6665.0,4346600214,652123,805,D,6771.0,6600.0
40,Pars.Agro.,20181219,6690.0,6500.0,6580.0,3879510095,589593,555,D,6665.0,6564.0
41,Pars.Agro.,20181222,6695.0,6500.0,6597.0,3849645338,583562,577,D,6580.0,6501.0
42,Pars.Agro.,20181223,6849.0,6510.0,6704.0,6389101302,952982,772,D,6597.0,6690.0
43,Pars.Agro.,20181224,6859.0,6601.0,6730.0,7005397682,1040861,706,D,6704.0,6765.0
44,Pars.Agro.,20181225,6999.0,6710.0,6897.0,4166687690,604160,716,D,6730.0,6819.0
