,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Abadgaran,20050115,1800.0,1800.0,1800.0,2592000000,1440000,1810,D,1800.0,1800.0
1,Abadgaran,20050116,1890.0,1890.0,1890.0,491626800,260120,257,D,1800.0,1890.0
2,Abadgaran,20050117,1984.0,1984.0,1984.0,2976000000,1500000,1227,D,1890.0,1984.0
3,Abadgaran,20050126,2083.0,2083.0,2083.0,560735268,269196,198,D,1984.0,2083.0
4,Abadgaran,20050130,2187.0,2060.0,2162.0,5781634832,2673786,1834,D,2083.0,2162.0
5,Abadgaran,20050131,2270.0,2100.0,2262.0,2629635600,1162420,335,D,2162.0,2262.0
6,Abadgaran,20050201,2375.0,2271.0,2317.0,3166883606,1366584,371,D,2262.0,2317.0
7,Abadgaran,20050202,2361.0,2231.0,2281.0,791954104,347088,227,D,2317.0,2281.0
8,Abadgaran,20050205,2350.0,2222.0,2293.0,2522605232,1099893,238,D,2281.0,2293.0
9,Abadgaran,20050206,2392.0,2300.0,2338.0,2685725061,1148484,272,D,2293.0,2338.0
10,Abadgaran,20050207,2300.0,2243.0,2295.0,680700809,296570,99,D,2338.0,2295.0
11,Abadgaran,20050208,2302.0,2250.0,2266.0,190512884,84067,59,D,2295.0,2266.0
12,Abadgaran,20050209,2379.0,2300.0,2359.0,410973728,174206,78,D,2266.0,2359.0
13,Abadgaran,20050212,2476.0,2476.0,2476.0,143419824,57924,34,D,2359.0,2476.0
14,Abadgaran,20050213,2599.0,2599.0,2599.0,110483490,42510,15,D,2476.0,2599.0
15,Abadgaran,20050214,2728.0,2611.0,2712.0,1198460594,441861,161,D,2599.0,2712.0
16,Abadgaran,20050215,2729.0,2577.0,2652.0,474120249,178747,92,D,2712.0,2652.0
17,Abadgaran,20050216,2574.0,2520.0,2574.0,59585940,23645,13,D,2652.0,2574.0
18,Abadgaran,20050221,2510.0,2446.0,2450.0,254702992,103932,70,D,2574.0,2450.0
19,Abadgaran,20050222,2400.0,2328.0,2347.0,316520283,134817,68,D,2450.0,2347.0
20,Abadgaran,20050223,2365.0,2300.0,2343.0,290333176,123877,60,D,2347.0,2343.0
21,Abadgaran,20050226,2460.0,2355.0,2420.0,75678140,30974,15,D,2343.0,2420.0
