,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Alborz.Inv.,20010325,2600.0,2589.0,2596.0,242776828,93478,18,D,2589.0,2596.0
1,S*Alborz.Inv.,20010328,2600.0,2550.0,2600.0,144360787,56077,33,D,2596.0,2600.0
2,S*Alborz.Inv.,20010331,2601.0,2600.0,2600.0,27229990,10473,6,D,2600.0,2600.0
3,S*Alborz.Inv.,20010403,2601.0,2601.0,2601.0,9077490,3490,2,D,2600.0,2601.0
4,S*Alborz.Inv.,20010407,2604.0,2602.0,2602.0,49421790,18993,10,D,2601.0,2602.0
5,S*Alborz.Inv.,20010408,2604.0,2602.0,2602.0,49037786,18843,10,D,2602.0,2602.0
6,S*Alborz.Inv.,20010409,2602.0,2599.0,2602.0,62647441,24086,14,D,2602.0,2602.0
7,S*Alborz.Inv.,20010410,2607.0,2601.0,2607.0,61174351,23500,11,D,2602.0,2607.0
8,S*Alborz.Inv.,20010411,2614.0,2608.0,2608.0,42056982,16104,20,D,2607.0,2608.0
9,S*Alborz.Inv.,20010414,2612.0,2607.0,2608.0,22954238,8798,10,D,2608.0,2608.0
10,S*Alborz.Inv.,20010415,2607.0,2597.0,2607.0,74431864,28584,18,D,2608.0,2607.0
11,S*Alborz.Inv.,20010417,2589.0,2577.0,2577.0,117127637,45276,29,D,2607.0,2577.0
12,S*Alborz.Inv.,20010418,2578.0,2550.0,2577.0,169381232,65827,36,D,2577.0,2577.0
13,S*Alborz.Inv.,20010421,2578.0,2550.0,2577.0,75753972,29482,31,D,2577.0,2577.0
14,S*Alborz.Inv.,20010422,2587.0,2550.0,2577.0,129150783,50127,33,D,2577.0,2577.0
15,S*Alborz.Inv.,20010423,2587.0,2576.0,2578.0,197065312,76427,36,D,2577.0,2578.0
16,S*Alborz.Inv.,20010424,2580.0,2517.0,2580.0,123730318,48029,34,D,2578.0,2580.0
17,S*Alborz.Inv.,20010425,2600.0,2550.0,2600.0,207286168,80415,50,D,2580.0,2600.0
18,S*Alborz.Inv.,20010428,2603.0,2600.0,2600.0,123101408,47338,39,D,2600.0,2600.0
19,S*Alborz.Inv.,20010429,2650.0,2600.0,2602.0,358101750,135616,34,D,2600.0,2602.0
20,S*Alborz.Inv.,20010430,2701.0,2602.0,2680.0,124218298,46649,42,D,2602.0,2680.0
21,S*Alborz.Inv.,20010501,2703.0,2680.0,2700.0,179784296,66668,51,D,2680.0,2700.0
22,S*Alborz.Inv.,20010502,2703.0,2680.0,2698.0,100483360,37293,37,D,2700.0,2698.0
23,S*Alborz.Inv.,20010505,2700.0,2672.0,2699.0,172733813,64216,37,D,2698.0,2699.0
24,S*Alborz.Inv.,20010506,2699.0,2697.0,2699.0,61634895,22843,18,D,2699.0,2699.0
25,S*Alborz.Inv.,20010507,2699.0,2650.0,2690.0,405213989,150855,74,D,2699.0,2690.0
26,S*Alborz.Inv.,20010508,2690.0,2660.0,2690.0,161309380,60174,44,D,2690.0,2690.0
27,S*Alborz.Inv.,20010509,2698.0,2689.0,2689.0,42254805,15690,18,D,2690.0,2689.0
28,S*Alborz.Inv.,20010512,2689.0,2621.0,2689.0,34405971,12918,11,D,2689.0,2689.0
29,S*Alborz.Inv.,20010513,2687.0,2668.0,2685.0,90699756,33874,33,D,2689.0,2685.0
30,S*Alborz.Inv.,20010515,2690.0,2679.0,2685.0,98130556,36549,28,D,2685.0,2685.0
31,S*Alborz.Inv.,20010516,2689.0,2630.0,2685.0,124480653,46515,32,D,2685.0,2685.0
32,S*Alborz.Inv.,20010519,2690.0,2610.0,2690.0,157655769,58705,34,D,2685.0,2690.0
33,S*Alborz.Inv.,20010520,2750.0,2690.0,2740.0,149903177,55222,34,D,2690.0,2740.0
34,S*Alborz.Inv.,20010521,2820.0,2750.0,2820.0,53385800,19209,16,D,2740.0,2820.0
35,S*Alborz.Inv.,20010523,2850.0,2827.0,2837.0,65098889,22940,20,D,2820.0,2837.0
36,S*Alborz.Inv.,20010526,2911.0,2842.0,2911.0,49985685,17323,28,D,2837.0,2911.0
37,S*Alborz.Inv.,20010527,2944.0,2916.0,2944.0,20815792,7117,10,D,2911.0,2944.0
38,S*Alborz.Inv.,20010528,3091.0,3023.0,3091.0,131189683,42473,41,D,2944.0,3091.0
39,S*Alborz.Inv.,20010529,3104.0,3090.0,3099.0,552381939,178524,56,D,3091.0,3099.0
40,S*Alborz.Inv.,20010619,3000.0,2945.0,2945.0,868459285,293962,109,D,3099.0,2945.0
41,S*Alborz.Inv.,20010620,2922.0,2798.0,2878.0,88596543,31343,31,D,2945.0,2878.0
42,S*Alborz.Inv.,20010623,2866.0,2790.0,2800.0,183085589,65365,39,D,2878.0,2800.0
43,S*Alborz.Inv.,20010624,2801.0,2763.0,2801.0,193368510,69316,49,D,2800.0,2801.0
44,S*Alborz.Inv.,20010625,2799.0,2797.0,2797.0,9420014,3366,4,D,2801.0,2797.0
45,S*Alborz.Inv.,20010626,2797.0,2759.0,2796.0,179835202,64650,56,D,2797.0,2796.0
46,S*Alborz.Inv.,20010627,2797.0,2793.0,2797.0,93010786,33274,21,D,2796.0,2797.0
47,S*Alborz.Inv.,20010630,2800.0,2788.0,2800.0,272211312,97438,42,D,2797.0,2800.0
48,S*Alborz.Inv.,20010701,2800.0,2780.0,2800.0,293452464,104882,43,D,2800.0,2800.0
49,S*Alborz.Inv.,20010702,2800.0,2788.0,2799.0,213763438,76529,39,D,2800.0,2799.0
50,S*Alborz.Inv.,20010703,2801.0,2780.0,2800.0,316736785,113143,50,D,2799.0,2800.0
51,S*Alborz.Inv.,20010704,2810.0,2799.0,2800.0,369513095,131943,49,D,2800.0,2800.0
52,S*Alborz.Inv.,20010707,2805.0,2800.0,2802.0,193296236,68932,46,D,2800.0,2802.0
53,S*Alborz.Inv.,20010708,2805.0,2798.0,2798.0,75327406,26881,13,D,2802.0,2798.0
54,S*Alborz.Inv.,20010709,2800.0,2788.0,2799.0,283842368,101538,42,D,2798.0,2799.0
55,S*Alborz.Inv.,20010710,2790.0,2749.0,2749.0,71015223,25706,17,D,2799.0,2749.0
56,S*Alborz.Inv.,20010711,2746.0,2727.0,2733.0,127849899,46769,23,D,2749.0,2733.0
57,S*Alborz.Inv.,20010714,2800.0,2727.0,2800.0,840399158,301765,78,D,2733.0,2800.0
58,S*Alborz.Inv.,20010715,2900.0,2800.0,2900.0,555121697,195607,62,D,2800.0,2900.0
59,S*Alborz.Inv.,20010716,2913.0,2900.0,2900.0,208213417,71757,27,D,2900.0,2900.0
60,S*Alborz.Inv.,20010812,2782.0,2550.0,2782.0,55492712,21078,23,D,2900.0,2782.0
61,S*Alborz.Inv.,20010813,2921.0,2782.0,2921.0,68803220,23980,42,D,2782.0,2921.0
62,S*Alborz.Inv.,20010814,2922.0,2780.0,2800.0,103485357,36217,32,D,2921.0,2800.0
63,S*Alborz.Inv.,20010815,2801.0,2784.0,2800.0,118123667,42225,24,D,2800.0,2800.0
64,S*Alborz.Inv.,20010818,2840.0,2800.0,2830.0,144413422,51303,33,D,2800.0,2830.0
65,S*Alborz.Inv.,20010819,2903.0,2830.0,2900.0,131150034,45628,32,D,2830.0,2900.0
66,S*Alborz.Inv.,20010820,2922.0,2900.0,2922.0,142932718,49192,38,D,2900.0,2922.0
