,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Amlah,20010501,4400.0,4400.0,4400.0,4400000,1000,1,D,0.0,4400.0
1,Iran.Amlah,20010502,4399.0,4399.0,4399.0,236129522,53678,108,D,4400.0,4399.0
2,Iran.Amlah,20010506,4400.0,4400.0,4400.0,1504800,342,1,D,4399.0,4400.0
3,Iran.Amlah,20010516,4403.0,4403.0,4403.0,3773371,857,1,D,4400.0,4403.0
4,Iran.Amlah,20010625,4012.0,4012.0,4012.0,4012000,1000,1,D,4403.0,4012.0
5,Iran.Amlah,20010701,4212.0,4212.0,4212.0,4654260,1105,3,D,4012.0,4212.0
6,Iran.Amlah,20010703,4422.0,4422.0,4422.0,4422000,1000,1,D,4212.0,4422.0
7,Iran.Amlah,20010709,4643.0,4643.0,4643.0,7958102,1714,2,D,4422.0,4643.0
8,Iran.Amlah,20010715,4875.0,4875.0,4875.0,4875000,1000,3,D,4643.0,4875.0
9,Iran.Amlah,20010723,5118.0,5118.0,5118.0,8772252,1714,2,D,4875.0,5118.0
10,Iran.Amlah,20010805,5373.0,5373.0,5373.0,5437476,1012,5,D,5118.0,5373.0
11,Iran.Amlah,20010811,5641.0,5641.0,5641.0,5736897,1017,3,D,5373.0,5641.0
12,Iran.Amlah,20010820,5923.0,5923.0,5923.0,5893385,995,1,D,5641.0,5923.0
13,Iran.Amlah,20010825,6219.0,6219.0,6219.0,41430978,6662,12,D,5923.0,6219.0
14,Iran.Amlah,20010826,6218.0,6217.0,6218.0,13397795,2155,2,D,6219.0,6218.0
15,Iran.Amlah,20010828,6200.0,6070.0,6100.0,146346400,24074,5,D,6218.0,6100.0
16,Iran.Amlah,20010829,6100.0,6063.0,6063.0,23905100,3931,6,D,6100.0,6063.0
17,Iran.Amlah,20010903,6050.0,6050.0,6050.0,12100000,2000,2,D,6063.0,6050.0
18,Iran.Amlah,20010904,6048.0,6048.0,6048.0,302400,50,1,D,6050.0,6048.0
19,Iran.Amlah,20010922,6108.0,5988.0,6108.0,55619728,9246,24,D,6048.0,6108.0
20,Iran.Amlah,20010923,6169.0,6169.0,6169.0,3084500,500,1,D,6108.0,6169.0
21,Iran.Amlah,20010926,6230.0,6230.0,6230.0,3987200,640,1,D,6169.0,6230.0
22,Iran.Amlah,20010930,6230.0,6230.0,6230.0,10460170,1679,3,D,6230.0,6230.0
23,Iran.Amlah,20011002,6235.0,6229.0,6229.0,35485831,5694,6,D,6230.0,6229.0
24,Iran.Amlah,20011006,6233.0,6233.0,6233.0,5341681,857,1,D,6229.0,6233.0
25,Iran.Amlah,20011007,6235.0,6235.0,6235.0,5343395,857,1,D,6233.0,6235.0
26,Iran.Amlah,20011008,6239.0,6238.0,6238.0,4273530,685,3,D,6235.0,6238.0
27,Iran.Amlah,20011010,6239.0,6238.0,6238.0,3119200,500,2,D,6238.0,6238.0
28,Iran.Amlah,20011013,6239.0,6238.0,6238.0,12445010,1995,6,D,6238.0,6238.0
29,Iran.Amlah,20011023,6239.0,6239.0,6239.0,5346823,857,3,D,6238.0,6239.0
30,Iran.Amlah,20011103,6394.0,6394.0,6394.0,5115200,800,7,D,6239.0,6394.0
31,Iran.Amlah,20011106,6553.0,6553.0,6553.0,8328863,1271,2,D,6394.0,6553.0
32,Iran.Amlah,20011107,6618.0,6618.0,6618.0,8603400,1300,1,D,6553.0,6618.0
33,Iran.Amlah,20011208,6684.0,6684.0,6684.0,5728188,857,1,D,6618.0,6684.0
34,Iran.Amlah,20011222,6750.0,6750.0,6750.0,5784750,857,9,D,6684.0,6750.0
35,Iran.Amlah,20011225,6817.0,6817.0,6817.0,26040940,3820,2,D,6750.0,6817.0
36,Iran.Amlah,20011231,6885.0,6885.0,6885.0,5900445,857,1,D,6817.0,6885.0
