,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Asan.Pardakht.Pers,20161017,9999.0,9999.0,9999.0,825517440000,82560000,1384,D,1000.0,9999.0
1,Asan.Pardakht.Pers,20161018,10498.0,10498.0,10498.0,20517490662,1954419,419,D,9999.0,10498.0
2,Asan.Pardakht.Pers,20161019,11022.0,11022.0,10910.0,3470563272,314876,282,D,10498.0,11022.0
3,Asan.Pardakht.Pers,20161022,11455.0,11455.0,11455.0,70183776960,6126912,406,D,10910.0,11455.0
4,Asan.Pardakht.Pers,20161023,12027.0,12027.0,12027.0,162206140491,13486833,2465,D,11455.0,12027.0
5,Asan.Pardakht.Pers,20161024,12628.0,12628.0,12628.0,17624381852,1395659,1614,D,12027.0,12628.0
6,Asan.Pardakht.Pers,20161025,13259.0,13259.0,13259.0,5881175299,443561,448,D,12628.0,13259.0
7,Asan.Pardakht.Pers,20161026,13921.0,13921.0,13921.0,237843361541,17085221,13368,D,13259.0,13921.0
8,Asan.Pardakht.Pers,20161029,14617.0,14617.0,14617.0,27474464008,1879624,2017,D,13921.0,14617.0
9,Asan.Pardakht.Pers,20161030,15347.0,15347.0,15347.0,8670042098,564934,879,D,14617.0,15347.0
10,Asan.Pardakht.Pers,20161031,16114.0,15500.0,15870.0,503204961486,31708781,22714,D,15347.0,15530.0
11,Asan.Pardakht.Pers,20161101,15970.0,15250.0,15639.0,193394216641,12365860,14682,D,15870.0,15420.0
12,Asan.Pardakht.Pers,20161102,16211.0,15451.0,15946.0,108492435176,6803752,6163,D,15639.0,15910.0
13,Asan.Pardakht.Pers,20161105,16743.0,15810.0,16424.0,159305449384,9699634,6677,D,15946.0,16743.0
14,Asan.Pardakht.Pers,20161106,17245.0,16710.0,17078.0,158224606304,9264897,5426,D,16424.0,17000.0
15,Asan.Pardakht.Pers,20161107,17451.0,16755.0,17038.0,67571317366,3965995,3262,D,17078.0,16807.0
16,Asan.Pardakht.Pers,20161108,16999.0,16302.0,16665.0,81397130620,4884195,3167,D,17038.0,16600.0
17,Asan.Pardakht.Pers,20161109,16159.0,15832.0,15875.0,154968491437,9761980,3809,D,16665.0,15950.0
18,Asan.Pardakht.Pers,20161112,16290.0,15601.0,15896.0,41448847624,2607534,1605,D,15875.0,15740.0
19,Asan.Pardakht.Pers,20161113,16234.0,15740.0,16008.0,33079892681,2066467,1728,D,15896.0,15970.0
20,Asan.Pardakht.Pers,20161114,16290.0,15880.0,16007.0,24490599665,1530032,1168,D,16008.0,15900.0
21,Asan.Pardakht.Pers,20161115,16100.0,15690.0,15855.0,29335666800,1850282,1210,D,16007.0,15899.0
22,Asan.Pardakht.Pers,20161116,15990.0,15550.0,15766.0,28185080217,1787763,1295,D,15855.0,15801.0
