,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Absal,20010325,1504.0,1504.0,1504.0,4244288,2822,5,D,1504.0,1504.0
1,Absal,20010326,1502.0,1499.0,1502.0,39518812,26318,15,D,1504.0,1502.0
2,Absal,20010327,1502.0,1489.0,1502.0,30170194,20147,17,D,1502.0,1502.0
3,Absal,20010328,1502.0,1502.0,1502.0,13125978,8739,9,D,1502.0,1502.0
4,Absal,20010331,1504.0,1502.0,1503.0,16540260,11000,3,D,1502.0,1503.0
5,Absal,20010403,1520.0,1511.0,1520.0,13212638,8722,8,D,1503.0,1520.0
6,Absal,20010407,1524.0,1520.0,1524.0,3090560,2028,2,D,1520.0,1524.0
7,Absal,20010408,1600.0,1528.0,1600.0,68724726,43937,27,D,1524.0,1600.0
8,Absal,20010409,1680.0,1600.0,1652.0,58423210,35269,24,D,1600.0,1652.0
9,Absal,20010410,1701.0,1660.0,1700.0,52146704,31057,22,D,1652.0,1700.0
10,Absal,20010411,1700.0,1700.0,1700.0,6800000,4000,4,D,1700.0,1700.0
11,Absal,20010414,1693.0,1693.0,1693.0,16930,10,1,D,1700.0,1693.0
12,Absal,20010415,1679.0,1678.0,1679.0,3172960,1890,3,D,1693.0,1679.0
13,Absal,20010416,1674.0,1599.0,1599.0,12791843,7978,12,D,1679.0,1599.0
14,Absal,20010417,1600.0,1570.0,1600.0,21524622,13579,15,D,1599.0,1600.0
15,Absal,20010418,1625.0,1600.0,1625.0,31581274,19583,17,D,1600.0,1625.0
16,Absal,20010421,1625.0,1602.0,1602.0,8473955,5271,4,D,1625.0,1602.0
17,Absal,20010422,1628.0,1602.0,1628.0,79169019,49113,27,D,1602.0,1628.0
18,Absal,20010423,1654.0,1630.0,1653.0,68955910,41895,16,D,1628.0,1653.0
19,Absal,20010424,1678.0,1675.0,1675.0,65354000,39000,18,D,1653.0,1675.0
20,Absal,20010425,1680.0,1675.0,1680.0,64188800,38256,30,D,1675.0,1680.0
21,Absal,20010428,1750.0,1685.0,1740.0,207953651,120781,60,D,1680.0,1740.0
22,Absal,20010429,1739.0,1710.0,1729.0,54386592,31524,25,D,1740.0,1729.0
23,Absal,20010430,1700.0,1680.0,1680.0,63839460,37587,35,D,1729.0,1680.0
24,Absal,20010501,1697.0,1680.0,1680.0,9159997,5434,7,D,1680.0,1680.0
