,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Saipa.Azin-R,20050905,700.0,700.0,700.0,19657400,28082,5,D,0.0,700.0
1,Saipa.Azin-R,20050907,714.0,712.0,712.0,24580860,34484,7,D,700.0,712.0
2,Saipa.Azin-R,20050910,730.0,730.0,730.0,88525640,121268,27,D,712.0,730.0
3,Saipa.Azin-R,20050911,803.0,760.0,781.0,38115132,48747,11,D,730.0,781.0
4,Saipa.Azin-R,20050912,850.0,810.0,842.0,12258130,14557,6,D,781.0,842.0
5,Saipa.Azin-R,20050913,848.0,843.0,845.0,15312250,18110,5,D,842.0,845.0
6,Saipa.Azin-R,20050914,860.0,840.0,851.0,13589380,15963,8,D,845.0,851.0
7,Saipa.Azin-R,20050917,851.0,851.0,851.0,2223663,2613,2,D,851.0,851.0
8,Saipa.Azin-R,20050918,853.0,853.0,853.0,514359,603,1,D,851.0,853.0
9,Saipa.Azin-R,20050921,853.0,853.0,853.0,915269,1073,1,D,853.0,853.0
10,Saipa.Azin-R,20050925,860.0,799.0,845.0,10446484,12351,8,D,853.0,845.0
11,Saipa.Azin-R,20051003,761.0,761.0,761.0,3805000,5000,1,D,845.0,761.0
12,Saipa.Azin-R,20051005,685.0,685.0,685.0,6051290,8834,7,D,761.0,685.0
13,Saipa.Azin-R,20060123,750.0,740.0,740.0,268410010,362499,44,D,685.0,740.0
14,Saipa.Azin-R,20170423,396.0,351.0,370.0,12390344606,33484503,2847,D,740.0,390.0
15,Saipa.Azin-R,20170424,400.0,358.0,374.0,9648271203,25823194,2233,D,370.0,366.0
16,Saipa.Azin-R,20170426,390.0,360.0,375.0,4640145488,12364678,1116,D,374.0,386.0
17,Saipa.Azin-R,20170429,391.0,362.0,378.0,3221842066,8530301,722,D,375.0,369.0
18,Saipa.Azin-R,20170430,373.0,350.0,358.0,3225792248,9004722,817,D,378.0,350.0
19,Saipa.Azin-R,20170501,348.0,323.0,329.0,2420947044,7361507,545,D,358.0,323.0
20,Saipa.Azin-R,20170502,340.0,300.0,318.0,1550004828,4872817,405,D,329.0,319.0
21,Saipa.Azin-R,20170503,345.0,302.0,328.0,1142979778,3485304,363,D,318.0,338.0
22,Saipa.Azin-R,20170506,360.0,321.0,351.0,3933295995,11191772,861,D,328.0,360.0
23,Saipa.Azin-R,20170507,384.0,350.0,366.0,2725231288,7448526,649,D,351.0,363.0
24,Saipa.Azin-R,20170508,373.0,341.0,360.0,1923996575,5342720,419,D,366.0,353.0
25,Saipa.Azin-R,20170509,368.0,330.0,347.0,1715491691,4946267,378,D,360.0,360.0
26,Saipa.Azin-R,20170510,377.0,330.0,351.0,2065230803,5877538,446,D,347.0,338.0
27,Saipa.Azin-R,20170513,352.0,316.0,322.0,2884880541,8970811,595,D,351.0,322.0
28,Saipa.Azin-R,20170514,333.0,290.0,303.0,3537972468,11662176,831,D,322.0,302.0
29,Saipa.Azin-R,20170515,317.0,299.0,306.0,849884964,2778882,217,D,303.0,307.0
30,Saipa.Azin-R,20170516,325.0,292.0,316.0,1285821230,4073923,294,D,306.0,310.0
31,Saipa.Azin-R,20170517,325.0,299.0,312.0,873112686,2796268,243,D,316.0,314.0
32,Saipa.Azin-R,20170520,342.0,320.0,328.0,1727273685,5273659,379,D,312.0,321.0
33,Saipa.Azin-R,20170521,338.0,300.0,309.0,1752387866,5679479,473,D,328.0,303.0
