,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Alborz.Bimeh,20091007,6750.0,6200.0,6293.0,157042813200,24954800,519,D,1000.0,6200.0
1,S*Alborz.Bimeh,20091010,6481.0,6481.0,6481.0,52172050000,8050000,938,D,6293.0,6481.0
2,S*Alborz.Bimeh,20091011,6675.0,6675.0,6675.0,86930273850,13023262,1534,D,6481.0,6675.0
3,S*Alborz.Bimeh,20091012,6875.0,6875.0,6875.0,90733046250,13197534,2677,D,6675.0,6875.0
4,S*Alborz.Bimeh,20091013,7081.0,7081.0,7081.0,94590922453,13358413,2766,D,6875.0,7081.0
5,S*Alborz.Bimeh,20091017,7293.0,7293.0,7293.0,50448707595,6917415,1596,D,7081.0,7293.0
6,S*Alborz.Bimeh,20091018,7511.0,7511.0,7511.0,4388662278,584298,214,D,7293.0,7511.0
7,S*Alborz.Bimeh,20091019,7736.0,7736.0,7706.0,1395442888,180383,75,D,7511.0,7736.0
8,S*Alborz.Bimeh,20091020,7937.0,7937.0,7900.0,1386760577,174721,89,D,7706.0,7937.0
9,S*Alborz.Bimeh,20091021,8137.0,8137.0,8137.0,2215583045,272285,124,D,7900.0,8137.0
10,S*Alborz.Bimeh,20091024,8381.0,8381.0,8381.0,11487333840,1370640,530,D,8137.0,8381.0
11,S*Alborz.Bimeh,20091025,8632.0,8632.0,8632.0,28632076408,3316969,930,D,8381.0,8632.0
12,S*Alborz.Bimeh,20091026,8890.0,8710.0,8889.0,220333226275,24787091,8229,D,8632.0,8890.0
13,S*Alborz.Bimeh,20091027,9155.0,8924.0,9140.0,42925675759,4696609,1883,D,8889.0,9155.0
14,S*Alborz.Bimeh,20091028,9413.0,8900.0,9142.0,90138226709,9859803,3782,D,9140.0,8990.0
15,S*Alborz.Bimeh,20091031,9290.0,9011.0,9092.0,42915183645,4719922,1750,D,9142.0,9035.0
16,S*Alborz.Bimeh,20091101,9364.0,9098.0,9328.0,32485710014,3482570,1082,D,9092.0,9364.0
17,S*Alborz.Bimeh,20091102,9607.0,9102.0,9464.0,75851254117,8015003,2263,D,9328.0,9166.0
18,S*Alborz.Bimeh,20091103,9250.0,9181.0,9192.0,3891664370,423392,128,D,9464.0,9181.0
19,S*Alborz.Bimeh,20091104,9120.0,8917.0,8957.0,50763797340,5667787,1210,D,9192.0,8919.0
20,S*Alborz.Bimeh,20091107,9240.0,8730.0,8957.0,18920679878,2112391,590,D,8957.0,8881.0
21,S*Alborz.Bimeh,20091108,8950.0,8644.0,8672.0,41837298110,4824366,927,D,8957.0,8700.0
22,S*Alborz.Bimeh,20091109,8900.0,8650.0,8766.0,12230108251,1395249,404,D,8672.0,8729.0
23,S*Alborz.Bimeh,20091110,8700.0,8460.0,8492.0,22660537415,2668401,545,D,8766.0,8530.0
24,S*Alborz.Bimeh,20091111,8789.0,8530.0,8745.0,12166644160,1391196,380,D,8492.0,8789.0
25,S*Alborz.Bimeh,20091114,8970.0,8750.0,8828.0,13204412167,1495718,345,D,8745.0,8750.0
26,S*Alborz.Bimeh,20091115,8749.0,8520.0,8548.0,15139814863,1771118,398,D,8828.0,8520.0
27,S*Alborz.Bimeh,20091116,8551.0,8274.0,8341.0,20707557061,2482582,518,D,8548.0,8277.0
28,S*Alborz.Bimeh,20091117,8300.0,8050.0,8115.0,30997785218,3819777,662,D,8341.0,8200.0
29,S*Alborz.Bimeh,20091118,8399.0,8099.0,8323.0,18690564450,2245630,460,D,8115.0,8399.0
30,S*Alborz.Bimeh,20091121,8414.0,8082.0,8212.0,17431671108,2122686,442,D,8323.0,8100.0
31,S*Alborz.Bimeh,20091122,8280.0,8028.0,8160.0,12168799779,1491261,304,D,8212.0,8151.0
32,S*Alborz.Bimeh,20091123,8445.0,8200.0,8417.0,12721986522,1511433,325,D,8160.0,8445.0
33,S*Alborz.Bimeh,20091124,8711.0,8541.0,8709.0,125382539937,14396875,544,D,8417.0,8711.0
34,S*Alborz.Bimeh,20091125,9013.0,8710.0,8969.0,28433459874,3170287,719,D,8709.0,8750.0
35,S*Alborz.Bimeh,20091129,8656.0,8656.0,8659.0,1781915504,205859,19,D,8969.0,8656.0
36,S*Alborz.Bimeh,20091130,8356.0,8356.0,8356.0,2160026000,258500,19,D,8659.0,8356.0
37,S*Alborz.Bimeh,20091201,8290.0,8071.0,8154.0,15522904049,1903658,464,D,8356.0,8211.0
38,S*Alborz.Bimeh,20091202,8429.0,8183.0,8339.0,87114844854,10446142,312,D,8154.0,8380.0
39,S*Alborz.Bimeh,20091205,8599.0,8438.0,8551.0,5080015957,594081,169,D,8339.0,8570.0
40,S*Alborz.Bimeh,20091207,8800.0,8604.0,8678.0,4375250865,504200,180,D,8551.0,8614.0
41,S*Alborz.Bimeh,20091208,8650.0,8375.0,8417.0,6108900243,725769,170,D,8678.0,8375.0
42,S*Alborz.Bimeh,20091209,8290.0,8125.0,8167.0,6746252067,826075,234,D,8417.0,8263.0
43,S*Alborz.Bimeh,20091212,8166.0,7882.0,7931.0,10588717395,1335075,255,D,8167.0,7882.0
44,S*Alborz.Bimeh,20091213,7968.0,7654.0,7700.0,17774786710,2308546,521,D,7931.0,7680.0
45,S*Alborz.Bimeh,20091214,7950.0,7603.0,7790.0,9168525091,1176980,312,D,7700.0,7700.0
46,S*Alborz.Bimeh,20091215,7818.0,7518.0,7566.0,12486485000,1650433,298,D,7790.0,7518.0
47,S*Alborz.Bimeh,20091216,7570.0,7302.0,7325.0,7101367798,969466,192,D,7566.0,7302.0
48,S*Alborz.Bimeh,20091219,7300.0,7069.0,7100.0,20481587907,2884631,457,D,7325.0,7244.0
49,S*Alborz.Bimeh,20091220,7348.0,7348.0,7187.0,536095384,72958,13,D,7100.0,7348.0
50,S*Alborz.Bimeh,20091221,7438.0,7438.0,7296.0,673808420,90590,11,D,7187.0,7438.0
51,S*Alborz.Bimeh,20091222,7551.0,7364.0,7516.0,18331741164,2439067,386,D,7296.0,7500.0
52,S*Alborz.Bimeh,20091223,7696.0,7400.0,7596.0,9965004539,1311934,196,D,7516.0,7601.0
53,S*Alborz.Bimeh,20091228,7499.0,7331.0,7364.0,1348337767,183854,48,D,7596.0,7331.0
54,S*Alborz.Bimeh,20091229,7300.0,7115.0,7157.0,6893712956,963275,247,D,7364.0,7220.0
55,S*Alborz.Bimeh,20091230,7400.0,7240.0,7270.0,2606946345,358571,119,D,7157.0,7300.0
56,S*Alborz.Bimeh,20100102,7524.0,7459.0,7506.0,1481605184,197041,38,D,7270.0,7524.0
57,S*Alborz.Bimeh,20100103,7768.0,7522.0,7741.0,9244603086,1194262,157,D,7506.0,7547.0
58,S*Alborz.Bimeh,20100104,7539.0,7471.0,7475.0,1642035115,219659,43,D,7741.0,7471.0
59,S*Alborz.Bimeh,20100105,7728.0,7310.0,7604.0,2711578394,356605,124,D,7475.0,7580.0
60,S*Alborz.Bimeh,20100106,7870.0,7600.0,7828.0,12445862972,1589941,301,D,7604.0,7870.0
61,S*Alborz.Bimeh,20100109,8101.0,8000.0,8089.0,7343943027,907880,182,D,7828.0,8101.0
62,S*Alborz.Bimeh,20100110,8294.0,7806.0,7929.0,17887623884,2255967,365,D,8089.0,7806.0
63,S*Alborz.Bimeh,20100111,8096.0,7652.0,7876.0,12767632427,1621177,332,D,7929.0,7750.0
64,S*Alborz.Bimeh,20100112,7770.0,7601.0,7624.0,7315255798,959459,246,D,7876.0,7650.0
65,S*Alborz.Bimeh,20100113,7887.0,7536.0,7748.0,8426216265,1087471,229,D,7624.0,7880.0
