,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bama,20040316,7150.0,6800.0,6956.0,1844250156,265000,276,D,0.0,6956.0
1,Bama,20040317,7303.0,7303.0,7303.0,3541955000,485000,188,D,6956.0,7303.0
2,Bama,20040327,7668.0,7668.0,7668.0,612673200,79900,28,D,7303.0,7668.0
3,Bama,20040328,8051.0,8051.0,8051.0,623147400,77400,78,D,7668.0,8051.0
4,Bama,20040329,8453.0,8453.0,8453.0,109043700,12900,10,D,8051.0,8453.0
5,Bama,20040330,8875.0,8875.0,8875.0,150875000,17000,14,D,8453.0,8875.0
6,Bama,20040403,9318.0,9318.0,9318.0,130452000,14000,25,D,8875.0,9318.0
7,Bama,20040404,9783.0,9783.0,9783.0,495998100,50700,45,D,9318.0,9783.0
8,Bama,20040405,10272.0,10272.0,10272.0,706713600,68800,94,D,9783.0,10272.0
9,Bama,20040406,10785.0,10785.0,10785.0,228642000,21200,45,D,10272.0,10785.0
10,Bama,20040407,11324.0,11324.0,11324.0,152874000,13500,11,D,10785.0,11324.0
11,Bama,20040410,11890.0,11890.0,11890.0,178564020,15018,29,D,11324.0,11890.0
12,Bama,20040412,12484.0,11296.0,11974.0,5352922075,447022,357,D,11890.0,11974.0
13,Bama,20040413,11809.0,11376.0,11809.0,41583610,3655,12,D,11974.0,11809.0
14,Bama,20040414,12392.0,11219.0,11372.0,1464180865,128753,93,D,11809.0,11372.0
15,Bama,20040417,11100.0,10850.0,10858.0,226249280,20837,18,D,11372.0,10858.0
16,Bama,20040418,10316.0,10316.0,10316.0,625933616,60676,54,D,10858.0,10316.0
17,Bama,20040421,10316.0,10269.0,10312.0,72825537,7063,9,D,10316.0,10312.0
18,Bama,20040424,10100.0,9799.0,9809.0,144019390,14681,18,D,10312.0,9809.0
19,Bama,20040425,9809.0,9650.0,9734.0,824577840,84706,41,D,9809.0,9734.0
20,Bama,20040426,9810.0,9599.0,9705.0,587616961,60542,32,D,9734.0,9705.0
21,Bama,20040427,9598.0,9250.0,9297.0,191699764,20619,23,D,9705.0,9297.0
22,Bama,20040428,9761.0,9560.0,9607.0,416412286,43343,30,D,9297.0,9607.0
23,Bama,20040501,10087.0,10067.0,10067.0,127963482,12686,8,D,9607.0,10067.0
24,Bama,20040502,10570.0,10050.0,10561.0,1469152768,139107,74,D,10067.0,10561.0
25,Bama,20040503,10899.0,10561.0,10686.0,491696306,46009,28,D,10561.0,10686.0
26,Bama,20040504,10563.0,10250.0,10563.0,72094080,6898,12,D,10686.0,10563.0
27,Bama,20040505,10534.0,10399.0,10534.0,32635578,3125,7,D,10563.0,10534.0
28,Bama,20040508,10380.0,10008.0,10158.0,123594579,12204,13,D,10534.0,10158.0
29,Bama,20040509,10280.0,10222.0,10222.0,72021100,7006,4,D,10158.0,10222.0
30,Bama,20040511,10115.0,9752.0,10115.0,29357150,3010,2,D,10222.0,10115.0
31,Bama,20040517,10100.0,9610.0,9977.0,1053680598,105607,58,D,10115.0,9977.0
32,Bama,20040518,9699.0,9479.0,9699.0,69862430,7370,8,D,9977.0,9699.0
33,Bama,20040519,9550.0,9251.0,9264.0,231698793,25010,9,D,9699.0,9264.0
34,Bama,20040522,9264.0,8801.0,9029.0,65083460,7360,5,D,9264.0,9029.0
35,Bama,20040524,9250.0,9029.0,9079.0,134742690,14841,20,D,9029.0,9079.0
36,Bama,20040525,9470.0,9053.0,9195.0,93942638,10176,9,D,9079.0,9195.0
37,Bama,20040602,9998.0,9200.0,9760.0,77448010,7935,8,D,9195.0,9760.0
38,Bama,20040606,9700.0,9300.0,9519.0,90186390,9566,10,D,9760.0,9519.0
39,Bama,20040607,9315.0,9100.0,9315.0,79487450,8633,11,D,9519.0,9315.0
40,Bama,20040608,9224.0,9050.0,9224.0,49885690,5484,9,D,9315.0,9224.0
41,Bama,20040609,9120.0,9100.0,9102.0,199609510,21929,18,D,9224.0,9102.0
42,Bama,20040612,9103.0,9102.0,9102.0,69485408,7634,8,D,9102.0,9102.0
43,Bama,20040613,9011.0,8900.0,9011.0,89827410,10000,7,D,9102.0,9011.0
44,Bama,20040614,9461.0,8800.0,9002.0,119396992,13262,14,D,9011.0,9002.0
45,Bama,20040615,9452.0,9201.0,9201.0,55338950,5855,6,D,9002.0,9201.0
46,Bama,20040616,9661.0,9513.0,9513.0,86850910,8990,13,D,9201.0,9513.0
47,Bama,20040619,9988.0,9877.0,9877.0,101476970,10160,20,D,9513.0,9877.0
48,Bama,20040620,10370.0,10305.0,10305.0,119181760,11493,17,D,9877.0,10305.0
49,Bama,20040621,10818.0,10570.0,10612.0,333137817,31390,27,D,10305.0,10612.0
