,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kerman.Tire,20010502,3250.0,3250.0,3250.0,3250000,1000,1,D,0.0,3250.0
1,Kerman.Tire,20010508,3254.0,3254.0,3254.0,1392712,428,1,D,3250.0,3254.0
2,Kerman.Tire,20010523,3416.0,3416.0,3416.0,3416000,1000,2,D,3254.0,3416.0
3,Kerman.Tire,20010617,2700.0,2700.0,2700.0,2700000,1000,1,D,3416.0,2700.0
4,Kerman.Tire,20010619,2700.0,2700.0,2700.0,108000,40,1,D,2700.0,2700.0
5,Kerman.Tire,20010820,2835.0,2835.0,2835.0,2835000,1000,3,D,2700.0,2835.0
6,Kerman.Tire,20010827,2976.0,2976.0,2976.0,14880000,5000,1,D,2835.0,2976.0
7,Kerman.Tire,20010904,2993.0,2980.0,2980.0,4476883,1500,5,D,2976.0,2980.0
8,Kerman.Tire,20010908,2980.0,2980.0,2980.0,2235000,750,3,D,2980.0,2980.0
9,Kerman.Tire,20010925,2980.0,2980.0,2980.0,992340,333,1,D,2980.0,2980.0
10,Kerman.Tire,20010926,2980.0,2980.0,2980.0,2002560,672,1,D,2980.0,2980.0
11,Kerman.Tire,20010929,2980.0,2980.0,2980.0,447000,150,1,D,2980.0,2980.0
12,Kerman.Tire,20010930,2980.0,2980.0,2980.0,1495960,502,2,D,2980.0,2980.0
13,Kerman.Tire,20011013,2980.0,2980.0,2980.0,13404040,4498,4,D,2980.0,2980.0
14,Kerman.Tire,20011014,3000.0,3000.0,3000.0,9000000,3000,1,D,2980.0,3000.0
15,Kerman.Tire,20011016,3000.0,3000.0,3000.0,1284000,428,1,D,3000.0,3000.0
16,Kerman.Tire,20011017,3120.0,3120.0,3120.0,3120000,1000,2,D,3000.0,3120.0
17,Kerman.Tire,20011020,3120.0,3120.0,3120.0,2842320,911,1,D,3120.0,3120.0
18,Kerman.Tire,20011029,3137.0,3136.0,3136.0,9410150,3000,3,D,3120.0,3136.0
19,Kerman.Tire,20011118,3292.0,3292.0,3292.0,1646000,500,2,D,3136.0,3292.0
