,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Dana.Insurance,20100817,26666.0,26100.0,26104.0,132027066000,5057750,590,D,1000.0,26100.0
1,Dana.Insurance,20100818,27148.0,27000.0,27147.0,68875525489,2537138,3069,D,26104.0,27148.0
2,Dana.Insurance,20100821,28199.0,26110.0,27059.0,21076615999,778902,1848,D,27147.0,26199.0
3,Dana.Insurance,20100822,26135.0,25977.0,26020.0,5992988250,230323,340,D,27059.0,25977.0
4,Dana.Insurance,20100823,25850.0,24980.0,25220.0,7958338202,315558,285,D,26020.0,24980.0
5,Dana.Insurance,20100824,24212.0,24212.0,24524.0,1410082668,58239,42,D,25220.0,24212.0
6,Dana.Insurance,20100825,23544.0,23544.0,23544.0,2668830120,113355,30,D,24524.0,23544.0
7,Dana.Insurance,20100828,22603.0,22603.0,22603.0,6081156326,269042,189,D,23544.0,22603.0
8,Dana.Insurance,20100829,21699.0,21699.0,22455.0,298751832,13768,15,D,22603.0,21699.0
9,Dana.Insurance,20100830,21557.0,21557.0,22404.0,102826890,4770,14,D,22455.0,21557.0
10,Dana.Insurance,20100906,21508.0,21508.0,21508.0,9709894140,451455,396,D,22404.0,21508.0
11,Dana.Insurance,20100907,20648.0,20648.0,21268.0,487045024,23588,25,D,21508.0,20648.0
12,Dana.Insurance,20100908,20418.0,20418.0,20418.0,1722932094,84383,46,D,21268.0,20418.0
13,Dana.Insurance,20100912,19602.0,19602.0,19602.0,2242076760,114380,119,D,20418.0,19602.0
14,Dana.Insurance,20100913,19598.0,18818.0,18879.0,19709982508,1043998,1446,D,19602.0,18818.0
15,Dana.Insurance,20100914,18700.0,18124.0,18211.0,3663629684,201176,251,D,18879.0,18124.0
16,Dana.Insurance,20100915,18299.0,17483.0,17758.0,7846918836,441871,721,D,18211.0,17900.0
17,Dana.Insurance,20100921,17435.0,16805.0,17141.0,1411549891,82345,106,D,17758.0,16824.0
18,Dana.Insurance,20100922,16456.0,16456.0,16907.0,473603680,28780,30,D,17141.0,16456.0
19,Dana.Insurance,20100925,16231.0,16231.0,16689.0,440996270,27170,22,D,16907.0,16231.0
20,Dana.Insurance,20100926,16022.0,16022.0,16496.0,390872712,24396,16,D,16689.0,16022.0
21,Dana.Insurance,20100927,15837.0,15837.0,16491.0,9391341,593,4,D,16496.0,15837.0
22,Dana.Insurance,20100928,15832.0,15832.0,16237.0,514919968,32524,19,D,16491.0,15832.0
23,Dana.Insurance,20100929,16886.0,15588.0,15813.0,8715803580,551183,436,D,16237.0,16886.0
24,Dana.Insurance,20101002,16445.0,16445.0,15942.0,284136710,17278,17,D,15813.0,16445.0
25,Dana.Insurance,20101003,16579.0,16579.0,15984.0,92693189,5591,17,D,15942.0,16579.0
26,Dana.Insurance,20101005,16623.0,16623.0,16342.0,785004552,47224,21,D,15984.0,16623.0
27,Dana.Insurance,20101006,16995.0,15900.0,16776.0,2896510805,172662,150,D,16342.0,15953.0
28,Dana.Insurance,20101009,16105.0,16105.0,16482.0,595385745,36969,45,D,16776.0,16105.0
29,Dana.Insurance,20101010,15823.0,15823.0,16361.0,245604606,15522,12,D,16482.0,15823.0
30,Dana.Insurance,20101011,15707.0,15707.0,16355.0,12628428,804,2,D,16361.0,15707.0
31,Dana.Insurance,20101016,15701.0,15701.0,16350.0,9970135,635,1,D,16355.0,15701.0
32,Dana.Insurance,20101017,15696.0,15696.0,16345.0,11097072,707,2,D,16350.0,15696.0
33,Dana.Insurance,20101018,16010.0,15692.0,15707.0,5787112626,368437,275,D,16345.0,15694.0
34,Dana.Insurance,20101019,15750.0,15700.0,15712.0,2612519513,166275,161,D,15707.0,15700.0
35,Dana.Insurance,20101020,15850.0,15600.0,15623.0,1436742998,91964,87,D,15712.0,15700.0
36,Dana.Insurance,20101023,16247.0,15700.0,16222.0,3108525594,191624,99,D,15623.0,16244.0
37,Dana.Insurance,20101024,16150.0,16000.0,16029.0,1231354618,76911,93,D,16222.0,16050.0
38,Dana.Insurance,20101025,16000.0,15800.0,15946.0,856005390,53841,51,D,16029.0,15801.0
39,Dana.Insurance,20101026,15850.0,15605.0,15875.0,278169697,17821,53,D,15946.0,15606.0
40,Dana.Insurance,20101027,15400.0,15300.0,15680.0,452070743,29513,26,D,15875.0,15325.0
41,Dana.Insurance,20101030,15502.0,15498.0,15562.0,860605800,55520,57,D,15680.0,15500.0
42,Dana.Insurance,20101031,15600.0,15300.0,15506.0,502324800,32582,37,D,15562.0,15600.0
43,Dana.Insurance,20101101,15300.0,15110.0,15399.0,431414037,28402,42,D,15506.0,15206.0
44,Dana.Insurance,20101102,15390.0,15206.0,15352.0,692293414,45214,53,D,15399.0,15300.0
45,Dana.Insurance,20101103,15600.0,14738.0,15227.0,409070551,27333,62,D,15352.0,15600.0
46,Dana.Insurance,20101106,15300.0,14950.0,15203.0,140446926,9359,40,D,15227.0,14950.0
47,Dana.Insurance,20101107,14760.0,14595.0,14940.0,556290721,38048,40,D,15203.0,14595.0
48,Dana.Insurance,20101108,14370.0,14343.0,14855.0,172101974,11998,43,D,14940.0,14343.0
49,Dana.Insurance,20101109,14979.0,14261.0,14735.0,477581139,32831,45,D,14855.0,14762.0
50,Dana.Insurance,20101110,14600.0,14202.0,14676.0,198820730,13833,37,D,14735.0,14314.0
51,Dana.Insurance,20101113,14381.0,14089.0,14499.0,413845432,29214,52,D,14676.0,14101.0
52,Dana.Insurance,20101114,14500.0,13920.0,14196.0,655671486,46986,80,D,14499.0,14010.0
53,Dana.Insurance,20101115,14300.0,13629.0,13870.0,892947046,64840,104,D,14196.0,13650.0
54,Dana.Insurance,20101116,13870.0,13316.0,13783.0,338683412,24948,51,D,13870.0,13700.0
55,Dana.Insurance,20101120,13360.0,13250.0,13658.0,282886685,21288,30,D,13783.0,13255.0
56,Dana.Insurance,20101121,13234.0,13112.0,13200.0,944914437,72016,85,D,13658.0,13112.0
57,Dana.Insurance,20101122,13000.0,12686.0,13030.0,413915455,32441,54,D,13200.0,12711.0
58,Dana.Insurance,20101123,13030.0,12596.0,12977.0,691493759,53412,76,D,13030.0,13030.0
59,Dana.Insurance,20101124,13496.0,13000.0,13317.0,764867218,56728,23,D,12977.0,13496.0
