,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behnoush.Iran,20010328,3806.0,3806.0,3806.0,3806000,1000,2,D,0.0,3806.0
1,Behnoush.Iran,20010407,3996.0,3950.0,3996.0,8620750,2170,5,D,3806.0,3996.0
2,Behnoush.Iran,20010408,4000.0,4000.0,4000.0,1600000,400,1,D,3996.0,4000.0
3,Behnoush.Iran,20010410,4190.0,4020.0,4190.0,10473400,2540,5,D,4000.0,4190.0
4,Behnoush.Iran,20010415,4220.0,4216.0,4218.0,11410280,2705,4,D,4190.0,4218.0
5,Behnoush.Iran,20010416,4371.0,4300.0,4360.0,18500170,4270,4,D,4218.0,4360.0
6,Behnoush.Iran,20010417,4381.0,4371.0,4380.0,19835130,4530,4,D,4360.0,4380.0
7,Behnoush.Iran,20010422,4386.0,4386.0,4386.0,1052640,240,1,D,4380.0,4386.0
8,Behnoush.Iran,20010424,4200.0,4200.0,4200.0,12600000,3000,3,D,4386.0,4200.0
9,Behnoush.Iran,20010425,4200.0,2600.0,4200.0,244331200,93912,260,D,4200.0,4200.0
10,Behnoush.Iran,20010429,4300.0,4300.0,4300.0,20210000,4700,5,D,4200.0,4300.0
11,Behnoush.Iran,20010430,4301.0,4300.0,4300.0,36899300,8581,9,D,4300.0,4300.0
12,Behnoush.Iran,20010501,4200.0,4200.0,4200.0,15594600,3713,3,D,4300.0,4200.0
13,Behnoush.Iran,20010502,4203.0,4203.0,4203.0,4203000,1000,1,D,4200.0,4203.0
14,Behnoush.Iran,20010505,4201.0,4200.0,4200.0,19301300,4595,4,D,4203.0,4200.0
15,Behnoush.Iran,20010506,4260.0,4250.0,4260.0,42589000,10000,8,D,4200.0,4260.0
16,Behnoush.Iran,20010507,4260.0,4259.0,4260.0,10223000,2400,3,D,4260.0,4260.0
17,Behnoush.Iran,20010508,4260.0,4259.0,4260.0,53977252,12671,11,D,4260.0,4260.0
18,Behnoush.Iran,20010509,4260.0,4260.0,4260.0,8903400,2090,4,D,4260.0,4260.0
19,Behnoush.Iran,20010512,4473.0,4448.0,4473.0,14769845,3315,5,D,4260.0,4473.0
20,Behnoush.Iran,20010513,4696.0,4650.0,4696.0,42869680,9218,9,D,4473.0,4696.0
21,Behnoush.Iran,20010515,4930.0,4930.0,4930.0,200902430,40751,26,D,4696.0,4930.0
22,Behnoush.Iran,20010516,4998.0,4930.0,4998.0,69934716,14126,19,D,4930.0,4998.0
23,Behnoush.Iran,20010519,5100.0,5000.0,5001.0,72952400,14400,22,D,4998.0,5001.0
24,Behnoush.Iran,20010520,5000.0,4900.0,4900.0,60155000,12100,25,D,5001.0,4900.0
25,Behnoush.Iran,20010521,4950.0,4900.0,4950.0,34784450,7050,12,D,4900.0,4950.0
26,Behnoush.Iran,20010523,5000.0,5000.0,5000.0,35300000,7060,12,D,4950.0,5000.0
27,Behnoush.Iran,20010527,5000.0,5000.0,5000.0,10000000,2000,2,D,5000.0,5000.0
28,Behnoush.Iran,20010528,5000.0,4999.0,5000.0,32203499,6441,6,D,5000.0,5000.0
29,Behnoush.Iran,20010529,5000.0,4900.0,5000.0,50616500,10224,10,D,5000.0,5000.0
30,Behnoush.Iran,20010530,5000.0,5000.0,5000.0,25000000,5000,5,D,5000.0,5000.0
31,Behnoush.Iran,20010602,5000.0,5000.0,5000.0,35410000,7082,8,D,5000.0,5000.0
32,Behnoush.Iran,20010606,4990.0,4990.0,4990.0,32185500,6450,7,D,5000.0,4990.0
33,Behnoush.Iran,20010609,4990.0,4900.0,4900.0,28412050,5780,8,D,4990.0,4900.0
34,Behnoush.Iran,20010611,4900.0,4900.0,4900.0,4900000,1000,1,D,4900.0,4900.0
35,Behnoush.Iran,20010612,4880.0,4880.0,4880.0,4880000,1000,1,D,4900.0,4880.0
36,Behnoush.Iran,20010613,4800.0,4800.0,4800.0,9600000,2000,2,D,4880.0,4800.0
37,Behnoush.Iran,20010616,4800.0,4800.0,4800.0,33600000,7000,10,D,4800.0,4800.0
38,Behnoush.Iran,20010619,4878.0,4874.0,4875.0,29445320,6040,14,D,4800.0,4875.0
39,Behnoush.Iran,20010620,4988.0,4811.0,4811.0,78089481,16151,10,D,4875.0,4811.0
40,Behnoush.Iran,20010623,4811.0,4811.0,4811.0,4811000,1000,2,D,4811.0,4811.0
41,Behnoush.Iran,20010624,4811.0,4811.0,4811.0,4046051,841,2,D,4811.0,4811.0
42,Behnoush.Iran,20010626,4811.0,4811.0,4811.0,24564966,5106,8,D,4811.0,4811.0
43,Behnoush.Iran,20010627,5000.0,4999.0,5000.0,34446110,6890,12,D,4811.0,5000.0
44,Behnoush.Iran,20010630,5001.0,4995.0,5001.0,65586910,13118,13,D,5000.0,5001.0
45,Behnoush.Iran,20010701,5025.0,5000.0,5000.0,243076086,48500,31,D,5001.0,5000.0
46,Behnoush.Iran,20010702,5005.0,5000.0,5005.0,1115615,223,2,D,5000.0,5005.0
47,Behnoush.Iran,20010703,5020.0,5005.0,5020.0,19975100,3980,3,D,5005.0,5020.0
48,Behnoush.Iran,20010704,5250.0,5100.0,5250.0,28696000,5510,7,D,5020.0,5250.0
49,Behnoush.Iran,20010707,5250.0,5250.0,5250.0,15025500,2862,6,D,5250.0,5250.0
50,Behnoush.Iran,20010708,5255.0,5250.0,5255.0,225733325,42956,2,D,5250.0,5255.0
51,Behnoush.Iran,20010709,5255.0,5255.0,5255.0,9301350,1770,2,D,5255.0,5255.0
52,Behnoush.Iran,20010711,5300.0,5262.0,5300.0,25364000,4800,10,D,5255.0,5300.0
53,Behnoush.Iran,20010807,5303.0,5200.0,5300.0,113553100,21548,18,D,5300.0,5300.0
54,Behnoush.Iran,20010808,5565.0,5563.0,5565.0,57485250,10330,14,D,5300.0,5565.0
55,Behnoush.Iran,20010811,5565.0,5565.0,5565.0,333900,60,1,D,5565.0,5565.0
56,Behnoush.Iran,20010812,5600.0,5560.0,5560.0,19549100,3500,5,D,5565.0,5560.0
57,Behnoush.Iran,20010813,5560.0,5558.0,5560.0,48091600,8650,6,D,5560.0,5560.0
58,Behnoush.Iran,20010814,5560.0,5560.0,5560.0,60492800,10880,8,D,5560.0,5560.0
59,Behnoush.Iran,20010815,5560.0,5550.0,5560.0,53124890,9555,10,D,5560.0,5560.0
60,Behnoush.Iran,20010818,5560.0,5560.0,5560.0,6065960,1091,2,D,5560.0,5560.0
61,Behnoush.Iran,20010819,5560.0,5559.0,5560.0,53464754,9616,10,D,5560.0,5560.0
62,Behnoush.Iran,20010820,5560.0,5558.0,5558.0,23556280,4238,5,D,5560.0,5558.0
63,Behnoush.Iran,20010822,5557.0,5300.0,5557.0,204939531,38331,17,D,5558.0,5557.0
64,Behnoush.Iran,20010901,5545.0,5544.0,5545.0,4296765,775,3,D,5557.0,5545.0
65,Behnoush.Iran,20010902,5401.0,5398.0,5399.0,50761340,9402,9,D,5545.0,5399.0
66,Behnoush.Iran,20010910,5300.0,5300.0,5300.0,2650000,500,2,D,5399.0,5300.0
67,Behnoush.Iran,20010911,5297.0,5295.0,5297.0,10592830,2000,3,D,5300.0,5297.0
68,Behnoush.Iran,20010916,5286.0,5285.0,5286.0,8625859,1632,3,D,5297.0,5286.0
69,Behnoush.Iran,20010925,5200.0,5200.0,5200.0,23654800,4549,6,D,5286.0,5200.0
70,Behnoush.Iran,20010926,5200.0,5200.0,5200.0,2600000,500,2,D,5200.0,5200.0
71,Behnoush.Iran,20011007,5180.0,5180.0,5180.0,31857000,6150,8,D,5200.0,5180.0
72,Behnoush.Iran,20011008,5180.0,5179.0,5180.0,53348318,10300,7,D,5180.0,5180.0
73,Behnoush.Iran,20011009,5179.0,5100.0,5179.0,15332701,3000,6,D,5180.0,5179.0
74,Behnoush.Iran,20011016,5170.0,5169.0,5170.0,12924909,2500,6,D,5179.0,5170.0
75,Behnoush.Iran,20011021,5200.0,5150.0,5200.0,64756460,12484,9,D,5170.0,5200.0
76,Behnoush.Iran,20011022,5200.0,5200.0,5200.0,2600000,500,1,D,5200.0,5200.0
77,Behnoush.Iran,20011027,5200.0,5200.0,5200.0,1201200,231,1,D,5200.0,5200.0
78,Behnoush.Iran,20011031,5250.0,5203.0,5250.0,18351500,3500,2,D,5200.0,5250.0
79,Behnoush.Iran,20011105,5383.0,5383.0,5383.0,5383000,1000,2,D,5250.0,5383.0
80,Behnoush.Iran,20011106,5557.0,5557.0,5557.0,15837450,2850,1,D,5383.0,5557.0
81,Behnoush.Iran,20011110,5557.0,5557.0,5557.0,2778500,500,1,D,5557.0,5557.0
82,Behnoush.Iran,20011111,5557.0,5556.0,5556.0,7874088,1417,3,D,5557.0,5556.0
83,Behnoush.Iran,20011112,5557.0,5557.0,5557.0,1467048,264,1,D,5556.0,5557.0
84,Behnoush.Iran,20011114,5557.0,5556.0,5557.0,20643255,3715,2,D,5557.0,5557.0
85,Behnoush.Iran,20011120,5834.0,5834.0,5834.0,49589000,8500,11,D,5557.0,5834.0
86,Behnoush.Iran,20011202,5800.0,5800.0,5800.0,742400,128,1,D,5834.0,5800.0
87,Behnoush.Iran,20011204,5793.0,5700.0,5700.0,18026600,3144,6,D,5800.0,5700.0
88,Behnoush.Iran,20011205,5700.0,5650.0,5650.0,17226850,3037,6,D,5700.0,5650.0
89,Behnoush.Iran,20011208,5651.0,5650.0,5651.0,7701594,1363,3,D,5650.0,5651.0
90,Behnoush.Iran,20011209,5651.0,5651.0,5651.0,6781200,1200,2,D,5651.0,5651.0
91,Behnoush.Iran,20011210,5651.0,5651.0,5651.0,2548601,451,3,D,5651.0,5651.0
92,Behnoush.Iran,20011212,5656.0,5655.0,5655.0,39587500,7000,6,D,5651.0,5655.0
93,Behnoush.Iran,20011215,5700.0,5664.0,5700.0,53237184,9381,9,D,5655.0,5700.0
94,Behnoush.Iran,20011217,5784.0,5784.0,5784.0,26178384,4526,3,D,5700.0,5784.0
95,Behnoush.Iran,20011219,5834.0,5834.0,5834.0,44495918,7627,11,D,5784.0,5834.0
96,Behnoush.Iran,20011223,5850.0,5850.0,5850.0,11700000,2000,2,D,5834.0,5850.0
97,Behnoush.Iran,20011224,5875.0,5875.0,5875.0,14687500,2500,1,D,5850.0,5875.0
98,Behnoush.Iran,20011225,5900.0,5900.0,5900.0,11800000,2000,2,D,5875.0,5900.0
99,Behnoush.Iran,20011226,6000.0,5930.0,6000.0,33126500,5550,6,D,5900.0,6000.0
100,Behnoush.Iran,20011229,6051.0,6050.0,6050.0,65645500,10850,15,D,6000.0,6050.0
101,Behnoush.Iran,20011230,6050.0,6050.0,6050.0,15427500,2550,7,D,6050.0,6050.0
102,Behnoush.Iran,20020101,6100.0,6051.0,6100.0,56498637,9270,13,D,6050.0,6100.0
103,Behnoush.Iran,20020102,6150.0,6100.0,6150.0,27561500,4490,9,D,6100.0,6150.0
104,Behnoush.Iran,20020105,6153.0,6150.0,6153.0,6655251,1082,3,D,6150.0,6153.0
105,Behnoush.Iran,20020107,6200.0,6157.0,6200.0,81299700,13136,16,D,6153.0,6200.0
106,Behnoush.Iran,20020108,6202.0,6200.0,6200.0,33123166,5342,7,D,6200.0,6200.0
107,Behnoush.Iran,20020127,6100.0,6100.0,6100.0,3965000,650,3,D,6200.0,6100.0
108,Behnoush.Iran,20020129,6100.0,6098.0,6100.0,6099638,1000,5,D,6100.0,6100.0
109,Behnoush.Iran,20020202,6000.0,6000.0,6000.0,6000000,1000,1,D,6100.0,6000.0
110,Behnoush.Iran,20020203,6000.0,6000.0,6000.0,6000000,1000,1,D,6000.0,6000.0
111,Behnoush.Iran,20020206,5900.0,5900.0,5900.0,25960000,4400,4,D,6000.0,5900.0
112,Behnoush.Iran,20020209,5900.0,5850.0,5900.0,3193150,545,4,D,5900.0,5900.0
113,Behnoush.Iran,20020213,5900.0,5900.0,5900.0,5900000,1000,2,D,5900.0,5900.0
