,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bahman.Group,20010407,3720.0,3720.0,3720.0,20869200,5610,3,D,0.0,3720.0
1,Bahman.Group,20010408,3771.0,3720.0,3770.0,45286313,12044,15,D,3720.0,3770.0
2,Bahman.Group,20010409,3780.0,3751.0,3780.0,12377384,3284,10,D,3770.0,3780.0
3,Bahman.Group,20010410,3802.0,3790.0,3802.0,23014672,6068,14,D,3780.0,3802.0
4,Bahman.Group,20010411,3900.0,3802.0,3851.0,55183624,14358,20,D,3802.0,3851.0
5,Bahman.Group,20010414,3862.0,3851.0,3851.0,41686660,10802,19,D,3851.0,3851.0
6,Bahman.Group,20010415,3920.0,3851.0,3900.0,74706328,19247,32,D,3851.0,3900.0
7,Bahman.Group,20010425,2420.0,2303.0,2420.0,17384345,7478,21,D,3900.0,2420.0
8,Bahman.Group,20010429,2541.0,2541.0,2541.0,9223830,3630,17,D,2420.0,2541.0
9,Bahman.Group,20010430,2668.0,2600.0,2668.0,10003128,3786,15,D,2541.0,2668.0
10,Bahman.Group,20010501,2801.0,2795.0,2799.0,141652576,50574,53,D,2668.0,2799.0
11,Bahman.Group,20010502,2800.0,2700.0,2800.0,128260615,46549,81,D,2799.0,2800.0
12,Bahman.Group,20010505,2800.0,2793.0,2800.0,143294672,51210,67,D,2800.0,2800.0
13,Bahman.Group,20010506,2800.0,2790.0,2800.0,300098451,107254,77,D,2800.0,2800.0
14,Bahman.Group,20010507,2799.0,2760.0,2770.0,65929462,23626,25,D,2800.0,2770.0
15,Bahman.Group,20010508,2770.0,2701.0,2701.0,35961054,13070,38,D,2770.0,2701.0
16,Bahman.Group,20010509,2701.0,2600.0,2600.0,51902915,19632,34,D,2701.0,2600.0
17,Bahman.Group,20010512,2698.0,2590.0,2590.0,44673146,17082,26,D,2600.0,2590.0
18,Bahman.Group,20010513,2590.0,2500.0,2502.0,41718664,16319,34,D,2590.0,2502.0
19,Bahman.Group,20010515,2590.0,2500.0,2560.0,31352717,12348,23,D,2502.0,2560.0
20,Bahman.Group,20010516,2600.0,2565.0,2590.0,139211062,53686,31,D,2560.0,2590.0
21,Bahman.Group,20010519,2690.0,2585.0,2585.0,157611979,60470,62,D,2590.0,2585.0
22,Bahman.Group,20010520,2589.0,2550.0,2550.0,136977595,53349,40,D,2585.0,2550.0
23,Bahman.Group,20010521,2637.0,2550.0,2552.0,216034150,83515,70,D,2550.0,2552.0
24,Bahman.Group,20010523,2604.0,2575.0,2602.0,1369483053,528589,65,D,2552.0,2602.0
25,Bahman.Group,20010526,2670.0,2602.0,2650.0,59791942,22559,31,D,2602.0,2650.0
26,Bahman.Group,20010527,2698.0,2621.0,2690.0,55299757,20800,36,D,2650.0,2690.0
27,Bahman.Group,20010528,2758.0,2690.0,2755.0,70453748,25620,25,D,2690.0,2755.0
28,Bahman.Group,20010529,2801.0,1889.0,2778.0,156640466,56898,65,D,2755.0,2778.0
29,Bahman.Group,20010530,2800.0,2702.0,2703.0,232428019,84582,74,D,2778.0,2703.0
30,Bahman.Group,20010602,2799.0,2710.0,2750.0,99905087,36429,52,D,2703.0,2750.0
31,Bahman.Group,20010603,2760.0,2701.0,2710.0,90519725,33144,63,D,2750.0,2710.0
32,Bahman.Group,20010606,2741.0,2711.0,2731.0,71778573,26229,47,D,2710.0,2731.0
33,Bahman.Group,20010609,2740.0,2720.0,2731.0,144670273,53008,53,D,2731.0,2731.0
34,Bahman.Group,20010611,2750.0,2700.0,2700.0,78464332,28691,37,D,2731.0,2700.0
35,Bahman.Group,20010612,2700.0,2685.0,2690.0,29813642,11059,46,D,2700.0,2690.0
36,Bahman.Group,20010613,2710.0,1845.0,2690.0,318801586,153081,315,D,2690.0,2690.0
37,Bahman.Group,20010616,2691.0,2650.0,2690.0,50909357,19011,43,D,2690.0,2690.0
38,Bahman.Group,20010617,2690.0,2667.0,2677.0,87866545,32863,68,D,2690.0,2677.0
39,Bahman.Group,20010618,2678.0,1825.0,2649.0,101237951,50066,294,D,2677.0,2649.0
40,Bahman.Group,20010619,2648.0,2600.0,2639.0,151329907,57741,82,D,2649.0,2639.0
41,Bahman.Group,20010620,2633.0,2576.0,2596.0,103594545,39797,65,D,2639.0,2596.0
42,Bahman.Group,20010623,2675.0,2598.0,2670.0,108125020,40692,64,D,2596.0,2670.0
43,Bahman.Group,20010624,2750.0,2670.0,2740.0,130529798,48381,91,D,2670.0,2740.0
44,Bahman.Group,20010625,2740.0,2699.0,2700.0,100951622,37298,47,D,2740.0,2700.0
45,Bahman.Group,20010626,2701.0,2690.0,2700.0,131590360,48755,81,D,2700.0,2700.0
46,Bahman.Group,20010627,2750.0,2690.0,2750.0,551031758,203964,141,D,2700.0,2750.0
47,Bahman.Group,20010630,2758.0,2702.0,2753.0,473729116,172273,122,D,2750.0,2753.0
48,Bahman.Group,20010701,2820.0,2740.0,2820.0,297306617,106616,98,D,2753.0,2820.0
49,Bahman.Group,20010702,2880.0,2806.0,2861.0,292620443,102298,104,D,2820.0,2861.0
50,Bahman.Group,20010703,2885.0,2860.0,2885.0,169752781,59090,77,D,2861.0,2885.0
51,Bahman.Group,20010704,3000.0,2880.0,2975.0,469692674,157611,126,D,2885.0,2975.0
52,Bahman.Group,20010707,2970.0,2860.0,2863.0,82649120,28419,33,D,2975.0,2863.0
53,Bahman.Group,20010708,2929.0,2863.0,2890.0,112362542,38795,59,D,2863.0,2890.0
54,Bahman.Group,20010709,2926.0,2850.0,2870.0,303611801,105414,74,D,2890.0,2870.0
55,Bahman.Group,20010710,2870.0,2799.0,2850.0,799473868,285306,61,D,2870.0,2850.0
56,Bahman.Group,20010711,2869.0,2801.0,2869.0,78088193,27590,39,D,2850.0,2869.0
57,Bahman.Group,20010714,3010.0,2870.0,2949.0,528302287,179146,146,D,2869.0,2949.0
58,Bahman.Group,20010822,3050.0,2890.0,2899.0,822552850,276387,154,D,2949.0,2899.0
59,Bahman.Group,20010825,2896.0,2840.0,2869.0,288208895,100400,78,D,2899.0,2869.0
60,Bahman.Group,20010826,2902.0,2812.0,2839.0,414951318,145031,138,D,2869.0,2839.0
61,Bahman.Group,20010827,2820.0,2775.0,2800.0,300920973,107310,135,D,2839.0,2800.0
62,Bahman.Group,20010828,2828.0,2779.0,2828.0,579296273,207152,169,D,2800.0,2828.0
63,Bahman.Group,20010829,2800.0,2775.0,2789.0,347334020,124360,78,D,2828.0,2789.0
64,Bahman.Group,20010901,2780.0,2705.0,2770.0,402924672,146111,106,D,2789.0,2770.0
65,Bahman.Group,20010902,2740.0,2632.0,2698.0,214947447,79687,84,D,2770.0,2698.0
66,Bahman.Group,20010903,2698.0,2580.0,2698.0,1114168379,421196,186,D,2698.0,2698.0
67,Bahman.Group,20010904,2700.0,2607.0,2700.0,687754933,255927,112,D,2698.0,2700.0
68,Bahman.Group,20010905,2760.0,2670.0,2760.0,191946110,71078,84,D,2700.0,2760.0
69,Bahman.Group,20010908,2800.0,2759.0,2800.0,199845889,71609,98,D,2760.0,2800.0
70,Bahman.Group,20010909,2870.0,2800.0,2870.0,343699505,120537,89,D,2800.0,2870.0
71,Bahman.Group,20010910,2880.0,2849.0,2849.0,225919893,78754,104,D,2870.0,2849.0
72,Bahman.Group,20010911,2850.0,2810.0,2850.0,341358807,120077,91,D,2849.0,2850.0
73,Bahman.Group,20010912,2800.0,2710.0,2780.0,147428483,53012,57,D,2850.0,2780.0
74,Bahman.Group,20010915,2778.0,2730.0,2778.0,425354598,154005,84,D,2780.0,2778.0
75,Bahman.Group,20010916,2778.0,2648.0,2777.0,1357043449,491842,98,D,2778.0,2777.0
76,Bahman.Group,20010917,2765.0,2640.0,2765.0,1626783274,593854,114,D,2777.0,2765.0
77,Bahman.Group,20010918,2750.0,2720.0,2743.0,731228202,266208,81,D,2765.0,2743.0
78,Bahman.Group,20010919,2750.0,2713.0,2750.0,485446745,178077,123,D,2743.0,2750.0
79,Bahman.Group,20010922,2750.0,2745.0,2746.0,178054239,64771,43,D,2750.0,2746.0
80,Bahman.Group,20010923,2749.0,2699.0,2744.0,567888274,207713,95,D,2746.0,2744.0
81,Bahman.Group,20010924,2738.0,2697.0,2738.0,198816513,73386,65,D,2744.0,2738.0
82,Bahman.Group,20010925,2720.0,2649.0,2720.0,271653548,101015,95,D,2738.0,2720.0
83,Bahman.Group,20010926,2699.0,2660.0,2698.0,32589504,12099,23,D,2720.0,2698.0
84,Bahman.Group,20010929,2693.0,2637.0,2693.0,643667165,241603,112,D,2698.0,2693.0
85,Bahman.Group,20010930,2700.0,2640.0,2700.0,543234036,202054,102,D,2693.0,2700.0
86,Bahman.Group,20011002,2729.0,2699.0,2728.0,119608040,44283,50,D,2700.0,2728.0
87,Bahman.Group,20011003,2720.0,2660.0,2720.0,180610541,66902,65,D,2728.0,2720.0
88,Bahman.Group,20011006,2740.0,2700.0,2740.0,275599259,101378,84,D,2720.0,2740.0
89,Bahman.Group,20011007,2742.0,2715.0,2742.0,159717891,58477,104,D,2740.0,2742.0
90,Bahman.Group,20011008,2742.0,2700.0,2742.0,253200310,93068,61,D,2742.0,2742.0
91,Bahman.Group,20011009,2718.0,2650.0,2718.0,413392684,153143,86,D,2742.0,2718.0
92,Bahman.Group,20011010,2710.0,2699.0,2705.0,23000849,8499,15,D,2718.0,2705.0
93,Bahman.Group,20011013,2699.0,2651.0,2693.0,294291224,109425,93,D,2705.0,2693.0
94,Bahman.Group,20011014,2680.0,2679.0,2680.0,36711175,13700,13,D,2693.0,2680.0
95,Bahman.Group,20011016,2708.0,2670.0,2698.0,3972013203,1476629,109,D,2680.0,2698.0
96,Bahman.Group,20011017,2730.0,2689.0,2690.0,1058283405,393174,56,D,2698.0,2690.0
97,Bahman.Group,20011020,2732.0,2669.0,2731.0,111247722,41353,54,D,2690.0,2731.0
98,Bahman.Group,20011021,2820.0,2735.0,2820.0,145174419,51869,49,D,2731.0,2820.0
99,Bahman.Group,20011022,2850.0,2817.0,2831.0,321514272,113536,74,D,2820.0,2831.0
100,Bahman.Group,20011023,2875.0,2830.0,2875.0,508402360,178240,70,D,2831.0,2875.0
101,Bahman.Group,20011024,2888.0,2845.0,2888.0,133296636,46462,42,D,2875.0,2888.0
102,Bahman.Group,20011027,2950.0,2869.0,2950.0,216004828,74512,64,D,2888.0,2950.0
103,Bahman.Group,20011028,2950.0,2890.0,2950.0,413589565,142173,91,D,2950.0,2950.0
104,Bahman.Group,20011029,2951.0,2932.0,2951.0,321374508,109108,112,D,2950.0,2951.0
105,Bahman.Group,20011030,2952.0,2915.0,2951.0,92263314,31334,42,D,2951.0,2951.0
106,Bahman.Group,20011031,2970.0,2951.0,2953.0,191185068,64720,78,D,2951.0,2953.0
107,Bahman.Group,20011103,3000.0,2953.0,3000.0,170241199,57099,67,D,2953.0,3000.0
108,Bahman.Group,20011104,3000.0,2891.0,2891.0,99310409,33188,51,D,3000.0,2891.0
