,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Insurance.Inv.,20010410,1000.0,1000.0,1000.0,123000,123,4,D,0.0,1000.0
1,Insurance.Inv.,20010415,1000.0,1000.0,1000.0,800000,800,2,D,1000.0,1000.0
2,Insurance.Inv.,20010417,1000.0,1000.0,1000.0,686000,686,2,D,1000.0,1000.0
3,Insurance.Inv.,20010421,1000.0,1000.0,1000.0,100000,100,1,D,1000.0,1000.0
4,Insurance.Inv.,20010424,1000.0,1000.0,1000.0,200000,200,1,D,1000.0,1000.0
5,Insurance.Inv.,20010501,1000.0,1000.0,1000.0,150000,150,1,D,1000.0,1000.0
6,Insurance.Inv.,20010520,1001.0,1000.0,1000.0,266940000,266939,127,D,1000.0,1000.0
7,Insurance.Inv.,20010521,1001.0,1000.0,1000.0,4200500,4200,4,D,1000.0,1000.0
8,Insurance.Inv.,20010523,1000.0,1000.0,1000.0,700000,700,1,D,1000.0,1000.0
9,Insurance.Inv.,20010526,1000.0,1000.0,1000.0,6900000,6900,11,D,1000.0,1000.0
10,Insurance.Inv.,20010527,1000.0,1000.0,1000.0,1300000,1300,4,D,1000.0,1000.0
11,Insurance.Inv.,20010528,1001.0,1000.0,1001.0,1600500,1600,3,D,1000.0,1001.0
12,Insurance.Inv.,20010529,1002.0,1000.0,1000.0,11913116,11900,9,D,1001.0,1000.0
13,Insurance.Inv.,20010530,1000.0,1000.0,1000.0,7110000,7110,12,D,1000.0,1000.0
14,Insurance.Inv.,20010602,1000.0,1000.0,1000.0,18800000,18800,6,D,1000.0,1000.0
15,Insurance.Inv.,20010603,1000.0,1000.0,1000.0,2450000,2450,4,D,1000.0,1000.0
16,Insurance.Inv.,20010606,1000.0,1000.0,1000.0,2100000,2100,4,D,1000.0,1000.0
17,Insurance.Inv.,20010609,1000.0,1000.0,1000.0,20650000,20650,5,D,1000.0,1000.0
18,Insurance.Inv.,20010611,1000.0,1000.0,1000.0,4040000,4040,6,D,1000.0,1000.0
19,Insurance.Inv.,20010612,1000.0,1000.0,1000.0,7200000,7200,10,D,1000.0,1000.0
20,Insurance.Inv.,20010613,1000.0,1000.0,1000.0,8100000,8100,10,D,1000.0,1000.0
21,Insurance.Inv.,20010616,1000.0,1000.0,1000.0,6350000,6350,4,D,1000.0,1000.0
22,Insurance.Inv.,20010617,1000.0,1000.0,1000.0,14640000,14640,11,D,1000.0,1000.0
23,Insurance.Inv.,20010618,1000.0,1000.0,1000.0,2500000,2500,3,D,1000.0,1000.0
24,Insurance.Inv.,20010619,1000.0,1000.0,1000.0,918000,918,1,D,1000.0,1000.0
25,Insurance.Inv.,20010625,1000.0,1000.0,1000.0,1699000,1699,5,D,1000.0,1000.0
26,Insurance.Inv.,20010702,1000.0,1000.0,1000.0,61993000,61993,56,D,1000.0,1000.0
27,Insurance.Inv.,20010723,1000.0,1000.0,1000.0,120000000,120000,59,D,1000.0,1000.0
