,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bank.of.M.E.,20150316,1898.0,1825.0,1867.0,4387300000,2350000,90,D,1000.0,1898.0
1,Bank.of.M.E.,20150317,1941.0,1850.0,1899.0,1406673398,725703,185,D,1867.0,1940.0
2,Bank.of.M.E.,20150318,1974.0,1959.0,1944.0,2041204092,1037060,153,D,1899.0,1972.0
3,Bank.of.M.E.,20150325,1974.0,1901.0,1944.0,27535998,14290,11,D,1944.0,1901.0
4,Bank.of.M.E.,20150328,1970.0,1870.0,1943.0,155493616,81105,54,D,1944.0,1970.0
5,Bank.of.M.E.,20150329,2020.0,1900.0,2013.0,5181090719,2574396,279,D,1943.0,2020.0
6,Bank.of.M.E.,20150330,2080.0,1950.0,2018.0,644915674,316729,35,D,2013.0,2058.0
7,Bank.of.M.E.,20150331,2050.0,2020.0,2019.0,174353869,85370,16,D,2018.0,2030.0
8,Bank.of.M.E.,20150404,2099.0,2099.0,2067.0,1994119267,950033,126,D,2019.0,2099.0
9,Bank.of.M.E.,20150405,2149.0,2149.0,2126.0,2484209616,1155984,84,D,2067.0,2149.0
10,Bank.of.M.E.,20150406,2211.0,2069.0,2132.0,9011582869,4227069,120,D,2126.0,2199.0
11,Bank.of.M.E.,20150407,2195.0,2047.0,2130.0,356418599,168474,24,D,2132.0,2087.0
12,Bank.of.M.E.,20150408,2179.0,2045.0,2125.0,480225020,229011,40,D,2130.0,2150.0
13,Bank.of.M.E.,20150411,2100.0,2040.0,2092.0,1275121927,624817,65,D,2125.0,2040.0
14,Bank.of.M.E.,20150412,2040.0,2009.0,2074.0,927827733,457637,28,D,2092.0,2009.0
15,Bank.of.M.E.,20150413,2069.0,1992.0,2068.0,375311514,185619,29,D,2074.0,1992.0
16,Bank.of.M.E.,20150414,2025.0,1986.0,2056.0,484792134,244094,49,D,2068.0,1986.0
17,Bank.of.M.E.,20150415,1981.0,1974.0,2048.0,341398016,172559,27,D,2056.0,1974.0
18,Bank.of.M.E.,20150418,1967.0,1967.0,2036.0,469959574,238922,14,D,2048.0,1967.0
19,Bank.of.M.E.,20150419,2000.0,1955.0,2011.0,1148200531,583958,53,D,2036.0,1955.0
20,Bank.of.M.E.,20150420,1960.0,1931.0,1993.0,756559735,390295,18,D,2011.0,1931.0
21,Bank.of.M.E.,20150421,1930.0,1914.0,1986.0,256662217,134016,12,D,1993.0,1914.0
22,Bank.of.M.E.,20150422,1920.0,1907.0,1955.0,1239119526,648967,46,D,1986.0,1907.0
23,Bank.of.M.E.,20150425,1949.0,1877.0,1955.0,27551865,14457,4,D,1955.0,1949.0
24,Bank.of.M.E.,20150426,1940.0,1879.0,1943.0,571426277,302430,23,D,1955.0,1882.0
25,Bank.of.M.E.,20150427,1898.0,1882.0,1930.0,675722292,358758,35,D,1943.0,1890.0
26,Bank.of.M.E.,20150428,1894.0,1867.0,1926.0,214312721,114173,28,D,1930.0,1871.0
27,Bank.of.M.E.,20150429,1916.0,1870.0,1920.0,528349870,279445,27,D,1926.0,1890.0
28,Bank.of.M.E.,20150503,1890.0,1868.0,1917.0,192440000,103000,5,D,1920.0,1870.0
29,Bank.of.M.E.,20150504,1920.0,1867.0,1914.0,217711178,116346,23,D,1917.0,1867.0
30,Bank.of.M.E.,20150505,1880.0,1838.0,1901.0,581701890,314570,31,D,1914.0,1842.0
31,Bank.of.M.E.,20150506,1900.0,1825.0,1891.0,982666303,525379,43,D,1901.0,1826.0
32,Bank.of.M.E.,20150509,1910.0,1821.0,1884.0,365288505,199205,17,D,1891.0,1821.0
33,Bank.of.M.E.,20150510,1899.0,1822.0,1883.0,130702098,70087,11,D,1884.0,1899.0
34,Bank.of.M.E.,20150512,1930.0,1860.0,1882.0,953858230,507010,17,D,1883.0,1880.0
35,Bank.of.M.E.,20150513,1899.0,1865.0,1882.0,26713115,14261,9,D,1882.0,1880.0
36,Bank.of.M.E.,20150517,1956.0,1900.0,1896.0,672012118,345084,34,D,1882.0,1945.0
37,Bank.of.M.E.,20150518,1965.0,1900.0,1912.0,1187145915,613015,73,D,1896.0,1950.0
38,Bank.of.M.E.,20150519,1988.0,1950.0,1954.0,2234220926,1133237,87,D,1912.0,1960.0
39,Bank.of.M.E.,20150520,1999.0,1990.0,1996.0,7489505294,3751950,146,D,1954.0,1999.0
40,Bank.of.M.E.,20150524,2000.0,1900.0,1983.0,2266285310,1145823,62,D,1996.0,2000.0
41,Bank.of.M.E.,20150525,2039.0,1950.0,1987.0,914836490,458149,46,D,1983.0,2000.0
42,Bank.of.M.E.,20150526,2001.0,2000.0,2001.0,25025300000,12506400,2,D,1987.0,2000.0
43,Bank.of.M.E.,20150527,1998.0,1950.0,1997.0,37124269500,18591000,93,D,2001.0,1998.0
44,Bank.of.M.E.,20150530,2039.0,1951.0,1998.0,161637214,80490,15,D,1997.0,1990.0
45,Bank.of.M.E.,20150531,2078.0,2000.0,2003.0,675609759,333783,17,D,1998.0,2000.0
46,Bank.of.M.E.,20150601,2000.0,1951.0,2002.0,663485751,332070,8,D,2003.0,2000.0
47,Bank.of.M.E.,20150602,1951.0,1951.0,1996.0,351180000,180000,8,D,2002.0,1951.0
48,Bank.of.M.E.,20150606,2018.0,1990.0,1993.0,2133469774,1071543,22,D,1996.0,1996.0
49,Bank.of.M.E.,20150607,2000.0,1996.0,1998.0,4039969870,2022000,47,D,1993.0,1998.0
50,Bank.of.M.E.,20150608,1980.0,1952.0,1997.0,51633884,26400,7,D,1998.0,1952.0
