,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mellat.Insur.,20120709,2320.0,1320.0,1321.0,189670545907,143576591,3513,D,1000.0,1320.0
1,Mellat.Insur.,20120710,1373.0,1373.0,1373.0,3506350924,2553788,279,D,1321.0,1373.0
2,Mellat.Insur.,20120711,1427.0,1374.0,1415.0,144355889442,102023874,7457,D,1373.0,1377.0
3,Mellat.Insur.,20120714,1380.0,1359.0,1359.0,40604846046,29872784,2557,D,1415.0,1360.0
4,Mellat.Insur.,20120715,1359.0,1324.0,1358.0,111511850214,82141481,874,D,1359.0,1330.0
5,Mellat.Insur.,20120716,1349.0,1321.0,1343.0,106615871336,79400442,433,D,1358.0,1323.0
6,Mellat.Insur.,20120717,1338.0,1290.0,1328.0,64410023856,48489638,294,D,1343.0,1320.0
7,Mellat.Insur.,20120718,1348.0,1302.0,1326.0,2272702894,1714540,284,D,1328.0,1321.0
8,Mellat.Insur.,20120721,1325.0,1310.0,1320.0,787695391,596788,112,D,1326.0,1321.0
9,Mellat.Insur.,20120722,1324.0,1298.0,1320.0,7173276960,5435296,307,D,1320.0,1320.0
10,Mellat.Insur.,20120723,1324.0,1301.0,1320.0,4101983702,3108385,225,D,1320.0,1301.0
11,Mellat.Insur.,20120724,1319.0,1280.0,1295.0,1855528806,1432912,199,D,1320.0,1280.0
12,Mellat.Insur.,20120725,1300.0,1271.0,1286.0,372911411,292149,69,D,1295.0,1280.0
13,Mellat.Insur.,20120728,1289.0,1235.0,1236.0,3916062871,3167340,290,D,1286.0,1235.0
14,Mellat.Insur.,20120729,1230.0,1187.0,1188.0,3287974610,2768820,244,D,1236.0,1187.0
15,Mellat.Insur.,20120730,1208.0,1180.0,1193.0,869312115,728679,89,D,1188.0,1200.0
16,Mellat.Insur.,20120731,1230.0,1196.0,1211.0,541178026,444483,62,D,1193.0,1200.0
17,Mellat.Insur.,20120801,1221.0,1190.0,1212.0,767179314,633019,64,D,1211.0,1190.0
18,Mellat.Insur.,20120804,1200.0,1164.0,1164.0,746551800,641352,69,D,1212.0,1164.0
19,Mellat.Insur.,20120805,1190.0,1118.0,1174.0,2187470978,1863799,182,D,1164.0,1144.0
20,Mellat.Insur.,20120806,1172.0,1128.0,1132.0,1251696667,1105424,93,D,1174.0,1128.0
21,Mellat.Insur.,20120807,1160.0,1093.0,1160.0,62990450200,54324022,79,D,1132.0,1097.0
22,Mellat.Insur.,20120808,1157.0,1114.0,1133.0,1997825230,1764009,129,D,1160.0,1119.0
23,Mellat.Insur.,20120811,1150.0,1116.0,1136.0,472382143,415472,52,D,1133.0,1140.0
24,Mellat.Insur.,20120812,1138.0,1108.0,1115.0,672358602,603255,26,D,1136.0,1110.0
25,Mellat.Insur.,20120813,1101.0,1092.0,1109.0,232383860,211578,30,D,1115.0,1101.0
26,Mellat.Insur.,20120814,1143.0,1091.0,1118.0,636525518,568995,73,D,1109.0,1130.0
27,Mellat.Insur.,20120815,1147.0,1110.0,1122.0,355468289,315596,36,D,1118.0,1110.0
28,Mellat.Insur.,20120818,1149.0,1100.0,1120.0,72615586,65936,15,D,1122.0,1103.0
