,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Mellat.Bank,20090218,1050.0,1050.0,1050.0,347393807250,330851245,800,D,1000.0,1050.0
1,S*Mellat.Bank,20090221,1076.0,1042.0,1050.0,352194689892,335334212,6457,D,1050.0,1057.0
2,S*Mellat.Bank,20090222,1074.0,1055.0,1065.0,8981292784,8435464,603,D,1050.0,1055.0
3,S*Mellat.Bank,20090223,1067.0,1059.0,1061.0,9090532333,8570222,937,D,1065.0,1060.0
4,S*Mellat.Bank,20090225,1064.0,1050.0,1058.0,7863032258,7434309,616,D,1061.0,1060.0
5,S*Mellat.Bank,20090228,1060.0,1050.0,1055.0,4135976082,3924844,341,D,1058.0,1051.0
6,S*Mellat.Bank,20090301,1055.0,1027.0,1050.0,24877673335,23696125,1097,D,1055.0,1042.0
7,S*Mellat.Bank,20090302,1065.0,1027.0,1050.0,11053165184,10528791,612,D,1050.0,1058.0
8,S*Mellat.Bank,20090303,1059.0,1054.0,1053.0,2797050794,2650575,182,D,1050.0,1055.0
9,S*Mellat.Bank,20090304,1060.0,1056.0,1055.0,2436021996,2304953,187,D,1053.0,1056.0
10,S*Mellat.Bank,20090307,1061.0,1059.0,1058.0,3885084432,3667884,213,D,1055.0,1059.0
11,S*Mellat.Bank,20090308,1060.0,1054.0,1058.0,5541590793,5236516,330,D,1058.0,1059.0
12,S*Mellat.Bank,20090309,1063.0,1055.0,1059.0,5081985875,4797840,297,D,1058.0,1058.0
13,S*Mellat.Bank,20090310,1061.0,1050.0,1060.0,3643801356,3438096,205,D,1059.0,1060.0
14,S*Mellat.Bank,20090311,1063.0,1060.0,1060.0,2240352741,2111176,149,D,1060.0,1060.0
15,S*Mellat.Bank,20090314,1062.0,1061.0,1061.0,4244184581,4000145,232,D,1060.0,1061.0
16,S*Mellat.Bank,20090316,1063.0,1058.0,1061.0,4179711793,3937907,226,D,1061.0,1058.0
17,S*Mellat.Bank,20090317,1062.0,1061.0,1061.0,4242529688,3998308,218,D,1061.0,1061.0
18,S*Mellat.Bank,20090318,1064.0,1061.0,1061.0,2325864856,2191144,143,D,1061.0,1063.0
19,S*Mellat.Bank,20090325,1080.0,1063.0,1065.0,2053259183,1916886,111,D,1061.0,1080.0
20,S*Mellat.Bank,20090328,1096.0,1076.0,1079.0,3001934288,2749128,146,D,1065.0,1096.0
21,S*Mellat.Bank,20090329,1111.0,1111.0,1080.0,101123220,91020,5,D,1079.0,1111.0
