,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Butane.Group,20010418,2700.0,2700.0,2700.0,2700000,1000,1,D,2700.0,2700.0
1,Butane.Group,20010422,2698.0,2698.0,2698.0,1079200,400,1,D,2700.0,2698.0
2,Butane.Group,20010430,2564.0,2564.0,2564.0,1282000,500,1,D,2698.0,2564.0
3,Butane.Group,20010501,2489.0,2489.0,2489.0,1244500,500,1,D,2564.0,2489.0
4,Butane.Group,20010502,2488.0,2480.0,2480.0,5542423,2231,10,D,2489.0,2480.0
5,Butane.Group,20010506,2480.0,2480.0,2480.0,1232560,497,2,D,2480.0,2480.0
6,Butane.Group,20010515,2466.0,2465.0,2465.0,2465838,1000,2,D,2480.0,2465.0
7,Butane.Group,20010526,2449.0,2449.0,2449.0,1983690,810,1,D,2465.0,2449.0
8,Butane.Group,20010529,2488.0,2450.0,2488.0,14461629,5877,8,D,2449.0,2488.0
9,Butane.Group,20010602,2612.0,2612.0,2612.0,18320568,7014,3,D,2488.0,2612.0
10,Butane.Group,20010603,2742.0,2680.0,2742.0,18051164,6642,7,D,2612.0,2742.0
11,Butane.Group,20010606,2879.0,2879.0,2879.0,21770998,7562,4,D,2742.0,2879.0
12,Butane.Group,20010609,2879.0,2879.0,2879.0,2562310,890,2,D,2879.0,2879.0
13,Butane.Group,20010613,2885.0,2882.0,2882.0,12554228,4354,6,D,2879.0,2882.0
14,Butane.Group,20010616,2882.0,2881.0,2881.0,25428532,8826,4,D,2882.0,2881.0
15,Butane.Group,20010619,2875.0,2875.0,2875.0,2185000,760,1,D,2881.0,2875.0
16,Butane.Group,20010620,2876.0,2874.0,2874.0,8625000,3000,10,D,2875.0,2874.0
17,Butane.Group,20010623,2780.0,2780.0,2780.0,5587800,2010,2,D,2874.0,2780.0
18,Butane.Group,20010630,2779.0,2779.0,2779.0,2223200,800,1,D,2780.0,2779.0
19,Butane.Group,20010702,2742.0,2742.0,2742.0,13710000,5000,3,D,2779.0,2742.0
20,Butane.Group,20010709,2720.0,2720.0,2720.0,4961280,1824,3,D,2742.0,2720.0
21,Butane.Group,20010805,2000.0,2000.0,2000.0,2000000,1000,1,D,2720.0,2000.0
22,Butane.Group,20010813,2000.0,2000.0,2000.0,4310000,2155,2,D,2000.0,2000.0
23,Butane.Group,20010814,2060.0,2000.0,2060.0,1106000,538,2,D,2000.0,2060.0
24,Butane.Group,20010818,2060.0,2060.0,2060.0,5578480,2708,3,D,2060.0,2060.0
25,Butane.Group,20010819,2060.0,2060.0,2060.0,5150000,2500,4,D,2060.0,2060.0
26,Butane.Group,20010821,2060.0,2060.0,2060.0,319300,155,1,D,2060.0,2060.0
27,Butane.Group,20010825,2060.0,2060.0,2060.0,2109440,1024,2,D,2060.0,2060.0
28,Butane.Group,20011016,1957.0,1957.0,1957.0,592971,303,1,D,2060.0,1957.0
29,Butane.Group,20011023,1957.0,1957.0,1957.0,1984398,1014,1,D,1957.0,1957.0
30,Butane.Group,20011105,1947.0,1947.0,1947.0,552948,284,2,D,1957.0,1947.0
31,Butane.Group,20011110,1900.0,1900.0,1900.0,475000,250,1,D,1947.0,1900.0
32,Butane.Group,20011111,1900.0,1900.0,1900.0,5225000,2750,1,D,1900.0,1900.0
33,Butane.Group,20011112,1900.0,1899.0,1900.0,6493645,3418,5,D,1900.0,1900.0
34,Butane.Group,20011113,1901.0,1900.0,1901.0,2807700,1477,4,D,1900.0,1901.0
35,Butane.Group,20011114,1957.0,1950.0,1957.0,10181186,5203,4,D,1901.0,1957.0
36,Butane.Group,20011118,1959.0,1957.0,1957.0,9594100,4900,3,D,1957.0,1957.0
37,Butane.Group,20011120,1957.0,1957.0,1957.0,1565600,800,2,D,1957.0,1957.0
38,Butane.Group,20011125,2000.0,2000.0,2000.0,1448000,724,4,D,1957.0,2000.0
39,Butane.Group,20011126,2000.0,2000.0,2000.0,280000,140,1,D,2000.0,2000.0
40,Butane.Group,20011203,2050.0,2050.0,2050.0,6547700,3194,2,D,2000.0,2050.0
41,Butane.Group,20011205,2052.0,2052.0,2052.0,3078000,1500,2,D,2050.0,2052.0
42,Butane.Group,20011208,2053.0,2053.0,2053.0,615900,300,1,D,2052.0,2053.0
43,Butane.Group,20011215,2092.0,2052.0,2052.0,2657904,1272,3,D,2053.0,2052.0
44,Butane.Group,20011218,2057.0,2054.0,2054.0,5254824,2556,2,D,2052.0,2054.0
45,Butane.Group,20011222,2056.0,2054.0,2056.0,3974994,1935,2,D,2054.0,2056.0
46,Butane.Group,20011224,2056.0,2056.0,2056.0,80184,39,1,D,2056.0,2056.0
47,Butane.Group,20011226,2100.0,2100.0,2100.0,4410000,2100,2,D,2056.0,2100.0
48,Butane.Group,20011229,2100.0,2100.0,2100.0,1797600,856,2,D,2100.0,2100.0
49,Butane.Group,20011230,2101.0,2101.0,2101.0,420200,200,1,D,2100.0,2101.0
50,Butane.Group,20011231,2105.0,2105.0,2105.0,326275,155,1,D,2101.0,2105.0
51,Butane.Group,20020101,2108.0,2108.0,2108.0,82212,39,1,D,2105.0,2108.0
52,Butane.Group,20020105,2108.0,2107.0,2107.0,653301,310,3,D,2108.0,2107.0
53,Butane.Group,20020106,2102.0,2102.0,2102.0,245934,117,3,D,2107.0,2102.0
54,Butane.Group,20020108,2205.0,2205.0,2205.0,6615000,3000,1,D,2102.0,2205.0
55,Butane.Group,20020112,2206.0,2205.0,2205.0,2205083,1000,2,D,2205.0,2205.0
56,Butane.Group,20020226,1600.0,1600.0,1600.0,320000,200,1,D,2205.0,1600.0
57,Butane.Group,20020304,1600.0,1600.0,1600.0,9920000,6200,3,D,1600.0,1600.0
58,Butane.Group,20020310,1600.0,1599.0,1599.0,4365532,2729,2,D,1600.0,1599.0
59,Butane.Group,20020312,1598.0,1598.0,1598.0,2556800,1600,2,D,1599.0,1598.0
60,Butane.Group,20020313,1600.0,1599.0,1600.0,4957868,3100,2,D,1598.0,1600.0
61,Butane.Group,20020318,1596.0,1596.0,1596.0,1596000,1000,1,D,1600.0,1596.0
62,Butane.Group,20020327,1596.0,1596.0,1596.0,798000,500,1,D,1596.0,1596.0
63,Butane.Group,20020407,1590.0,1590.0,1590.0,7950000,5000,1,D,1596.0,1590.0
64,Butane.Group,20020408,1590.0,1590.0,1590.0,4755690,2991,1,D,1590.0,1590.0
65,Butane.Group,20020409,1600.0,1596.0,1600.0,3087610,1930,5,D,1590.0,1600.0
66,Butane.Group,20020417,1599.0,1520.0,1520.0,3573610,2310,4,D,1600.0,1520.0
67,Butane.Group,20020420,1520.0,1520.0,1520.0,20489600,13480,5,D,1520.0,1520.0
68,Butane.Group,20020423,1520.0,1520.0,1520.0,3952000,2600,1,D,1520.0,1520.0
69,Butane.Group,20020427,1521.0,1521.0,1521.0,57798,38,1,D,1520.0,1521.0
