,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Parsian.Bank,20041130,6600.0,6600.0,6600.0,31550640000,4780400,4769,D,6600.0,6600.0
1,Parsian.Bank,20041201,6930.0,6930.0,6930.0,32051250000,4625000,3647,D,6600.0,6930.0
2,Parsian.Bank,20041204,7276.0,7200.0,7275.0,172953437614,23777030,5904,D,6930.0,7275.0
3,Parsian.Bank,20041205,7638.0,7301.0,7593.0,70174793585,9220922,1828,D,7275.0,7593.0
4,Parsian.Bank,20041206,7970.0,7570.0,7918.0,34135342932,4311320,2767,D,7593.0,7918.0
5,Parsian.Bank,20041207,8299.0,7900.0,8161.0,76573751229,9425576,2044,D,7918.0,8161.0
6,Parsian.Bank,20041211,8140.0,7872.0,7992.0,23717929419,2967650,1442,D,8161.0,7992.0
7,Parsian.Bank,20041212,7970.0,7593.0,7688.0,47128937643,6144832,1186,D,7992.0,7688.0
8,Parsian.Bank,20041213,7580.0,7340.0,7436.0,34246180302,4611909,1073,D,7688.0,7436.0
9,Parsian.Bank,20041214,7479.0,7350.0,7386.0,35623211481,4822772,938,D,7436.0,7386.0
10,Parsian.Bank,20041215,7428.0,7253.0,7336.0,36721785049,5001933,848,D,7386.0,7336.0
11,Parsian.Bank,20041218,7400.0,7200.0,7287.0,18615331255,2554458,713,D,7336.0,7287.0
12,Parsian.Bank,20041219,7258.0,7150.0,7196.0,55183313760,7675316,708,D,7287.0,7196.0
13,Parsian.Bank,20041220,7168.0,7022.0,7065.0,42566060572,6031586,659,D,7196.0,7065.0
14,Parsian.Bank,20041221,7161.0,6906.0,7020.0,30455194335,4339963,869,D,7065.0,7020.0
15,Parsian.Bank,20041222,7320.0,7020.0,7208.0,17338974239,2405216,614,D,7020.0,7208.0
16,Parsian.Bank,20041225,7329.0,7155.0,7226.0,10870450411,1503828,599,D,7208.0,7226.0
17,Parsian.Bank,20041226,7288.0,7151.0,7238.0,16613699498,2295962,667,D,7226.0,7238.0
18,Parsian.Bank,20041227,7300.0,7180.0,7258.0,39711663960,5495194,716,D,7238.0,7258.0
19,Parsian.Bank,20041228,7298.0,7190.0,7242.0,11872259893,1639242,566,D,7258.0,7242.0
20,Parsian.Bank,20041229,7210.0,7099.0,7169.0,16173651350,2256755,1681,D,7242.0,7169.0
21,Parsian.Bank,20050101,7170.0,7023.0,7081.0,43389892670,6133906,719,D,7169.0,7081.0
22,Parsian.Bank,20050102,7200.0,7030.0,7111.0,30462588510,4270030,6746,D,7081.0,7111.0
23,Parsian.Bank,20050103,7250.0,7072.0,7164.0,26117459423,3647266,830,D,7111.0,7164.0
24,Parsian.Bank,20050104,7160.0,7060.0,7098.0,19778976103,2786543,665,D,7164.0,7098.0
25,Parsian.Bank,20050105,7138.0,7060.0,7080.0,14875273503,2101025,579,D,7098.0,7080.0
26,Parsian.Bank,20050108,7120.0,7040.0,7065.0,17105319705,2421626,650,D,7080.0,7065.0
27,Parsian.Bank,20050109,7060.0,7002.0,7027.0,21088516517,3000940,746,D,7065.0,7027.0
28,Parsian.Bank,20050110,7009.0,6900.0,6981.0,36555148498,5228045,573,D,7027.0,6981.0
29,Parsian.Bank,20050111,7020.0,6902.0,6960.0,38102966990,5458824,623,D,6981.0,6960.0
30,Parsian.Bank,20050112,7000.0,6750.0,6896.0,18160730749,2633246,563,D,6960.0,6896.0
31,Parsian.Bank,20050115,6799.0,6552.0,6594.0,9794365037,1490306,394,D,6896.0,6594.0
32,Parsian.Bank,20050116,6900.0,6290.0,6725.0,64441234642,9581529,1070,D,6594.0,6725.0
33,Parsian.Bank,20050117,6850.0,6550.0,6782.0,68999711391,10180421,646,D,6725.0,6782.0
34,Parsian.Bank,20050118,6799.0,6552.0,6710.0,59650713460,8889359,676,D,6782.0,6710.0
35,Parsian.Bank,20050119,6849.0,6400.0,6718.0,126869564740,19167699,674,D,6710.0,6718.0
36,Parsian.Bank,20050122,6750.0,6600.0,6705.0,18237093333,2719668,453,D,6718.0,6705.0
37,Parsian.Bank,20050123,6730.0,6690.0,6709.0,18856191562,2810391,602,D,6705.0,6709.0
38,Parsian.Bank,20050124,6720.0,6600.0,6709.0,17827832483,2657152,634,D,6709.0,6709.0
39,Parsian.Bank,20050125,6727.0,6710.0,6712.0,28401478330,4229742,4848,D,6709.0,6712.0
40,Parsian.Bank,20050126,6717.0,6661.0,6710.0,26444642999,3941730,1183,D,6712.0,6710.0
41,Parsian.Bank,20050130,6715.0,6655.0,6710.0,36191333941,5393413,1725,D,6710.0,6710.0
42,Parsian.Bank,20050131,6750.0,6690.0,6712.0,34053793320,5073193,1240,D,6710.0,6712.0
43,Parsian.Bank,20050201,6730.0,6650.0,6711.0,36317913963,5411302,1553,D,6712.0,6711.0
44,Parsian.Bank,20050202,6730.0,6698.0,6708.0,24078007672,3589141,1259,D,6711.0,6708.0
45,Parsian.Bank,20050205,6710.0,6697.0,6705.0,29357763747,4378262,1299,D,6708.0,6705.0
46,Parsian.Bank,20050206,6700.0,6500.0,6662.0,18271978670,2742391,994,D,6705.0,6662.0
47,Parsian.Bank,20050207,6613.0,6329.0,6613.0,1582246288,249178,68,D,6662.0,6613.0
48,Parsian.Bank,20050208,6566.0,6283.0,6566.0,1424742193,226761,61,D,6613.0,6566.0
49,Parsian.Bank,20050209,6547.0,6238.0,6547.0,563294490,90300,27,D,6566.0,6547.0
50,Parsian.Bank,20050212,6532.0,6220.0,6532.0,441374320,70960,19,D,6547.0,6532.0
51,Parsian.Bank,20050213,6519.0,6206.0,6519.0,374448346,60336,23,D,6532.0,6519.0
52,Parsian.Bank,20050214,6510.0,6194.0,6510.0,252216646,40719,34,D,6519.0,6510.0
53,Parsian.Bank,20050215,6505.0,6185.0,6505.0,145703245,23557,22,D,6510.0,6505.0
54,Parsian.Bank,20050216,6488.0,6180.0,6488.0,497258240,80462,44,D,6505.0,6488.0
55,Parsian.Bank,20050221,6164.0,6164.0,6164.0,9894354176,1605184,907,D,6488.0,6164.0
56,Parsian.Bank,20050222,6157.0,5856.0,6157.0,198533122,33902,36,D,6164.0,6157.0
57,Parsian.Bank,20050223,6009.0,5850.0,6009.0,4494498090,768290,229,D,6157.0,6009.0
58,Parsian.Bank,20050226,5958.0,5709.0,5958.0,1531384650,268240,100,D,6009.0,5958.0
59,Parsian.Bank,20050227,5937.0,5661.0,5937.0,630066399,111299,39,D,5958.0,5937.0
60,Parsian.Bank,20050228,5917.0,5641.0,5917.0,598405681,106081,93,D,5937.0,5917.0
61,Parsian.Bank,20050301,5728.0,5622.0,5728.0,5748406108,1022484,295,D,5917.0,5728.0
62,Parsian.Bank,20050302,5442.0,5442.0,5442.0,9287768886,1706683,267,D,5728.0,5442.0
63,Parsian.Bank,20050305,5417.0,5170.0,5417.0,743851730,143878,50,D,5442.0,5417.0
64,Parsian.Bank,20050306,5401.0,5147.0,5401.0,484633766,94158,40,D,5417.0,5401.0
65,Parsian.Bank,20050307,5381.0,5131.0,5381.0,582473620,113520,91,D,5401.0,5381.0
66,Parsian.Bank,20050308,5368.0,5112.0,5368.0,373515952,73066,60,D,5381.0,5368.0
67,Parsian.Bank,20050309,5353.0,5100.0,5353.0,429096130,84136,48,D,5368.0,5353.0
68,Parsian.Bank,20050312,5321.0,5086.0,5321.0,971636876,191041,167,D,5353.0,5321.0
69,Parsian.Bank,20050313,5309.0,5055.0,5309.0,111200313360,21593555,52,D,5321.0,5309.0
70,Parsian.Bank,20050314,5280.0,5044.0,5280.0,875242284,173521,64,D,5309.0,5280.0
