,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Int..Const.,20050118,6013.0,6000.0,6000.0,32343390000,5390400,5079,D,0.0,6000.0
1,Int..Const.,20050119,6300.0,6300.0,6300.0,5040000000,800000,1103,D,6000.0,6300.0
2,Int..Const.,20050122,6615.0,6615.0,6615.0,13230000000,2000000,2169,D,6300.0,6615.0
3,Int..Const.,20050123,6945.0,6945.0,6945.0,6945000000,1000000,1058,D,6615.0,6945.0
4,Int..Const.,20050124,7292.0,7010.0,7288.0,50784420850,6968093,2783,D,6945.0,7288.0
5,Int..Const.,20050125,7250.0,6975.0,7085.0,9334739780,1317353,1501,D,7288.0,7085.0
6,Int..Const.,20050126,7230.0,6733.0,7095.0,15484995560,2182370,1593,D,7085.0,7095.0
7,Int..Const.,20050130,7200.0,6802.0,7109.0,4208424116,591507,424,D,7095.0,7109.0
8,Int..Const.,20050131,7180.0,6754.0,7120.0,7843898475,1101663,676,D,7109.0,7120.0
9,Int..Const.,20050201,7149.0,7000.0,7129.0,3994848895,559953,296,D,7120.0,7129.0
10,Int..Const.,20050202,7160.0,6805.0,7139.0,5290748902,740956,312,D,7129.0,7139.0
11,Int..Const.,20050205,7151.0,7080.0,7139.0,2681011041,375454,162,D,7139.0,7139.0
12,Int..Const.,20050206,7150.0,7006.0,7139.0,6254653993,876111,264,D,7139.0,7139.0
13,Int..Const.,20050207,7150.0,6900.0,7141.0,7591254146,1062945,330,D,7139.0,7141.0
14,Int..Const.,20050208,7151.0,7100.0,7144.0,2666170655,372975,172,D,7141.0,7144.0
15,Int..Const.,20050209,7151.0,7145.0,7145.0,1327768370,185702,83,D,7144.0,7145.0
16,Int..Const.,20050212,7162.0,7144.0,7156.0,4747777805,663185,137,D,7145.0,7156.0
17,Int..Const.,20050213,7513.0,7150.0,7332.0,3918683372,527775,192,D,7156.0,7332.0
18,Int..Const.,20050214,7500.0,7181.0,7344.0,874410747,117932,81,D,7332.0,7344.0
19,Int..Const.,20050215,7401.0,7001.0,7344.0,1696404368,230953,118,D,7344.0,7344.0
20,Int..Const.,20050216,7410.0,7319.0,7349.0,796484017,107810,61,D,7344.0,7349.0
21,Int..Const.,20050221,7345.0,6982.0,7345.0,59955304,8542,16,D,7349.0,7345.0
22,Int..Const.,20050222,7338.0,6978.0,7338.0,97276920,13940,8,D,7345.0,7338.0
23,Int..Const.,20050223,7274.0,6972.0,7274.0,964740744,138358,92,D,7338.0,7274.0
24,Int..Const.,20050226,7263.0,6913.0,7263.0,223026795,31764,35,D,7274.0,7263.0
25,Int..Const.,20050227,7256.0,7003.0,7256.0,160435115,22824,30,D,7263.0,7256.0
26,Int..Const.,20050228,7251.0,6980.0,7251.0,101387518,14427,28,D,7256.0,7251.0
27,Int..Const.,20050301,7234.0,6890.0,7234.0,299405762,43114,58,D,7251.0,7234.0
28,Int..Const.,20050302,7300.0,6902.0,7225.0,373489408,52546,49,D,7234.0,7225.0
29,Int..Const.,20050305,7224.0,6900.0,7224.0,10581817,1499,7,D,7225.0,7224.0
30,Int..Const.,20050306,7202.0,6863.0,7202.0,325062149,47340,39,D,7224.0,7202.0
31,Int..Const.,20050307,7196.0,6842.0,7196.0,95310098,13899,18,D,7202.0,7196.0
32,Int..Const.,20050309,7193.0,6837.0,7193.0,43965470,6430,12,D,7196.0,7193.0
33,Int..Const.,20050312,7191.0,6834.0,7191.0,20881440,3055,3,D,7193.0,7191.0
34,Int..Const.,20050313,7191.0,6832.0,7191.0,1260678,184,2,D,7191.0,7191.0
35,Int..Const.,20050314,7191.0,6832.0,7191.0,3043830,445,3,D,7191.0,7191.0
36,Int..Const.,20050315,7181.0,6832.0,7181.0,138269506,20238,7,D,7191.0,7181.0
37,Int..Const.,20050316,7148.0,6822.0,7148.0,614286838,89167,76,D,7181.0,7148.0
38,Int..Const.,20050326,7147.0,7100.0,7147.0,9991600,1405,3,D,7148.0,7147.0
39,Int..Const.,20050327,7146.0,7100.0,7146.0,7029460,990,2,D,7147.0,7146.0
40,Int..Const.,20050328,7143.0,6790.0,7143.0,40507974,5938,8,D,7146.0,7143.0
41,Int..Const.,20050329,7138.0,6880.0,7138.0,93474147,13533,19,D,7143.0,7138.0
42,Int..Const.,20050330,7136.0,6940.0,7136.0,59330966,8530,10,D,7138.0,7136.0
43,Int..Const.,20050403,7125.0,6851.0,7125.0,236585509,34373,34,D,7136.0,7125.0
44,Int..Const.,20050404,7115.0,6844.0,7115.0,179771674,26261,18,D,7125.0,7115.0
45,Int..Const.,20050405,7106.0,6860.0,7106.0,259442159,37468,27,D,7115.0,7106.0
46,Int..Const.,20050406,7097.0,6800.0,7097.0,175342128,25595,36,D,7106.0,7097.0
47,Int..Const.,20050410,7085.0,6801.0,7085.0,253952668,37034,41,D,7097.0,7085.0
48,Int..Const.,20050411,7200.0,6801.0,7078.0,854060624,121245,99,D,7085.0,7078.0
49,Int..Const.,20050412,7431.0,7137.0,7137.0,1162551351,157535,84,D,7078.0,7137.0
50,Int..Const.,20050413,7493.0,7159.0,7159.0,475061013,64052,41,D,7137.0,7159.0
51,Int..Const.,20050416,7160.0,6998.0,7153.0,607016369,85399,46,D,7159.0,7153.0
52,Int..Const.,20050417,7145.0,7000.0,7145.0,319723026,45488,41,D,7153.0,7145.0
53,Int..Const.,20050418,7141.0,6900.0,7141.0,100784450,14542,14,D,7145.0,7141.0
54,Int..Const.,20050419,7136.0,6803.0,7136.0,68424823,10033,18,D,7141.0,7136.0
55,Int..Const.,20050420,7109.0,6780.0,7109.0,420672370,61882,38,D,7136.0,7109.0
56,Int..Const.,20050423,7105.0,6801.0,7105.0,80715292,11774,16,D,7109.0,7105.0
57,Int..Const.,20050424,7085.0,6800.0,7085.0,363073762,53265,31,D,7105.0,7085.0
58,Int..Const.,20050425,7065.0,6732.0,7065.0,345477215,51001,28,D,7085.0,7065.0
59,Int..Const.,20050427,7053.0,6734.0,7053.0,224355840,33108,30,D,7065.0,7053.0
60,Int..Const.,20050430,7040.0,6757.0,7040.0,247753891,36598,24,D,7053.0,7040.0
61,Int..Const.,20050501,7015.0,6688.0,7015.0,396602148,59136,30,D,7040.0,7015.0
62,Int..Const.,20050502,7007.0,6666.0,7007.0,113153194,16962,9,D,7015.0,7007.0
63,Int..Const.,20050503,6991.0,6710.0,6991.0,336578043,49805,36,D,7007.0,6991.0
64,Int..Const.,20050504,6990.0,6756.0,6985.0,2002087102,288503,25,D,6991.0,6985.0
65,Int..Const.,20050507,6981.0,6700.0,6981.0,74046610,11040,10,D,6985.0,6981.0
66,Int..Const.,20050508,6969.0,6700.0,6969.0,225861158,33687,24,D,6981.0,6969.0
67,Int..Const.,20050509,6954.0,6680.0,6954.0,284134558,42434,18,D,6969.0,6954.0
68,Int..Const.,20050510,6951.0,6750.0,6951.0,75490837,11126,14,D,6954.0,6951.0
69,Int..Const.,20050511,7000.0,6850.0,6950.0,423990858,61036,41,D,6951.0,6950.0
70,Int..Const.,20050514,6942.0,6652.0,6942.0,241909320,35710,22,D,6950.0,6942.0
71,Int..Const.,20050515,6941.0,6670.0,6941.0,16516320,2470,7,D,6942.0,6941.0
72,Int..Const.,20050516,6914.0,6600.0,6914.0,535613207,80249,58,D,6941.0,6914.0
73,Int..Const.,20050517,7098.0,6650.0,6890.0,1615219735,236276,131,D,6914.0,6890.0
74,Int..Const.,20050518,6900.0,6550.0,6869.0,680763376,101129,53,D,6890.0,6869.0
75,Int..Const.,20050521,6861.0,6660.0,6861.0,259671800,38668,20,D,6869.0,6861.0
76,Int..Const.,20050522,6860.0,6738.0,6860.0,31062944,4590,5,D,6861.0,6860.0
77,Int..Const.,20050523,6851.0,6597.0,6851.0,393603759,58373,38,D,6860.0,6851.0
78,Int..Const.,20050524,6832.0,6509.0,6832.0,453730462,68374,32,D,6851.0,6832.0
79,Int..Const.,20050525,6831.0,6699.0,6831.0,33565002,5010,5,D,6832.0,6831.0
80,Int..Const.,20050528,6819.0,6491.0,6819.0,195913140,29980,21,D,6831.0,6819.0
81,Int..Const.,20050529,6785.0,6479.0,6785.0,521374581,80389,43,D,6819.0,6785.0
82,Int..Const.,20050530,6763.0,6446.0,6763.0,325835444,50544,24,D,6785.0,6763.0
83,Int..Const.,20050531,6735.0,6425.0,6735.0,413194850,64310,27,D,6763.0,6735.0
84,Int..Const.,20050601,6673.0,6399.0,6673.0,937417846,146494,59,D,6735.0,6673.0
85,Int..Const.,20050606,6637.0,6340.0,6637.0,538966370,85010,45,D,6673.0,6637.0
86,Int..Const.,20050607,6632.0,6306.0,6632.0,64242482,10187,6,D,6637.0,6632.0
87,Int..Const.,20050608,6598.0,6301.0,6598.0,514309493,81623,27,D,6632.0,6598.0
88,Int..Const.,20050612,6599.0,6269.0,6582.0,260893649,41425,29,D,6598.0,6582.0
89,Int..Const.,20050613,6561.0,6253.0,6561.0,317624215,50795,25,D,6582.0,6561.0
90,Int..Const.,20050614,6555.0,6233.0,6555.0,84983082,13629,13,D,6561.0,6555.0
91,Int..Const.,20050615,6513.0,6228.0,6513.0,627891766,100817,40,D,6555.0,6513.0
92,Int..Const.,20050618,6508.0,6188.0,6508.0,61672808,9966,9,D,6513.0,6508.0
93,Int..Const.,20050619,6479.0,6183.0,6479.0,431857799,69837,33,D,6508.0,6479.0
94,Int..Const.,20050620,6457.0,5500.0,6457.0,1375322460446,250052381,22,D,6479.0,6457.0
95,Int..Const.,20050621,6442.0,6135.0,6442.0,224285442,36555,20,D,6457.0,6442.0
96,Int..Const.,20050622,6413.0,6120.0,6413.0,438344730,71624,34,D,6442.0,6413.0
97,Int..Const.,20050625,6409.0,6093.0,6409.0,60994090,10010,10,D,6413.0,6409.0
98,Int..Const.,20050626,6397.0,6089.0,6397.0,173893183,28557,19,D,6409.0,6397.0
99,Int..Const.,20050627,6386.0,6078.0,6386.0,161228108,26526,12,D,6397.0,6386.0
100,Int..Const.,20050628,6358.0,6067.0,6358.0,414803700,68370,22,D,6386.0,6358.0
101,Int..Const.,20050629,6339.0,6041.0,6339.0,279127385,46205,19,D,6358.0,6339.0
102,Int..Const.,20050702,6319.0,6023.0,6319.0,298665461,49587,29,D,6339.0,6319.0
103,Int..Const.,20050703,6302.0,6004.0,6302.0,249036892,41478,19,D,6319.0,6302.0
