,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bime.Ma.Co.,20150713,2110.0,2010.0,2083.0,22904730000,10998000,302,D,1000.0,2110.0
1,Bime.Ma.Co.,20150714,2187.0,2187.0,2187.0,30089555190,13758370,321,D,2083.0,2187.0
2,Bime.Ma.Co.,20150715,2296.0,2296.0,2285.0,824034400,358900,24,D,2187.0,2296.0
3,Bime.Ma.Co.,20150720,2399.0,2303.0,2395.0,37892667981,15824618,873,D,2285.0,2390.0
4,Bime.Ma.Co.,20150721,2420.0,2302.0,2348.0,5540421787,2359657,212,D,2395.0,2320.0
5,Bime.Ma.Co.,20150722,2365.0,2237.0,2276.0,3751784025,1648682,187,D,2348.0,2250.0
6,Bime.Ma.Co.,20150725,2353.0,2230.0,2260.0,2786405396,1233072,182,D,2276.0,2297.0
7,Bime.Ma.Co.,20150726,2373.0,2300.0,2359.0,3364992517,1426599,132,D,2260.0,2373.0
8,Bime.Ma.Co.,20150727,2449.0,2322.0,2384.0,3615849054,1516647,166,D,2359.0,2363.0
9,Bime.Ma.Co.,20150728,2418.0,2280.0,2374.0,1177603628,495947,109,D,2384.0,2280.0
10,Bime.Ma.Co.,20150729,2399.0,2290.0,2307.0,3879970723,1681653,151,D,2374.0,2290.0
11,Bime.Ma.Co.,20150801,2350.0,2280.0,2301.0,4437876841,1929039,144,D,2307.0,2294.0
12,Bime.Ma.Co.,20150802,2416.0,2300.0,2397.0,10003983024,4172764,297,D,2301.0,2416.0
13,Bime.Ma.Co.,20150803,2489.0,2400.0,2440.0,5768625139,2363770,279,D,2397.0,2401.0
14,Bime.Ma.Co.,20150804,2448.0,2342.0,2364.0,1810174495,765700,101,D,2440.0,2398.0
15,Bime.Ma.Co.,20150805,2420.0,2350.0,2381.0,2064371720,867188,178,D,2364.0,2355.0
