,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Chin.Chin,20010530,1800.0,1600.0,1800.0,3624000,2140,3,D,1600.0,1800.0
1,Chin.Chin,20010602,1800.0,1799.0,1800.0,150672047,83753,17,D,1800.0,1800.0
2,Chin.Chin,20010603,1800.0,1800.0,1800.0,1859400,1033,1,D,1800.0,1800.0
3,Chin.Chin,20010612,1800.0,1782.0,1800.0,214972200,120429,22,D,1800.0,1800.0
4,Chin.Chin,20010613,1800.0,1800.0,1800.0,360000,200,1,D,1800.0,1800.0
5,Chin.Chin,20010616,1800.0,1782.0,1800.0,41430168,23224,12,D,1800.0,1800.0
6,Chin.Chin,20010708,1500.0,1500.0,1500.0,3000000,2000,1,D,1800.0,1500.0
7,Chin.Chin,20010709,1500.0,1500.0,1500.0,997500,665,2,D,1500.0,1500.0
8,Chin.Chin,20010711,1500.0,1500.0,1500.0,16860000,11240,3,D,1500.0,1500.0
9,Chin.Chin,20010714,1500.0,1500.0,1500.0,2149500,1433,1,D,1500.0,1500.0
10,Chin.Chin,20010715,1500.0,1500.0,1500.0,17625000,11750,4,D,1500.0,1500.0
11,Chin.Chin,20010716,1500.0,1500.0,1500.0,17566500,11711,5,D,1500.0,1500.0
12,Chin.Chin,20010718,1500.0,1499.0,1500.0,479720,320,2,D,1500.0,1500.0
13,Chin.Chin,20010722,1501.0,1500.0,1500.0,20011000,13340,5,D,1500.0,1500.0
14,Chin.Chin,20010814,1500.0,1500.0,1500.0,180000,120,2,D,1500.0,1500.0
15,Chin.Chin,20010815,1515.0,1515.0,1515.0,1515000,1000,2,D,1500.0,1515.0
16,Chin.Chin,20010818,1530.0,1530.0,1530.0,6260760,4092,4,D,1515.0,1530.0
17,Chin.Chin,20010822,1530.0,1530.0,1530.0,32582880,21296,3,D,1530.0,1530.0
18,Chin.Chin,20010826,1545.0,1545.0,1545.0,370800,240,3,D,1530.0,1545.0
19,Chin.Chin,20010828,1560.0,1560.0,1560.0,780000,500,1,D,1545.0,1560.0
20,Chin.Chin,20010829,1575.0,1575.0,1575.0,5080950,3226,5,D,1560.0,1575.0
21,Chin.Chin,20010902,1580.0,1580.0,1580.0,1580000,1000,1,D,1575.0,1580.0
