,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Daroupakhsh,20030803,1502.0,1500.0,1500.0,435280000,290000,25,D,1502.0,1500.0
1,Daroupakhsh,20030804,1556.0,1500.0,1500.0,1009794225,669553,249,D,1500.0,1500.0
2,Daroupakhsh,20030805,1500.0,1500.0,1500.0,158170500,105447,19,D,1500.0,1500.0
3,Daroupakhsh,20030806,1500.0,1500.0,1500.0,697500000,465000,58,D,1500.0,1500.0
4,Daroupakhsh,20030809,1500.0,1500.0,1500.0,330000000,220000,34,D,1500.0,1500.0
5,Daroupakhsh,20030811,1500.0,1500.0,1500.0,19852500,13235,4,D,1500.0,1500.0
6,Daroupakhsh,20030820,1575.0,1575.0,1575.0,236250000,150000,43,D,1500.0,1575.0
7,Daroupakhsh,20030824,1653.0,1653.0,1653.0,16530000,10000,2,D,1575.0,1653.0
8,Daroupakhsh,20030826,1735.0,1735.0,1735.0,86750000,50000,25,D,1653.0,1735.0
9,Daroupakhsh,20030827,1821.0,1821.0,1821.0,91050000,50000,10,D,1735.0,1821.0
10,Daroupakhsh,20030830,1912.0,1821.0,1821.0,3823909,2000,2,D,1821.0,1821.0
11,Daroupakhsh,20030901,1912.0,1912.0,1912.0,47587768,24889,14,D,1821.0,1912.0
12,Daroupakhsh,20030902,2007.0,2007.0,2007.0,84294000,42000,16,D,1912.0,2007.0
13,Daroupakhsh,20030903,2107.0,2107.0,2107.0,27441568,13024,6,D,2007.0,2107.0
14,Daroupakhsh,20030906,2212.0,2212.0,2212.0,55300000,25000,9,D,2107.0,2212.0
15,Daroupakhsh,20030907,2322.0,2322.0,2322.0,372899268,160594,74,D,2212.0,2322.0
16,Daroupakhsh,20030908,2438.0,2218.0,2313.0,173304202,74914,36,D,2322.0,2313.0
17,Daroupakhsh,20030909,2428.0,2428.0,2428.0,26088860,10745,5,D,2313.0,2428.0
18,Daroupakhsh,20030913,2549.0,2548.0,2549.0,241431927,94723,44,D,2428.0,2549.0
19,Daroupakhsh,20030914,2676.0,2549.0,2640.0,267334420,101265,46,D,2549.0,2640.0
20,Daroupakhsh,20030915,2750.0,2676.0,2711.0,131974700,48683,21,D,2640.0,2711.0
21,Daroupakhsh,20030916,2820.0,2757.0,2811.0,82183610,29229,10,D,2711.0,2811.0
22,Daroupakhsh,20030917,2950.0,2820.0,2940.0,90322350,30720,16,D,2811.0,2940.0
23,Daroupakhsh,20030920,3078.0,3000.0,3068.0,167570680,54610,20,D,2940.0,3068.0
24,Daroupakhsh,20030921,3221.0,3213.0,3213.0,64452130,20010,9,D,3068.0,3213.0
25,Daroupakhsh,20030922,3373.0,3312.0,3312.0,43882120,13010,3,D,3213.0,3312.0
26,Daroupakhsh,20030923,3477.0,3477.0,3477.0,121695000,35000,11,D,3312.0,3477.0
27,Daroupakhsh,20030927,3650.0,3641.0,3641.0,73036410,20010,11,D,3477.0,3641.0
28,Daroupakhsh,20030928,3823.0,3823.0,3823.0,688870193,180191,56,D,3641.0,3823.0
29,Daroupakhsh,20030929,3823.0,3632.0,3757.0,342990336,91287,59,D,3823.0,3757.0
30,Daroupakhsh,20030930,3570.0,3570.0,3570.0,96100830,26919,14,D,3757.0,3570.0
31,Daroupakhsh,20031001,3480.0,3392.0,3480.0,35926180,10589,9,D,3570.0,3480.0
