,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Farabi.Pharm.,20010630,5000.0,5000.0,5000.0,5000000,1000,1,D,5000.0,5000.0
1,Farabi.Pharm.,20010709,5250.0,5250.0,5250.0,9948750,1895,2,D,5000.0,5250.0
2,Farabi.Pharm.,20010714,5512.0,5512.0,5512.0,11024000,2000,5,D,5250.0,5512.0
3,Farabi.Pharm.,20010715,5787.0,5787.0,5787.0,21556575,3725,7,D,5512.0,5787.0
4,Farabi.Pharm.,20010820,6339.0,6139.0,6339.0,9399500,1500,3,D,5787.0,6339.0
5,Farabi.Pharm.,20010826,6402.0,6402.0,6402.0,12240624,1912,7,D,6339.0,6402.0
6,Farabi.Pharm.,20010827,6466.0,6466.0,6466.0,18104800,2800,7,D,6402.0,6466.0
7,Farabi.Pharm.,20010828,6530.0,6530.0,6530.0,65300000,10000,1,D,6466.0,6530.0
8,Farabi.Pharm.,20010829,6595.0,6595.0,6595.0,13436230920,2037336,91,D,6530.0,6595.0
9,Farabi.Pharm.,20010901,6660.0,6660.0,6660.0,47539080,7138,1,D,6595.0,6660.0
10,Farabi.Pharm.,20010902,6726.0,6726.0,6726.0,26399550,3925,8,D,6660.0,6726.0
11,Farabi.Pharm.,20010903,6793.0,6793.0,6793.0,20379000,3000,19,D,6726.0,6793.0
12,Farabi.Pharm.,20010904,6860.0,6860.0,6860.0,7203000,1050,2,D,6793.0,6860.0
13,Farabi.Pharm.,20010908,6928.0,6928.0,6928.0,17576336,2537,13,D,6860.0,6928.0
14,Farabi.Pharm.,20010909,6997.0,6997.0,6997.0,20788087,2971,4,D,6928.0,6997.0
15,Farabi.Pharm.,20010910,7066.0,7066.0,7066.0,10916970,1545,8,D,6997.0,7066.0
16,Farabi.Pharm.,20010911,7136.0,7136.0,7136.0,9276800,1300,3,D,7066.0,7136.0
17,Farabi.Pharm.,20010912,7207.0,7065.0,7207.0,1083860491,151389,123,D,7136.0,7207.0
18,Farabi.Pharm.,20010915,7279.0,7279.0,7279.0,1674170,230,1,D,7207.0,7279.0
19,Farabi.Pharm.,20010916,8000.0,7351.0,7351.0,24622668208,3079408,23,D,7279.0,7351.0
20,Farabi.Pharm.,20010917,7424.0,7424.0,7424.0,860233728,115872,79,D,7351.0,7424.0
21,Farabi.Pharm.,20010918,7424.0,7350.0,7350.0,822948828,111950,31,D,7424.0,7350.0
22,Farabi.Pharm.,20010919,7350.0,7277.0,7349.0,259124138,35552,20,D,7350.0,7349.0
23,Farabi.Pharm.,20010922,7350.0,7346.0,7348.0,361591362,49200,37,D,7349.0,7348.0
24,Farabi.Pharm.,20010925,7421.0,7421.0,7421.0,30433521,4101,3,D,7348.0,7421.0
25,Farabi.Pharm.,20010929,7495.0,7495.0,7495.0,91116715,12157,13,D,7421.0,7495.0
26,Farabi.Pharm.,20010930,7569.0,7569.0,7569.0,22495068,2972,4,D,7495.0,7569.0
27,Farabi.Pharm.,20011002,7644.0,7569.0,7644.0,63969404,8445,10,D,7569.0,7644.0
28,Farabi.Pharm.,20011003,7583.0,7570.0,7570.0,111670064,14738,16,D,7644.0,7570.0
29,Farabi.Pharm.,20011006,7572.0,7571.0,7572.0,10456688,1381,6,D,7570.0,7572.0
30,Farabi.Pharm.,20011007,7640.0,7620.0,7640.0,153898498,20170,15,D,7572.0,7640.0
31,Farabi.Pharm.,20011008,7574.0,7574.0,7574.0,22722000,3000,2,D,7640.0,7574.0
32,Farabi.Pharm.,20011009,7636.0,7501.0,7570.0,166600893,21922,12,D,7574.0,7570.0
33,Farabi.Pharm.,20011010,7505.0,7495.0,7495.0,47148565,6287,14,D,7570.0,7495.0
34,Farabi.Pharm.,20011013,7421.0,7421.0,7421.0,2263405,305,1,D,7495.0,7421.0
35,Farabi.Pharm.,20011014,7421.0,7347.0,7347.0,8336784,1132,3,D,7421.0,7347.0
36,Farabi.Pharm.,20011016,7274.0,7274.0,7274.0,4946320,680,1,D,7347.0,7274.0
37,Farabi.Pharm.,20011017,7202.0,7202.0,7202.0,21606000,3000,3,D,7274.0,7202.0
38,Farabi.Pharm.,20011020,7130.0,7130.0,7130.0,96468900,13530,14,D,7202.0,7130.0
39,Farabi.Pharm.,20011021,7129.0,7125.0,7129.0,27514700,3860,6,D,7130.0,7129.0
40,Farabi.Pharm.,20011022,7200.0,7129.0,7200.0,38920622,5438,7,D,7129.0,7200.0
41,Farabi.Pharm.,20011023,7272.0,7199.0,7200.0,85742934,11908,13,D,7200.0,7200.0
42,Farabi.Pharm.,20011024,7199.0,7199.0,7199.0,4319400,600,1,D,7200.0,7199.0
43,Farabi.Pharm.,20011027,7196.0,7150.0,7150.0,18176785,2533,9,D,7199.0,7150.0
44,Farabi.Pharm.,20011103,7412.0,7201.0,7404.0,79827483,10782,17,D,7150.0,7404.0
45,Farabi.Pharm.,20011104,7478.0,7404.0,7478.0,19547940,2621,5,D,7404.0,7478.0
46,Farabi.Pharm.,20011106,7552.0,7552.0,7552.0,7552000,1000,1,D,7478.0,7552.0
47,Farabi.Pharm.,20011110,7627.0,7627.0,7627.0,15254000,2000,1,D,7552.0,7627.0
48,Farabi.Pharm.,20011111,7703.0,7703.0,7703.0,23717537,3079,10,D,7627.0,7703.0
49,Farabi.Pharm.,20011112,7780.0,7780.0,7780.0,32216980,4141,10,D,7703.0,7780.0
50,Farabi.Pharm.,20011113,7857.0,7857.0,7857.0,42930648,5464,14,D,7780.0,7857.0
51,Farabi.Pharm.,20011114,7935.0,7935.0,7935.0,197486280,24888,34,D,7857.0,7935.0
52,Farabi.Pharm.,20011117,8014.0,7900.0,7900.0,21736400,2750,5,D,7935.0,7900.0
53,Farabi.Pharm.,20011118,7900.0,7898.0,7900.0,36757358,4653,4,D,7900.0,7900.0
54,Farabi.Pharm.,20011119,7900.0,7900.0,7900.0,27349800,3462,4,D,7900.0,7900.0
55,Farabi.Pharm.,20011120,7900.0,7899.0,7899.0,32894595,4164,6,D,7900.0,7899.0
56,Farabi.Pharm.,20011121,7897.0,7897.0,7897.0,3948500,500,1,D,7899.0,7897.0
57,Farabi.Pharm.,20011124,7890.0,7880.0,7889.0,160366439,20332,14,D,7897.0,7889.0
58,Farabi.Pharm.,20011125,7889.0,7889.0,7889.0,114777061,14549,13,D,7889.0,7889.0
59,Farabi.Pharm.,20011126,7889.0,7811.0,7889.0,20176395,2565,5,D,7889.0,7889.0
60,Farabi.Pharm.,20011127,7900.0,7886.0,7895.0,261394690,33120,16,D,7889.0,7895.0
61,Farabi.Pharm.,20011128,7895.0,7894.0,7894.0,135431975,17155,11,D,7895.0,7894.0
62,Farabi.Pharm.,20011201,7895.0,7893.0,7895.0,163422810,20700,13,D,7894.0,7895.0
63,Farabi.Pharm.,20011202,7895.0,7890.0,7895.0,76200916,9652,14,D,7895.0,7895.0
64,Farabi.Pharm.,20011203,7893.0,7838.0,7890.0,506150381,64185,37,D,7895.0,7890.0
65,Farabi.Pharm.,20011204,7890.0,7890.0,7890.0,376274100,47690,23,D,7890.0,7890.0
66,Farabi.Pharm.,20011205,7890.0,7820.0,7820.0,113106690,14340,18,D,7890.0,7820.0
67,Farabi.Pharm.,20011208,7890.0,7890.0,7890.0,135494970,17173,15,D,7820.0,7890.0
68,Farabi.Pharm.,20011209,7890.0,7890.0,7890.0,166739370,21133,15,D,7890.0,7890.0
69,Farabi.Pharm.,20011210,7890.0,7889.0,7890.0,202378317,25650,18,D,7890.0,7890.0
70,Farabi.Pharm.,20011211,7890.0,7890.0,7890.0,7890000,1000,1,D,7890.0,7890.0
71,Farabi.Pharm.,20011212,7889.0,7888.0,7889.0,23019102,2918,13,D,7890.0,7889.0
72,Farabi.Pharm.,20011215,7967.0,7890.0,7967.0,23796274000,2987000,29,D,7889.0,7967.0
73,Farabi.Pharm.,20011217,8046.0,8014.0,8046.0,47378600,5900,5,D,7967.0,8046.0
74,Farabi.Pharm.,20011218,8126.0,8125.0,8126.0,3973813402,489027,155,D,8046.0,8126.0
75,Farabi.Pharm.,20011219,8207.0,8132.0,8135.0,814164372,100042,103,D,8126.0,8135.0
76,Farabi.Pharm.,20011222,8136.0,8055.0,8135.0,541576365,66575,50,D,8135.0,8135.0
77,Farabi.Pharm.,20011223,8135.0,8111.0,8134.0,1238030229,152263,59,D,8135.0,8134.0
78,Farabi.Pharm.,20011224,8215.0,8120.0,8215.0,3288133780,403940,164,D,8134.0,8215.0
79,Farabi.Pharm.,20011225,8297.0,8297.0,8297.0,26550400,3200,6,D,8215.0,8297.0
80,Farabi.Pharm.,20011226,8379.0,8379.0,8379.0,25137000,3000,5,D,8297.0,8379.0
81,Farabi.Pharm.,20011229,8462.0,8462.0,8462.0,16924000,2000,4,D,8379.0,8462.0
82,Farabi.Pharm.,20011230,8546.0,8546.0,8546.0,17092000,2000,7,D,8462.0,8546.0
83,Farabi.Pharm.,20011231,8631.0,8631.0,8631.0,8631000,1000,1,D,8546.0,8631.0
84,Farabi.Pharm.,20020101,8717.0,8717.0,8717.0,17434000,2000,4,D,8631.0,8717.0
85,Farabi.Pharm.,20020102,8804.0,8630.0,8630.0,1489370350,170654,118,D,8717.0,8630.0
86,Farabi.Pharm.,20020105,8631.0,8554.0,8554.0,264725221,30749,46,D,8630.0,8554.0
87,Farabi.Pharm.,20020106,8553.0,8469.0,8470.0,471424321,55504,50,D,8554.0,8470.0
88,Farabi.Pharm.,20020107,8554.0,8469.0,8554.0,147930812,17438,21,D,8470.0,8554.0
89,Farabi.Pharm.,20020108,8639.0,8630.0,8639.0,261327800,30260,22,D,8554.0,8639.0
90,Farabi.Pharm.,20020112,8725.0,8639.0,8667.0,81698690,9400,11,D,8639.0,8667.0
91,Farabi.Pharm.,20020113,8753.0,8750.0,8750.0,54746080,6255,10,D,8667.0,8750.0
92,Farabi.Pharm.,20020114,8750.0,8740.0,8742.0,123359878,14105,20,D,8750.0,8742.0
93,Farabi.Pharm.,20020115,8655.0,8655.0,8655.0,95404065,11023,14,D,8742.0,8655.0
94,Farabi.Pharm.,20020116,8569.0,8569.0,8569.0,95612902,11158,7,D,8655.0,8569.0
95,Farabi.Pharm.,20020119,8654.0,8560.0,8654.0,81339080,9491,14,D,8569.0,8654.0
96,Farabi.Pharm.,20020120,8740.0,8655.0,8740.0,81280095,9308,21,D,8654.0,8740.0
97,Farabi.Pharm.,20020121,8780.0,8740.0,8741.0,83046150,9497,21,D,8740.0,8741.0
98,Farabi.Pharm.,20020122,8828.0,8828.0,8828.0,26378064,2988,6,D,8741.0,8828.0
99,Farabi.Pharm.,20020123,8916.0,8899.0,8899.0,233876385,26240,15,D,8828.0,8899.0
100,Farabi.Pharm.,20020126,8900.0,8811.0,8811.0,392968310,44250,41,D,8899.0,8811.0
101,Farabi.Pharm.,20020127,8887.0,8811.0,8884.0,169039255,19042,33,D,8811.0,8884.0
102,Farabi.Pharm.,20020128,8899.0,8876.0,8876.0,100417247,11303,14,D,8884.0,8876.0
103,Farabi.Pharm.,20020129,8870.0,8800.0,8800.0,117524709,13301,21,D,8876.0,8800.0
104,Farabi.Pharm.,20020130,8834.0,8749.0,8749.0,69594193,7921,16,D,8800.0,8749.0
105,Farabi.Pharm.,20020202,8662.0,8662.0,8662.0,8921860,1030,1,D,8749.0,8662.0
106,Farabi.Pharm.,20020212,8701.0,8400.0,8400.0,125743200,14554,26,D,8662.0,8400.0
107,Farabi.Pharm.,20020213,8389.0,8316.0,8389.0,99630302,11964,12,D,8400.0,8389.0
108,Farabi.Pharm.,20020216,8472.0,8471.0,8472.0,119336568,14086,15,D,8389.0,8472.0
109,Farabi.Pharm.,20020217,8475.0,8472.0,8475.0,27464709,3241,4,D,8472.0,8475.0
110,Farabi.Pharm.,20020218,8559.0,8506.0,8559.0,141283927,16546,25,D,8475.0,8559.0
111,Farabi.Pharm.,20020219,8644.0,8644.0,8644.0,4322000,500,2,D,8559.0,8644.0
112,Farabi.Pharm.,20020220,8730.0,8730.0,8730.0,387830250,44425,41,D,8644.0,8730.0
113,Farabi.Pharm.,20020417,8750.0,8690.0,8700.0,80581500,9250,9,D,8730.0,8700.0
114,Farabi.Pharm.,20020420,8787.0,8787.0,8787.0,309873555,35265,47,D,8700.0,8787.0
115,Farabi.Pharm.,20020421,8874.0,8874.0,8874.0,30171600,3400,9,D,8787.0,8874.0
116,Farabi.Pharm.,20020423,8962.0,8962.0,8962.0,10073288,1124,4,D,8874.0,8962.0
117,Farabi.Pharm.,20020424,9051.0,9051.0,9051.0,15015609,1659,3,D,8962.0,9051.0
118,Farabi.Pharm.,20020428,9141.0,9141.0,9141.0,10055100,1100,4,D,9051.0,9141.0
119,Farabi.Pharm.,20020429,9232.0,9232.0,9232.0,13848000,1500,3,D,9141.0,9232.0
120,Farabi.Pharm.,20020430,9324.0,9324.0,9324.0,1864800,200,2,D,9232.0,9324.0
121,Farabi.Pharm.,20020501,9417.0,9417.0,9417.0,3343035,355,2,D,9324.0,9417.0
122,Farabi.Pharm.,20020504,9511.0,9511.0,9511.0,300148138,31558,47,D,9417.0,9511.0
123,Farabi.Pharm.,20020505,9606.0,9606.0,9606.0,59461140,6190,11,D,9511.0,9606.0
124,Farabi.Pharm.,20020506,9702.0,9702.0,9702.0,23391522,2411,5,D,9606.0,9702.0
125,Farabi.Pharm.,20020507,9799.0,9702.0,9799.0,821599394,83997,100,D,9702.0,9799.0
126,Farabi.Pharm.,20020508,9896.0,9896.0,9896.0,98960000,10000,20,D,9799.0,9896.0
127,Farabi.Pharm.,20020512,9994.0,9994.0,9994.0,23735750,2375,3,D,9896.0,9994.0
128,Farabi.Pharm.,20020514,10093.0,10093.0,10093.0,504014141,49937,42,D,9994.0,10093.0
129,Farabi.Pharm.,20020515,10193.0,10193.0,10193.0,114029091,11187,21,D,10093.0,10193.0
130,Farabi.Pharm.,20020518,10193.0,10092.0,10092.0,174285648,17223,24,D,10193.0,10092.0
131,Farabi.Pharm.,20020520,9500.0,9202.0,9469.0,151212845,16170,21,D,10092.0,9469.0
132,Farabi.Pharm.,20020521,9375.0,9375.0,9375.0,320334375,34169,42,D,9469.0,9375.0
133,Farabi.Pharm.,20020522,9450.0,9282.0,9450.0,715087968,76640,66,D,9375.0,9450.0
134,Farabi.Pharm.,20020525,9440.0,9420.0,9420.0,49486802,5244,9,D,9450.0,9420.0
135,Farabi.Pharm.,20020526,9411.0,9326.0,9326.0,72501724,7766,6,D,9420.0,9326.0
136,Farabi.Pharm.,20020527,9233.0,9233.0,9233.0,80899546,8762,8,D,9326.0,9233.0
137,Farabi.Pharm.,20020528,9141.0,9141.0,9141.0,63465963,6943,5,D,9233.0,9141.0
138,Farabi.Pharm.,20020529,9050.0,9050.0,9050.0,81450000,9000,4,D,9141.0,9050.0
139,Farabi.Pharm.,20020601,9140.0,8960.0,9140.0,982048552,109199,90,D,9050.0,9140.0
140,Farabi.Pharm.,20020602,9231.0,9142.0,9231.0,239206468,25993,31,D,9140.0,9231.0
141,Farabi.Pharm.,20020603,9323.0,9323.0,9323.0,59667200,6400,5,D,9231.0,9323.0
142,Farabi.Pharm.,20020608,9416.0,9321.0,9323.0,194049716,20695,35,D,9323.0,9323.0
143,Farabi.Pharm.,20020609,9325.0,9313.0,9323.0,611378311,65589,41,D,9323.0,9323.0
144,Farabi.Pharm.,20020610,9323.0,9300.0,9319.0,54270810,5829,13,D,9323.0,9319.0
145,Farabi.Pharm.,20020611,9319.0,9309.0,9309.0,15651660,1680,4,D,9319.0,9309.0
146,Farabi.Pharm.,20020612,9298.0,9298.0,9298.0,33231052,3574,1,D,9309.0,9298.0
147,Farabi.Pharm.,20020615,9260.0,9206.0,9206.0,83230593,9011,7,D,9298.0,9206.0
148,Farabi.Pharm.,20020616,9142.0,9114.0,9114.0,94825170,10400,12,D,9206.0,9114.0
149,Farabi.Pharm.,20020617,9023.0,9023.0,9023.0,96564146,10702,8,D,9114.0,9023.0
150,Farabi.Pharm.,20020618,9023.0,8933.0,9023.0,468787527,52138,65,D,9023.0,9023.0
151,Farabi.Pharm.,20020619,9113.0,9023.0,9100.0,765316113,84117,40,D,9023.0,9100.0
152,Farabi.Pharm.,20020622,9100.0,9009.0,9009.0,208563455,23073,25,D,9100.0,9009.0
153,Farabi.Pharm.,20020623,9070.0,9009.0,9020.0,641920241,71077,35,D,9009.0,9020.0
154,Farabi.Pharm.,20020624,9060.0,9020.0,9040.0,2145841070,236902,25,D,9020.0,9040.0
155,Farabi.Pharm.,20020625,9070.0,9040.0,9070.0,538217140,59402,34,D,9040.0,9070.0
156,Farabi.Pharm.,20020626,9100.0,9050.0,9068.0,262947000,29000,21,D,9070.0,9068.0
157,Farabi.Pharm.,20020629,9068.0,9063.0,9068.0,296224827,32669,20,D,9068.0,9068.0
158,Farabi.Pharm.,20020630,9057.0,9000.0,9049.0,241038124,26668,38,D,9068.0,9049.0
159,Farabi.Pharm.,20020701,9000.0,8950.0,8990.0,134305558,14953,21,D,9049.0,8990.0
160,Farabi.Pharm.,20020724,10200.0,8450.0,10005.0,224904175,22701,31,D,8990.0,10005.0
161,Farabi.Pharm.,20020727,10002.0,9755.0,9755.0,47797306,4847,12,D,10005.0,9755.0
162,Farabi.Pharm.,20020728,9512.0,9512.0,9512.0,28497952,2996,4,D,9755.0,9512.0
163,Farabi.Pharm.,20020729,9275.0,9275.0,9275.0,20692525,2231,5,D,9512.0,9275.0
164,Farabi.Pharm.,20020730,9044.0,9044.0,9044.0,3726128,412,1,D,9275.0,9044.0
165,Farabi.Pharm.,20020731,9044.0,8818.0,9044.0,395833898,44271,47,D,9044.0,9044.0
166,Farabi.Pharm.,20020803,9270.0,9125.0,9270.0,131663056,14226,9,D,9044.0,9270.0
167,Farabi.Pharm.,20020804,9276.0,9200.0,9200.0,112900093,12202,20,D,9270.0,9200.0
168,Farabi.Pharm.,20020805,9201.0,9180.0,9199.0,259210995,28182,17,D,9200.0,9199.0
169,Farabi.Pharm.,20020806,9200.0,9040.0,9056.0,256956258,28293,28,D,9199.0,9056.0
170,Farabi.Pharm.,20020807,9064.0,9055.0,9057.0,205318712,22666,19,D,9056.0,9057.0
171,Farabi.Pharm.,20020810,9055.0,9019.0,9019.0,26694342,2953,10,D,9057.0,9019.0
172,Farabi.Pharm.,20020811,9006.0,8901.0,9000.0,196637414,21981,20,D,9019.0,9000.0
173,Farabi.Pharm.,20020813,9054.0,8897.0,9030.0,290039088,32511,32,D,9000.0,9030.0
174,Farabi.Pharm.,20020814,9058.0,9033.0,9058.0,122125893,13490,16,D,9030.0,9058.0
175,Farabi.Pharm.,20020817,9284.0,9158.0,9284.0,166697461,18132,17,D,9058.0,9284.0
176,Farabi.Pharm.,20020818,9516.0,9512.0,9516.0,419118704,44044,20,D,9284.0,9516.0
177,Farabi.Pharm.,20020819,9753.0,9516.0,9751.0,187568767,19345,41,D,9516.0,9751.0
178,Farabi.Pharm.,20020820,9751.0,9684.0,9685.0,151337939,15586,27,D,9751.0,9685.0
179,Farabi.Pharm.,20020821,9690.0,9589.0,9589.0,99618585,10310,20,D,9685.0,9589.0
180,Farabi.Pharm.,20020824,9684.0,9500.0,9682.0,231749245,24201,36,D,9589.0,9682.0
181,Farabi.Pharm.,20020825,9684.0,9600.0,9600.0,130772776,13548,11,D,9682.0,9600.0
182,Farabi.Pharm.,20020826,9590.0,9504.0,9504.0,150011952,15770,18,D,9600.0,9504.0
183,Farabi.Pharm.,20020827,9531.0,9499.0,9530.0,217819109,22889,21,D,9504.0,9530.0
184,Farabi.Pharm.,20020828,9625.0,9530.0,9625.0,285187880,29905,20,D,9530.0,9625.0
185,Farabi.Pharm.,20020831,9721.0,9625.0,9721.0,78986555,8168,12,D,9625.0,9721.0
186,Farabi.Pharm.,20020901,9818.0,9818.0,9818.0,30494708,3106,6,D,9721.0,9818.0
187,Farabi.Pharm.,20020902,9916.0,9916.0,9916.0,13565088,1368,4,D,9818.0,9916.0
188,Farabi.Pharm.,20020903,10005.0,9817.0,9817.0,130902921,13187,25,D,9916.0,9817.0
189,Farabi.Pharm.,20020904,9816.0,9719.0,9719.0,1012081000,103125,5,D,9817.0,9719.0
190,Farabi.Pharm.,20020907,9622.0,9622.0,9622.0,9622000,1000,1,D,9719.0,9622.0
191,Farabi.Pharm.,20020908,9526.0,9526.0,9526.0,15717900,1650,3,D,9622.0,9526.0
192,Farabi.Pharm.,20020909,9431.0,9431.0,9431.0,27783726,2946,9,D,9526.0,9431.0
193,Farabi.Pharm.,20020910,9434.0,9337.0,9434.0,512383853,54657,48,D,9431.0,9434.0
194,Farabi.Pharm.,20020911,9451.0,9434.0,9450.0,104338399,11050,19,D,9434.0,9450.0
195,Farabi.Pharm.,20020914,9450.0,9356.0,9356.0,75358906,8013,11,D,9450.0,9356.0
196,Farabi.Pharm.,20020915,9353.0,9351.0,9351.0,1271887,136,4,D,9356.0,9351.0
197,Farabi.Pharm.,20020916,9258.0,9258.0,9258.0,20089860,2170,3,D,9351.0,9258.0
198,Farabi.Pharm.,20020917,9166.0,9166.0,9166.0,134758532,14702,7,D,9258.0,9166.0
199,Farabi.Pharm.,20020918,9166.0,9083.0,9166.0,94242247,10283,14,D,9166.0,9166.0
200,Farabi.Pharm.,20020922,9166.0,9165.0,9166.0,14114917,1540,6,D,9166.0,9166.0
201,Farabi.Pharm.,20020923,9090.0,9079.0,9079.0,164014485,18044,10,D,9166.0,9079.0
202,Farabi.Pharm.,20020924,9070.0,8989.0,8989.0,55124100,6130,5,D,9079.0,8989.0
203,Farabi.Pharm.,20020925,8903.0,8900.0,8900.0,378459600,42523,23,D,8989.0,8900.0
204,Farabi.Pharm.,20020928,8910.0,8900.0,8901.0,62493403,7019,7,D,8900.0,8901.0
205,Farabi.Pharm.,20020929,9090.0,8902.0,9090.0,23449709631,2631694,19,D,8901.0,9090.0
206,Farabi.Pharm.,20020930,9258.0,9090.0,9258.0,144730870,15801,16,D,9090.0,9258.0
207,Farabi.Pharm.,20021001,9255.0,9230.0,9255.0,162229190,17551,24,D,9258.0,9255.0
