,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Dasht.Morghab,20010328,1365.0,1365.0,1365.0,5683860,4164,1,D,0.0,1365.0
1,Dasht.Morghab,20010417,1420.0,1420.0,1420.0,2840000,2000,2,D,1365.0,1420.0
2,Dasht.Morghab,20010422,1455.0,1455.0,1455.0,446685,307,1,D,1420.0,1455.0
3,Dasht.Morghab,20010428,1491.0,1491.0,1491.0,670950,450,2,D,1455.0,1491.0
4,Dasht.Morghab,20010507,1528.0,1528.0,1528.0,343800,225,1,D,1491.0,1528.0
5,Dasht.Morghab,20010509,1543.0,1543.0,1543.0,347175,225,1,D,1528.0,1543.0
6,Dasht.Morghab,20010512,1558.0,1543.0,1543.0,10807425,6975,6,D,1543.0,1543.0
7,Dasht.Morghab,20010515,1558.0,1558.0,1558.0,85690000,55000,10,D,1543.0,1558.0
8,Dasht.Morghab,20010516,1558.0,1558.0,1558.0,350550,225,1,D,1558.0,1558.0
9,Dasht.Morghab,20010519,1573.0,1573.0,1573.0,1887600,1200,3,D,1558.0,1573.0
10,Dasht.Morghab,20010520,1588.0,1588.0,1588.0,14668356,9237,8,D,1573.0,1588.0
11,Dasht.Morghab,20010523,1603.0,1603.0,1603.0,8859781,5527,3,D,1588.0,1603.0
12,Dasht.Morghab,20010526,1619.0,1619.0,1619.0,3966550,2450,4,D,1603.0,1619.0
13,Dasht.Morghab,20010527,1635.0,1635.0,1635.0,817500,500,1,D,1619.0,1635.0
14,Dasht.Morghab,20010528,1651.0,1651.0,1651.0,825500,500,1,D,1635.0,1651.0
15,Dasht.Morghab,20010529,1651.0,1651.0,1651.0,1021969,619,6,D,1651.0,1651.0
16,Dasht.Morghab,20010602,1651.0,1651.0,1651.0,371475,225,1,D,1651.0,1651.0
17,Dasht.Morghab,20010603,1667.0,1651.0,1651.0,4054822,2450,4,D,1651.0,1651.0
18,Dasht.Morghab,20010612,1637.0,1637.0,1637.0,8185000,5000,1,D,1651.0,1637.0
19,Dasht.Morghab,20010613,1621.0,1621.0,1621.0,486300,300,1,D,1637.0,1621.0
