,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Damavand.Min.,20010516,6700.0,6700.0,6700.0,6700000,1000,1,D,0.0,6700.0
1,Damavand.Min.,20010519,6365.0,6365.0,6365.0,6365000,1000,1,D,6700.0,6365.0
2,Damavand.Min.,20010520,6047.0,6047.0,6047.0,24188000,4000,5,D,6365.0,6047.0
3,Damavand.Min.,20010521,5745.0,5745.0,5745.0,34470000,6000,7,D,6047.0,5745.0
4,Damavand.Min.,20010526,5500.0,5500.0,5500.0,5500000,1000,1,D,5745.0,5500.0
5,Damavand.Min.,20010613,5225.0,5225.0,5225.0,15675000,3000,1,D,5500.0,5225.0
6,Damavand.Min.,20010619,5225.0,5225.0,5225.0,522500,100,4,D,5225.0,5225.0
7,Damavand.Min.,20010624,5224.0,5224.0,5224.0,5224000,1000,1,D,5225.0,5224.0
8,Damavand.Min.,20010625,5199.0,5190.0,5190.0,26250480,5050,4,D,5224.0,5190.0
9,Damavand.Min.,20010626,5000.0,4964.0,4964.0,36947706,7404,9,D,5190.0,4964.0
10,Damavand.Min.,20010627,5000.0,4965.0,5000.0,12465000,2500,5,D,4964.0,5000.0
11,Damavand.Min.,20010630,5002.0,5001.0,5001.0,18165632,3632,3,D,5000.0,5001.0
12,Damavand.Min.,20010701,5001.0,5000.0,5000.0,25342068,5068,11,D,5001.0,5000.0
13,Damavand.Min.,20010702,5000.0,4950.0,4950.0,7549000,1520,7,D,5000.0,4950.0
14,Damavand.Min.,20010707,4751.0,4750.0,4750.0,9501000,2000,3,D,4950.0,4750.0
15,Damavand.Min.,20010708,4513.0,4513.0,4513.0,4513000,1000,2,D,4750.0,4513.0
16,Damavand.Min.,20010709,4400.0,4399.0,4400.0,83818870,19050,18,D,4513.0,4400.0
17,Damavand.Min.,20010710,4400.0,4400.0,4400.0,17952000,4080,10,D,4400.0,4400.0
18,Damavand.Min.,20010711,4400.0,4400.0,4400.0,112107600,25479,13,D,4400.0,4400.0
19,Damavand.Min.,20010909,4000.0,4000.0,4000.0,11600000,2900,5,D,4400.0,4000.0
20,Damavand.Min.,20010910,4000.0,4000.0,4000.0,20800000,5200,5,D,4000.0,4000.0
21,Damavand.Min.,20010911,3999.0,3999.0,3999.0,14220444,3556,3,D,4000.0,3999.0
22,Damavand.Min.,20010912,3997.0,3997.0,3997.0,399700,100,1,D,3999.0,3997.0
23,Damavand.Min.,20010916,3802.0,3801.0,3801.0,26821856,7056,5,D,3997.0,3801.0
24,Damavand.Min.,20010918,3611.0,3611.0,3611.0,18055000,5000,3,D,3801.0,3611.0
25,Damavand.Min.,20010923,3600.0,3600.0,3600.0,1440000,400,1,D,3611.0,3600.0
26,Damavand.Min.,20010924,3601.0,3600.0,3600.0,29497800,8193,13,D,3600.0,3600.0
27,Damavand.Min.,20011007,3600.0,3600.0,3600.0,13687200,3802,6,D,3600.0,3600.0
28,Damavand.Min.,20011008,3603.0,3602.0,3602.0,3040588,844,2,D,3600.0,3602.0
29,Damavand.Min.,20011009,3601.0,3600.0,3600.0,4068500,1130,2,D,3602.0,3600.0
30,Damavand.Min.,20011013,3600.0,3600.0,3600.0,2973600,826,4,D,3600.0,3600.0
31,Damavand.Min.,20011014,3600.0,3600.0,3600.0,298800,83,1,D,3600.0,3600.0
32,Damavand.Min.,20011017,3601.0,3600.0,3600.0,3211700,892,3,D,3600.0,3600.0
33,Damavand.Min.,20011020,3600.0,3600.0,3600.0,9720000,2700,3,D,3600.0,3600.0
34,Damavand.Min.,20011021,3601.0,3600.0,3601.0,2268280,630,2,D,3600.0,3601.0
35,Damavand.Min.,20011023,3780.0,3607.0,3780.0,21804660,5892,2,D,3601.0,3780.0
36,Damavand.Min.,20011028,3969.0,3969.0,3969.0,38618370,9730,1,D,3780.0,3969.0
37,Damavand.Min.,20011029,3997.0,3997.0,3997.0,463652,116,1,D,3969.0,3997.0
38,Damavand.Min.,20011030,4196.0,4196.0,4196.0,37029700,8825,5,D,3997.0,4196.0
39,Damavand.Min.,20011104,4405.0,4405.0,4405.0,4405000,1000,1,D,4196.0,4405.0
40,Damavand.Min.,20011105,4625.0,4625.0,4625.0,4625000,1000,1,D,4405.0,4625.0
41,Damavand.Min.,20011106,4856.0,4856.0,4856.0,4856000,1000,2,D,4625.0,4856.0
42,Damavand.Min.,20011107,5098.0,5098.0,5098.0,5098000,1000,2,D,4856.0,5098.0
43,Damavand.Min.,20011110,5352.0,5352.0,5352.0,30854280,5765,9,D,5098.0,5352.0
44,Damavand.Min.,20011111,5619.0,5352.0,5352.0,387361781,69901,42,D,5352.0,5352.0
45,Damavand.Min.,20011124,3000.0,3000.0,3000.0,3000000,1000,1,D,5352.0,3000.0
46,Damavand.Min.,20011223,3150.0,3150.0,3150.0,1575000,500,1,D,3000.0,3150.0
47,Damavand.Min.,20011230,3307.0,3307.0,3307.0,2288444,692,2,D,3150.0,3307.0
48,Damavand.Min.,20020101,3472.0,3472.0,3472.0,3472000,1000,2,D,3307.0,3472.0
49,Damavand.Min.,20020106,3645.0,3645.0,3645.0,3645000,1000,2,D,3472.0,3645.0
50,Damavand.Min.,20020113,3827.0,3827.0,3827.0,3827000,1000,2,D,3645.0,3827.0
51,Damavand.Min.,20020115,4018.0,4018.0,4018.0,5589038,1391,1,D,3827.0,4018.0
52,Damavand.Min.,20020116,4218.0,4218.0,4218.0,4218000,1000,2,D,4018.0,4218.0
53,Damavand.Min.,20020119,4323.0,4323.0,4323.0,66643368,15416,8,D,4218.0,4323.0
54,Damavand.Min.,20020120,4431.0,4431.0,4431.0,31017000,7000,4,D,4323.0,4431.0
55,Damavand.Min.,20020121,4430.0,4322.0,4323.0,30916404,7028,9,D,4431.0,4323.0
56,Damavand.Min.,20020122,4323.0,4250.0,4250.0,21030819,4903,10,D,4323.0,4250.0
57,Damavand.Min.,20020123,4251.0,4250.0,4250.0,3536735,832,3,D,4250.0,4250.0
58,Damavand.Min.,20020126,4250.0,4249.0,4250.0,19626000,4618,3,D,4250.0,4250.0
59,Damavand.Min.,20020127,4250.0,4200.0,4200.0,4693000,1116,2,D,4250.0,4200.0
60,Damavand.Min.,20020128,4100.0,4100.0,4100.0,24600000,6000,2,D,4200.0,4100.0
61,Damavand.Min.,20020129,4100.0,4100.0,4100.0,4100000,1000,1,D,4100.0,4100.0
62,Damavand.Min.,20020130,4000.0,4000.0,4000.0,5228000,1307,2,D,4100.0,4000.0
