,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Daroupakhsh.P.,20021103,4350.0,4062.0,4300.0,8291495000,1980000,780,D,4105.0,4300.0
1,Daroupakhsh.P.,20021104,4407.0,4407.0,4407.0,1101750000,250000,209,D,4300.0,4407.0
2,Daroupakhsh.P.,20021105,4517.0,4517.0,4517.0,1129250000,250000,165,D,4407.0,4517.0
3,Daroupakhsh.P.,20021109,4629.0,4629.0,4629.0,41661000,9000,8,D,4517.0,4629.0
4,Daroupakhsh.P.,20021112,4744.0,4744.0,4744.0,105316800,22200,19,D,4629.0,4744.0
5,Daroupakhsh.P.,20021117,4862.0,4862.0,4862.0,72930000,15000,11,D,4744.0,4862.0
6,Daroupakhsh.P.,20021119,4983.0,4983.0,4983.0,7476792180,1500460,2071,D,4862.0,4983.0
7,Daroupakhsh.P.,20021126,5107.0,5107.0,5107.0,130371496,25528,49,D,4983.0,5107.0
8,Daroupakhsh.P.,20021130,5158.0,5158.0,5158.0,118634000,23000,15,D,5107.0,5158.0
9,Daroupakhsh.P.,20021201,5209.0,5209.0,5209.0,165291988,31732,47,D,5158.0,5209.0
10,Daroupakhsh.P.,20021202,5261.0,5261.0,5261.0,189396000,36000,42,D,5209.0,5261.0
11,Daroupakhsh.P.,20021203,5313.0,5313.0,5313.0,180642000,34000,29,D,5261.0,5313.0
12,Daroupakhsh.P.,20021204,5366.0,5366.0,5366.0,190224700,35450,16,D,5313.0,5366.0
13,Daroupakhsh.P.,20021207,5419.0,5419.0,5419.0,74402870,13730,14,D,5366.0,5419.0
14,Daroupakhsh.P.,20021208,5473.0,5473.0,5473.0,183996787,33619,36,D,5419.0,5473.0
15,Daroupakhsh.P.,20021209,5527.0,5527.0,5527.0,166639050,30150,47,D,5473.0,5527.0
16,Daroupakhsh.P.,20021210,5582.0,5582.0,5582.0,186756974,33457,24,D,5527.0,5582.0
17,Daroupakhsh.P.,20021211,5637.0,5637.0,5637.0,112740000,20000,15,D,5582.0,5637.0
18,Daroupakhsh.P.,20021214,5693.0,5693.0,5693.0,150295200,26400,25,D,5637.0,5693.0
19,Daroupakhsh.P.,20021215,5749.0,5749.0,5749.0,160431594,27906,30,D,5693.0,5749.0
20,Daroupakhsh.P.,20021216,5806.0,5806.0,5806.0,120764800,20800,14,D,5749.0,5806.0
21,Daroupakhsh.P.,20021217,5864.0,5864.0,5864.0,129008000,22000,10,D,5806.0,5864.0
22,Daroupakhsh.P.,20021218,5922.0,5922.0,5922.0,88830000,15000,9,D,5864.0,5922.0
23,Daroupakhsh.P.,20021221,5981.0,5981.0,5981.0,89715000,15000,8,D,5922.0,5981.0
24,Daroupakhsh.P.,20021222,6040.0,6040.0,6040.0,211400000,35000,28,D,5981.0,6040.0
25,Daroupakhsh.P.,20021223,6100.0,5980.0,6100.0,13103935684,2150592,1007,D,6040.0,6100.0
26,Daroupakhsh.P.,20021224,6161.0,6161.0,6161.0,48702705,7905,5,D,6100.0,6161.0
27,Daroupakhsh.P.,20021225,6222.0,6222.0,6222.0,6222000,1000,1,D,6161.0,6222.0
28,Daroupakhsh.P.,20021228,6284.0,6284.0,6284.0,18852000,3000,2,D,6222.0,6284.0
29,Daroupakhsh.P.,20021231,6346.0,6346.0,6346.0,6346000,1000,10,D,6284.0,6346.0
30,Daroupakhsh.P.,20030101,6409.0,6409.0,6409.0,4486300,700,4,D,6346.0,6409.0
31,Daroupakhsh.P.,20030104,6473.0,6473.0,6473.0,6473000,1000,5,D,6409.0,6473.0
32,Daroupakhsh.P.,20030106,6537.0,6537.0,6537.0,7020738,1074,3,D,6473.0,6537.0
33,Daroupakhsh.P.,20030107,6602.0,6602.0,6602.0,56117000,8500,3,D,6537.0,6602.0
