,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Derakhshan.Teh.,20010326,1694.0,1694.0,1694.0,1694000,1000,2,D,0.0,1694.0
1,Derakhshan.Teh.,20010328,1650.0,1650.0,1650.0,1650000,1000,1,D,1694.0,1650.0
2,Derakhshan.Teh.,20010417,1633.0,1633.0,1633.0,987965,605,1,D,1650.0,1633.0
3,Derakhshan.Teh.,20010421,1561.0,1555.0,1561.0,40808450,26170,5,D,1633.0,1561.0
4,Derakhshan.Teh.,20010422,1561.0,1561.0,1561.0,25795525,16525,15,D,1561.0,1561.0
5,Derakhshan.Teh.,20010423,1562.0,1561.0,1562.0,27829924,17823,22,D,1561.0,1562.0
6,Derakhshan.Teh.,20010425,1571.0,1565.0,1571.0,4363748,2784,5,D,1562.0,1571.0
7,Derakhshan.Teh.,20010428,1639.0,1600.0,1600.0,11716000,7225,7,D,1571.0,1600.0
8,Derakhshan.Teh.,20010429,1603.0,1602.0,1603.0,477678,298,2,D,1600.0,1603.0
9,Derakhshan.Teh.,20010430,1609.0,1609.0,1609.0,10538950,6550,8,D,1603.0,1609.0
10,Derakhshan.Teh.,20010501,1645.0,1640.0,1645.0,17787820,10816,9,D,1609.0,1645.0
11,Derakhshan.Teh.,20010502,1652.0,1650.0,1652.0,25279800,15312,8,D,1645.0,1652.0
12,Derakhshan.Teh.,20010505,1720.0,1657.0,1720.0,34294200,20100,8,D,1652.0,1720.0
13,Derakhshan.Teh.,20010506,1719.0,1719.0,1719.0,21485781,12499,6,D,1720.0,1719.0
14,Derakhshan.Teh.,20010507,1699.0,1650.0,1699.0,16745000,10000,2,D,1719.0,1699.0
15,Derakhshan.Teh.,20010508,1700.0,1699.0,1700.0,444445500,261439,53,D,1699.0,1700.0
16,Derakhshan.Teh.,20010509,1717.0,1717.0,1717.0,6885170,4010,3,D,1700.0,1717.0
17,Derakhshan.Teh.,20010512,1741.0,1730.0,1731.0,30744333,17735,8,D,1717.0,1731.0
18,Derakhshan.Teh.,20010513,1755.0,1733.0,1755.0,5241745,3019,5,D,1731.0,1755.0
19,Derakhshan.Teh.,20010515,1842.0,1842.0,1842.0,2742738,1489,1,D,1755.0,1842.0
20,Derakhshan.Teh.,20010516,1845.0,1845.0,1845.0,219555,119,1,D,1842.0,1845.0
21,Derakhshan.Teh.,20010519,1860.0,1850.0,1860.0,1150150,619,2,D,1845.0,1860.0
22,Derakhshan.Teh.,20010520,1953.0,1953.0,1953.0,33201000,17000,9,D,1860.0,1953.0
23,Derakhshan.Teh.,20010521,1877.0,1871.0,1876.0,19782123,10557,13,D,1953.0,1876.0
24,Derakhshan.Teh.,20010523,1950.0,1950.0,1950.0,19500000,10000,1,D,1876.0,1950.0
25,Derakhshan.Teh.,20010526,1950.0,1881.0,1881.0,21951450,11611,5,D,1950.0,1881.0
26,Derakhshan.Teh.,20010527,1880.0,1872.0,1880.0,7135680,3807,2,D,1881.0,1880.0
27,Derakhshan.Teh.,20010528,1880.0,1870.0,1871.0,14161002,7562,6,D,1880.0,1871.0
28,Derakhshan.Teh.,20010530,1800.0,1800.0,1800.0,27266400,15148,5,D,1871.0,1800.0
29,Derakhshan.Teh.,20010602,1850.0,1800.0,1801.0,42542045,23600,6,D,1800.0,1801.0
30,Derakhshan.Teh.,20010603,1801.0,1800.0,1800.0,27005000,15000,5,D,1801.0,1800.0
31,Derakhshan.Teh.,20010606,1801.0,1801.0,1801.0,1801000,1000,1,D,1800.0,1801.0
32,Derakhshan.Teh.,20010609,1802.0,1802.0,1802.0,2499374,1387,2,D,1801.0,1802.0
33,Derakhshan.Teh.,20010611,1850.0,1850.0,1850.0,18500000,10000,4,D,1802.0,1850.0
34,Derakhshan.Teh.,20010612,1851.0,1849.0,1850.0,29891059,16158,8,D,1850.0,1850.0
35,Derakhshan.Teh.,20010613,1850.0,1850.0,1850.0,18500000,10000,2,D,1850.0,1850.0
36,Derakhshan.Teh.,20010616,1850.0,1849.0,1850.0,2697142,1458,5,D,1850.0,1850.0
37,Derakhshan.Teh.,20010617,1851.0,1839.0,1851.0,15885989,8597,10,D,1850.0,1851.0
38,Derakhshan.Teh.,20010618,1851.0,1851.0,1851.0,555300,300,1,D,1851.0,1851.0
39,Derakhshan.Teh.,20010619,1851.0,1850.0,1850.0,13977750,7555,6,D,1851.0,1850.0
40,Derakhshan.Teh.,20010620,1851.0,1850.0,1850.0,6536150,3533,5,D,1850.0,1850.0
41,Derakhshan.Teh.,20010623,1850.0,1850.0,1850.0,16825750,9095,7,D,1850.0,1850.0
42,Derakhshan.Teh.,20010624,1850.0,1850.0,1850.0,17882100,9666,4,D,1850.0,1850.0
43,Derakhshan.Teh.,20010625,1850.0,1850.0,1850.0,3376250,1825,3,D,1850.0,1850.0
44,Derakhshan.Teh.,20010626,1850.0,1850.0,1850.0,7625700,4122,4,D,1850.0,1850.0
45,Derakhshan.Teh.,20010627,1848.0,1848.0,1848.0,14316456,7747,1,D,1850.0,1848.0
46,Derakhshan.Teh.,20010701,1846.0,1846.0,1846.0,20187856,10936,2,D,1848.0,1846.0
47,Derakhshan.Teh.,20010703,1842.0,1842.0,1842.0,39601158,21499,3,D,1846.0,1842.0
48,Derakhshan.Teh.,20010708,1760.0,1760.0,1760.0,44184800,25105,13,D,1842.0,1760.0
49,Derakhshan.Teh.,20010709,1760.0,1757.0,1760.0,29518972,16784,5,D,1760.0,1760.0
50,Derakhshan.Teh.,20010710,1760.0,1680.0,1680.0,19187600,10945,3,D,1760.0,1680.0
51,Derakhshan.Teh.,20010715,1680.0,1680.0,1680.0,168000,100,1,D,1680.0,1680.0
52,Derakhshan.Teh.,20010718,1596.0,1596.0,1596.0,7980000,5000,1,D,1680.0,1596.0
53,Derakhshan.Teh.,20010721,1596.0,1596.0,1596.0,9576000,6000,8,D,1596.0,1596.0
54,Derakhshan.Teh.,20010722,1597.0,1595.0,1597.0,8106073,5078,12,D,1596.0,1597.0
55,Derakhshan.Teh.,20010723,1600.0,1597.0,1597.0,14926658,9340,8,D,1597.0,1597.0
56,Derakhshan.Teh.,20010725,1550.0,1550.0,1550.0,1550000,1000,1,D,1597.0,1550.0
57,Derakhshan.Teh.,20010728,1550.0,1506.0,1506.0,25182401,16500,10,D,1550.0,1506.0
58,Derakhshan.Teh.,20011023,1500.0,1500.0,1500.0,3957000,2638,9,D,1506.0,1500.0
59,Derakhshan.Teh.,20011024,1500.0,1500.0,1500.0,8833500,5889,3,D,1500.0,1500.0
60,Derakhshan.Teh.,20011027,1502.0,1501.0,1502.0,4498393,2996,4,D,1500.0,1502.0
61,Derakhshan.Teh.,20011028,1502.0,1501.0,1501.0,9181329,6115,2,D,1502.0,1501.0
62,Derakhshan.Teh.,20011029,1480.0,1479.0,1479.0,11261800,7610,4,D,1501.0,1479.0
63,Derakhshan.Teh.,20011030,1450.0,1450.0,1450.0,8979850,6193,6,D,1479.0,1450.0
64,Derakhshan.Teh.,20011031,1425.0,1425.0,1425.0,9975000,7000,3,D,1450.0,1425.0
