,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Razak.Lab.,20010325,6703.0,6702.0,6702.0,11259840,1680,3,D,0.0,6702.0
1,Razak.Lab.,20010328,6703.0,6703.0,6703.0,2460001,367,1,D,6702.0,6703.0
2,Razak.Lab.,20010331,6703.0,6702.0,6702.0,10991920,1640,4,D,6703.0,6702.0
3,Razak.Lab.,20010408,6754.0,6750.0,6753.0,6481710,960,4,D,6702.0,6753.0
4,Razak.Lab.,20010409,6759.0,6755.0,6759.0,22974380,3400,9,D,6753.0,6759.0
5,Razak.Lab.,20010410,6763.0,6760.0,6762.0,19471292,2880,8,D,6759.0,6762.0
6,Razak.Lab.,20010411,6766.0,6763.0,6766.0,15395620,2276,3,D,6762.0,6766.0
7,Razak.Lab.,20010414,6775.0,6768.0,6775.0,15166960,2240,7,D,6766.0,6775.0
8,Razak.Lab.,20010415,6950.0,6802.0,6820.0,34181065,4990,13,D,6775.0,6820.0
9,Razak.Lab.,20010416,6853.0,6850.0,6853.0,20280710,2960,8,D,6820.0,6853.0
10,Razak.Lab.,20010417,6920.0,6861.0,6920.0,39594800,5740,14,D,6853.0,6920.0
11,Razak.Lab.,20010418,6932.0,6921.0,6930.0,90611304,13080,32,D,6920.0,6930.0
12,Razak.Lab.,20010421,6930.0,6929.0,6930.0,49618320,7160,9,D,6930.0,6930.0
13,Razak.Lab.,20010423,6830.0,6830.0,6830.0,15005510,2197,7,D,6930.0,6830.0
14,Razak.Lab.,20010424,6846.0,6830.0,6846.0,144916128,21188,100,D,6830.0,6846.0
15,Razak.Lab.,20010425,7000.0,6847.0,6861.0,109085775,15865,94,D,6846.0,6861.0
16,Razak.Lab.,20010428,6896.0,6880.0,6890.0,183929464,26705,87,D,6861.0,6890.0
17,Razak.Lab.,20010429,7234.0,6901.0,7234.0,329705100,45980,47,D,6890.0,7234.0
18,Razak.Lab.,20010430,7077.0,7074.0,7077.0,59417172,8398,71,D,7234.0,7077.0
19,Razak.Lab.,20010501,7200.0,7082.0,7150.0,147058248,20641,75,D,7077.0,7150.0
20,Razak.Lab.,20010502,7102.0,7074.0,7074.0,27230017,3837,10,D,7150.0,7074.0
21,Razak.Lab.,20010505,7078.0,7076.0,7078.0,29441520,4160,9,D,7074.0,7078.0
