,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sina.Darou.Lab.,20010325,16100.0,16100.0,16100.0,19400500,1205,4,D,0.0,16100.0
1,Sina.Darou.Lab.,20010326,16100.0,16100.0,16100.0,34212500,2125,2,D,16100.0,16100.0
2,Sina.Darou.Lab.,20010331,16100.0,16100.0,16100.0,2382800,148,2,D,16100.0,16100.0
3,Sina.Darou.Lab.,20010409,16050.0,16049.0,16049.0,6018700,375,3,D,16100.0,16049.0
4,Sina.Darou.Lab.,20010410,16000.0,16000.0,16000.0,5984000,374,1,D,16049.0,16000.0
5,Sina.Darou.Lab.,20010415,15988.0,15988.0,15988.0,4796400,300,1,D,16000.0,15988.0
6,Sina.Darou.Lab.,20010417,15987.0,15980.0,15987.0,39959290,2500,5,D,15988.0,15987.0
7,Sina.Darou.Lab.,20010418,15801.0,15797.0,15797.0,57666700,3650,5,D,15987.0,15797.0
8,Sina.Darou.Lab.,20010423,15789.0,15789.0,15789.0,94734000,6000,2,D,15797.0,15789.0
9,Sina.Darou.Lab.,20010424,15790.0,15787.0,15790.0,55262773,3500,10,D,15789.0,15790.0
10,Sina.Darou.Lab.,20010425,15790.0,15789.0,15790.0,29606100,1875,14,D,15790.0,15790.0
11,Sina.Darou.Lab.,20010429,15500.0,15500.0,15500.0,7750000,500,1,D,15790.0,15500.0
12,Sina.Darou.Lab.,20010430,15500.0,14990.0,15500.0,42890000,2800,5,D,15500.0,15500.0
13,Sina.Darou.Lab.,20010501,15500.0,15500.0,15500.0,3875000,250,1,D,15500.0,15500.0
14,Sina.Darou.Lab.,20010505,15500.0,15500.0,15500.0,3875000,250,3,D,15500.0,15500.0
15,Sina.Darou.Lab.,20010506,15496.0,15494.0,15494.0,6492586,419,3,D,15500.0,15494.0
16,Sina.Darou.Lab.,20010507,15600.0,15492.0,15600.0,104055737,6712,16,D,15494.0,15600.0
17,Sina.Darou.Lab.,20010508,15600.0,15600.0,15600.0,390000,25,1,D,15600.0,15600.0
18,Sina.Darou.Lab.,20010509,16000.0,15600.0,16000.0,99367900,6244,6,D,15600.0,16000.0
19,Sina.Darou.Lab.,20010512,16001.0,16000.0,16000.0,11200500,700,3,D,16000.0,16000.0
20,Sina.Darou.Lab.,20010513,16033.0,16005.0,16033.0,24020050,1500,6,D,16000.0,16033.0
