,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tamin.Daroo,20140120,7010.0,6000.0,6041.0,1735114866900,287214500,12177,D,1000.0,6002.0
1,Tamin.Daroo,20140121,6282.0,6282.0,6282.0,9216020664,1467052,146,D,6041.0,6282.0
2,Tamin.Daroo,20140122,6533.0,6400.0,6531.0,806036426889,123413034,20049,D,6282.0,6533.0
3,Tamin.Daroo,20140125,6690.0,6510.0,6596.0,283128954094,42923651,12688,D,6531.0,6530.0
4,Tamin.Daroo,20140126,6598.0,6340.0,6408.0,183599379825,28650867,7230,D,6596.0,6351.0
5,Tamin.Daroo,20140127,6497.0,6205.0,6322.0,107935328038,17072351,4517,D,6408.0,6470.0
6,Tamin.Daroo,20140128,6574.0,6470.0,6563.0,116919931004,17813799,3263,D,6322.0,6574.0
7,Tamin.Daroo,20140129,6825.0,6601.0,6752.0,133650151530,19793516,4046,D,6563.0,6825.0
8,Tamin.Daroo,20140201,7022.0,6800.0,6973.0,85070619301,12199213,2485,D,6752.0,7022.0
9,Tamin.Daroo,20140202,7030.0,6700.0,6838.0,103223781334,15095815,3433,D,6973.0,6721.0
10,Tamin.Daroo,20140203,6791.0,6611.0,6678.0,53575410419,8022409,1756,D,6838.0,6710.0
11,Tamin.Daroo,20140204,6825.0,6653.0,6758.0,44061369198,6520118,1719,D,6678.0,6800.0
12,Tamin.Daroo,20140205,6670.0,6488.0,6519.0,43377911410,6654173,1763,D,6758.0,6560.0
13,Tamin.Daroo,20140208,6420.0,6259.0,6288.0,63392290537,10081684,2257,D,6519.0,6327.0
14,Tamin.Daroo,20140209,6539.0,6311.0,6531.0,239392559308,36655129,1731,D,6288.0,6539.0
15,Tamin.Daroo,20140210,6630.0,6343.0,6508.0,237217252983,36449519,1584,D,6531.0,6419.0
16,Tamin.Daroo,20140212,6400.0,6250.0,6284.0,39194197334,6237070,1545,D,6508.0,6360.0
17,Tamin.Daroo,20140215,6535.0,6320.0,6485.0,24422023579,3765679,1243,D,6284.0,6485.0
18,Tamin.Daroo,20140216,6744.0,6510.0,6726.0,47500199335,7061726,1583,D,6485.0,6719.0
19,Tamin.Daroo,20140217,6995.0,6510.0,6929.0,81765762792,11800649,3286,D,6726.0,6929.0
20,Tamin.Daroo,20140218,6850.0,6652.0,6709.0,50454991807,7520930,1966,D,6929.0,6709.0
21,Tamin.Daroo,20140219,6969.0,6720.0,6915.0,49270701393,7125436,2295,D,6709.0,6915.0
22,Tamin.Daroo,20140222,7191.0,7099.0,7182.0,61587223956,8574827,1191,D,6915.0,7191.0
23,Tamin.Daroo,20140223,7469.0,7212.0,7416.0,114811038620,15481683,4021,D,7182.0,7399.0
24,Tamin.Daroo,20140224,7301.0,7150.0,7226.0,43365512014,6001701,2158,D,7416.0,7199.0
25,Tamin.Daroo,20140225,7120.0,6937.0,6983.0,54397929105,7789585,2414,D,7226.0,6983.0
26,Tamin.Daroo,20140226,7100.0,6756.0,6978.0,31620858642,4531407,2136,D,6983.0,6977.0
27,Tamin.Daroo,20140301,7250.0,7050.0,7179.0,32337047432,4504476,1450,D,6978.0,7179.0
28,Tamin.Daroo,20140302,7230.0,6950.0,7040.0,19170585131,2723239,1111,D,7179.0,7040.0
29,Tamin.Daroo,20140303,6958.0,6759.0,6782.0,26563455286,3916482,1267,D,7040.0,6759.0
30,Tamin.Daroo,20140304,6950.0,6602.0,6810.0,22680455434,3330663,1080,D,6782.0,6809.0
31,Tamin.Daroo,20140305,7082.0,6910.0,7061.0,35719199287,5058916,1316,D,6810.0,7060.0
32,Tamin.Daroo,20140308,7150.0,6850.0,6963.0,19087820673,2741155,1084,D,7061.0,6940.0
33,Tamin.Daroo,20140309,6900.0,6701.0,6801.0,18328878920,2695168,940,D,6963.0,6801.0
34,Tamin.Daroo,20140310,6950.0,6773.0,6841.0,18863531940,2757438,884,D,6801.0,6819.0
35,Tamin.Daroo,20140311,6830.0,6613.0,6683.0,15730744534,2353718,770,D,6841.0,6683.0
36,Tamin.Daroo,20140312,6950.0,6550.0,6809.0,24665576864,3622268,1347,D,6683.0,6825.0
37,Tamin.Daroo,20140315,7081.0,6900.0,7045.0,40007521606,5678602,1645,D,6809.0,7060.0
38,Tamin.Daroo,20140316,7140.0,6945.0,7077.0,38577036877,5451005,1505,D,7045.0,7111.0
39,Tamin.Daroo,20140317,7299.0,7121.0,7200.0,32782034844,4553245,1340,D,7077.0,7220.0
40,Tamin.Daroo,20140318,7250.0,7063.0,7158.0,39469935743,5513785,1565,D,7200.0,7100.0
