,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Parsian.Ecommerc,20110830,9900.0,9589.0,9736.0,8933154126,917539,211,D,1000.0,9880.0
1,Parsian.Ecommerc,20110903,10060.0,9500.0,9716.0,888752613,92100,65,D,9736.0,9500.0
2,Parsian.Ecommerc,20110904,9690.0,9330.0,9481.0,4136390866,436274,79,D,9716.0,9400.0
3,Parsian.Ecommerc,20110905,9340.0,9190.0,9312.0,2501524747,271057,92,D,9481.0,9200.0
4,Parsian.Ecommerc,20110906,9299.0,9050.0,9218.0,2561666853,279162,70,D,9312.0,9202.0
5,Parsian.Ecommerc,20110907,9300.0,9200.0,9220.0,660007142,71523,33,D,9218.0,9200.0
6,Parsian.Ecommerc,20110910,9390.0,9220.0,9228.0,469083303,50533,31,D,9220.0,9220.0
7,Parsian.Ecommerc,20110911,9346.0,9230.0,9236.0,923534825,99734,37,D,9228.0,9230.0
8,Parsian.Ecommerc,20110912,9250.0,9120.0,9227.0,679284270,73953,27,D,9236.0,9154.0
9,Parsian.Ecommerc,20110913,9300.0,9220.0,9228.0,684928656,74166,25,D,9227.0,9229.0
10,Parsian.Ecommerc,20110914,9560.0,9200.0,9317.0,2018756682,214852,134,D,9228.0,9499.0
11,Parsian.Ecommerc,20110917,9630.0,9300.0,9405.0,2305000468,243563,80,D,9317.0,9350.0
12,Parsian.Ecommerc,20110918,9781.0,9500.0,9600.0,3392697078,352341,97,D,9405.0,9781.0
13,Parsian.Ecommerc,20110919,9984.0,9900.0,9967.0,4657004420,467234,133,D,9600.0,9984.0
14,Parsian.Ecommerc,20110920,9948.0,9711.0,9954.0,525436148,53264,65,D,9967.0,9800.0
15,Parsian.Ecommerc,20110921,9900.0,9720.0,9923.0,991002956,100807,67,D,9954.0,9751.0
16,Parsian.Ecommerc,20110925,9700.0,9540.0,9857.0,892075004,92602,52,D,9923.0,9700.0
