,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Fold,20110309,2500.0,2500.0,2500.0,162125000000,64850000,650,D,1000.0,2500.0
1,Iran.Fold,20110312,2600.0,2600.0,2502.0,35105200,13502,9,D,2500.0,2600.0
2,Iran.Fold,20110313,2602.0,2602.0,2509.0,124950642,48021,22,D,2502.0,2602.0
3,Iran.Fold,20110314,2609.0,2609.0,2511.0,40935210,15690,8,D,2509.0,2609.0
4,Iran.Fold,20110315,2611.0,2611.0,2513.0,28982100,11100,4,D,2511.0,2611.0
5,Iran.Fold,20110316,2613.0,2613.0,2516.0,53043900,20300,4,D,2513.0,2613.0
6,Iran.Fold,20110319,2825.0,2717.0,2825.0,415780600,147200,28,D,2516.0,2825.0
7,Iran.Fold,20110326,2938.0,2938.0,2827.0,34959262,11899,5,D,2825.0,2938.0
8,Iran.Fold,20110327,2940.0,2940.0,2940.0,1980501600,673640,36,D,2827.0,2940.0
9,Iran.Fold,20110328,3057.0,3057.0,3057.0,2139900000,700000,21,D,2940.0,3057.0
10,Iran.Fold,20110329,3179.0,3179.0,3179.0,2225300000,700000,15,D,3057.0,3179.0
11,Iran.Fold,20110330,3306.0,3306.0,3306.0,2153859000,651500,26,D,3179.0,3306.0
12,Iran.Fold,20110403,3438.0,3438.0,3438.0,73920438,21501,7,D,3306.0,3438.0
13,Iran.Fold,20110404,3861.0,3713.0,3858.0,404763743,104911,10,D,3438.0,3861.0
14,Iran.Fold,20110405,4012.0,4012.0,4012.0,2808400000,700000,28,D,3858.0,4012.0
15,Iran.Fold,20110406,4172.0,4172.0,4172.0,2880348800,690400,34,D,4012.0,4172.0
16,Iran.Fold,20110409,4338.0,4338.0,4338.0,3036600000,700000,49,D,4172.0,4338.0
17,Iran.Fold,20110410,4511.0,4511.0,4511.0,3608800000,800000,44,D,4338.0,4511.0
18,Iran.Fold,20110411,4691.0,4691.0,4691.0,3312784200,706200,40,D,4511.0,4691.0
19,Iran.Fold,20110412,5268.0,5066.0,5263.0,11226126028,2132859,471,D,4691.0,5268.0
20,Iran.Fold,20110413,5473.0,5353.0,5467.0,340914645937,62360303,13034,D,5263.0,5473.0
21,Iran.Fold,20110416,5590.0,5249.0,5334.0,58742522572,11013009,2265,D,5467.0,5249.0
22,Iran.Fold,20110417,5121.0,5121.0,5121.0,10407684834,2032354,314,D,5334.0,5121.0
23,Iran.Fold,20110418,4917.0,4917.0,4917.0,83614081617,17005101,1824,D,5121.0,4917.0
24,Iran.Fold,20110419,5000.0,4721.0,4809.0,26207160586,5449265,1069,D,4917.0,4721.0
25,Iran.Fold,20110420,4760.0,4617.0,4672.0,22121348858,4735175,1057,D,4809.0,4617.0
26,Iran.Fold,20110423,4549.0,4486.0,4500.0,12161973705,2702921,317,D,4672.0,4486.0
27,Iran.Fold,20110424,4320.0,4320.0,4320.0,5938630560,1374683,77,D,4500.0,4320.0
28,Iran.Fold,20110425,4148.0,4148.0,4148.0,6856175276,1652887,142,D,4320.0,4148.0
29,Iran.Fold,20110426,4299.0,4001.0,4100.0,28166135481,6869831,1338,D,4148.0,4021.0
30,Iran.Fold,20110427,4190.0,3936.0,3979.0,26955000180,6774056,764,D,4100.0,4100.0
31,Iran.Fold,20110430,3845.0,3820.0,3924.0,898504906,234811,33,D,3979.0,3820.0
32,Iran.Fold,20110501,3768.0,3768.0,3808.0,1826960016,484862,32,D,3924.0,3768.0
33,Iran.Fold,20110502,3960.0,3920.0,3958.0,8215815840,2075592,359,D,3808.0,3920.0
34,Iran.Fold,20110503,4080.0,3800.0,3837.0,14043391468,3659532,528,D,3958.0,3821.0
35,Iran.Fold,20110504,3897.0,3690.0,3798.0,9956188111,2621634,435,D,3837.0,3841.0
36,Iran.Fold,20110508,3799.0,3647.0,3663.0,12811587260,3497682,285,D,3798.0,3647.0
37,Iran.Fold,20110509,3809.0,3711.0,3771.0,2017807578,531565,125,D,3663.0,3809.0
38,Iran.Fold,20110510,3921.0,3800.0,3902.0,6207574366,1590996,210,D,3771.0,3861.0
39,Iran.Fold,20110511,3890.0,3751.0,3806.0,2640509508,693709,175,D,3902.0,3810.0
40,Iran.Fold,20110514,3770.0,3679.0,3802.0,110618450,29704,15,D,3806.0,3691.0
41,Iran.Fold,20110515,3798.0,3702.0,3721.0,2417632935,649760,173,D,3802.0,3720.0
42,Iran.Fold,20110516,3869.0,3703.0,3780.0,2687865138,711150,252,D,3721.0,3752.0
43,Iran.Fold,20110517,3710.0,3631.0,3653.0,6517237704,1784236,270,D,3780.0,3631.0
44,Iran.Fold,20110518,3749.0,3640.0,3683.0,2030211812,550400,156,D,3653.0,3745.0
45,Iran.Fold,20110521,3830.0,3700.0,3816.0,20286441000,5316569,328,D,3683.0,3830.0
46,Iran.Fold,20110522,3963.0,3855.0,3931.0,18397379234,4680445,542,D,3816.0,3919.0
47,Iran.Fold,20110523,3940.0,3807.0,3896.0,5429129439,1393349,175,D,3931.0,3930.0
48,Iran.Fold,20110524,3960.0,3881.0,3925.0,4224867366,1076443,225,D,3896.0,3900.0
49,Iran.Fold,20110525,3820.0,3770.0,3784.0,4121624850,1089360,183,D,3925.0,3781.0
50,Iran.Fold,20110528,3935.0,3790.0,3859.0,4754405979,1232153,156,D,3784.0,3792.0
51,Iran.Fold,20110529,3800.0,3705.0,3722.0,3742473767,1005415,90,D,3859.0,3705.0
52,Iran.Fold,20110530,3870.0,3590.0,3801.0,5638981850,1483571,190,D,3722.0,3870.0
53,Iran.Fold,20110531,3950.0,3880.0,3918.0,3775338589,963700,165,D,3801.0,3902.0
54,Iran.Fold,20110601,3880.0,3800.0,3893.0,787086444,205090,60,D,3918.0,3834.0
55,Iran.Fold,20110606,3950.0,3800.0,3823.0,2653834125,694168,106,D,3893.0,3800.0
56,Iran.Fold,20110607,3899.0,3752.0,3767.0,2316083340,615398,79,D,3823.0,3762.0
57,Iran.Fold,20110608,3917.0,3653.0,3890.0,4652005307,1195966,154,D,3767.0,3917.0
58,Iran.Fold,20110611,4045.0,3841.0,3962.0,4169744944,1052468,216,D,3890.0,3870.0
59,Iran.Fold,20110612,3900.0,3805.0,3909.0,1485328965,383559,122,D,3962.0,3861.0
60,Iran.Fold,20110613,3900.0,3811.0,3864.0,2640962661,683412,83,D,3909.0,3860.0
61,Iran.Fold,20110614,3894.0,3761.0,3829.0,1145239147,302311,49,D,3864.0,3798.0
62,Iran.Fold,20110615,3750.0,3700.0,3770.0,1178641066,317783,70,D,3829.0,3712.0
63,Iran.Fold,20110618,3850.0,3700.0,3776.0,1492041291,394788,74,D,3770.0,3800.0
64,Iran.Fold,20110619,3800.0,3702.0,3768.0,1297095097,344817,77,D,3776.0,3800.0
65,Iran.Fold,20110620,3756.0,3702.0,3756.0,609079847,163745,32,D,3768.0,3710.0
66,Iran.Fold,20110621,3740.0,3680.0,3748.0,416490233,112297,50,D,3756.0,3700.0
67,Iran.Fold,20110622,3782.0,3710.0,3737.0,731883338,197213,37,D,3748.0,3711.0
68,Iran.Fold,20110625,3770.0,3660.0,3708.0,1635211238,442715,50,D,3737.0,3660.0
69,Iran.Fold,20110626,3640.0,3574.0,3659.0,997230664,277483,79,D,3708.0,3582.0
70,Iran.Fold,20110627,3600.0,3513.0,3631.0,495883548,140476,22,D,3659.0,3513.0
71,Iran.Fold,20110628,3600.0,3486.0,3509.0,4452010143,1268778,151,D,3631.0,3517.0
72,Iran.Fold,20110629,3634.0,3500.0,3588.0,2126467054,591282,82,D,3509.0,3629.0
73,Iran.Fold,20110702,3678.0,3455.0,3527.0,1377618596,395082,68,D,3588.0,3498.0
74,Iran.Fold,20110703,3459.0,3386.0,3392.0,4550454971,1341693,165,D,3527.0,3386.0
75,Iran.Fold,20110704,3359.0,3257.0,3262.0,4228857200,1296475,226,D,3392.0,3260.0
76,Iran.Fold,20110710,2796.0,2740.0,2751.0,301790396,109689,25,D,2937.0,2796.0
77,Iran.Fold,20110711,2800.0,2752.0,2758.0,376459906,135297,40,D,2751.0,2760.0
78,Iran.Fold,20110712,2800.0,2740.0,2760.0,277935054,100195,40,D,2758.0,2740.0
79,Iran.Fold,20110713,2798.0,2729.0,2760.0,180333242,65396,26,D,2760.0,2798.0
80,Iran.Fold,20110716,2870.0,2770.0,2799.0,722670800,252523,64,D,2760.0,2835.0
81,Iran.Fold,20110718,2910.0,2860.0,2869.0,1208167440,415384,38,D,2799.0,2910.0
82,Iran.Fold,20110719,2983.0,2912.0,2976.0,3646220325,1225232,174,D,2869.0,2978.0
83,Iran.Fold,20110720,3095.0,2980.0,3086.0,4784757558,1550601,152,D,2976.0,3095.0
84,Iran.Fold,20110723,3155.0,3011.0,3044.0,1940821776,637878,103,D,3086.0,3012.0
85,Iran.Fold,20110724,3099.0,3000.0,3069.0,2684670345,874888,121,D,3044.0,3071.0
86,Iran.Fold,20110725,3100.0,2953.0,3027.0,1215195528,404812,67,D,3069.0,2967.0
87,Iran.Fold,20110726,3045.0,2923.0,3009.0,570629810,192328,48,D,3027.0,2923.0
88,Iran.Fold,20110727,3016.0,2900.0,2955.0,1161232013,397703,74,D,3009.0,2901.0
89,Iran.Fold,20110730,2860.0,2837.0,2857.0,1616757850,568835,59,D,2955.0,2837.0
90,Iran.Fold,20110731,2800.0,2752.0,2770.0,2052058855,740696,72,D,2857.0,2799.0
91,Iran.Fold,20110801,2879.0,2755.0,2777.0,641441400,229891,38,D,2770.0,2780.0
92,Iran.Fold,20110802,2840.0,2770.0,2786.0,993081122,355496,48,D,2777.0,2780.0
93,Iran.Fold,20110803,2819.0,2750.0,2796.0,2310512400,826384,76,D,2786.0,2790.0
94,Iran.Fold,20110806,2740.0,2685.0,2708.0,2181283553,805466,78,D,2796.0,2705.0
95,Iran.Fold,20110807,2784.0,2700.0,2736.0,934765995,338433,43,D,2708.0,2770.0
96,Iran.Fold,20110808,2845.0,2702.0,2814.0,2704204153,961105,115,D,2736.0,2845.0
97,Iran.Fold,20110809,2821.0,2726.0,2793.0,1032793675,371923,53,D,2814.0,2810.0
98,Iran.Fold,20110810,2865.0,2781.0,2805.0,769043764,272613,74,D,2793.0,2811.0
99,Iran.Fold,20110813,2870.0,2751.0,2800.0,655646764,234814,42,D,2805.0,2780.0
100,Iran.Fold,20110814,2837.0,2740.0,2779.0,1781946433,641282,60,D,2800.0,2800.0
101,Iran.Fold,20110815,2847.0,2781.0,2812.0,1376024095,487419,72,D,2779.0,2781.0
102,Iran.Fold,20110816,2800.0,2751.0,2809.0,202471890,72637,23,D,2812.0,2762.0
103,Iran.Fold,20110817,2850.0,2757.0,2822.0,1148494818,405847,50,D,2809.0,2850.0
104,Iran.Fold,20110820,2820.0,2754.0,2806.0,1282584926,458096,38,D,2822.0,2782.0
105,Iran.Fold,20110821,2800.0,2755.0,2803.0,207576566,74783,27,D,2806.0,2763.0
106,Iran.Fold,20110823,2872.0,2799.0,2827.0,1521564794,537363,86,D,2803.0,2853.0
