,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Mobarakeh.Steel,20070311,1938.0,1900.0,1900.0,889437216900,468077431,7736,D,1900.0,1900.0
1,S*Mobarakeh.Steel,20070312,1938.0,1938.0,1938.0,193879458000,100041000,9214,D,1900.0,1938.0
2,S*Mobarakeh.Steel,20070313,1976.0,1915.0,1973.0,249241504527,126270939,5862,D,1938.0,1973.0
3,S*Mobarakeh.Steel,20070314,1966.0,1934.0,1934.0,51666379451,26705128,1901,D,1973.0,1934.0
4,S*Mobarakeh.Steel,20070317,1927.0,1896.0,1898.0,28239006789,14877283,1514,D,1934.0,1898.0
5,S*Mobarakeh.Steel,20070319,1909.0,1861.0,1885.0,23432044982,12428574,1402,D,1898.0,1885.0
6,S*Mobarakeh.Steel,20070325,1922.0,1880.0,1894.0,7938296594,4151051,480,D,1885.0,1894.0
7,S*Mobarakeh.Steel,20070326,1931.0,1898.0,1900.0,5010080922,2604320,397,D,1894.0,1900.0
8,S*Mobarakeh.Steel,20070327,1935.0,1902.0,1904.0,3349931251,1737471,231,D,1900.0,1904.0
9,S*Mobarakeh.Steel,20070328,1930.0,1906.0,1906.0,2819018765,1466522,221,D,1904.0,1906.0
10,S*Mobarakeh.Steel,20070331,1920.0,1873.0,1905.0,1544256723,818231,209,D,1906.0,1905.0
11,S*Mobarakeh.Steel,20070403,1900.0,1867.0,1900.0,5089821352,2705358,313,D,1905.0,1900.0
12,S*Mobarakeh.Steel,20070404,1896.0,1862.0,1896.0,3083948625,1649990,220,D,1900.0,1896.0
13,S*Mobarakeh.Steel,20070407,1888.0,1859.0,1881.0,9390429030,5050280,473,D,1896.0,1881.0
14,S*Mobarakeh.Steel,20070408,1900.0,1849.0,1879.0,5626657331,3002511,433,D,1881.0,1879.0
15,S*Mobarakeh.Steel,20070409,1913.0,1874.0,1879.0,1307934968,692951,165,D,1879.0,1879.0
16,S*Mobarakeh.Steel,20070410,1917.0,1862.0,1883.0,2477218529,1315311,310,D,1879.0,1883.0
17,S*Mobarakeh.Steel,20070411,1880.0,1851.0,1880.0,3292833272,1767488,413,D,1883.0,1880.0
18,S*Mobarakeh.Steel,20070414,1875.0,1843.0,1875.0,3648614835,1975101,463,D,1880.0,1875.0
19,S*Mobarakeh.Steel,20070415,1867.0,1838.0,1867.0,5293662864,2879638,600,D,1875.0,1867.0
20,S*Mobarakeh.Steel,20070416,1862.0,1831.0,1862.0,3473179839,1890750,457,D,1867.0,1862.0
21,S*Mobarakeh.Steel,20070417,1880.0,1826.0,1861.0,2532449179,1368173,344,D,1862.0,1861.0
22,S*Mobarakeh.Steel,20070418,1898.0,1853.0,1867.0,5705405876,3024167,500,D,1861.0,1867.0
23,S*Mobarakeh.Steel,20070421,1904.0,1883.0,1883.0,10421277946,5473667,691,D,1867.0,1883.0
24,S*Mobarakeh.Steel,20070422,1920.0,1888.0,1888.0,3405672640,1773788,360,D,1883.0,1888.0
25,S*Mobarakeh.Steel,20070423,1925.0,1880.0,1889.0,1569866424,826566,237,D,1888.0,1889.0
26,S*Mobarakeh.Steel,20070424,1912.0,950.0,1890.0,3641241626070,3831874711,264,D,1889.0,1890.0
27,S*Mobarakeh.Steel,20070425,1903.0,1854.0,1890.0,3392879779,1796465,426,D,1890.0,1890.0
28,S*Mobarakeh.Steel,20070428,1890.0,1853.0,1884.0,4038766394,2176594,467,D,1890.0,1884.0
29,S*Mobarakeh.Steel,20070429,1873.0,1847.0,1873.0,6713269926,3633565,750,D,1884.0,1873.0
30,S*Mobarakeh.Steel,20070430,1910.0,1853.0,1884.0,10593596444,5581299,838,D,1873.0,1884.0
