,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Ferr.,20010415,1500.0,1500.0,1500.0,208500,139,1,D,1500.0,1500.0
1,Iran.Ferr.,20010422,1500.0,1500.0,1500.0,23788500,15859,4,D,1500.0,1500.0
2,Iran.Ferr.,20010423,1500.0,1500.0,1500.0,4500000,3000,2,D,1500.0,1500.0
3,Iran.Ferr.,20010424,1501.0,1501.0,1501.0,6704967,4467,1,D,1500.0,1501.0
4,Iran.Ferr.,20010428,1501.0,1501.0,1501.0,12008000,8000,4,D,1501.0,1501.0
5,Iran.Ferr.,20010429,1520.0,1505.0,1520.0,10593690,7008,7,D,1501.0,1520.0
6,Iran.Ferr.,20010430,1500.0,1500.0,1500.0,11904000,7936,4,D,1520.0,1500.0
7,Iran.Ferr.,20010501,1502.0,1500.0,1502.0,12757000,8500,2,D,1500.0,1502.0
8,Iran.Ferr.,20010507,1550.0,1550.0,1550.0,7750000,5000,2,D,1502.0,1550.0
9,Iran.Ferr.,20010509,1627.0,1627.0,1627.0,3254000,2000,1,D,1550.0,1627.0
10,Iran.Ferr.,20010512,1627.0,1627.0,1627.0,20337500,12500,3,D,1627.0,1627.0
11,Iran.Ferr.,20010521,1850.0,1650.0,1850.0,27033907,15665,14,D,1627.0,1850.0
12,Iran.Ferr.,20010523,1853.0,1850.0,1850.0,33947000,18340,11,D,1850.0,1850.0
13,Iran.Ferr.,20010526,1850.0,1850.0,1850.0,18241000,9860,8,D,1850.0,1850.0
14,Iran.Ferr.,20010527,1942.0,1942.0,1942.0,17747938,9139,3,D,1850.0,1942.0
15,Iran.Ferr.,20010528,2039.0,2039.0,2039.0,42819000,21000,10,D,1942.0,2039.0
16,Iran.Ferr.,20010529,2039.0,2038.0,2039.0,15982920,7840,4,D,2039.0,2039.0
17,Iran.Ferr.,20010530,2060.0,2041.0,2060.0,128020982,62360,11,D,2039.0,2060.0
18,Iran.Ferr.,20010602,2042.0,2042.0,2042.0,40304996,19738,11,D,2060.0,2042.0
19,Iran.Ferr.,20010603,2039.0,2000.0,2000.0,38127740,18784,8,D,2042.0,2000.0
20,Iran.Ferr.,20010609,1998.0,1954.0,1960.0,82972505,42215,24,D,2000.0,1960.0
21,Iran.Ferr.,20010710,1600.0,1600.0,1600.0,800000,500,1,D,1960.0,1600.0
22,Iran.Ferr.,20010714,1601.0,1601.0,1601.0,246554,154,1,D,1600.0,1601.0
23,Iran.Ferr.,20010716,1610.0,1606.0,1610.0,22238980,13818,7,D,1601.0,1610.0
24,Iran.Ferr.,20010717,1610.0,1610.0,1610.0,1903020,1182,1,D,1610.0,1610.0
25,Iran.Ferr.,20010721,1690.0,1690.0,1690.0,2426840,1436,2,D,1610.0,1690.0
26,Iran.Ferr.,20010722,1774.0,1740.0,1774.0,17644000,10000,8,D,1690.0,1774.0
27,Iran.Ferr.,20010723,1862.0,1862.0,1862.0,29792000,16000,3,D,1774.0,1862.0
28,Iran.Ferr.,20010725,1866.0,1866.0,1866.0,12242826,6561,2,D,1862.0,1866.0
29,Iran.Ferr.,20010728,1880.0,1862.0,1866.0,110322344,59050,26,D,1866.0,1866.0
30,Iran.Ferr.,20010729,1773.0,1773.0,1773.0,8865000,5000,3,D,1866.0,1773.0
31,Iran.Ferr.,20010730,1773.0,1773.0,1773.0,19026063,10731,2,D,1773.0,1773.0
32,Iran.Ferr.,20010801,1773.0,1750.0,1772.0,61315910,34835,7,D,1773.0,1772.0
33,Iran.Ferr.,20010806,1773.0,1773.0,1773.0,3900600,2200,4,D,1772.0,1773.0
34,Iran.Ferr.,20010807,1773.0,1770.0,1773.0,7500666,4236,4,D,1773.0,1773.0
35,Iran.Ferr.,20010811,1773.0,1773.0,1773.0,37233000,21000,9,D,1773.0,1773.0
36,Iran.Ferr.,20010812,1773.0,1770.0,1773.0,67467120,38056,16,D,1773.0,1773.0
