,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Mineral.P.,20020615,1900.0,1850.0,1851.0,1119110000,603000,107,D,0.0,1851.0
1,Iran.Mineral.P.,20020616,1943.0,1943.0,1943.0,1159971000,597000,108,D,1851.0,1943.0
2,Iran.Mineral.P.,20020617,2040.0,2040.0,2040.0,2040000,1000,1,D,1943.0,2040.0
3,Iran.Mineral.P.,20020618,2142.0,2142.0,2142.0,4284000,2000,2,D,2040.0,2142.0
4,Iran.Mineral.P.,20020619,2195.0,2189.0,2195.0,201684100,91900,41,D,2142.0,2195.0
5,Iran.Mineral.P.,20020622,2249.0,2181.0,2182.0,226285809,102723,34,D,2195.0,2182.0
6,Iran.Mineral.P.,20020623,2128.0,2128.0,2128.0,32749920,15390,10,D,2182.0,2128.0
7,Iran.Mineral.P.,20020624,2123.0,2075.0,2075.0,378774694,180483,55,D,2128.0,2075.0
8,Iran.Mineral.P.,20020717,2010.0,2003.0,2010.0,50180000,25000,3,D,2075.0,2010.0
9,Iran.Mineral.P.,20020720,2110.0,2010.0,2010.0,2533265000,1201500,7,D,2010.0,2010.0
10,Iran.Mineral.P.,20020721,2110.0,2110.0,2110.0,815831500,386650,11,D,2010.0,2110.0
11,Iran.Mineral.P.,20020723,2080.0,2080.0,2080.0,7280000,3500,1,D,2110.0,2080.0
12,Iran.Mineral.P.,20020724,2050.0,2050.0,2050.0,10250000,5000,3,D,2080.0,2050.0
13,Iran.Mineral.P.,20020727,2000.0,2000.0,2000.0,25354000,12677,7,D,2050.0,2000.0
14,Iran.Mineral.P.,20020728,2000.0,2000.0,2000.0,30000000,15000,2,D,2000.0,2000.0
15,Iran.Mineral.P.,20020730,1998.0,1996.0,1998.0,58303220,29195,6,D,2000.0,1998.0
16,Iran.Mineral.P.,20020731,2002.0,2002.0,2002.0,274674400,137200,15,D,1998.0,2002.0
17,Iran.Mineral.P.,20020803,2004.0,2003.0,2004.0,35069000,17500,5,D,2002.0,2004.0
18,Iran.Mineral.P.,20020804,2004.0,2004.0,2004.0,20040000,10000,2,D,2004.0,2004.0
19,Iran.Mineral.P.,20020805,2050.0,2009.0,2050.0,49026000,24000,4,D,2004.0,2050.0
20,Iran.Mineral.P.,20020810,2050.0,2050.0,2050.0,47150000,23000,7,D,2050.0,2050.0
21,Iran.Mineral.P.,20020811,2050.0,2050.0,2050.0,41000000,20000,2,D,2050.0,2050.0
22,Iran.Mineral.P.,20020813,2050.0,2050.0,2050.0,2050000,1000,1,D,2050.0,2050.0
23,Iran.Mineral.P.,20020814,2050.0,2050.0,2050.0,20500000,10000,2,D,2050.0,2050.0
24,Iran.Mineral.P.,20020818,2049.0,2049.0,2049.0,20490000,10000,2,D,2050.0,2049.0
25,Iran.Mineral.P.,20020820,2002.0,2000.0,2001.0,17208600,8600,8,D,2049.0,2001.0
26,Iran.Mineral.P.,20020821,2001.0,2001.0,2001.0,4402200,2200,1,D,2001.0,2001.0
27,Iran.Mineral.P.,20020824,2001.0,2000.0,2001.0,13971884,6984,4,D,2001.0,2001.0
28,Iran.Mineral.P.,20020904,1901.0,1901.0,1901.0,24713000,13000,8,D,2001.0,1901.0
29,Iran.Mineral.P.,20020908,1899.0,1899.0,1899.0,13241727,6973,1,D,1901.0,1899.0
30,Iran.Mineral.P.,20020909,1880.0,1880.0,1880.0,451200,240,1,D,1899.0,1880.0
31,Iran.Mineral.P.,20020911,1880.0,1880.0,1880.0,12896800,6860,3,D,1880.0,1880.0
32,Iran.Mineral.P.,20020917,1810.0,1810.0,1810.0,25340000,14000,8,D,1880.0,1810.0
33,Iran.Mineral.P.,20020923,1720.0,1720.0,1720.0,12194800,7090,7,D,1810.0,1720.0
34,Iran.Mineral.P.,20020929,1720.0,1720.0,1720.0,15944400,9270,3,D,1720.0,1720.0
35,Iran.Mineral.P.,20021001,1720.0,1720.0,1720.0,3512240,2042,2,D,1720.0,1720.0
36,Iran.Mineral.P.,20021014,1806.0,1806.0,1806.0,3612000,2000,10,D,1720.0,1806.0
37,Iran.Mineral.P.,20021015,1850.0,1810.0,1850.0,36600000,20000,76,D,1806.0,1850.0
38,Iran.Mineral.P.,20021016,1940.0,1890.0,1940.0,22930860,11974,71,D,1850.0,1940.0
39,Iran.Mineral.P.,20021019,2030.0,2030.0,2030.0,32886000,16200,86,D,1940.0,2030.0
40,Iran.Mineral.P.,20021020,2030.0,2030.0,2030.0,20320300,10010,52,D,2030.0,2030.0
41,Iran.Mineral.P.,20021021,2070.0,2070.0,2070.0,20700000,10000,63,D,2030.0,2070.0
42,Iran.Mineral.P.,20021023,2110.0,2110.0,2110.0,33816970,16027,63,D,2070.0,2110.0
43,Iran.Mineral.P.,20021026,2150.0,2150.0,2150.0,21054950,9793,40,D,2110.0,2150.0
44,Iran.Mineral.P.,20021027,2200.0,2190.0,2200.0,13150000,6000,36,D,2150.0,2200.0
45,Iran.Mineral.P.,20021028,2230.0,2230.0,2230.0,21965500,9850,53,D,2200.0,2230.0
46,Iran.Mineral.P.,20021029,2240.0,2240.0,2240.0,22400000,10000,63,D,2230.0,2240.0
47,Iran.Mineral.P.,20021030,2250.0,2240.0,2250.0,22490000,10000,52,D,2240.0,2250.0
48,Iran.Mineral.P.,20021102,2260.0,2260.0,2260.0,24566200,10870,60,D,2250.0,2260.0
49,Iran.Mineral.P.,20021103,2270.0,2260.0,2270.0,148565000,65500,64,D,2260.0,2270.0
50,Iran.Mineral.P.,20021104,2270.0,2265.0,2265.0,50314460,22198,45,D,2270.0,2265.0
51,Iran.Mineral.P.,20021105,2270.0,2265.0,2270.0,48024000,21200,58,D,2265.0,2270.0
52,Iran.Mineral.P.,20021106,2300.0,2265.0,2300.0,39963530,17602,56,D,2270.0,2300.0
53,Iran.Mineral.P.,20021109,2350.0,2350.0,2350.0,580920000,247200,4,D,2300.0,2350.0
54,Iran.Mineral.P.,20021110,2400.0,2400.0,2400.0,428160000,178400,4,D,2350.0,2400.0
55,Iran.Mineral.P.,20021113,2450.0,2400.0,2450.0,290845770,119090,8,D,2400.0,2450.0
56,Iran.Mineral.P.,20021116,2500.0,2500.0,2500.0,266000000,106400,3,D,2450.0,2500.0
57,Iran.Mineral.P.,20021117,2550.0,2550.0,2550.0,16590300,6506,6,D,2500.0,2550.0
58,Iran.Mineral.P.,20021118,2600.0,2600.0,2600.0,39000000,15000,6,D,2550.0,2600.0
59,Iran.Mineral.P.,20021119,2730.0,2600.0,2730.0,496683200,182002,3,D,2600.0,2730.0
60,Iran.Mineral.P.,20021120,2800.0,2800.0,2800.0,28000000,10000,3,D,2730.0,2800.0
61,Iran.Mineral.P.,20021123,2850.0,2850.0,2850.0,16176600,5676,1,D,2800.0,2850.0
62,Iran.Mineral.P.,20021130,2849.0,2849.0,2849.0,1407406,494,2,D,2850.0,2849.0
63,Iran.Mineral.P.,20021209,2850.0,2850.0,2850.0,2850000,1000,1,D,2849.0,2850.0
64,Iran.Mineral.P.,20021210,2992.0,2850.0,2992.0,4748718160,1587230,10,D,2850.0,2992.0
65,Iran.Mineral.P.,20021211,3141.0,2990.0,2991.0,5006700000,1595000,6,D,2992.0,2991.0
66,Iran.Mineral.P.,20021214,3100.0,3100.0,3100.0,4910710000,1584100,5,D,2991.0,3100.0
67,Iran.Mineral.P.,20021215,3120.0,3099.0,3099.0,2395278500,767865,11,D,3100.0,3099.0
68,Iran.Mineral.P.,20021216,3098.0,3098.0,3098.0,3560717280,1149360,9,D,3099.0,3098.0
69,Iran.Mineral.P.,20021217,2944.0,2944.0,2944.0,1177600000,400000,1,D,3098.0,2944.0
70,Iran.Mineral.P.,20021218,2943.0,2930.0,2930.0,295765000,100500,3,D,2944.0,2930.0
71,Iran.Mineral.P.,20021222,2880.0,2784.0,2784.0,48928320,17230,2,D,2930.0,2784.0
72,Iran.Mineral.P.,20021228,2645.0,2645.0,2645.0,2645000,1000,1,D,2784.0,2645.0
73,Iran.Mineral.P.,20021231,2636.0,2636.0,2636.0,843520,320,1,D,2645.0,2636.0
74,Iran.Mineral.P.,20030121,2586.0,2586.0,2586.0,1590390,615,1,D,2636.0,2586.0
75,Iran.Mineral.P.,20030201,2576.0,2576.0,2576.0,966000,375,4,D,2586.0,2576.0
76,Iran.Mineral.P.,20030202,2577.0,2577.0,2577.0,695790,270,1,D,2576.0,2577.0
77,Iran.Mineral.P.,20030308,2500.0,2500.0,2500.0,2500000,1000,1,D,2577.0,2500.0
78,Iran.Mineral.P.,20030310,2560.0,2545.0,2560.0,1476277830,576805,18,D,2500.0,2560.0
79,Iran.Mineral.P.,20030318,2432.0,2432.0,2432.0,4864000,2000,2,D,2560.0,2432.0
80,Iran.Mineral.P.,20030514,2600.0,2600.0,2600.0,2600000,1000,1,D,2432.0,2600.0
81,Iran.Mineral.P.,20030616,2600.0,2600.0,2600.0,650000,250,5,D,2600.0,2600.0
82,Iran.Mineral.P.,20030617,2600.0,2600.0,2600.0,130000,50,1,D,2600.0,2600.0
83,Iran.Mineral.P.,20030825,2650.0,2650.0,2650.0,2650000,1000,1,D,2600.0,2650.0
84,Iran.Mineral.P.,20030827,2700.0,2650.0,2700.0,3227305000,1195300,4,D,2650.0,2700.0
85,Iran.Mineral.P.,20031001,2780.0,2518.0,2636.0,2004144360,721010,3,D,2700.0,2636.0
86,Iran.Mineral.P.,20031202,2581.0,2505.0,2581.0,10045810,4010,3,D,2636.0,2581.0
87,Iran.Mineral.P.,20031224,2452.0,2452.0,2452.0,1937080000,790000,4,D,2581.0,2452.0
88,Iran.Mineral.P.,20031228,2330.0,2330.0,2330.0,23300000,10000,3,D,2452.0,2330.0
89,Iran.Mineral.P.,20040104,2314.0,2230.0,2314.0,3368140,1510,2,D,2330.0,2314.0
90,Iran.Mineral.P.,20040111,2328.0,2213.0,2244.0,103274640,46010,10,D,2314.0,2244.0
91,Iran.Mineral.P.,20040112,2328.0,2309.0,2309.0,17532327,7534,3,D,2244.0,2309.0
92,Iran.Mineral.P.,20040113,2424.0,2313.0,2313.0,932130,385,2,D,2309.0,2313.0
93,Iran.Mineral.P.,20040117,2428.0,2428.0,2428.0,34951060,14395,14,D,2313.0,2428.0
94,Iran.Mineral.P.,20040118,2505.0,2452.0,2454.0,20207065,8215,5,D,2428.0,2454.0
95,Iran.Mineral.P.,20040121,2576.0,2576.0,2576.0,25760000,10000,1,D,2454.0,2576.0
96,Iran.Mineral.P.,20040124,2704.0,2586.0,2586.0,2189060,810,3,D,2576.0,2586.0
97,Iran.Mineral.P.,20040126,2715.0,2715.0,2715.0,42348570,15598,3,D,2586.0,2715.0
98,Iran.Mineral.P.,20040127,2850.0,2850.0,2850.0,40951650,14369,5,D,2715.0,2850.0
99,Iran.Mineral.P.,20040201,2850.0,2850.0,2850.0,31350000,11000,2,D,2850.0,2850.0
100,Iran.Mineral.P.,20040208,2853.0,2851.0,2852.0,30206275,10590,7,D,2850.0,2852.0
101,Iran.Mineral.P.,20040209,2994.0,2994.0,2994.0,29940000,10000,1,D,2852.0,2994.0
102,Iran.Mineral.P.,20040214,3143.0,3143.0,3143.0,31430000,10000,2,D,2994.0,3143.0
103,Iran.Mineral.P.,20040221,5800.0,5040.0,5293.0,15932930,3010,5,D,3143.0,5293.0
104,Iran.Mineral.P.,20040222,5282.0,5029.0,5282.0,2034246,404,2,D,5293.0,5282.0
105,Iran.Mineral.P.,20040223,5280.0,5018.0,5280.0,253520,50,2,D,5282.0,5280.0
106,Iran.Mineral.P.,20040228,5060.0,5016.0,5060.0,35162600,7010,4,D,5280.0,5060.0
107,Iran.Mineral.P.,20040229,5313.0,4807.0,5050.0,453687861,89837,22,D,5060.0,5050.0
108,Iran.Mineral.P.,20040303,5302.0,5302.0,5302.0,313957930,59215,12,D,5050.0,5302.0
109,Iran.Mineral.P.,20040306,5351.0,5302.0,5307.0,348947756,65748,20,D,5302.0,5307.0
110,Iran.Mineral.P.,20040307,5303.0,5302.0,5302.0,44780390,8445,3,D,5307.0,5302.0
111,Iran.Mineral.P.,20040308,5304.0,5302.0,5302.0,6029628,1137,3,D,5302.0,5302.0
112,Iran.Mineral.P.,20040309,5302.0,5302.0,5302.0,132550000,25000,3,D,5302.0,5302.0
113,Iran.Mineral.P.,20040310,5303.0,5299.0,5299.0,116808832,22040,23,D,5302.0,5299.0
114,Iran.Mineral.P.,20040313,5299.0,5200.0,5210.0,50409100,9675,6,D,5299.0,5210.0
115,Iran.Mineral.P.,20040314,5209.0,5100.0,5181.0,72372323,13967,4,D,5210.0,5181.0
116,Iran.Mineral.P.,20040315,5181.0,5030.0,5101.0,2995483760,578760,19,D,5181.0,5101.0
117,Iran.Mineral.P.,20040316,5105.0,5100.0,5101.0,43384250,8505,10,D,5101.0,5101.0
118,Iran.Mineral.P.,20040317,5105.0,5100.0,5101.0,112200950,21995,12,D,5101.0,5101.0
119,Iran.Mineral.P.,20040327,5356.0,5356.0,5356.0,53560000,10000,2,D,5101.0,5356.0
120,Iran.Mineral.P.,20040328,5623.0,5623.0,5623.0,370516339,65893,18,D,5356.0,5623.0
121,Iran.Mineral.P.,20040329,5904.0,5904.0,5904.0,2066400000,350000,73,D,5623.0,5904.0
122,Iran.Mineral.P.,20040330,6199.0,6199.0,6199.0,309950000,50000,12,D,5904.0,6199.0
123,Iran.Mineral.P.,20040403,6508.0,6508.0,6508.0,109353924,16803,13,D,6199.0,6508.0
124,Iran.Mineral.P.,20040404,6833.0,6833.0,6833.0,136660000,20000,22,D,6508.0,6833.0
125,Iran.Mineral.P.,20040405,7174.0,7174.0,7174.0,860880000,120000,73,D,6833.0,7174.0
126,Iran.Mineral.P.,20040406,7532.0,7532.0,7532.0,1355760000,180000,121,D,7174.0,7532.0
127,Iran.Mineral.P.,20040407,7908.0,7908.0,7908.0,2359763016,298402,166,D,7532.0,7908.0
128,Iran.Mineral.P.,20040410,8303.0,8303.0,8303.0,1365843500,164500,61,D,7908.0,8303.0
129,Iran.Mineral.P.,20040412,8718.0,8201.0,8651.0,7258192232,838976,215,D,8303.0,8651.0
130,Iran.Mineral.P.,20040413,8219.0,8219.0,8219.0,1074921915,130785,96,D,8651.0,8219.0
131,Iran.Mineral.P.,20040414,8629.0,8209.0,8522.0,1553637870,182300,77,D,8219.0,8522.0
132,Iran.Mineral.P.,20040417,8948.0,8580.0,8766.0,1491375016,170122,72,D,8522.0,8766.0
