,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Parenteral,20010327,8623.0,8623.0,8623.0,1724600,200,2,D,0.0,8623.0
1,Iran.Parenteral,20010328,8626.0,8625.0,8625.0,12075105,1400,5,D,8623.0,8625.0
2,Iran.Parenteral,20010418,8632.0,8632.0,8632.0,863200,100,1,D,8625.0,8632.0
3,Iran.Parenteral,20010430,8632.0,8632.0,8632.0,7725640,895,2,D,8632.0,8632.0
4,Iran.Parenteral,20010506,8632.0,8632.0,8632.0,12948000,1500,3,D,8632.0,8632.0
5,Iran.Parenteral,20010508,8631.0,8631.0,8631.0,1726200,200,1,D,8632.0,8631.0
6,Iran.Parenteral,20010513,8630.0,8200.0,8629.0,20688450,2400,286,D,8631.0,8629.0
7,Iran.Parenteral,20010515,8201.0,8201.0,8201.0,4510550,550,2,D,8629.0,8201.0
8,Iran.Parenteral,20010516,8202.0,8201.0,8202.0,6151100,750,2,D,8201.0,8202.0
9,Iran.Parenteral,20010520,8612.0,8612.0,8612.0,31003200,3600,3,D,8202.0,8612.0
10,Iran.Parenteral,20010521,8627.0,8627.0,8627.0,3450800,400,1,D,8612.0,8627.0
11,Iran.Parenteral,20010528,9058.0,9058.0,9058.0,10869600,1200,4,D,8627.0,9058.0
12,Iran.Parenteral,20010529,9284.0,9284.0,9284.0,46420000,5000,2,D,9058.0,9284.0
13,Iran.Parenteral,20010530,9284.0,9284.0,9284.0,8355600,900,3,D,9284.0,9284.0
14,Iran.Parenteral,20010602,9248.0,9248.0,9248.0,2774400,300,1,D,9284.0,9248.0
15,Iran.Parenteral,20010603,9248.0,9248.0,9248.0,4624000,500,1,D,9248.0,9248.0
16,Iran.Parenteral,20010611,9248.0,9248.0,9248.0,5632032,609,2,D,9248.0,9248.0
17,Iran.Parenteral,20010709,9250.0,9250.0,9250.0,1017500,110,1,D,9248.0,9250.0
18,Iran.Parenteral,20010714,9300.0,9300.0,9300.0,1395000,150,1,D,9250.0,9300.0
19,Iran.Parenteral,20010721,9300.0,9300.0,9300.0,930000,100,1,D,9300.0,9300.0
20,Iran.Parenteral,20010722,9350.0,9300.0,9350.0,32650500,3500,14,D,9300.0,9350.0
21,Iran.Parenteral,20010730,9817.0,9817.0,9817.0,17474260,1780,5,D,9350.0,9817.0
22,Iran.Parenteral,20010731,9817.0,9817.0,9817.0,10887053,1109,2,D,9817.0,9817.0
23,Iran.Parenteral,20010801,9822.0,9817.0,9822.0,256969740,26170,6,D,9817.0,9822.0
24,Iran.Parenteral,20010804,9823.0,9823.0,9823.0,4911500,500,1,D,9822.0,9823.0
25,Iran.Parenteral,20010808,9822.0,9822.0,9822.0,5893200,600,1,D,9823.0,9822.0
26,Iran.Parenteral,20010828,9822.0,9822.0,9822.0,11786400,1200,4,D,9822.0,9822.0
27,Iran.Parenteral,20010902,10000.0,9822.0,10000.0,43394800,4400,3,D,9822.0,10000.0
28,Iran.Parenteral,20011007,4500.0,4500.0,4500.0,4500000,1000,1,D,10000.0,4500.0
29,Iran.Parenteral,20011022,4612.0,4612.0,4612.0,4612000,1000,1,D,4500.0,4612.0
30,Iran.Parenteral,20011023,4727.0,4727.0,4727.0,11344800,2400,2,D,4612.0,4727.0
31,Iran.Parenteral,20011118,4845.0,4845.0,4845.0,2422500,500,4,D,4727.0,4845.0
32,Iran.Parenteral,20011121,4966.0,4966.0,4966.0,14898000,3000,5,D,4845.0,4966.0
33,Iran.Parenteral,20011124,4970.0,4970.0,4970.0,14910000,3000,1,D,4966.0,4970.0
34,Iran.Parenteral,20011126,5094.0,5094.0,5094.0,5195880,1020,2,D,4970.0,5094.0
35,Iran.Parenteral,20011205,5221.0,5221.0,5221.0,7204980,1380,3,D,5094.0,5221.0
36,Iran.Parenteral,20011208,5273.0,5273.0,5273.0,15819000,3000,3,D,5221.0,5273.0
37,Iran.Parenteral,20011218,5325.0,5325.0,5325.0,2130000,400,2,D,5273.0,5325.0
38,Iran.Parenteral,20011225,5378.0,5378.0,5378.0,2151200,400,1,D,5325.0,5378.0
39,Iran.Parenteral,20020105,5431.0,5431.0,5431.0,2878430,530,1,D,5378.0,5431.0
40,Iran.Parenteral,20020112,5485.0,5431.0,5431.0,2889230,530,18,D,5431.0,5431.0
41,Iran.Parenteral,20020113,5485.0,5485.0,5485.0,8666300,1580,4,D,5431.0,5485.0
42,Iran.Parenteral,20020312,4000.0,4000.0,4000.0,2000000,500,1,D,5485.0,4000.0
43,Iran.Parenteral,20020610,4040.0,4040.0,4040.0,2020000,500,1,D,4000.0,4040.0
44,Iran.Parenteral,20020624,4080.0,4080.0,4080.0,816000,200,1,D,4040.0,4080.0
45,Iran.Parenteral,20020626,4182.0,4182.0,4182.0,14469720,3460,8,D,4080.0,4182.0
46,Iran.Parenteral,20020707,4286.0,4286.0,4286.0,1714400,400,1,D,4182.0,4286.0
47,Iran.Parenteral,20020709,4393.0,4393.0,4393.0,1757200,400,1,D,4286.0,4393.0
48,Iran.Parenteral,20020727,5501.0,5022.0,5501.0,7222400,1400,2,D,4393.0,5501.0
49,Iran.Parenteral,20020807,7600.0,7600.0,7600.0,3800000,500,1,D,5501.0,7600.0
50,Iran.Parenteral,20020910,7980.0,7980.0,7980.0,15960000,2000,1,D,7600.0,7980.0
51,Iran.Parenteral,20020911,8379.0,8379.0,8379.0,41895000,5000,1,D,7980.0,8379.0
52,Iran.Parenteral,20020914,8379.0,8379.0,8379.0,8379000,1000,1,D,8379.0,8379.0
53,Iran.Parenteral,20020915,8379.0,8379.0,8379.0,4985505,595,1,D,8379.0,8379.0
54,Iran.Parenteral,20020917,8500.0,8370.0,8500.0,69828050,8265,6,D,8379.0,8500.0
55,Iran.Parenteral,20021027,8495.0,8495.0,8495.0,25485000,3000,3,D,8500.0,8495.0
56,Iran.Parenteral,20021028,8498.0,8498.0,8498.0,8498000,1000,2,D,8495.0,8498.0
57,Iran.Parenteral,20021029,8500.0,8498.0,8499.0,57168548,6726,3,D,8498.0,8499.0
58,Iran.Parenteral,20021102,8500.0,8499.0,8500.0,87549700,10300,4,D,8499.0,8500.0
59,Iran.Parenteral,20021111,8925.0,8925.0,8925.0,8925000,1000,1,D,8500.0,8925.0
60,Iran.Parenteral,20021112,9371.0,9371.0,9371.0,9558420,1020,1,D,8925.0,9371.0
61,Iran.Parenteral,20021116,9838.0,9838.0,9838.0,78704000,8000,2,D,9371.0,9838.0
62,Iran.Parenteral,20021117,9839.0,9839.0,9839.0,15742400,1600,2,D,9838.0,9839.0
63,Iran.Parenteral,20021211,9348.0,9348.0,9348.0,4954440,530,1,D,9839.0,9348.0
64,Iran.Parenteral,20030104,8881.0,8881.0,8881.0,12859688,1448,3,D,9348.0,8881.0
