,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Glucosan,20010326,30000.0,30000.0,30000.0,15000000,500,1,D,0.0,30000.0
1,Glucosan,20010331,29997.0,29600.0,29600.0,65499400,2200,14,D,30000.0,29600.0
2,Glucosan,20010403,29600.0,29501.0,29501.0,61991504,2096,5,D,29600.0,29501.0
3,Glucosan,20010407,29400.0,29000.0,29000.0,54245400,1862,6,D,29501.0,29000.0
4,Glucosan,20010408,29000.0,29000.0,29000.0,39092000,1348,6,D,29000.0,29000.0
5,Glucosan,20010409,29001.0,29001.0,29001.0,18502638,638,2,D,29000.0,29001.0
6,Glucosan,20010410,29002.0,29002.0,29002.0,29002000,1000,2,D,29001.0,29002.0
7,Glucosan,20010411,29500.0,29500.0,29500.0,44250000,1500,4,D,29002.0,29500.0
8,Glucosan,20010415,30000.0,30000.0,30000.0,63750000,2125,1,D,29500.0,30000.0
9,Glucosan,20010416,30400.0,30400.0,30400.0,76000000,2500,1,D,30000.0,30400.0
10,Glucosan,20010421,31202.0,31201.0,31201.0,31201500,1000,2,D,30400.0,31201.0
11,Glucosan,20010422,31580.0,31201.0,31580.0,66090900,2100,7,D,31201.0,31580.0
12,Glucosan,20010424,31820.0,31820.0,31820.0,31820000,1000,1,D,31580.0,31820.0
13,Glucosan,20010428,32308.0,32301.0,32301.0,200281842,6200,6,D,31820.0,32301.0
14,Glucosan,20010429,32750.0,32000.0,32738.0,212972926,6532,7,D,32301.0,32738.0
15,Glucosan,20010430,32200.0,31950.0,31950.0,41635000,1300,5,D,32738.0,31950.0
16,Glucosan,20010501,31550.0,31400.0,31400.0,69412300,2207,5,D,31950.0,31400.0
17,Glucosan,20010502,31400.0,31350.0,31350.0,40808931,1300,4,D,31400.0,31350.0
18,Glucosan,20010505,31850.0,31349.0,31850.0,152362600,4819,8,D,31350.0,31850.0
19,Glucosan,20010506,32000.0,31800.0,32000.0,90108880,2823,11,D,31850.0,32000.0
20,Glucosan,20010508,31999.0,31990.0,31999.0,68785450,2150,5,D,32000.0,31999.0
21,Glucosan,20010513,31500.0,31500.0,31500.0,31500000,1000,2,D,31999.0,31500.0
22,Glucosan,20010515,31999.0,31500.0,31500.0,117285714,3690,14,D,31500.0,31500.0
23,Glucosan,20010519,31500.0,31500.0,31500.0,7875000,250,2,D,31500.0,31500.0
24,Glucosan,20010520,31500.0,31500.0,31500.0,16947000,538,3,D,31500.0,31500.0
25,Glucosan,20010521,31500.0,31000.0,31500.0,218247000,6936,7,D,31500.0,31500.0
26,Glucosan,20010527,31990.0,31990.0,31990.0,159950000,5000,1,D,31500.0,31990.0
27,Glucosan,20010529,31990.0,31990.0,31990.0,2495220,78,1,D,31990.0,31990.0
28,Glucosan,20010603,31981.0,31500.0,31889.0,79633900,2513,8,D,31990.0,31889.0
29,Glucosan,20010611,31879.0,31879.0,31879.0,4463060,140,1,D,31889.0,31879.0
30,Glucosan,20010623,31500.0,31490.0,31499.0,35119480,1115,3,D,31879.0,31499.0
31,Glucosan,20010801,31500.0,31500.0,31500.0,39438000,1252,6,D,31499.0,31500.0
32,Glucosan,20010805,31500.0,31500.0,31500.0,72009000,2286,3,D,31500.0,31500.0
33,Glucosan,20010806,31500.0,31500.0,31500.0,2457000,78,1,D,31500.0,31500.0
34,Glucosan,20010807,31500.0,31497.0,31500.0,18206216,578,4,D,31500.0,31500.0
35,Glucosan,20010808,31500.0,31500.0,31500.0,3150000,100,1,D,31500.0,31500.0
36,Glucosan,20010820,31398.0,31398.0,31398.0,58086300,1850,2,D,31500.0,31398.0
37,Glucosan,20010821,31398.0,31398.0,31398.0,33909840,1080,3,D,31398.0,31398.0
38,Glucosan,20010822,31398.0,31398.0,31398.0,5337660,170,2,D,31398.0,31398.0
39,Glucosan,20010825,31399.0,31399.0,31399.0,56926387,1813,5,D,31398.0,31399.0
40,Glucosan,20010826,31401.0,31399.0,31400.0,31399509,1000,5,D,31399.0,31400.0
41,Glucosan,20010828,31400.0,31398.0,31400.0,45842540,1460,3,D,31400.0,31400.0
42,Glucosan,20010829,31400.0,31400.0,31400.0,18212000,580,1,D,31400.0,31400.0
43,Glucosan,20010902,31400.0,31397.0,31400.0,82265940,2620,5,D,31400.0,31400.0
44,Glucosan,20010905,31400.0,31397.0,31400.0,118245140,3766,6,D,31400.0,31400.0
