,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ghadir.Inv.,20010325,2092.0,2080.0,2080.0,7324367662,3517466,674,D,0.0,2080.0
1,Ghadir.Inv.,20010326,2129.0,2110.0,2120.0,3542229880,1668174,355,D,2080.0,2120.0
2,Ghadir.Inv.,20010327,2167.0,2160.0,2162.0,2380459733,1100650,271,D,2120.0,2162.0
3,Ghadir.Inv.,20010328,2216.0,2187.0,2200.0,4215078153,1908011,505,D,2162.0,2200.0
4,Ghadir.Inv.,20010331,2241.0,2202.0,2203.0,1399749078,629241,271,D,2200.0,2203.0
5,Ghadir.Inv.,20010403,2237.0,2202.0,2209.0,640111949,289296,124,D,2203.0,2209.0
6,Ghadir.Inv.,20010407,2212.0,2180.0,2211.0,1191637165,541973,191,D,2209.0,2211.0
7,Ghadir.Inv.,20010408,2290.0,2210.0,2255.0,1777136781,789440,208,D,2211.0,2255.0
8,Ghadir.Inv.,20010409,2315.0,2273.0,2300.0,3256193029,1414393,326,D,2255.0,2300.0
9,Ghadir.Inv.,20010410,2370.0,2305.0,2340.0,3752315504,1597273,375,D,2300.0,2340.0
10,Ghadir.Inv.,20010411,2400.0,2341.0,2380.0,1792603447,751743,252,D,2340.0,2380.0
11,Ghadir.Inv.,20010414,2450.0,2400.0,2421.0,3108702784,1278437,291,D,2380.0,2421.0
12,Ghadir.Inv.,20010415,2471.0,2380.0,2414.0,3531104201,1461253,461,D,2421.0,2414.0
13,Ghadir.Inv.,20010416,2449.0,2375.0,2433.0,1746232471,726746,312,D,2414.0,2433.0
14,Ghadir.Inv.,20010417,2489.0,2425.0,2442.0,3565010180,1446829,330,D,2433.0,2442.0
15,Ghadir.Inv.,20010418,2480.0,2461.0,2480.0,1743798637,705998,288,D,2442.0,2480.0
16,Ghadir.Inv.,20010421,2501.0,2475.0,2491.0,2589982735,1041179,323,D,2480.0,2491.0
17,Ghadir.Inv.,20010422,2500.0,2450.0,2465.0,2827615433,1143919,290,D,2491.0,2465.0
18,Ghadir.Inv.,20010423,2465.0,2422.0,2460.0,3928575949,1606026,314,D,2465.0,2460.0
19,Ghadir.Inv.,20010424,2480.0,2449.0,2480.0,1726670624,700283,198,D,2460.0,2480.0
