,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khoy.Sugar.Co.,20010515,6100.0,6100.0,6100.0,7112600,1166,2,D,6100.0,6100.0
1,Khoy.Sugar.Co.,20010520,6100.0,6100.0,6100.0,88572000,14520,3,D,6100.0,6100.0
2,Khoy.Sugar.Co.,20010925,6100.0,6100.0,6100.0,536800,88,3,D,6100.0,6100.0
3,Khoy.Sugar.Co.,20011218,6301.0,6000.0,6301.0,4072695,669,4,D,6100.0,6301.0
4,Khoy.Sugar.Co.,20011219,6301.0,6301.0,6301.0,1234996,196,1,D,6301.0,6301.0
5,Khoy.Sugar.Co.,20020319,5500.0,5500.0,5500.0,1100000,200,1,D,6301.0,5500.0
6,Khoy.Sugar.Co.,20020722,5775.0,5775.0,5775.0,1663200,288,1,D,5500.0,5775.0
7,Khoy.Sugar.Co.,20021102,5800.0,5800.0,5800.0,1821200,314,3,D,5775.0,5800.0
8,Khoy.Sugar.Co.,20030108,2900.0,2900.0,2900.0,2320000,800,1,D,5800.0,2900.0
9,Khoy.Sugar.Co.,20030119,2900.0,2900.0,2900.0,171100,59,1,D,2900.0,2900.0
10,Khoy.Sugar.Co.,20030317,2901.0,2901.0,2901.0,570458442,196642,1,D,2900.0,2901.0
11,Khoy.Sugar.Co.,20030413,2902.0,2902.0,2902.0,145100,50,1,D,2901.0,2902.0
12,Khoy.Sugar.Co.,20030624,3000.0,3000.0,3000.0,354000,118,1,D,2902.0,3000.0
13,Khoy.Sugar.Co.,20030702,3150.0,3150.0,3150.0,7402500,2350,13,D,3000.0,3150.0
14,Khoy.Sugar.Co.,20030727,3307.0,3307.0,3307.0,139958854,42322,21,D,3150.0,3307.0
15,Khoy.Sugar.Co.,20030827,4300.0,3472.0,3472.0,994033152,244566,9,D,3307.0,3472.0
16,Khoy.Sugar.Co.,20030902,3645.0,3645.0,3645.0,227316780,62364,9,D,3472.0,3645.0
17,Khoy.Sugar.Co.,20030916,4300.0,3645.0,3645.0,735678950,171148,5,D,3645.0,3645.0
18,Khoy.Sugar.Co.,20030917,3645.0,3645.0,3645.0,364500,100,1,D,3645.0,3645.0
19,Khoy.Sugar.Co.,20030929,3463.0,3463.0,3463.0,32566052,9404,2,D,3645.0,3463.0
20,Khoy.Sugar.Co.,20031008,3463.0,3463.0,3463.0,14080558,4066,1,D,3463.0,3463.0
21,Khoy.Sugar.Co.,20031014,3636.0,3546.0,3546.0,6398460,1760,6,D,3463.0,3546.0
22,Khoy.Sugar.Co.,20031101,3723.0,3723.0,3723.0,37230000,10000,2,D,3546.0,3723.0
23,Khoy.Sugar.Co.,20031102,3723.0,3723.0,3723.0,80759316,21692,3,D,3723.0,3723.0
24,Khoy.Sugar.Co.,20031103,3723.0,3723.0,3723.0,614295000,165000,3,D,3723.0,3723.0
25,Khoy.Sugar.Co.,20031109,3909.0,3909.0,3909.0,134618142,34438,5,D,3723.0,3909.0
26,Khoy.Sugar.Co.,20031207,3920.0,3920.0,3920.0,2124640,542,3,D,3909.0,3920.0
27,Khoy.Sugar.Co.,20031208,4116.0,4116.0,4116.0,2881183536,699996,93,D,3920.0,4116.0
28,Khoy.Sugar.Co.,20031229,4321.0,4250.0,4250.0,10309196,2386,2,D,4116.0,4250.0
29,Khoy.Sugar.Co.,20040106,4462.0,4404.0,4404.0,11823720,2650,2,D,4250.0,4404.0
30,Khoy.Sugar.Co.,20040112,4624.0,4434.0,4434.0,2356340,510,2,D,4404.0,4434.0
31,Khoy.Sugar.Co.,20040121,4655.0,4655.0,4655.0,14020636560,3011952,392,D,4434.0,4655.0
32,Khoy.Sugar.Co.,20040317,4887.0,2860.0,4719.0,89312770,30513,145,D,4655.0,4719.0
33,Khoy.Sugar.Co.,20040508,9500.0,9500.0,9500.0,14250000,1500,2,D,4719.0,9500.0
34,Khoy.Sugar.Co.,20040510,9975.0,9598.0,9598.0,10070980,1010,2,D,9500.0,9598.0
35,Khoy.Sugar.Co.,20040511,9976.0,9976.0,9976.0,270748640,27140,4,D,9598.0,9976.0
36,Khoy.Sugar.Co.,20040517,10474.0,10000.0,10000.0,2571864,246,3,D,9976.0,10000.0
37,Khoy.Sugar.Co.,20040519,10500.0,10286.0,10286.0,29124860,2774,2,D,10000.0,10286.0
38,Khoy.Sugar.Co.,20040801,10501.0,10500.0,10500.0,70728236,6736,4,D,10286.0,10500.0
39,Khoy.Sugar.Co.,20040811,10500.0,10500.0,10500.0,3297000,314,2,D,10500.0,10500.0
40,Khoy.Sugar.Co.,20041101,11000.0,11000.0,11000.0,13519000,1229,3,D,10500.0,11000.0
41,Khoy.Sugar.Co.,20041107,11000.0,11000.0,11000.0,1855579000,168689,3,D,11000.0,11000.0
42,Khoy.Sugar.Co.,20041215,7500.0,7500.0,7500.0,750000,100,1,D,11000.0,7500.0
43,Khoy.Sugar.Co.,20041228,7875.0,7500.0,7874.0,2289731240,290772,7,D,7500.0,7874.0
44,Khoy.Sugar.Co.,20050105,8267.0,7894.0,7894.0,4212440,510,2,D,7874.0,7894.0
45,Khoy.Sugar.Co.,20050110,8288.0,8098.0,8098.0,41601960,5020,4,D,7894.0,8098.0
46,Khoy.Sugar.Co.,20050111,8502.0,8502.0,8502.0,9313941000,1095500,9,D,8098.0,8502.0
47,Khoy.Sugar.Co.,20050116,8502.0,8502.0,8502.0,212550000,25000,3,D,8502.0,8502.0
48,Khoy.Sugar.Co.,20050122,8600.0,8509.0,8509.0,6722930,782,3,D,8502.0,8509.0
49,Khoy.Sugar.Co.,20050124,8650.0,8538.0,8538.0,17385380,2010,2,D,8509.0,8538.0
50,Khoy.Sugar.Co.,20050126,8964.0,8758.0,8758.0,44907580,5010,2,D,8538.0,8758.0
51,Khoy.Sugar.Co.,20050207,8900.0,8831.0,8831.0,44588310,5010,3,D,8758.0,8831.0
52,Khoy.Sugar.Co.,20050213,9000.0,8840.0,8840.0,5200400,578,2,D,8831.0,8840.0
