,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Marvdasht.Sugar,20010407,2196.0,2196.0,2196.0,1251720,570,1,D,2196.0,2196.0
1,Marvdasht.Sugar,20010421,2130.0,2127.0,2127.0,3321000,1560,6,D,2196.0,2127.0
2,Marvdasht.Sugar,20010424,2114.0,2114.0,2114.0,2114000,1000,2,D,2127.0,2114.0
3,Marvdasht.Sugar,20010506,2087.0,2086.0,2086.0,10223300,4900,2,D,2114.0,2086.0
4,Marvdasht.Sugar,20010507,2080.0,2078.0,2080.0,6236739,3000,7,D,2086.0,2080.0
5,Marvdasht.Sugar,20010508,2080.0,2079.0,2080.0,4158805,2000,3,D,2080.0,2080.0
6,Marvdasht.Sugar,20010509,2079.0,2075.0,2079.0,9345716,4500,11,D,2080.0,2079.0
7,Marvdasht.Sugar,20010516,2079.0,2079.0,2079.0,187110,90,1,D,2079.0,2079.0
8,Marvdasht.Sugar,20010529,2047.0,2047.0,2047.0,2132974,1042,1,D,2079.0,2047.0
9,Marvdasht.Sugar,20010602,2000.0,2000.0,2000.0,1500000,750,5,D,2047.0,2000.0
10,Marvdasht.Sugar,20010603,1900.0,1900.0,1900.0,5700000,3000,4,D,2000.0,1900.0
11,Marvdasht.Sugar,20010609,1900.0,1900.0,1900.0,184300,97,1,D,1900.0,1900.0
12,Marvdasht.Sugar,20010613,1899.0,1899.0,1899.0,3608100,1900,1,D,1900.0,1899.0
13,Marvdasht.Sugar,20010618,1897.0,1897.0,1897.0,3794000,2000,3,D,1899.0,1897.0
14,Marvdasht.Sugar,20010619,1899.0,1897.0,1899.0,3227001,1700,5,D,1897.0,1899.0
15,Marvdasht.Sugar,20010626,1898.0,1898.0,1898.0,569400,300,2,D,1899.0,1898.0
16,Marvdasht.Sugar,20010627,1896.0,1896.0,1896.0,7584000,4000,3,D,1898.0,1896.0
17,Marvdasht.Sugar,20010704,1893.0,1893.0,1893.0,9928785,5245,2,D,1896.0,1893.0
18,Marvdasht.Sugar,20010707,1899.0,1889.0,1899.0,3785163,2000,5,D,1893.0,1899.0
19,Marvdasht.Sugar,20010708,1899.0,1899.0,1899.0,189900,100,3,D,1899.0,1899.0
20,Marvdasht.Sugar,20010709,1900.0,1899.0,1900.0,12661562,6664,8,D,1899.0,1900.0
21,Marvdasht.Sugar,20010710,1900.0,1900.0,1900.0,8477800,4462,5,D,1900.0,1900.0
22,Marvdasht.Sugar,20010717,1900.0,1450.0,1900.0,7004000,4628,68,D,1900.0,1900.0
23,Marvdasht.Sugar,20010718,1900.0,1900.0,1900.0,494000,260,1,D,1900.0,1900.0
24,Marvdasht.Sugar,20010721,1850.0,1850.0,1850.0,3866500,2090,1,D,1900.0,1850.0
25,Marvdasht.Sugar,20010722,1851.0,1850.0,1850.0,14863900,8034,4,D,1850.0,1850.0
26,Marvdasht.Sugar,20010728,1850.0,1850.0,1850.0,33300,18,1,D,1850.0,1850.0
27,Marvdasht.Sugar,20010729,1851.0,1850.0,1850.0,1928238,1042,5,D,1850.0,1850.0
28,Marvdasht.Sugar,20010731,1850.0,1850.0,1850.0,3866500,2090,2,D,1850.0,1850.0
29,Marvdasht.Sugar,20010804,1850.0,1850.0,1850.0,138750,75,1,D,1850.0,1850.0
30,Marvdasht.Sugar,20010806,1850.0,1850.0,1850.0,1850000,1000,1,D,1850.0,1850.0
31,Marvdasht.Sugar,20010807,1900.0,1900.0,1900.0,11400000,6000,3,D,1850.0,1900.0
32,Marvdasht.Sugar,20010808,1900.0,1900.0,1900.0,134900,71,1,D,1900.0,1900.0
33,Marvdasht.Sugar,20010820,1995.0,1995.0,1995.0,997500,500,1,D,1900.0,1995.0
34,Marvdasht.Sugar,20010821,2000.0,2000.0,2000.0,584000,292,1,D,1995.0,2000.0
35,Marvdasht.Sugar,20010822,2013.0,2013.0,2013.0,4207170,2090,1,D,2000.0,2013.0
36,Marvdasht.Sugar,20010827,2113.0,2113.0,2113.0,1056500,500,1,D,2013.0,2113.0
37,Marvdasht.Sugar,20010828,2218.0,2120.0,2218.0,4463021,2039,4,D,2113.0,2218.0
38,Marvdasht.Sugar,20010829,2328.0,2328.0,2328.0,4642032,1994,3,D,2218.0,2328.0
39,Marvdasht.Sugar,20010901,2444.0,2444.0,2444.0,14935284,6111,7,D,2328.0,2444.0
40,Marvdasht.Sugar,20010902,2444.0,2441.0,2444.0,31081183,12723,10,D,2444.0,2444.0
41,Marvdasht.Sugar,20010903,2350.0,2350.0,2350.0,4277000,1820,2,D,2444.0,2350.0
42,Marvdasht.Sugar,20010904,2350.0,2350.0,2350.0,2380550,1013,1,D,2350.0,2350.0
43,Marvdasht.Sugar,20010905,2300.0,2295.0,2300.0,9335780,4065,4,D,2350.0,2300.0
44,Marvdasht.Sugar,20010911,2320.0,2320.0,2320.0,7888000,3400,5,D,2300.0,2320.0
45,Marvdasht.Sugar,20010912,2320.0,2320.0,2320.0,4138880,1784,2,D,2320.0,2320.0
46,Marvdasht.Sugar,20010917,2318.0,2318.0,2318.0,616588,266,1,D,2320.0,2318.0
47,Marvdasht.Sugar,20010919,2317.0,2317.0,2317.0,231700,100,1,D,2318.0,2317.0
48,Marvdasht.Sugar,20010922,2320.0,2316.0,2320.0,11553394,4986,6,D,2317.0,2320.0
49,Marvdasht.Sugar,20010923,2320.0,2320.0,2320.0,1821200,785,3,D,2320.0,2320.0
50,Marvdasht.Sugar,20010926,2316.0,2315.0,2315.0,14538205,6280,2,D,2320.0,2315.0
51,Marvdasht.Sugar,20011016,2200.0,2200.0,2200.0,7141200,3246,4,D,2315.0,2200.0
52,Marvdasht.Sugar,20011017,2200.0,2200.0,2200.0,2200000,1000,2,D,2200.0,2200.0
53,Marvdasht.Sugar,20011020,2200.0,2200.0,2200.0,10065000,4575,5,D,2200.0,2200.0
54,Marvdasht.Sugar,20011021,2207.0,2202.0,2207.0,6937105,3145,2,D,2200.0,2207.0
55,Marvdasht.Sugar,20011022,2310.0,2310.0,2310.0,4851000,2100,1,D,2207.0,2310.0
56,Marvdasht.Sugar,20011023,2322.0,2320.0,2320.0,38753500,16700,5,D,2310.0,2320.0
57,Marvdasht.Sugar,20011024,2320.0,2320.0,2320.0,13630000,5875,13,D,2320.0,2320.0
58,Marvdasht.Sugar,20011031,2316.0,2310.0,2316.0,7594847,3282,6,D,2320.0,2316.0
59,Marvdasht.Sugar,20011103,2316.0,2298.0,2316.0,62179623,26913,12,D,2316.0,2316.0
60,Marvdasht.Sugar,20011104,2316.0,2316.0,2316.0,2378532,1027,2,D,2316.0,2316.0
61,Marvdasht.Sugar,20011106,2204.0,2204.0,2204.0,2598516,1179,3,D,2316.0,2204.0
62,Marvdasht.Sugar,20011107,2208.0,2205.0,2205.0,33574035,15211,15,D,2204.0,2205.0
63,Marvdasht.Sugar,20011110,2205.0,2205.0,2205.0,1102500,500,1,D,2205.0,2205.0
64,Marvdasht.Sugar,20011111,2204.0,2204.0,2204.0,2325220,1055,2,D,2205.0,2204.0
65,Marvdasht.Sugar,20011112,2203.0,2200.0,2203.0,56348500,25582,15,D,2204.0,2203.0
66,Marvdasht.Sugar,20020422,1500.0,1500.0,1500.0,750000,500,1,D,2203.0,1500.0
67,Marvdasht.Sugar,20020427,1575.0,1575.0,1575.0,1575000,1000,1,D,1500.0,1575.0
68,Marvdasht.Sugar,20020508,1653.0,1653.0,1653.0,628140,380,2,D,1575.0,1653.0
69,Marvdasht.Sugar,20020525,1735.0,1735.0,1735.0,3626150,2090,1,D,1653.0,1735.0
70,Marvdasht.Sugar,20020526,1821.0,1821.0,1821.0,2791593,1533,2,D,1735.0,1821.0
71,Marvdasht.Sugar,20020527,1912.0,1912.0,1912.0,1912000,1000,2,D,1821.0,1912.0
72,Marvdasht.Sugar,20020528,2007.0,2007.0,2007.0,5055633,2519,3,D,1912.0,2007.0
73,Marvdasht.Sugar,20020529,2107.0,2107.0,2107.0,2119642,1006,3,D,2007.0,2107.0
74,Marvdasht.Sugar,20020601,2212.0,2212.0,2212.0,2212000,1000,1,D,2107.0,2212.0
75,Marvdasht.Sugar,20020602,2322.0,2322.0,2322.0,2507760,1080,2,D,2212.0,2322.0
76,Marvdasht.Sugar,20020608,2438.0,2438.0,2438.0,2925600,1200,3,D,2322.0,2438.0
77,Marvdasht.Sugar,20020609,2498.0,2498.0,2498.0,3921860,1570,2,D,2438.0,2498.0
78,Marvdasht.Sugar,20020610,2560.0,2560.0,2560.0,2560000,1000,2,D,2498.0,2560.0
79,Marvdasht.Sugar,20020611,2624.0,2624.0,2624.0,2624000,1000,1,D,2560.0,2624.0
80,Marvdasht.Sugar,20020612,2689.0,2689.0,2689.0,6684854,2486,4,D,2624.0,2689.0
81,Marvdasht.Sugar,20020616,2756.0,2756.0,2756.0,826800,300,1,D,2689.0,2756.0
82,Marvdasht.Sugar,20020617,2824.0,2756.0,2756.0,108452996,38796,26,D,2756.0,2756.0
83,Marvdasht.Sugar,20020618,2756.0,2755.0,2755.0,43910448,15933,18,D,2756.0,2755.0
84,Marvdasht.Sugar,20020619,2688.0,2687.0,2687.0,8442190,3141,8,D,2755.0,2687.0
85,Marvdasht.Sugar,20020623,2620.0,2620.0,2620.0,1723960,658,2,D,2687.0,2620.0
86,Marvdasht.Sugar,20020624,2555.0,2555.0,2555.0,12366200,4840,5,D,2620.0,2555.0
87,Marvdasht.Sugar,20020625,2438.0,2438.0,2438.0,25984204,10658,6,D,2555.0,2438.0
88,Marvdasht.Sugar,20020626,2436.0,2434.0,2434.0,19123102,7853,4,D,2438.0,2434.0
89,Marvdasht.Sugar,20020629,2438.0,2432.0,2438.0,92596462,38017,23,D,2434.0,2438.0
90,Marvdasht.Sugar,20020630,2438.0,2438.0,2438.0,2769568,1136,1,D,2438.0,2438.0
91,Marvdasht.Sugar,20020701,2395.0,2395.0,2395.0,11975000,5000,1,D,2438.0,2395.0
92,Marvdasht.Sugar,20020702,2395.0,2390.0,2390.0,4908650,2050,2,D,2395.0,2390.0
93,Marvdasht.Sugar,20020703,2369.0,2369.0,2369.0,1895200,800,1,D,2390.0,2369.0
94,Marvdasht.Sugar,20020707,2300.0,2300.0,2300.0,2300000,1000,1,D,2369.0,2300.0
95,Marvdasht.Sugar,20020708,2300.0,2290.0,2296.0,38324844,16691,11,D,2300.0,2296.0
96,Marvdasht.Sugar,20020709,2296.0,2296.0,2296.0,1487808,648,1,D,2296.0,2296.0
97,Marvdasht.Sugar,20020714,2270.0,2270.0,2270.0,3870350,1705,1,D,2296.0,2270.0
98,Marvdasht.Sugar,20020728,2157.0,2157.0,2157.0,3235500,1500,2,D,2270.0,2157.0
99,Marvdasht.Sugar,20020803,2100.0,2050.0,2060.0,38650336,18614,12,D,2157.0,2060.0
100,Marvdasht.Sugar,20020805,2060.0,2060.0,2060.0,11847060,5751,4,D,2060.0,2060.0
101,Marvdasht.Sugar,20020807,2000.0,2000.0,2000.0,3000000,1500,3,D,2060.0,2000.0
102,Marvdasht.Sugar,20020813,1990.0,1988.0,1990.0,19508320,9810,5,D,2000.0,1990.0
103,Marvdasht.Sugar,20020814,1992.0,1992.0,1992.0,406368,204,1,D,1990.0,1992.0
104,Marvdasht.Sugar,20020817,2058.0,2057.0,2058.0,12999069,6317,3,D,1992.0,2058.0
105,Marvdasht.Sugar,20020818,2050.0,2050.0,2050.0,21525000,10500,3,D,2058.0,2050.0
106,Marvdasht.Sugar,20020821,2002.0,2000.0,2000.0,19929000,9962,5,D,2050.0,2000.0
107,Marvdasht.Sugar,20020824,2001.0,2000.0,2000.0,29715800,14857,10,D,2000.0,2000.0
108,Marvdasht.Sugar,20020825,2047.0,2002.0,2047.0,7586532,3766,4,D,2000.0,2047.0
109,Marvdasht.Sugar,20020826,2047.0,2004.0,2004.0,9494270,4670,8,D,2047.0,2004.0
110,Marvdasht.Sugar,20020827,2004.0,2004.0,2004.0,2456904,1226,2,D,2004.0,2004.0
111,Marvdasht.Sugar,20020828,2004.0,1949.0,1950.0,24162091,12221,10,D,2004.0,1950.0
112,Marvdasht.Sugar,20020831,1950.0,1950.0,1950.0,280800,144,1,D,1950.0,1950.0
113,Marvdasht.Sugar,20020901,2047.0,1950.0,2047.0,8627486,4318,3,D,1950.0,2047.0
114,Marvdasht.Sugar,20020902,2100.0,2047.0,2100.0,11796586,5708,7,D,2047.0,2100.0
115,Marvdasht.Sugar,20020907,2100.0,2100.0,2100.0,15747900,7499,7,D,2100.0,2100.0
116,Marvdasht.Sugar,20020908,2100.0,2100.0,2100.0,445200,212,1,D,2100.0,2100.0
117,Marvdasht.Sugar,20020911,2099.0,2099.0,2099.0,839600,400,1,D,2100.0,2099.0
118,Marvdasht.Sugar,20020915,2080.0,2080.0,2080.0,2080000,1000,1,D,2099.0,2080.0
119,Marvdasht.Sugar,20020916,2098.0,2088.0,2098.0,22009477,10517,7,D,2080.0,2098.0
120,Marvdasht.Sugar,20020918,2011.0,2011.0,2011.0,10990115,5465,3,D,2098.0,2011.0
121,Marvdasht.Sugar,20020922,2011.0,2011.0,2011.0,3575558,1778,4,D,2011.0,2011.0
122,Marvdasht.Sugar,20020924,2100.0,2089.0,2100.0,10482176,5000,4,D,2011.0,2100.0
123,Marvdasht.Sugar,20020928,2100.0,2100.0,2100.0,1050000,500,1,D,2100.0,2100.0
124,Marvdasht.Sugar,20021001,2088.0,2088.0,2088.0,835200,400,1,D,2100.0,2088.0
125,Marvdasht.Sugar,20021002,2020.0,2018.0,2018.0,4038000,2000,2,D,2088.0,2018.0
126,Marvdasht.Sugar,20021006,2050.0,2019.0,2050.0,2088361,1019,2,D,2018.0,2050.0
127,Marvdasht.Sugar,20021007,2085.0,2053.0,2053.0,2849140,1380,2,D,2050.0,2053.0
128,Marvdasht.Sugar,20021009,2150.0,2089.0,2150.0,9108280,4332,5,D,2053.0,2150.0
129,Marvdasht.Sugar,20021012,2156.0,2156.0,2156.0,411796,191,1,D,2150.0,2156.0
130,Marvdasht.Sugar,20021013,2200.0,2200.0,2200.0,367400,167,1,D,2156.0,2200.0
131,Marvdasht.Sugar,20021014,2200.0,2200.0,2200.0,4199800,1909,2,D,2200.0,2200.0
132,Marvdasht.Sugar,20021019,2200.0,2200.0,2200.0,2948000,1340,2,D,2200.0,2200.0
133,Marvdasht.Sugar,20021020,2310.0,2310.0,2310.0,3829980,1658,1,D,2200.0,2310.0
134,Marvdasht.Sugar,20021021,2350.0,2310.0,2350.0,13904940,5930,6,D,2310.0,2350.0
135,Marvdasht.Sugar,20021026,2467.0,2400.0,2467.0,24493377,9973,9,D,2350.0,2467.0
136,Marvdasht.Sugar,20021027,2590.0,2467.0,2590.0,54385836,21108,11,D,2467.0,2590.0
137,Marvdasht.Sugar,20021028,2590.0,2590.0,2590.0,7252000,2800,3,D,2590.0,2590.0
138,Marvdasht.Sugar,20021029,2590.0,2590.0,2590.0,17319330,6687,2,D,2590.0,2590.0
139,Marvdasht.Sugar,20021102,2600.0,2550.0,2550.0,8822800,3420,3,D,2590.0,2550.0
140,Marvdasht.Sugar,20021103,2600.0,2600.0,2600.0,13000000,5000,1,D,2550.0,2600.0
141,Marvdasht.Sugar,20021106,2650.0,2649.0,2650.0,29403648,11096,7,D,2600.0,2650.0
142,Marvdasht.Sugar,20021109,2650.0,2650.0,2650.0,781750,295,1,D,2650.0,2650.0
143,Marvdasht.Sugar,20021110,2651.0,2651.0,2651.0,795300,300,1,D,2650.0,2651.0
144,Marvdasht.Sugar,20021111,2652.0,2651.0,2652.0,9187180,3465,2,D,2651.0,2652.0
145,Marvdasht.Sugar,20021112,2652.0,2652.0,2652.0,2652000,1000,1,D,2652.0,2652.0
146,Marvdasht.Sugar,20021113,2653.0,2650.0,2650.0,22013900,8300,6,D,2652.0,2650.0
147,Marvdasht.Sugar,20021116,2650.0,2650.0,2650.0,2263100,854,1,D,2650.0,2650.0
148,Marvdasht.Sugar,20021117,2650.0,2650.0,2650.0,8909300,3362,2,D,2650.0,2650.0
149,Marvdasht.Sugar,20021221,2602.0,2602.0,2602.0,2602000,1000,1,D,2650.0,2602.0
150,Marvdasht.Sugar,20021222,2732.0,2700.0,2732.0,59653300,21839,8,D,2602.0,2732.0
151,Marvdasht.Sugar,20021223,2731.0,2602.0,2602.0,26838515,10065,7,D,2732.0,2602.0
152,Marvdasht.Sugar,20021224,2472.0,2472.0,2472.0,12360000,5000,2,D,2602.0,2472.0
153,Marvdasht.Sugar,20021228,2367.0,2367.0,2367.0,6024015,2545,1,D,2472.0,2367.0
154,Marvdasht.Sugar,20021229,2368.0,2368.0,2368.0,23680000,10000,6,D,2367.0,2368.0
155,Marvdasht.Sugar,20030104,2364.0,2363.0,2364.0,47311460,20015,14,D,2368.0,2364.0
156,Marvdasht.Sugar,20030105,2450.0,2362.0,2450.0,42285694,17687,8,D,2364.0,2450.0
157,Marvdasht.Sugar,20030107,2572.0,2572.0,2572.0,30864000,12000,4,D,2450.0,2572.0
158,Marvdasht.Sugar,20030108,2650.0,2573.0,2573.0,79547700,30708,12,D,2572.0,2573.0
159,Marvdasht.Sugar,20030111,2574.0,2573.0,2573.0,10459260,4065,3,D,2573.0,2573.0
160,Marvdasht.Sugar,20030114,2568.0,2568.0,2568.0,5136000,2000,1,D,2573.0,2568.0
161,Marvdasht.Sugar,20030127,2440.0,2440.0,2440.0,2605920,1068,2,D,2568.0,2440.0
162,Marvdasht.Sugar,20030129,2320.0,2318.0,2318.0,26343208,11356,4,D,2440.0,2318.0
163,Marvdasht.Sugar,20030203,2203.0,2203.0,2203.0,2203000,1000,1,D,2318.0,2203.0
164,Marvdasht.Sugar,20030205,2203.0,2198.0,2203.0,114388437,51951,24,D,2203.0,2203.0
