,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Gorji.Biscuit,20010331,2489.0,2489.0,2489.0,1928975,775,1,D,2489.0,2489.0
1,Gorji.Biscuit,20010403,2450.0,2450.0,2450.0,5360600,2188,4,D,2489.0,2450.0
2,Gorji.Biscuit,20010408,2451.0,2451.0,2451.0,17291805,7055,2,D,2450.0,2451.0
3,Gorji.Biscuit,20010410,2450.0,2450.0,2450.0,1396500,570,2,D,2451.0,2450.0
4,Gorji.Biscuit,20010411,2500.0,2499.0,2500.0,18585138,7436,7,D,2450.0,2500.0
5,Gorji.Biscuit,20010414,2500.0,2499.0,2499.0,6513958,2606,7,D,2500.0,2499.0
6,Gorji.Biscuit,20010417,2500.0,2497.0,2500.0,10079122,4036,3,D,2499.0,2500.0
7,Gorji.Biscuit,20010418,2504.0,2504.0,2504.0,1973152,788,1,D,2500.0,2504.0
8,Gorji.Biscuit,20010421,2508.0,2505.0,2508.0,14886180,5936,4,D,2504.0,2508.0
9,Gorji.Biscuit,20010422,2511.0,2511.0,2511.0,680481,271,1,D,2508.0,2511.0
10,Gorji.Biscuit,20010423,2513.0,2513.0,2513.0,5026000,2000,4,D,2511.0,2513.0
11,Gorji.Biscuit,20010425,2533.0,2531.0,2533.0,4795698,1894,3,D,2513.0,2533.0
12,Gorji.Biscuit,20010428,2570.0,2534.0,2570.0,5094000,2000,4,D,2533.0,2570.0
13,Gorji.Biscuit,20010430,2590.0,2590.0,2590.0,20574960,7944,3,D,2570.0,2590.0
14,Gorji.Biscuit,20010501,2650.0,2600.0,2650.0,10354800,3940,7,D,2590.0,2650.0
15,Gorji.Biscuit,20010502,2650.0,2650.0,2650.0,1632400,616,1,D,2650.0,2650.0
16,Gorji.Biscuit,20010505,2700.0,2700.0,2700.0,5000400,1852,4,D,2650.0,2700.0
17,Gorji.Biscuit,20010507,2800.0,2800.0,2800.0,14000000,5000,4,D,2700.0,2800.0
18,Gorji.Biscuit,20010508,2800.0,2800.0,2800.0,20109600,7182,6,D,2800.0,2800.0
19,Gorji.Biscuit,20010509,2800.0,2800.0,2800.0,10690400,3818,3,D,2800.0,2800.0
20,Gorji.Biscuit,20010512,2800.0,2800.0,2800.0,2576000,920,1,D,2800.0,2800.0
21,Gorji.Biscuit,20010515,2700.0,2700.0,2700.0,10800000,4000,2,D,2800.0,2700.0
22,Gorji.Biscuit,20010617,2688.0,2600.0,2688.0,17638000,6750,10,D,2700.0,2688.0
23,Gorji.Biscuit,20010618,2600.0,2600.0,2600.0,18200000,7000,9,D,2688.0,2600.0
24,Gorji.Biscuit,20010619,2600.0,2470.0,2600.0,66561910,26241,21,D,2600.0,2600.0
25,Gorji.Biscuit,20010623,2600.0,2599.0,2600.0,25999726,10000,4,D,2600.0,2600.0
26,Gorji.Biscuit,20010624,2598.0,2598.0,2598.0,3967146,1527,1,D,2600.0,2598.0
27,Gorji.Biscuit,20010627,2596.0,2530.0,2530.0,5480552,2162,4,D,2598.0,2530.0
28,Gorji.Biscuit,20010708,2595.0,2487.0,2594.0,51548668,20000,10,D,2530.0,2594.0
29,Gorji.Biscuit,20010714,2559.0,2548.0,2548.0,3569078,1400,6,D,2594.0,2548.0
30,Gorji.Biscuit,20010819,2340.0,2340.0,2340.0,1914120,818,1,D,2548.0,2340.0
31,Gorji.Biscuit,20010821,2340.0,2340.0,2340.0,936000,400,1,D,2340.0,2340.0
32,Gorji.Biscuit,20010829,2334.0,2334.0,2334.0,1633800,700,3,D,2340.0,2334.0
33,Gorji.Biscuit,20010902,2300.0,2300.0,2300.0,2300000,1000,2,D,2334.0,2300.0
34,Gorji.Biscuit,20010910,2290.0,2289.0,2290.0,1188116,519,3,D,2300.0,2290.0
35,Gorji.Biscuit,20010911,2290.0,2290.0,2290.0,2111380,922,2,D,2290.0,2290.0
36,Gorji.Biscuit,20011002,2238.0,2230.0,2230.0,608576,272,3,D,2290.0,2230.0
37,Gorji.Biscuit,20011008,2210.0,2209.0,2210.0,1431780,648,3,D,2230.0,2210.0
38,Gorji.Biscuit,20011022,2166.0,2166.0,2166.0,4232364,1954,2,D,2210.0,2166.0
39,Gorji.Biscuit,20011023,2100.0,2100.0,2100.0,4296600,2046,1,D,2166.0,2100.0
40,Gorji.Biscuit,20011028,2087.0,2087.0,2087.0,208700,100,2,D,2100.0,2087.0
41,Gorji.Biscuit,20011030,2087.0,2087.0,2087.0,31305,15,1,D,2087.0,2087.0
42,Gorji.Biscuit,20011209,1983.0,1983.0,1983.0,2974500,1500,2,D,2087.0,1983.0
43,Gorji.Biscuit,20011211,1884.0,1884.0,1884.0,14955192,7938,5,D,1983.0,1884.0
44,Gorji.Biscuit,20011212,1884.0,1790.0,1884.0,107963670,60035,20,D,1884.0,1884.0
45,Gorji.Biscuit,20011219,1978.0,1978.0,1978.0,538016,272,1,D,1884.0,1978.0
46,Gorji.Biscuit,20011222,2063.0,1983.0,2063.0,87510575,44022,18,D,1978.0,2063.0
47,Gorji.Biscuit,20011223,2082.0,2082.0,2082.0,1827996,878,1,D,2063.0,2082.0
48,Gorji.Biscuit,20011224,2087.0,2086.0,2086.0,776114,372,2,D,2082.0,2086.0
49,Gorji.Biscuit,20011225,2190.0,2190.0,2190.0,2448420,1118,5,D,2086.0,2190.0
50,Gorji.Biscuit,20011229,2299.0,2299.0,2299.0,3563450,1550,2,D,2190.0,2299.0
51,Gorji.Biscuit,20011230,2413.0,2413.0,2413.0,73685781,30537,19,D,2299.0,2413.0
52,Gorji.Biscuit,20011231,2415.0,2413.0,2413.0,32251760,13364,13,D,2413.0,2413.0
53,Gorji.Biscuit,20020101,2414.0,2413.0,2413.0,23638748,9796,8,D,2413.0,2413.0
54,Gorji.Biscuit,20020102,2350.0,2295.0,2295.0,3286700,1422,2,D,2413.0,2295.0
55,Gorji.Biscuit,20020105,2190.0,2181.0,2181.0,3580632,1638,3,D,2295.0,2181.0
56,Gorji.Biscuit,20020106,2181.0,2181.0,2181.0,22529730,10330,6,D,2181.0,2181.0
57,Gorji.Biscuit,20020107,2181.0,2180.0,2180.0,3314913,1520,4,D,2181.0,2180.0
58,Gorji.Biscuit,20020108,2202.0,2200.0,2200.0,46756000,21250,11,D,2180.0,2200.0
59,Gorji.Biscuit,20020112,2200.0,2200.0,2200.0,6600000,3000,1,D,2200.0,2200.0
60,Gorji.Biscuit,20020113,2200.0,2181.0,2181.0,7670664,3506,5,D,2200.0,2181.0
61,Gorji.Biscuit,20020114,2181.0,2170.0,2170.0,12389795,5688,10,D,2181.0,2170.0
62,Gorji.Biscuit,20020115,2202.0,2171.0,2201.0,21908250,10000,8,D,2170.0,2201.0
63,Gorji.Biscuit,20020116,2210.0,2210.0,2210.0,3315000,1500,3,D,2201.0,2210.0
64,Gorji.Biscuit,20020119,2230.0,2230.0,2230.0,14495000,6500,4,D,2210.0,2230.0
65,Gorji.Biscuit,20020120,2232.0,2231.0,2231.0,11157721,5000,7,D,2230.0,2231.0
66,Gorji.Biscuit,20020121,2232.0,2231.0,2231.0,5873624,2632,2,D,2231.0,2231.0
67,Gorji.Biscuit,20020122,2231.0,2231.0,2231.0,1608551,721,1,D,2231.0,2231.0
68,Gorji.Biscuit,20020123,2240.0,2238.0,2240.0,19038806,8500,9,D,2231.0,2240.0
69,Gorji.Biscuit,20020126,2231.0,2229.0,2230.0,18056894,8098,5,D,2240.0,2230.0
70,Gorji.Biscuit,20020127,2210.0,2210.0,2210.0,227630,103,1,D,2230.0,2210.0
71,Gorji.Biscuit,20020128,2197.0,2197.0,2197.0,5492500,2500,2,D,2210.0,2197.0
72,Gorji.Biscuit,20020129,2187.0,2180.0,2180.0,14795357,6780,9,D,2197.0,2180.0
73,Gorji.Biscuit,20020210,2071.0,2071.0,2071.0,5177500,2500,3,D,2180.0,2071.0
74,Gorji.Biscuit,20020212,2068.0,2068.0,2068.0,9785776,4732,3,D,2071.0,2068.0
75,Gorji.Biscuit,20020213,2050.0,1967.0,2050.0,54630828,27133,25,D,2068.0,2050.0
76,Gorji.Biscuit,20020216,2050.0,2048.0,2050.0,45088000,22000,7,D,2050.0,2050.0
77,Gorji.Biscuit,20020218,2050.0,2049.0,2049.0,17066072,8328,5,D,2050.0,2049.0
78,Gorji.Biscuit,20020219,2054.0,2050.0,2054.0,49350056,24063,11,D,2049.0,2054.0
79,Gorji.Biscuit,20020220,2054.0,2052.0,2054.0,4456692,2171,2,D,2054.0,2054.0
80,Gorji.Biscuit,20020224,2059.0,2059.0,2059.0,2059000,1000,1,D,2054.0,2059.0
81,Gorji.Biscuit,20020225,2161.0,2100.0,2161.0,21422000,10000,9,D,2059.0,2161.0
82,Gorji.Biscuit,20020226,2161.0,2149.0,2161.0,4396382,2040,3,D,2161.0,2161.0
83,Gorji.Biscuit,20020227,2185.0,2185.0,2185.0,1748000,800,1,D,2161.0,2185.0
84,Gorji.Biscuit,20020302,2185.0,2165.0,2166.0,19569234,9000,7,D,2185.0,2166.0
85,Gorji.Biscuit,20020304,2166.0,2165.0,2165.0,49797598,23000,9,D,2166.0,2165.0
86,Gorji.Biscuit,20020305,2165.0,2165.0,2165.0,2078400,960,1,D,2165.0,2165.0
87,Gorji.Biscuit,20020306,2164.0,2164.0,2164.0,37870000,17500,11,D,2165.0,2164.0
88,Gorji.Biscuit,20020310,2164.0,2164.0,2164.0,4466496,2064,2,D,2164.0,2164.0
89,Gorji.Biscuit,20020311,2164.0,2164.0,2164.0,9958728,4602,2,D,2164.0,2164.0
90,Gorji.Biscuit,20020312,2164.0,2164.0,2164.0,4068320,1880,1,D,2164.0,2164.0
91,Gorji.Biscuit,20020316,2158.0,2158.0,2158.0,107900,50,1,D,2164.0,2158.0
92,Gorji.Biscuit,20020317,2158.0,2158.0,2158.0,32797284,15198,12,D,2158.0,2158.0
93,Gorji.Biscuit,20020318,2160.0,2158.0,2160.0,10793356,5000,3,D,2158.0,2160.0
94,Gorji.Biscuit,20020319,2150.0,2150.0,2150.0,59782900,27806,15,D,2160.0,2150.0
95,Gorji.Biscuit,20020326,2150.0,2150.0,2150.0,24510000,11400,5,D,2150.0,2150.0
96,Gorji.Biscuit,20020327,2150.0,2150.0,2150.0,18490000,8600,4,D,2150.0,2150.0
97,Gorji.Biscuit,20020330,2151.0,2150.0,2150.0,27999000,13020,6,D,2150.0,2150.0
98,Gorji.Biscuit,20020331,2150.0,2149.0,2150.0,16120000,7500,6,D,2150.0,2150.0
99,Gorji.Biscuit,20020403,2140.0,2140.0,2140.0,2140000,1000,1,D,2150.0,2140.0
100,Gorji.Biscuit,20020406,2130.0,2130.0,2130.0,21300000,10000,5,D,2140.0,2130.0
101,Gorji.Biscuit,20020407,2130.0,2130.0,2130.0,6390000,3000,2,D,2130.0,2130.0
102,Gorji.Biscuit,20020408,2130.0,2126.0,2130.0,19374120,9100,7,D,2130.0,2130.0
103,Gorji.Biscuit,20020409,2131.0,2130.0,2130.0,33330980,15646,9,D,2130.0,2130.0
104,Gorji.Biscuit,20020410,2130.0,2130.0,2130.0,9393300,4410,7,D,2130.0,2130.0
105,Gorji.Biscuit,20020413,2100.0,2080.0,2080.0,46713711,22334,19,D,2130.0,2080.0
106,Gorji.Biscuit,20020414,2086.0,2086.0,2086.0,1706348,818,1,D,2080.0,2086.0
107,Gorji.Biscuit,20020416,2130.0,2127.0,2130.0,27478134,12902,7,D,2086.0,2130.0
108,Gorji.Biscuit,20020417,2200.0,2160.0,2200.0,2895520,1322,2,D,2130.0,2200.0
109,Gorji.Biscuit,20020420,2310.0,2310.0,2310.0,12120570,5247,5,D,2200.0,2310.0
110,Gorji.Biscuit,20020421,2400.0,2342.0,2395.0,27148160,11330,9,D,2310.0,2395.0
