,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Gorji.Biscuit-R,20100525,1500.0,1500.0,1500.0,75000000,50000,1,D,3000.0,1500.0
1,Gorji.Biscuit-R,20100602,1400.0,1400.0,1400.0,70000000,50000,1,D,1500.0,1400.0
2,Gorji.Biscuit-R,20100609,1302.0,1302.0,1302.0,32550000,25000,1,D,1400.0,1302.0
3,Gorji.Biscuit-R,20100612,1212.0,1212.0,1212.0,60600000,50000,4,D,1302.0,1212.0
4,Gorji.Biscuit-R,20100613,1143.0,1128.0,1134.0,506095776,446150,35,D,1212.0,1128.0
5,Gorji.Biscuit-R,20100614,1061.0,1055.0,1056.0,1056013260,1000000,63,D,1134.0,1056.0
6,Gorji.Biscuit-R,20100615,1020.0,983.0,985.0,788387585,800235,58,D,1056.0,984.0
7,Gorji.Biscuit-R,20100616,980.0,917.0,929.0,928609129,1000000,68,D,985.0,917.0
8,Gorji.Biscuit-R,20100619,994.0,994.0,994.0,904921696,910384,23,D,929.0,994.0
9,Gorji.Biscuit-R,20110419,1103.0,1103.0,1103.0,3046486,2762,3,D,994.0,1103.0
10,Gorji.Biscuit-R,20110420,1191.0,1191.0,1191.0,4168500,3500,2,D,1103.0,1191.0
11,Gorji.Biscuit-R,20110423,1286.0,1286.0,1286.0,6589464,5124,4,D,1191.0,1286.0
12,Gorji.Biscuit-R,20110424,1388.0,1387.0,1388.0,234303832,168814,38,D,1286.0,1388.0
13,Gorji.Biscuit-R,20110425,1400.0,1310.0,1350.0,69333939,51340,14,D,1388.0,1389.0
14,Gorji.Biscuit-R,20110426,1384.0,1286.0,1311.0,26492968,20215,5,D,1350.0,1384.0
15,Gorji.Biscuit-R,20110427,1383.0,1208.0,1226.0,21802254,17788,5,D,1311.0,1232.0
16,Gorji.Biscuit-R,20110430,1216.0,1146.0,1182.0,38740713,32789,12,D,1226.0,1151.0
17,Gorji.Biscuit-R,20110501,1099.0,1090.0,1094.0,10945000,10000,2,D,1182.0,1099.0
18,Gorji.Biscuit-R,20110502,1181.0,1181.0,1181.0,89850480,76080,6,D,1094.0,1181.0
19,Gorji.Biscuit-R,20110503,1275.0,1275.0,1275.0,13736850,10774,10,D,1181.0,1275.0
20,Gorji.Biscuit-R,20110504,1377.0,1322.0,1375.0,142288434,103512,14,D,1275.0,1377.0
21,Gorji.Biscuit-R,20110508,1469.0,1300.0,1389.0,19444568,14000,10,D,1375.0,1300.0
22,Gorji.Biscuit-R,20110509,1445.0,1430.0,1434.0,50745809,35387,9,D,1389.0,1431.0
23,Gorji.Biscuit-R,20110510,1399.0,1321.0,1327.0,44284799,33381,10,D,1434.0,1329.0
24,Gorji.Biscuit-R,20110511,1367.0,1331.0,1342.0,93252541,69465,21,D,1327.0,1335.0
25,Gorji.Biscuit-R,20110515,1235.0,1235.0,1235.0,883025,715,1,D,1342.0,1235.0
26,Gorji.Biscuit-R,20110517,1333.0,1160.0,1198.0,1136815,949,3,D,1235.0,1160.0
27,Gorji.Biscuit-R,20110518,1290.0,1103.0,1216.0,97749677,80360,14,D,1198.0,1103.0
28,Gorji.Biscuit-R,20110522,1121.0,1119.0,1119.0,5037500,4500,3,D,1216.0,1121.0
29,Gorji.Biscuit-R,20110524,1070.0,1056.0,1064.0,48352224,45454,4,D,1119.0,1066.0
30,Gorji.Biscuit-R,20110525,1065.0,979.0,1028.0,7206790,7010,2,D,1064.0,979.0
31,Gorji.Biscuit-R,20110528,1110.0,1110.0,1110.0,222000,200,1,D,1028.0,1110.0
32,Gorji.Biscuit-R,20110530,1088.0,1022.0,1071.0,21176763,19770,8,D,1110.0,1088.0
33,Gorji.Biscuit-R,20110531,1100.0,1100.0,1100.0,1936000,1760,2,D,1071.0,1100.0
34,Gorji.Biscuit-R,20110601,1060.0,1014.0,1038.0,15958484,15377,4,D,1100.0,1014.0
35,Gorji.Biscuit-R,20110607,1119.0,1117.0,1118.0,16276953,14553,6,D,1038.0,1119.0
36,Gorji.Biscuit-R,20110608,1119.0,1119.0,1119.0,165612,148,1,D,1118.0,1119.0
37,Gorji.Biscuit-R,20110611,1208.0,1208.0,1208.0,21839432,18079,6,D,1119.0,1208.0
38,Gorji.Biscuit-R,20110612,1276.0,1208.0,1227.0,22054145,17970,7,D,1208.0,1273.0
39,Gorji.Biscuit-R,20110613,1271.0,1212.0,1213.0,6187100,5100,3,D,1227.0,1212.0
40,Gorji.Biscuit-R,20110614,1117.0,1117.0,1117.0,1345985,1205,1,D,1213.0,1117.0
41,Gorji.Biscuit-R,20110615,1117.0,1028.0,1097.0,35630496,32482,18,D,1117.0,1028.0
42,Gorji.Biscuit-R,20110620,1054.0,1054.0,1054.0,7486562,7103,1,D,1097.0,1054.0
43,Gorji.Biscuit-R,20110621,1130.0,1054.0,1104.0,21150687,19153,7,D,1054.0,1100.0
44,Gorji.Biscuit-R,20110622,1038.0,1032.0,1038.0,10476287,10095,4,D,1104.0,1037.0
45,Gorji.Biscuit-R,20110626,1092.0,1060.0,1080.0,10283769,9519,5,D,1038.0,1091.0
46,Gorji.Biscuit-R,20110627,1030.0,1030.0,1030.0,16995000,16500,1,D,1080.0,1030.0
47,Gorji.Biscuit-R,20110628,1000.0,1000.0,1000.0,3000000,3000,3,D,1030.0,1000.0
48,Gorji.Biscuit-R,20110629,1050.0,1050.0,1050.0,10500,10,1,D,1000.0,1050.0
49,Gorji.Biscuit-R,20110702,1130.0,1130.0,1130.0,11300,10,1,D,1050.0,1130.0
50,Gorji.Biscuit-R,20110703,1195.0,1195.0,1195.0,11950,10,1,D,1130.0,1195.0
51,Gorji.Biscuit-R,20110704,1101.0,1100.0,1100.0,6245485,5677,9,D,1195.0,1100.0
52,Gorji.Biscuit-R,20110713,1012.0,1012.0,1012.0,50600,50,1,D,1100.0,1012.0
53,Gorji.Biscuit-R,20110830,851.0,850.0,850.0,170020000,200000,17,D,1012.0,850.0
54,Gorji.Biscuit-R,20110903,900.0,859.0,871.0,36130000,41500,29,D,850.0,900.0
55,Gorji.Biscuit-R,20110904,900.0,850.0,868.0,538123000,620000,50,D,871.0,900.0
56,Gorji.Biscuit-R,20110905,937.0,937.0,937.0,93700000,100000,15,D,868.0,937.0
57,Gorji.Biscuit-R,20110906,1011.0,1011.0,1011.0,758250000,750000,44,D,937.0,1011.0
58,Gorji.Biscuit-R,20110907,1091.0,1091.0,1091.0,397754598,364578,19,D,1011.0,1091.0
59,Gorji.Biscuit-R,20121031,1134.0,1050.0,1103.0,16182138,14665,6,D,1091.0,1134.0
60,Gorji.Biscuit-R,20121104,1125.0,1125.0,1125.0,1125,1,1,D,1103.0,1125.0
61,Gorji.Biscuit-R,20121105,1190.0,1190.0,1190.0,273700,230,1,D,1125.0,1190.0
62,Gorji.Biscuit-R,20121106,1212.0,1200.0,1202.0,30647210,25501,9,D,1190.0,1200.0
63,Gorji.Biscuit-R,20121107,1215.0,1106.0,1161.0,43619828,37570,25,D,1202.0,1158.0
64,Gorji.Biscuit-R,20121110,1177.0,1100.0,1164.0,35840072,30800,6,D,1161.0,1100.0
65,Gorji.Biscuit-R,20121111,1257.0,1158.0,1196.0,76917123,64300,19,D,1164.0,1190.0
66,Gorji.Biscuit-R,20121112,1101.0,1101.0,1101.0,15414000,14000,5,D,1196.0,1101.0
67,Gorji.Biscuit-R,20121113,1179.0,1070.0,1082.0,100374453,92800,8,D,1101.0,1081.0
68,Gorji.Biscuit-R,20121114,1099.0,1000.0,1032.0,49200076,47656,12,D,1082.0,1099.0
69,Gorji.Biscuit-R,20121117,1032.0,1032.0,1032.0,5160000,5000,2,D,1032.0,1032.0
70,Gorji.Biscuit-R,20121118,1059.0,1010.0,1022.0,17719647,17332,9,D,1032.0,1059.0
71,Gorji.Biscuit-R,20121119,1030.0,962.0,1008.0,43577562,43224,11,D,1022.0,983.0
72,Gorji.Biscuit-R,20121121,1010.0,952.0,983.0,13924100,14164,6,D,1008.0,1000.0
73,Gorji.Biscuit-R,20121126,1061.0,984.0,1020.0,53632586,52556,11,D,983.0,1061.0
74,Gorji.Biscuit-R,20121127,1000.0,1000.0,1000.0,434000,434,1,D,1020.0,1000.0
75,Gorji.Biscuit-R,20121201,926.0,926.0,926.0,6172716,6666,1,D,1000.0,926.0
76,Gorji.Biscuit-R,20121202,1000.0,970.0,978.0,9077900,9281,5,D,926.0,970.0
