,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Piranshahr.S.,20010407,8492.0,8490.0,8490.0,36766660,4330,11,D,8492.0,8490.0
1,Piranshahr.S.,20010408,8490.0,8490.0,8490.0,21225000,2500,6,D,8490.0,8490.0
2,Piranshahr.S.,20010410,8551.0,8551.0,8551.0,4651744,544,1,D,8490.0,8551.0
3,Piranshahr.S.,20010414,8800.0,8702.0,8800.0,16692714,1907,3,D,8551.0,8800.0
4,Piranshahr.S.,20010415,8900.0,8850.0,8900.0,84182300,9507,3,D,8800.0,8900.0
5,Piranshahr.S.,20010416,9000.0,9000.0,9000.0,16200000,1800,1,D,8900.0,9000.0
6,Piranshahr.S.,20010417,9050.0,9050.0,9050.0,18100000,2000,1,D,9000.0,9050.0
7,Piranshahr.S.,20010421,9050.0,9050.0,9050.0,1267000,140,1,D,9050.0,9050.0
8,Piranshahr.S.,20010422,9051.0,9049.0,9050.0,58625258,6478,13,D,9050.0,9050.0
9,Piranshahr.S.,20010424,9050.0,9050.0,9050.0,8208350,907,1,D,9050.0,9050.0
10,Piranshahr.S.,20010428,9101.0,9100.0,9100.0,33399000,3670,11,D,9050.0,9100.0
11,Piranshahr.S.,20010429,9100.0,9100.0,9100.0,36400000,4000,7,D,9100.0,9100.0
12,Piranshahr.S.,20010430,9099.0,9097.0,9097.0,58619423,6443,11,D,9100.0,9097.0
13,Piranshahr.S.,20010501,9099.0,9098.0,9098.0,27476310,3020,3,D,9097.0,9098.0
14,Piranshahr.S.,20010502,9095.0,9095.0,9095.0,18190000,2000,3,D,9098.0,9095.0
15,Piranshahr.S.,20010506,9089.0,9089.0,9089.0,3708312,408,1,D,9095.0,9089.0
16,Piranshahr.S.,20010507,9080.0,9080.0,9080.0,31035440,3418,7,D,9089.0,9080.0
17,Piranshahr.S.,20010509,9074.0,9074.0,9074.0,4537000,500,1,D,9080.0,9074.0
18,Piranshahr.S.,20010513,9050.0,9050.0,9050.0,5040850,557,2,D,9074.0,9050.0
19,Piranshahr.S.,20010515,9050.0,8800.0,9049.0,187037658,20991,32,D,9050.0,9049.0
20,Piranshahr.S.,20010516,9050.0,9049.0,9050.0,28759993,3178,10,D,9049.0,9050.0
21,Piranshahr.S.,20010519,9059.0,9049.0,9059.0,88224950,9749,23,D,9050.0,9059.0
22,Piranshahr.S.,20010520,9059.0,9059.0,9059.0,5009627,553,4,D,9059.0,9059.0
23,Piranshahr.S.,20010521,9051.0,9051.0,9051.0,7675248,848,1,D,9059.0,9051.0
24,Piranshahr.S.,20010527,9076.0,9043.0,9076.0,46252538,5110,9,D,9051.0,9076.0
25,Piranshahr.S.,20010528,9073.0,9073.0,9073.0,63511000,7000,7,D,9076.0,9073.0
26,Piranshahr.S.,20010529,9070.0,9069.0,9069.0,6167200,680,2,D,9073.0,9069.0
27,Piranshahr.S.,20010603,9048.0,9048.0,9048.0,4524000,500,1,D,9069.0,9048.0
28,Piranshahr.S.,20010612,8597.0,8596.0,8597.0,544403779,63332,90,D,9048.0,8597.0
29,Piranshahr.S.,20010613,8598.0,8598.0,8598.0,39602388,4606,11,D,8597.0,8598.0
30,Piranshahr.S.,20010617,8995.0,8995.0,8995.0,26985000,3000,1,D,8598.0,8995.0
31,Piranshahr.S.,20010619,8992.0,8989.0,8989.0,28318300,3150,3,D,8995.0,8989.0
32,Piranshahr.S.,20010625,8900.0,8900.0,8900.0,35600000,4000,7,D,8989.0,8900.0
33,Piranshahr.S.,20010627,8800.0,8800.0,8800.0,8800000,1000,1,D,8900.0,8800.0
34,Piranshahr.S.,20010709,8785.0,8785.0,8785.0,7967995,907,1,D,8800.0,8785.0
35,Piranshahr.S.,20010717,8680.0,8680.0,8680.0,3784480,436,2,D,8785.0,8680.0
36,Piranshahr.S.,20010718,8677.0,8677.0,8677.0,1908940,220,1,D,8680.0,8677.0
37,Piranshahr.S.,20010722,8673.0,8673.0,8673.0,780570,90,1,D,8677.0,8673.0
38,Piranshahr.S.,20010731,8300.0,8240.0,8240.0,47997280,5789,11,D,8673.0,8240.0
39,Piranshahr.S.,20010801,8596.0,8241.0,8589.0,43435100,5100,9,D,8240.0,8589.0
40,Piranshahr.S.,20010805,8689.0,8589.0,8689.0,48199925,5565,12,D,8589.0,8689.0
41,Piranshahr.S.,20010806,8686.0,8685.0,8686.0,90631410,10435,11,D,8689.0,8686.0
42,Piranshahr.S.,20010807,8686.0,8686.0,8686.0,46895714,5399,7,D,8686.0,8686.0
43,Piranshahr.S.,20010808,8697.0,8697.0,8697.0,7888179,907,1,D,8686.0,8697.0
44,Piranshahr.S.,20010811,8697.0,8697.0,8697.0,18907278,2174,5,D,8697.0,8697.0
45,Piranshahr.S.,20010812,8750.0,8697.0,8697.0,11793950,1350,3,D,8697.0,8697.0
46,Piranshahr.S.,20010814,9073.0,8800.0,9000.0,60063825,6675,10,D,8697.0,9000.0
47,Piranshahr.S.,20010815,9000.0,9000.0,9000.0,8163000,907,1,D,9000.0,9000.0
48,Piranshahr.S.,20010818,9000.0,9000.0,9000.0,25650000,2850,3,D,9000.0,9000.0
49,Piranshahr.S.,20010819,9000.0,9000.0,9000.0,450000,50,1,D,9000.0,9000.0
50,Piranshahr.S.,20010821,9250.0,9012.0,9012.0,52944400,5800,14,D,9000.0,9012.0
51,Piranshahr.S.,20010822,9014.0,9013.0,9014.0,29690822,3294,8,D,9012.0,9014.0
52,Piranshahr.S.,20010827,9017.0,9017.0,9017.0,10820400,1200,3,D,9014.0,9017.0
53,Piranshahr.S.,20010829,9021.0,9021.0,9021.0,8840580,980,1,D,9017.0,9021.0
54,Piranshahr.S.,20010901,9025.0,9021.0,9021.0,11280250,1250,10,D,9021.0,9021.0
55,Piranshahr.S.,20010902,9025.0,9021.0,9021.0,21275518,2358,8,D,9021.0,9021.0
56,Piranshahr.S.,20010904,9023.0,9022.0,9022.0,10294607,1141,3,D,9021.0,9022.0
