,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khalij.Fars.Trans,20120108,1500.0,1218.0,1219.0,21161295246,17356830,957,D,1000.0,1218.0
1,Khalij.Fars.Trans,20120109,1267.0,1267.0,1225.0,44598400,35200,12,D,1219.0,1267.0
2,Khalij.Fars.Trans,20120110,1274.0,1274.0,1228.0,22804600,17900,9,D,1225.0,1274.0
3,Khalij.Fars.Trans,20120111,1277.0,1277.0,1232.0,26050800,20400,7,D,1228.0,1277.0
4,Khalij.Fars.Trans,20120115,1281.0,1281.0,1235.0,20880300,16300,11,D,1232.0,1281.0
5,Khalij.Fars.Trans,20120116,1284.0,1284.0,1254.0,138248280,107670,9,D,1235.0,1284.0
6,Khalij.Fars.Trans,20120117,1408.0,1354.0,1403.0,131461250,93725,38,D,1254.0,1408.0
7,Khalij.Fars.Trans,20120118,1459.0,1459.0,1459.0,2718846500,1863500,103,D,1403.0,1459.0
8,Khalij.Fars.Trans,20120121,1517.0,1482.0,1517.0,23252357986,15331300,2896,D,1459.0,1517.0
9,Khalij.Fars.Trans,20120123,1577.0,1489.0,1548.0,10093976437,6518967,1099,D,1517.0,1516.0
10,Khalij.Fars.Trans,20120125,1510.0,1487.0,1489.0,1382403323,928499,96,D,1548.0,1487.0
11,Khalij.Fars.Trans,20120201,1237.0,1190.0,1218.0,1688738296,1386113,225,D,1489.0,1237.0
12,Khalij.Fars.Trans,20120204,1266.0,1266.0,1255.0,270012480,213280,23,D,1218.0,1266.0
13,Khalij.Fars.Trans,20120205,1279.0,1205.0,1234.0,2252606086,1824826,243,D,1255.0,1205.0
14,Khalij.Fars.Trans,20120206,1223.0,1185.0,1187.0,768196792,647193,56,D,1234.0,1185.0
15,Khalij.Fars.Trans,20120207,1180.0,1140.0,1143.0,319267822,279317,28,D,1187.0,1140.0
16,Khalij.Fars.Trans,20120208,1098.0,1098.0,1139.0,25824960,23520,6,D,1143.0,1098.0
17,Khalij.Fars.Trans,20120212,1094.0,1094.0,1138.0,6912986,6319,2,D,1139.0,1094.0
18,Khalij.Fars.Trans,20120213,1093.0,1093.0,1138.0,3280093,3001,4,D,1138.0,1093.0
19,Khalij.Fars.Trans,20120214,1093.0,1093.0,1131.0,45809816,41912,2,D,1138.0,1093.0
20,Khalij.Fars.Trans,20120222,1107.0,1064.0,1094.0,1856955098,1696730,155,D,1131.0,1107.0
21,Khalij.Fars.Trans,20120225,1137.0,1137.0,1117.0,169976952,149496,10,D,1094.0,1137.0
22,Khalij.Fars.Trans,20120226,1161.0,1161.0,1130.0,95045265,81865,11,D,1117.0,1161.0
23,Khalij.Fars.Trans,20120227,1175.0,1175.0,1131.0,9752500,8300,6,D,1130.0,1175.0
24,Khalij.Fars.Trans,20120228,1176.0,1176.0,1133.0,13043016,11091,7,D,1131.0,1176.0
25,Khalij.Fars.Trans,20120229,1178.0,1178.0,1133.0,341620,290,2,D,1133.0,1178.0
26,Khalij.Fars.Trans,20120303,1271.0,1223.0,1268.0,2288451692,1804252,181,D,1133.0,1271.0
27,Khalij.Fars.Trans,20120304,1318.0,1299.0,1317.0,1686661803,1281023,111,D,1268.0,1318.0
28,Khalij.Fars.Trans,20120305,1300.0,1265.0,1274.0,562731461,441651,48,D,1317.0,1265.0
29,Khalij.Fars.Trans,20120306,1250.0,1224.0,1227.0,1629588754,1328564,167,D,1274.0,1224.0
30,Khalij.Fars.Trans,20120307,1250.0,1180.0,1197.0,1300830002,1087194,156,D,1227.0,1180.0
31,Khalij.Fars.Trans,20120310,1244.0,1158.0,1221.0,372747167,305310,78,D,1197.0,1158.0
32,Khalij.Fars.Trans,20120311,1200.0,1173.0,1180.0,308772201,262200,43,D,1221.0,1173.0
33,Khalij.Fars.Trans,20120312,1134.0,1133.0,1174.0,43699416,38552,11,D,1180.0,1133.0
34,Khalij.Fars.Trans,20120313,1130.0,1128.0,1153.0,146009736,129412,25,D,1174.0,1128.0
35,Khalij.Fars.Trans,20120314,1195.0,1107.0,1126.0,999458351,887315,106,D,1153.0,1110.0
36,Khalij.Fars.Trans,20120317,1168.0,1115.0,1141.0,199407480,173300,35,D,1126.0,1138.0
37,Khalij.Fars.Trans,20120318,1164.0,1102.0,1126.0,247672960,220721,35,D,1141.0,1117.0
38,Khalij.Fars.Trans,20120324,1171.0,1163.0,1170.0,429052850,366850,45,D,1126.0,1171.0
39,Khalij.Fars.Trans,20120325,1216.0,1146.0,1185.0,927354152,782463,101,D,1170.0,1165.0
40,Khalij.Fars.Trans,20120326,1150.0,1138.0,1150.0,255010138,223417,43,D,1185.0,1138.0
41,Khalij.Fars.Trans,20120327,1138.0,1104.0,1118.0,465333480,416276,49,D,1150.0,1136.0
42,Khalij.Fars.Trans,20120328,1160.0,1131.0,1129.0,107340940,93290,34,D,1118.0,1158.0
43,Khalij.Fars.Trans,20120402,1174.0,1131.0,1169.0,510215527,436390,54,D,1129.0,1174.0
44,Khalij.Fars.Trans,20120403,1215.0,1190.0,1213.0,738811074,609130,65,D,1169.0,1215.0
45,Khalij.Fars.Trans,20120404,1257.0,1173.0,1214.0,613608763,505492,84,D,1213.0,1180.0
46,Khalij.Fars.Trans,20120407,1199.0,1166.0,1168.0,330898320,283390,45,D,1214.0,1166.0
47,Khalij.Fars.Trans,20120408,1154.0,1122.0,1126.0,2262518596,2009538,187,D,1168.0,1132.0
48,Khalij.Fars.Trans,20120409,1150.0,1120.0,1131.0,379854920,335954,82,D,1126.0,1128.0
49,Khalij.Fars.Trans,20120410,1150.0,1086.0,1089.0,1739356661,1596999,155,D,1131.0,1086.0
50,Khalij.Fars.Trans,20120411,1100.0,1048.0,1074.0,482276568,449162,62,D,1089.0,1079.0
51,Khalij.Fars.Trans,20120414,1116.0,1075.0,1112.0,772877945,695173,143,D,1074.0,1078.0
52,Khalij.Fars.Trans,20120415,1156.0,1099.0,1132.0,1191664822,1052807,141,D,1112.0,1099.0
53,Khalij.Fars.Trans,20120416,1131.0,1088.0,1097.0,392465100,357619,56,D,1132.0,1096.0
54,Khalij.Fars.Trans,20120417,1101.0,1075.0,1083.0,330429148,305233,62,D,1097.0,1080.0
55,Khalij.Fars.Trans,20120423,1126.0,1126.0,1089.0,41989666,37291,3,D,1083.0,1126.0
56,Khalij.Fars.Trans,20120424,1132.0,1106.0,1129.0,622925000,551540,98,D,1089.0,1132.0
57,Khalij.Fars.Trans,20120428,1174.0,1130.0,1169.0,1036424789,886604,90,D,1129.0,1174.0
58,Khalij.Fars.Trans,20120429,1190.0,1150.0,1165.0,178958103,153933,27,D,1169.0,1150.0
59,Khalij.Fars.Trans,20120430,1164.0,1130.0,1152.0,195530947,170897,47,D,1165.0,1139.0
60,Khalij.Fars.Trans,20120501,1158.0,1141.0,1150.0,199792083,173947,34,D,1152.0,1149.0
61,Khalij.Fars.Trans,20120502,1149.0,1115.0,1142.0,143549392,126867,63,D,1150.0,1149.0
62,Khalij.Fars.Trans,20120505,1145.0,1097.0,1128.0,141770408,127547,31,D,1142.0,1100.0
63,Khalij.Fars.Trans,20120506,1100.0,1090.0,1112.0,153954200,140400,18,D,1128.0,1090.0
64,Khalij.Fars.Trans,20120507,1140.0,1081.0,1105.0,189657346,172432,28,D,1112.0,1121.0
65,Khalij.Fars.Trans,20120508,1124.0,1085.0,1101.0,132694611,121140,18,D,1105.0,1091.0
66,Khalij.Fars.Trans,20120509,1110.0,1079.0,1089.0,330197171,303250,42,D,1101.0,1080.0
67,Khalij.Fars.Trans,20120512,1110.0,1080.0,1089.0,12001000,11100,3,D,1089.0,1085.0
68,Khalij.Fars.Trans,20120513,1093.0,1060.0,1081.0,156677300,145900,17,D,1089.0,1089.0
69,Khalij.Fars.Trans,20120514,1072.0,1058.0,1073.0,155184273,145530,28,D,1081.0,1070.0
70,Khalij.Fars.Trans,20120515,1100.0,1040.0,1061.0,437277440,412000,53,D,1073.0,1051.0
71,Khalij.Fars.Trans,20120516,1103.0,1052.0,1101.0,814460972,739823,94,D,1061.0,1103.0
72,Khalij.Fars.Trans,20120519,1145.0,1140.0,1145.0,593303545,518221,44,D,1101.0,1145.0
73,Khalij.Fars.Trans,20120520,1190.0,1153.0,1188.0,3990580962,3360370,305,D,1145.0,1190.0
74,Khalij.Fars.Trans,20120521,1235.0,1224.0,1231.0,1670952574,1357684,131,D,1188.0,1235.0
75,Khalij.Fars.Trans,20120526,1097.0,1054.0,1063.0,732029463,688435,89,D,1231.0,1070.0
76,Khalij.Fars.Trans,20120527,1105.0,1089.0,1102.0,363902345,330167,32,D,1063.0,1105.0
77,Khalij.Fars.Trans,20120528,1146.0,1106.0,1141.0,1666367048,1460023,126,D,1102.0,1146.0
78,Khalij.Fars.Trans,20120821,1050.0,1008.0,1016.0,26366600,25950,7,D,1141.0,1008.0
79,Khalij.Fars.Trans,20120822,1000.0,976.0,977.0,1276062556,1306118,112,D,1016.0,976.0
80,Khalij.Fars.Trans,20120902,988.0,950.0,970.0,231796758,238931,39,D,977.0,988.0
81,Khalij.Fars.Trans,20120903,1008.0,974.0,1006.0,610592000,607125,54,D,970.0,1008.0
82,Khalij.Fars.Trans,20120904,1038.0,980.0,1004.0,220352327,219697,39,D,1006.0,1002.0
83,Khalij.Fars.Trans,20120905,990.0,964.0,970.0,295147574,304262,32,D,1004.0,964.0
84,Khalij.Fars.Trans,20120908,975.0,932.0,933.0,1128690104,1210074,138,D,970.0,932.0
85,Khalij.Fars.Trans,20120909,945.0,896.0,898.0,511302735,569210,50,D,933.0,896.0
86,Khalij.Fars.Trans,20120910,880.0,863.0,864.0,311878390,360919,48,D,898.0,880.0
87,Khalij.Fars.Trans,20120911,864.0,835.0,844.0,214104779,254330,34,D,864.0,859.0
88,Khalij.Fars.Trans,20120915,877.0,845.0,861.0,193334875,223605,27,D,844.0,845.0
