,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tuka.Trans.,20040616,8300.0,8300.0,8300.0,2178999000,262530,497,D,0.0,8300.0
1,Tuka.Trans.,20040712,4500.0,4500.0,4500.0,46350000,10300,9,D,8300.0,4500.0
2,Tuka.Trans.,20040713,4725.0,4502.0,4534.0,137435734,30310,24,D,4500.0,4534.0
3,Tuka.Trans.,20040714,4760.0,4760.0,4760.0,113811600,23910,11,D,4534.0,4760.0
4,Tuka.Trans.,20040717,4998.0,4861.0,4861.0,17541610,3510,6,D,4760.0,4861.0
5,Tuka.Trans.,20040718,5104.0,5102.0,5102.0,41903820,8210,5,D,4861.0,5102.0
6,Tuka.Trans.,20040719,5357.0,5357.0,5357.0,54641400,10200,7,D,5102.0,5357.0
7,Tuka.Trans.,20040720,5624.0,5624.0,5624.0,47804000,8500,6,D,5357.0,5624.0
8,Tuka.Trans.,20040724,5905.0,5905.0,5905.0,53145000,9000,1,D,5624.0,5905.0
9,Tuka.Trans.,20040726,6200.0,6200.0,6200.0,104346000,16830,21,D,5905.0,6200.0
10,Tuka.Trans.,20040727,6510.0,6510.0,6510.0,82546800,12680,9,D,6200.0,6510.0
11,Tuka.Trans.,20040728,6835.0,6835.0,6835.0,69648650,10190,26,D,6510.0,6835.0
12,Tuka.Trans.,20040731,7176.0,7176.0,7176.0,97808880,13630,15,D,6835.0,7176.0
13,Tuka.Trans.,20040801,7211.0,7199.0,7199.0,253338191,35186,27,D,7176.0,7199.0
14,Tuka.Trans.,20040802,7558.0,7500.0,7546.0,144243149,19114,27,D,7199.0,7546.0
15,Tuka.Trans.,20040803,7923.0,7923.0,7923.0,146575500,18500,13,D,7546.0,7923.0
16,Tuka.Trans.,20040804,8031.0,7924.0,7966.0,31647780,3949,11,D,7923.0,7966.0
17,Tuka.Trans.,20040807,8030.0,7966.0,7977.0,92162395,11553,17,D,7966.0,7977.0
18,Tuka.Trans.,20040808,7945.0,7897.0,7919.0,66703919,8423,15,D,7977.0,7919.0
19,Tuka.Trans.,20040809,7951.0,7900.0,7940.0,66767549,8408,13,D,7919.0,7940.0
20,Tuka.Trans.,20040810,7940.0,7899.0,7925.0,24602130,3113,8,D,7940.0,7925.0
21,Tuka.Trans.,20040811,7907.0,7897.0,7907.0,39819352,5042,7,D,7925.0,7907.0
22,Tuka.Trans.,20040814,7745.0,7546.0,7745.0,27849950,3690,3,D,7907.0,7745.0
23,Tuka.Trans.,20040815,7608.0,7358.0,7608.0,22034002,2990,7,D,7745.0,7608.0
24,Tuka.Trans.,20040821,7228.0,7228.0,7228.0,144560000,20000,18,D,7608.0,7228.0
25,Tuka.Trans.,20040822,7209.0,6899.0,7167.0,12320167,1773,5,D,7228.0,7167.0
26,Tuka.Trans.,20040824,7200.0,7182.0,7182.0,30149214,4188,6,D,7167.0,7182.0
27,Tuka.Trans.,20040828,7180.0,7162.0,7180.0,4491789,627,3,D,7182.0,7180.0
28,Tuka.Trans.,20040829,7000.0,6994.0,6998.0,142220097,20322,20,D,7180.0,6998.0
29,Tuka.Trans.,20040908,7000.0,7000.0,7000.0,14000000,2000,1,D,6998.0,7000.0
30,Tuka.Trans.,20040911,7182.0,7083.0,7083.0,27218790,3790,3,D,7000.0,7083.0
31,Tuka.Trans.,20040914,7045.0,7000.0,7045.0,25970450,3710,2,D,7083.0,7045.0
32,Tuka.Trans.,20040915,7360.0,7249.0,7249.0,39769900,5405,7,D,7045.0,7249.0
33,Tuka.Trans.,20040918,7504.0,7346.0,7346.0,24187920,3225,7,D,7249.0,7346.0
34,Tuka.Trans.,20040919,7600.0,7441.0,7441.0,33300570,4425,4,D,7346.0,7441.0
35,Tuka.Trans.,20040920,7500.0,7448.0,7448.0,7574480,1010,2,D,7441.0,7448.0
36,Tuka.Trans.,20040921,7449.0,7448.0,7448.0,3798980,510,2,D,7448.0,7448.0
37,Tuka.Trans.,20040922,7813.0,7567.0,7567.0,21272209,2723,8,D,7448.0,7567.0
38,Tuka.Trans.,20040925,7945.0,7945.0,7945.0,84892325,10685,10,D,7567.0,7945.0
39,Tuka.Trans.,20040926,8342.0,7602.0,7812.0,52311954,6858,9,D,7945.0,7812.0
40,Tuka.Trans.,20040927,7862.0,7819.0,7819.0,20851935,2654,7,D,7812.0,7819.0
41,Tuka.Trans.,20040928,8209.0,7867.0,7867.0,27360682,3396,10,D,7819.0,7867.0
42,Tuka.Trans.,20040929,7866.0,7853.0,7866.0,7382580,940,3,D,7867.0,7866.0
43,Tuka.Trans.,20041002,7867.0,7853.0,7865.0,11177968,1423,7,D,7866.0,7865.0
44,Tuka.Trans.,20041003,7863.0,7854.0,7863.0,16328556,2079,3,D,7865.0,7863.0
45,Tuka.Trans.,20041004,7863.0,7863.0,7863.0,30673563,3901,4,D,7863.0,7863.0
46,Tuka.Trans.,20041005,7863.0,7863.0,7863.0,16307862,2074,4,D,7863.0,7863.0
47,Tuka.Trans.,20041006,8250.0,7863.0,7963.0,56957716,7032,4,D,7863.0,7963.0
