,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*HiWeb,20170913,2850.0,2850.0,2850.0,1140000000000,400000000,104873,D,1000.0,2850.0
1,S*HiWeb,20170916,2992.0,2992.0,2992.0,4805603792,1606151,361,D,2850.0,2992.0
2,S*HiWeb,20170917,3141.0,3141.0,3141.0,5093850789,1621729,344,D,2992.0,3141.0
3,S*HiWeb,20170918,3298.0,3298.0,3298.0,5369599124,1628138,410,D,3141.0,3298.0
4,S*HiWeb,20170920,3462.0,3462.0,3462.0,8183101704,2363692,512,D,3298.0,3462.0
5,S*HiWeb,20170923,3635.0,3635.0,3635.0,11723856450,3225270,586,D,3462.0,3635.0
6,S*HiWeb,20170924,3816.0,3816.0,3816.0,21995130168,5763923,498,D,3635.0,3816.0
7,S*HiWeb,20170925,4006.0,4006.0,4006.0,42378821022,10578837,473,D,3816.0,4006.0
8,S*HiWeb,20170926,4206.0,4206.0,4206.0,46299887742,11008057,519,D,4006.0,4206.0
9,S*HiWeb,20170927,4416.0,4416.0,4416.0,239381189952,54207697,5256,D,4206.0,4416.0
10,S*HiWeb,20171002,4636.0,4500.0,4590.0,1074797189487,234165389,68190,D,4416.0,4530.0
11,S*HiWeb,20171003,4588.0,4361.0,4408.0,419098773045,95084554,29274,D,4590.0,4475.0
12,S*HiWeb,20171004,4628.0,4519.0,4594.0,246291436267,53613786,13169,D,4408.0,4628.0
13,S*HiWeb,20171007,4737.0,4520.0,4610.0,174277270033,37807869,10070,D,4594.0,4569.0
14,S*HiWeb,20171008,4508.0,4380.0,4411.0,138562217209,31412273,7822,D,4610.0,4440.0
15,S*HiWeb,20171009,4620.0,4411.0,4540.0,128011254804,28198096,7802,D,4411.0,4590.0
16,S*HiWeb,20171010,4699.0,4551.0,4645.0,96327811304,20736996,5159,D,4540.0,4571.0
17,S*HiWeb,20171011,4580.0,4451.0,4494.0,56649609075,12605664,3265,D,4645.0,4485.0
18,S*HiWeb,20171014,4580.0,4480.0,4515.0,40470328767,8964434,2272,D,4494.0,4490.0
19,S*HiWeb,20171015,4487.0,4402.0,4432.0,48088284609,10851278,2774,D,4515.0,4447.0
20,S*HiWeb,20171016,4549.0,4433.0,4505.0,43608176690,9679007,2733,D,4432.0,4512.0
21,S*HiWeb,20171017,4568.0,4431.0,4536.0,151374670084,33373458,4610,D,4505.0,4510.0
22,S*HiWeb,20171018,4540.0,4440.0,4466.0,45297905123,10141925,4228,D,4536.0,4446.0
23,S*HiWeb,20171021,4495.0,4401.0,4434.0,34580511342,7798461,2136,D,4466.0,4401.0
24,S*HiWeb,20171022,4433.0,4401.0,4409.0,30975973545,7025310,1776,D,4434.0,4405.0
25,S*HiWeb,20171023,4498.0,4415.0,4441.0,29116417309,6556139,1617,D,4409.0,4416.0
26,S*HiWeb,20171024,4630.0,4410.0,4508.0,256031990762,56797414,5421,D,4441.0,4594.0
27,S*HiWeb,20171025,4646.0,4551.0,4595.0,50171855536,10919593,2475,D,4508.0,4560.0
28,S*HiWeb,20171028,4824.0,4730.0,4795.0,81082937122,16911498,1613,D,4595.0,4824.0
29,S*HiWeb,20171205,5034.0,5034.0,5034.0,201291149982,39986323,736,D,4795.0,5034.0
30,S*HiWeb,20171209,5285.0,5285.0,5285.0,17825987900,3372940,278,D,5034.0,5285.0
31,S*HiWeb,20171210,5549.0,5549.0,5549.0,12567441788,2264812,201,D,5285.0,5549.0
32,S*HiWeb,20171211,5826.0,5555.0,5754.0,966322713366,167946120,16663,D,5549.0,5669.0
33,S*HiWeb,20171212,6041.0,5710.0,5980.0,350634078078,58636608,6101,D,5754.0,6041.0
34,S*HiWeb,20180820,5861.0,5744.0,5773.0,38255101317,6626475,674,D,5980.0,5744.0
35,S*HiWeb,20180821,5658.0,5658.0,5658.0,23775436536,4202092,159,D,5773.0,5658.0
36,S*HiWeb,20180825,5545.0,5545.0,5545.0,23114787190,4168582,127,D,5658.0,5545.0
37,S*HiWeb,20180826,5435.0,5435.0,5435.0,22579174870,4154402,144,D,5545.0,5435.0
38,S*HiWeb,20180827,5218.0,5218.0,5218.0,43255367610,8289645,308,D,5435.0,5218.0
39,S*HiWeb,20180828,5010.0,5010.0,5010.0,45738168750,9129375,428,D,5218.0,5010.0
40,S*HiWeb,20180829,5181.0,4820.0,4981.0,603514163943,121172976,13747,D,5010.0,5161.0
41,S*HiWeb,20180901,5130.0,4856.0,4943.0,207284922761,41933831,6892,D,4981.0,4898.0
42,S*HiWeb,20180902,4898.0,4746.0,4770.0,118381581718,24819584,2345,D,4943.0,4746.0
43,S*HiWeb,20180903,4746.0,4580.0,4623.0,162609018788,35176419,5318,D,4770.0,4669.0
44,S*HiWeb,20180904,4765.0,4602.0,4684.0,73111403407,15607975,3007,D,4623.0,4612.0
45,S*HiWeb,20180905,4684.0,4498.0,4540.0,116928415026,25752968,4707,D,4684.0,4500.0
46,S*HiWeb,20180908,4680.0,4498.0,4605.0,123499746510,26819321,5106,D,4540.0,4640.0
47,S*HiWeb,20180909,4724.0,4580.0,4657.0,99987696924,21472582,4490,D,4605.0,4661.0
48,S*HiWeb,20180910,4694.0,4610.0,4647.0,122396422365,26337723,4334,D,4657.0,4610.0
49,S*HiWeb,20180911,4640.0,4534.0,4588.0,108439736555,23635602,4333,D,4647.0,4540.0
50,S*HiWeb,20180912,4748.0,4530.0,4652.0,166320975361,35753987,6017,D,4588.0,4639.0
51,S*HiWeb,20180915,4838.0,4750.0,4824.0,66960124553,13880402,1114,D,4652.0,4838.0
52,S*HiWeb,20180916,5016.0,4900.0,5010.0,318347277013,63539914,6558,D,4824.0,5016.0
53,S*HiWeb,20180917,5210.0,5110.0,5197.0,138599227186,26669433,3656,D,5010.0,5210.0
54,S*HiWeb,20180918,5329.0,5070.0,5181.0,97475032170,18813289,4012,D,5197.0,5149.0
55,S*HiWeb,20180922,5250.0,5000.0,5081.0,156631445796,30824675,6816,D,5181.0,5029.0
56,S*HiWeb,20180923,5219.0,5070.0,5159.0,152623569690,29586111,4772,D,5081.0,5131.0
57,S*HiWeb,20180924,5365.0,5159.0,5339.0,130455717421,24433171,2148,D,5159.0,5365.0
58,S*HiWeb,20180925,5552.0,5501.0,5552.0,98532662013,17747983,1464,D,5339.0,5552.0
59,S*HiWeb,20180926,5774.0,5650.0,5771.0,204089769149,35365893,3683,D,5552.0,5774.0
60,S*HiWeb,20180929,6001.0,5755.0,5919.0,201366727089,34021400,5107,D,5771.0,6001.0
61,S*HiWeb,20180930,6155.0,6051.0,6152.0,286641636004,46594001,4406,D,5919.0,6155.0
