,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Khodro,20010325,2802.0,2798.0,2800.0,310368080,110870,115,D,2798.0,2800.0
1,Iran.Khodro,20010326,2810.0,2797.0,2798.0,270595190,96613,98,D,2800.0,2798.0
2,Iran.Khodro,20010327,2800.0,2795.0,2795.0,466405131,166600,120,D,2798.0,2795.0
3,Iran.Khodro,20010328,2849.0,2796.0,2849.0,227566666,80676,104,D,2795.0,2849.0
4,Iran.Khodro,20010331,2848.0,2800.0,2838.0,500068371,177362,161,D,2849.0,2838.0
5,Iran.Khodro,20010403,2870.0,2838.0,2868.0,158053247,55562,86,D,2838.0,2868.0
6,Iran.Khodro,20010407,2930.0,2868.0,2900.0,355157582,122642,144,D,2868.0,2900.0
7,Iran.Khodro,20010408,3020.0,2903.0,3004.0,890538835,299359,270,D,2900.0,3004.0
8,Iran.Khodro,20010409,3140.0,3020.0,3102.0,1349633103,434320,378,D,3004.0,3102.0
9,Iran.Khodro,20010410,3157.0,3069.0,3080.0,1839935140,592395,467,D,3102.0,3080.0
10,Iran.Khodro,20010411,3100.0,3071.0,3080.0,1865310571,604953,458,D,3080.0,3080.0
11,Iran.Khodro,20010414,3110.0,3080.0,3092.0,1343731773,434057,398,D,3080.0,3092.0
12,Iran.Khodro,20010415,3095.0,3050.0,3059.0,707240663,229777,261,D,3092.0,3059.0
13,Iran.Khodro,20010416,3068.0,3029.0,3068.0,816117110,268061,325,D,3059.0,3068.0
14,Iran.Khodro,20010417,3100.0,3065.0,3077.0,1187554196,386136,311,D,3068.0,3077.0
15,Iran.Khodro,20010418,3100.0,3072.0,3079.0,1650557427,534555,387,D,3077.0,3079.0
16,Iran.Khodro,20010421,3101.0,3078.0,3087.0,6598014831,2129585,331,D,3079.0,3087.0
17,Iran.Khodro,20010422,3100.0,3050.0,3084.0,3112179770,1014348,383,D,3087.0,3084.0
18,Iran.Khodro,20010423,3098.0,3085.0,3090.0,1529794816,495008,410,D,3084.0,3090.0
19,Iran.Khodro,20010424,3130.0,3089.0,3130.0,2196484253,705864,419,D,3090.0,3130.0
20,Iran.Khodro,20010425,3286.0,3130.0,3286.0,307808716,94443,107,D,3130.0,3286.0
21,Iran.Khodro,20010428,3450.0,3360.0,3450.0,3313926256,962280,611,D,3286.0,3450.0
22,Iran.Khodro,20010429,3610.0,3440.0,3520.0,2295314354,651640,430,D,3450.0,3520.0
23,Iran.Khodro,20010430,3590.0,3520.0,3531.0,1834287435,515842,424,D,3520.0,3531.0
24,Iran.Khodro,20010501,3559.0,3502.0,3536.0,1473195131,415255,390,D,3531.0,3536.0
25,Iran.Khodro,20010502,3530.0,3420.0,3420.0,1067293261,307281,347,D,3536.0,3420.0
26,Iran.Khodro,20010505,3420.0,3370.0,3408.0,1599525490,470082,419,D,3420.0,3408.0
27,Iran.Khodro,20010506,3470.0,3410.0,3455.0,2311560861,670450,405,D,3408.0,3455.0
28,Iran.Khodro,20010507,3590.0,3455.0,3590.0,1842285659,525826,359,D,3455.0,3590.0
29,Iran.Khodro,20010508,3649.0,3505.0,3598.0,2293543983,642528,357,D,3590.0,3598.0
30,Iran.Khodro,20010509,3600.0,3565.0,3576.0,1040455849,290450,257,D,3598.0,3576.0
31,Iran.Khodro,20010512,3579.0,3501.0,3519.0,640421450,180715,211,D,3576.0,3519.0
32,Iran.Khodro,20010513,3520.0,3451.0,3517.0,1284013846,367043,367,D,3519.0,3517.0
33,Iran.Khodro,20010515,3517.0,3499.0,3503.0,995082643,283850,272,D,3517.0,3503.0
34,Iran.Khodro,20010516,3510.0,3490.0,3500.0,1189322545,339597,295,D,3503.0,3500.0
35,Iran.Khodro,20010519,3514.0,3440.0,3488.0,3958060693,1145576,323,D,3500.0,3488.0
36,Iran.Khodro,20010520,3488.0,3415.0,3445.0,1650250917,480474,305,D,3488.0,3445.0
37,Iran.Khodro,20010521,3446.0,3412.0,3415.0,1334026395,389722,313,D,3445.0,3415.0
38,Iran.Khodro,20010523,3480.0,3418.0,3470.0,1289776767,372608,294,D,3415.0,3470.0
39,Iran.Khodro,20010526,3521.0,3480.0,3501.0,1386946067,396099,306,D,3470.0,3501.0
40,Iran.Khodro,20010527,3630.0,3508.0,3622.0,1831451541,512473,320,D,3501.0,3622.0
41,Iran.Khodro,20010528,3650.0,3550.0,3569.0,978207877,272305,270,D,3622.0,3569.0
42,Iran.Khodro,20010529,3560.0,3497.0,3500.0,1388279306,394759,339,D,3569.0,3500.0
43,Iran.Khodro,20010530,3549.0,3500.0,3530.0,1169097545,331146,311,D,3500.0,3530.0
44,Iran.Khodro,20010602,3550.0,3490.0,3499.0,1788992053,507965,394,D,3530.0,3499.0
45,Iran.Khodro,20010603,3500.0,3470.0,3500.0,942728650,270617,338,D,3499.0,3500.0
46,Iran.Khodro,20010606,3504.0,3480.0,3504.0,1058351619,302522,290,D,3500.0,3504.0
47,Iran.Khodro,20010609,3570.0,3504.0,3564.0,1260727875,356390,348,D,3504.0,3564.0
48,Iran.Khodro,20010611,3620.0,3570.0,3600.0,2770270403,768864,486,D,3564.0,3600.0
49,Iran.Khodro,20010612,3609.0,3554.0,3582.0,1956320862,546106,357,D,3600.0,3582.0
50,Iran.Khodro,20010613,3579.0,2279.0,3557.0,2131304856,649121,654,D,3582.0,3557.0
51,Iran.Khodro,20010616,3550.0,3505.0,3507.0,1292698150,366728,368,D,3557.0,3507.0
52,Iran.Khodro,20010617,3505.0,3477.0,3496.0,1911407144,547261,421,D,3507.0,3496.0
53,Iran.Khodro,20010618,3510.0,3470.0,3510.0,1713486660,491032,425,D,3496.0,3510.0
54,Iran.Khodro,20010619,3550.0,3510.0,3540.0,3362570813,951258,494,D,3510.0,3540.0
55,Iran.Khodro,20010620,3589.0,3505.0,3580.0,2114304356,596395,440,D,3540.0,3580.0
56,Iran.Khodro,20010623,3598.0,3531.0,3540.0,1564794127,440805,404,D,3580.0,3540.0
57,Iran.Khodro,20010624,3560.0,3530.0,3540.0,2053231667,580158,520,D,3540.0,3540.0
58,Iran.Khodro,20010625,3551.0,3522.0,3540.0,1728634751,488441,474,D,3540.0,3540.0
59,Iran.Khodro,20010626,3540.0,3510.0,3522.0,9271810478,2633144,592,D,3540.0,3522.0
60,Iran.Khodro,20010627,3522.0,3507.0,3510.0,2206884423,627807,524,D,3522.0,3510.0
61,Iran.Khodro,20010630,3510.0,3480.0,3496.0,2539504161,726317,650,D,3510.0,3496.0
62,Iran.Khodro,20010701,3500.0,3470.0,3500.0,3529425321,1012598,837,D,3496.0,3500.0
63,Iran.Khodro,20010702,3489.0,3461.0,3470.0,2192411485,630221,688,D,3500.0,3470.0
64,Iran.Khodro,20010703,3470.0,3424.0,3442.0,3737168990,1082782,828,D,3470.0,3442.0
65,Iran.Khodro,20010704,3441.0,3419.0,3440.0,3235056011,943588,778,D,3442.0,3440.0
66,Iran.Khodro,20010707,3439.0,3420.0,3420.0,2991480743,873633,781,D,3440.0,3420.0
