,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Kharazmy.Invest,20121021,1269.0,1249.0,1250.0,4821383690,3856655,62,D,1000.0,1269.0
1,S*Kharazmy.Invest,20121022,1300.0,1251.0,1259.0,754442681,592798,86,D,1250.0,1254.0
2,S*Kharazmy.Invest,20121023,1300.0,1250.0,1300.0,59101106849,45477012,86,D,1259.0,1270.0
3,S*Kharazmy.Invest,20121024,1300.0,1261.0,1300.0,57763585115,44443808,65,D,1300.0,1270.0
4,S*Kharazmy.Invest,20121027,1298.0,1256.0,1280.0,3468377710,2709409,148,D,1300.0,1262.0
5,S*Kharazmy.Invest,20121028,1264.0,1239.0,1261.0,1339376421,1069053,104,D,1280.0,1251.0
6,S*Kharazmy.Invest,20121029,1245.0,1230.0,1249.0,961928078,778258,80,D,1261.0,1244.0
7,S*Kharazmy.Invest,20121030,1250.0,1223.0,1241.0,859040490,698294,70,D,1249.0,1235.0
8,S*Kharazmy.Invest,20121031,1224.0,1192.0,1225.0,815897911,678150,66,D,1241.0,1203.0
9,S*Kharazmy.Invest,20121104,1200.0,1178.0,1204.0,995474391,839786,67,D,1225.0,1200.0
10,S*Kharazmy.Invest,20121105,1196.0,1161.0,1174.0,2679787898,2281856,47,D,1204.0,1179.0
11,S*Kharazmy.Invest,20121106,1217.0,1166.0,1179.0,659339170,555051,40,D,1174.0,1211.0
12,S*Kharazmy.Invest,20121107,1226.0,1190.0,1211.0,2234163677,1845621,41,D,1179.0,1190.0
13,S*Kharazmy.Invest,20121110,1210.0,1164.0,1201.0,460746529,392838,56,D,1211.0,1165.0
14,S*Kharazmy.Invest,20121111,1219.0,1153.0,1197.0,1090382517,912843,72,D,1201.0,1210.0
15,S*Kharazmy.Invest,20121112,1240.0,1186.0,1204.0,725749507,597686,55,D,1197.0,1189.0
16,S*Kharazmy.Invest,20121113,1230.0,1167.0,1195.0,1581829494,1325851,94,D,1204.0,1220.0
17,S*Kharazmy.Invest,20121114,1230.0,1200.0,1211.0,959194386,782411,60,D,1195.0,1210.0
18,S*Kharazmy.Invest,20121117,1224.0,1184.0,1208.0,436295301,363623,49,D,1211.0,1184.0
19,S*Kharazmy.Invest,20121118,1210.0,1180.0,1205.0,687770346,573069,54,D,1208.0,1195.0
20,S*Kharazmy.Invest,20121119,1220.0,1197.0,1205.0,1175349614,975779,55,D,1205.0,1200.0
21,S*Kharazmy.Invest,20121120,1220.0,1172.0,1201.0,574602206,481733,50,D,1205.0,1181.0
22,S*Kharazmy.Invest,20121121,1215.0,1180.0,1199.0,372619600,312449,26,D,1201.0,1200.0
23,S*Kharazmy.Invest,20121126,1200.0,1176.0,1197.0,961638432,804123,58,D,1199.0,1181.0
24,S*Kharazmy.Invest,20121127,1215.0,1180.0,1197.0,1039225158,868629,52,D,1197.0,1209.0
25,S*Kharazmy.Invest,20121128,1208.0,1179.0,1197.0,57425952931,47976870,72,D,1197.0,1179.0
26,S*Kharazmy.Invest,20121201,1210.0,1177.0,1199.0,57466311039,47930733,78,D,1197.0,1190.0
27,S*Kharazmy.Invest,20121202,1210.0,1180.0,1205.0,58125475913,48246104,67,D,1199.0,1202.0
28,S*Kharazmy.Invest,20121203,1205.0,1179.0,1205.0,57746215966,47929572,58,D,1205.0,1193.0
29,S*Kharazmy.Invest,20121204,1209.0,1179.0,1207.0,57539995464,47678247,47,D,1205.0,1185.0
30,S*Kharazmy.Invest,20121205,1190.0,1177.0,1201.0,457565550,387201,43,D,1207.0,1180.0
31,S*Kharazmy.Invest,20121208,1205.0,1178.0,1198.0,695095086,582760,45,D,1201.0,1180.0
32,S*Kharazmy.Invest,20121209,1205.0,1176.0,1199.0,1971157331,1644231,105,D,1198.0,1200.0
33,S*Kharazmy.Invest,20121210,1205.0,1200.0,1200.0,919777785,766444,56,D,1199.0,1200.0
34,S*Kharazmy.Invest,20121211,1210.0,1200.0,1202.0,1755623016,1460513,95,D,1200.0,1202.0
35,S*Kharazmy.Invest,20121212,1215.0,1204.0,1203.0,766499310,636073,45,D,1202.0,1208.0
36,S*Kharazmy.Invest,20121215,1208.0,1204.0,1205.0,1405459028,1166212,65,D,1203.0,1205.0
37,S*Kharazmy.Invest,20121216,1216.0,1181.0,1205.0,5742964187,4767836,217,D,1205.0,1216.0
38,S*Kharazmy.Invest,20121217,1218.0,1205.0,1206.0,759718190,629271,76,D,1205.0,1206.0
39,S*Kharazmy.Invest,20121218,1226.0,1207.0,1206.0,194784190,161154,15,D,1206.0,1210.0
40,S*Kharazmy.Invest,20121219,1210.0,1200.0,1207.0,1284236450,1064057,103,D,1206.0,1210.0
41,S*Kharazmy.Invest,20121222,1209.0,1207.0,1207.0,1413495177,1170516,93,D,1207.0,1208.0
42,S*Kharazmy.Invest,20121223,1210.0,1208.0,1208.0,1536774006,1271736,168,D,1207.0,1210.0
43,S*Kharazmy.Invest,20121224,1210.0,1205.0,1208.0,1041876820,862691,109,D,1208.0,1208.0
44,S*Kharazmy.Invest,20121225,1208.0,1208.0,1208.0,1288946872,1067009,116,D,1208.0,1208.0
45,S*Kharazmy.Invest,20121226,1220.0,1208.0,1209.0,1275437671,1054435,93,D,1208.0,1210.0
46,S*Kharazmy.Invest,20121229,1257.0,1211.0,1222.0,707000620,568435,61,D,1209.0,1257.0
47,S*Kharazmy.Invest,20121230,1270.0,1240.0,1258.0,2084377735,1657253,109,D,1222.0,1260.0
48,S*Kharazmy.Invest,20121231,1290.0,1238.0,1260.0,1554676945,1232829,116,D,1258.0,1266.0
49,S*Kharazmy.Invest,20130101,1268.0,1215.0,1256.0,2060638485,1640543,145,D,1260.0,1225.0
50,S*Kharazmy.Invest,20130102,1270.0,1210.0,1255.0,2058056361,1639394,168,D,1256.0,1269.0
51,S*Kharazmy.Invest,20130106,1259.0,1255.0,1255.0,1503530525,1197855,214,D,1255.0,1255.0
52,S*Kharazmy.Invest,20130107,1257.0,1255.0,1255.0,1941562360,1546872,113,D,1255.0,1255.0
53,S*Kharazmy.Invest,20130108,1265.0,1255.0,1258.0,1867213963,1483669,117,D,1255.0,1260.0
54,S*Kharazmy.Invest,20130109,1265.0,1258.0,1258.0,1306547855,1038479,131,D,1258.0,1263.0
55,S*Kharazmy.Invest,20130113,1265.0,1258.0,1259.0,1532112296,1216998,130,D,1258.0,1258.0
56,S*Kharazmy.Invest,20130313,1300.0,1272.0,1273.0,3676292735,2887525,451,D,1259.0,1272.0
57,S*Kharazmy.Invest,20130316,1290.0,1273.0,1274.0,1800624231,1412544,412,D,1273.0,1280.0
58,S*Kharazmy.Invest,20130317,1285.0,1274.0,1274.0,5363993802,4210142,570,D,1274.0,1274.0
59,S*Kharazmy.Invest,20130318,1275.0,1274.0,1274.0,742585680,582870,111,D,1274.0,1275.0
60,S*Kharazmy.Invest,20130325,1296.0,1274.0,1277.0,694439987,541063,79,D,1274.0,1295.0
61,S*Kharazmy.Invest,20130326,1290.0,1277.0,1277.0,308964611,241829,86,D,1277.0,1277.0
62,S*Kharazmy.Invest,20130327,1300.0,1277.0,1277.0,778198422,609009,188,D,1277.0,1277.0
