,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Inf..Services,20030419,23320.0,23012.0,23012.0,66131163000,2855000,1358,D,23300.0,23012.0
1,Inf..Services,20030420,24162.0,24162.0,24162.0,4832400000,200000,121,D,23012.0,24162.0
2,Inf..Services,20030421,25370.0,25370.0,25370.0,2537000000,100000,130,D,24162.0,25370.0
3,Inf..Services,20030426,26638.0,26638.0,26638.0,5327600000,200000,210,D,25370.0,26638.0
4,Inf..Services,20030427,27969.0,27969.0,27969.0,2950729500,105500,109,D,26638.0,27969.0
5,Inf..Services,20030429,29367.0,29367.0,29367.0,3194835930,108790,136,D,27969.0,29367.0
6,Inf..Services,20030430,30835.0,29000.0,30413.0,36170591681,1182178,498,D,29367.0,30413.0
7,Inf..Services,20030503,31933.0,30400.0,31415.0,7717420722,248555,270,D,30413.0,31415.0
8,Inf..Services,20030504,32985.0,31420.0,32985.0,5679359024,172868,131,D,31415.0,32985.0
9,Inf..Services,20030505,34634.0,33507.0,33511.0,7116659461,206519,181,D,32985.0,33511.0
10,Inf..Services,20030506,33500.0,32499.0,33437.0,1761887888,53004,109,D,33511.0,33437.0
11,Inf..Services,20030507,33400.0,32600.0,32636.0,3002486178,91389,137,D,33437.0,32636.0
12,Inf..Services,20030510,33100.0,31900.0,32300.0,2498313272,76611,116,D,32636.0,32300.0
13,Inf..Services,20030511,33915.0,32300.0,33915.0,1986558246,59760,112,D,32300.0,33915.0
14,Inf..Services,20030512,35610.0,34255.0,35610.0,4956273433,139188,88,D,33915.0,35610.0
15,Inf..Services,20030513,37390.0,36000.0,36061.0,3220984492,87792,113,D,35610.0,36061.0
16,Inf..Services,20030514,36962.0,36068.0,36962.0,1552900063,42095,84,D,36061.0,36962.0
17,Inf..Services,20030517,36962.0,36067.0,36100.0,3055132068,83545,111,D,36962.0,36100.0
18,Inf..Services,20030518,36066.0,35198.0,35198.0,1994891824,56672,82,D,36100.0,35198.0
19,Inf..Services,20030520,35400.0,34325.0,34999.0,1078311978,30782,61,D,35198.0,34999.0
20,Inf..Services,20030521,34899.0,34128.0,34701.0,2354402405,67922,93,D,34999.0,34701.0
21,Inf..Services,20030524,35568.0,34899.0,35568.0,1013604964,28586,58,D,34701.0,35568.0
22,Inf..Services,20030525,36457.0,36457.0,36457.0,1601191440,43920,87,D,35568.0,36457.0
23,Inf..Services,20030526,37368.0,37368.0,37368.0,576625608,15431,17,D,36457.0,37368.0
24,Inf..Services,20030527,38302.0,38302.0,38302.0,1966079962,51331,76,D,37368.0,38302.0
25,Inf..Services,20030528,38600.0,37501.0,38315.0,5277552672,137850,181,D,38302.0,38315.0
26,Inf..Services,20030531,38315.0,37501.0,37509.0,1306298162,34596,65,D,38315.0,37509.0
27,Inf..Services,20030601,37000.0,35634.0,35634.0,482503665,13415,38,D,37509.0,35634.0
28,Inf..Services,20030602,37415.0,35629.0,37415.0,1497808985,40720,77,D,35634.0,37415.0
29,Inf..Services,20030603,37610.0,37434.0,37558.0,2378188513,63288,67,D,37415.0,37558.0
30,Inf..Services,20030607,37558.0,36001.0,36001.0,1526738150,41742,44,D,37558.0,36001.0
31,Inf..Services,20030608,36703.0,36000.0,36688.0,1063665774,29343,44,D,36001.0,36688.0
32,Inf..Services,20030609,36788.0,35600.0,36788.0,4111162587,113988,131,D,36688.0,36788.0
33,Inf..Services,20030610,36500.0,35513.0,36500.0,1011601625,28068,30,D,36788.0,36500.0
34,Inf..Services,20030623,54000.0,39350.0,42200.0,12996227633,304916,340,D,36500.0,42200.0
35,Inf..Services,20030706,53030.0,40000.0,52005.0,5992643480,119953,179,D,42200.0,52005.0
36,Inf..Services,20030708,54605.0,54605.0,54605.0,555442060,10172,46,D,52005.0,54605.0
37,Inf..Services,20030709,57335.0,57335.0,57335.0,1216190020,21212,12,D,54605.0,57335.0
38,Inf..Services,20030712,60201.0,60201.0,60201.0,6426878157,106757,128,D,57335.0,60201.0
39,Inf..Services,20030713,63211.0,63211.0,63211.0,828253733,13103,24,D,60201.0,63211.0
40,Inf..Services,20030714,66371.0,66371.0,66371.0,6796390400,102400,114,D,63211.0,66371.0
41,Inf..Services,20030715,69689.0,69689.0,69689.0,198195516,2844,3,D,66371.0,69689.0
42,Inf..Services,20030716,85000.0,69689.0,78121.0,12815911365,158868,228,D,69689.0,78121.0
43,Inf..Services,20030719,80000.0,78121.0,78500.0,6512614983,81996,143,D,78121.0,78500.0
44,Inf..Services,20030720,79200.0,77750.0,79075.0,5359968174,68372,178,D,78500.0,79075.0
45,Inf..Services,20030721,80705.0,79075.0,80578.0,3989647931,49740,88,D,79075.0,80578.0
46,Inf..Services,20030722,80591.0,77000.0,79000.0,4870920077,61885,93,D,80578.0,79000.0
47,Inf..Services,20030723,79113.0,78994.0,79113.0,5249823066,66445,94,D,79000.0,79113.0
48,Inf..Services,20030726,83068.0,79204.0,83068.0,2889787375,35493,76,D,79113.0,83068.0
49,Inf..Services,20030727,87221.0,87220.0,87221.0,3723985343,42696,83,D,83068.0,87221.0
50,Inf..Services,20030728,91582.0,87235.0,91582.0,776203367,8573,15,D,87221.0,91582.0
51,Inf..Services,20030729,96161.0,96161.0,96161.0,11987718743,124663,110,D,91582.0,96161.0
52,Inf..Services,20030730,96161.0,87000.0,90000.0,6856737300,75421,104,D,96161.0,90000.0
53,Inf..Services,20030803,87000.0,84801.0,86992.0,1984468343,23192,49,D,90000.0,86992.0
54,Inf..Services,20030804,87003.0,86002.0,87000.0,8204630305,94336,134,D,86992.0,87000.0
55,Inf..Services,20030805,85000.0,77000.0,79000.0,3245166794,41161,59,D,87000.0,79000.0
56,Inf..Services,20030806,85000.0,79000.0,80000.0,820111163,10094,50,D,79000.0,80000.0
57,Inf..Services,20030809,79500.0,78000.0,78000.0,949039270,12065,30,D,80000.0,78000.0
58,Inf..Services,20030810,77500.0,76000.0,76000.0,2264398045,29538,50,D,78000.0,76000.0
59,Inf..Services,20030811,75997.0,71000.0,75997.0,6051925058,80845,87,D,76000.0,75997.0
60,Inf..Services,20030812,82000.0,75999.0,81000.0,2908581088,36721,69,D,75997.0,81000.0
61,Inf..Services,20030813,82000.0,81000.0,81500.0,2060212998,25209,60,D,81000.0,81500.0
62,Inf..Services,20030816,81503.0,81000.0,81000.0,914414980,11241,33,D,81500.0,81000.0
63,Inf..Services,20030817,80980.0,77999.0,78000.0,1902530843,24200,63,D,81000.0,78000.0
64,Inf..Services,20030818,80000.0,78000.0,78201.0,2371992971,29946,71,D,78000.0,78201.0
65,Inf..Services,20030819,79896.0,78000.0,78203.0,2326814908,29667,70,D,78201.0,78203.0
66,Inf..Services,20030820,78203.0,77532.0,78203.0,1181115515,15116,35,D,78203.0,78203.0
67,Inf..Services,20030825,78203.0,75003.0,78203.0,1491508291,19348,47,D,78203.0,78203.0
68,Inf..Services,20030826,78203.0,74293.0,78203.0,1328956021,17783,61,D,78203.0,78203.0
69,Inf..Services,20030827,78203.0,74293.0,78203.0,3305150894,44488,60,D,78203.0,78203.0
70,Inf..Services,20030830,78203.0,74293.0,78203.0,407575308,5486,16,D,78203.0,78203.0
71,Inf..Services,20030831,78203.0,74293.0,78203.0,108952638,1466,8,D,78203.0,78203.0
72,Inf..Services,20030901,78203.0,74293.0,78203.0,3531408269,47533,43,D,78203.0,78203.0
73,Inf..Services,20030902,78203.0,74293.0,78203.0,3721727417,49936,91,D,78203.0,78203.0
74,Inf..Services,20030903,78203.0,76817.0,78203.0,1547850873,20133,28,D,78203.0,78203.0
75,Inf..Services,20030906,78203.0,74401.0,78203.0,838425888,11032,13,D,78203.0,78203.0
76,Inf..Services,20030907,78203.0,74293.0,78203.0,2588366632,34774,58,D,78203.0,78203.0
77,Inf..Services,20030908,78203.0,74293.0,78203.0,712516950,9590,12,D,78203.0,78203.0
78,Inf..Services,20030915,78203.0,74293.0,78203.0,10514413,141,3,D,78203.0,78203.0
79,Inf..Services,20030916,78203.0,74293.0,78203.0,7765572,104,2,D,78203.0,78203.0
80,Inf..Services,20030922,74293.0,74293.0,74293.0,3714650000,50000,30,D,78203.0,74293.0
81,Inf..Services,20030923,71000.0,70579.0,70607.0,7696944549,109010,116,D,74293.0,70607.0
82,Inf..Services,20030927,74000.0,67077.0,70604.0,4154150464,58837,79,D,70607.0,70604.0
83,Inf..Services,20031110,39900.0,30600.0,33408.0,4182790034,125203,114,D,70604.0,33408.0
84,Inf..Services,20031111,35078.0,33814.0,33814.0,512644140,14615,42,D,33408.0,33814.0
85,Inf..Services,20031112,35504.0,34100.0,35338.0,7887047432,223185,237,D,33814.0,35338.0
86,Inf..Services,20031115,34741.0,34011.0,34741.0,1187277189,34610,103,D,35338.0,34741.0
87,Inf..Services,20031117,34450.0,33100.0,34292.0,1031969205,30479,83,D,34741.0,34292.0
88,Inf..Services,20031118,33682.0,32700.0,33682.0,884916811,26872,43,D,34292.0,33682.0
89,Inf..Services,20031119,32975.0,31998.0,32380.0,1779236462,55143,121,D,33682.0,32380.0
90,Inf..Services,20031122,32339.0,31765.0,32339.0,198101344,6194,24,D,32380.0,32339.0
91,Inf..Services,20031123,31683.0,30723.0,30867.0,1700577217,55316,76,D,32339.0,30867.0
92,Inf..Services,20031124,30000.0,29324.0,29378.0,2399100943,81662,105,D,30867.0,29378.0
93,Inf..Services,20031125,30846.0,30000.0,30737.0,2115786012,68835,98,D,29378.0,30737.0
94,Inf..Services,20031129,31600.0,31000.0,31153.0,1181511318,37625,56,D,30737.0,31153.0
95,Inf..Services,20031130,31356.0,30000.0,31128.0,404563409,13034,41,D,31153.0,31128.0
96,Inf..Services,20031201,30403.0,29576.0,30403.0,1137067697,37926,53,D,31128.0,30403.0
97,Inf..Services,20031202,29999.0,29324.0,29810.0,1044908781,35538,47,D,30403.0,29810.0
98,Inf..Services,20031203,29464.0,28320.0,29464.0,502137292,17541,25,D,29810.0,29464.0
99,Inf..Services,20031206,28920.0,27991.0,28920.0,620457796,22166,22,D,29464.0,28920.0
100,Inf..Services,20031207,28652.0,27474.0,28652.0,305687504,11126,13,D,28920.0,28652.0
101,Inf..Services,20031208,28636.0,27220.0,28636.0,18469320,678,10,D,28652.0,28636.0
102,Inf..Services,20031209,28613.0,27205.0,28613.0,25532370,938,4,D,28636.0,28613.0
103,Inf..Services,20031210,28194.0,27183.0,28194.0,477669786,17572,29,D,28613.0,28194.0
104,Inf..Services,20031213,27838.0,26785.0,27838.0,406071130,15160,38,D,28194.0,27838.0
105,Inf..Services,20031214,27495.0,26447.0,27495.0,391373186,14798,20,D,27838.0,27495.0
106,Inf..Services,20031215,27202.0,26121.0,27202.0,333654343,12773,8,D,27495.0,27202.0
107,Inf..Services,20031216,27028.0,25842.0,27028.0,198555946,7683,8,D,27202.0,27028.0
108,Inf..Services,20031217,26751.0,25677.0,25910.0,14026326681,542357,280,D,27028.0,25910.0
109,Inf..Services,20031221,26500.0,25991.0,26066.0,1062408979,40640,73,D,25910.0,26066.0
110,Inf..Services,20031222,25980.0,25099.0,25588.0,947174005,37435,49,D,26066.0,25588.0
111,Inf..Services,20031223,25376.0,24309.0,24924.0,919986578,37508,52,D,25588.0,24924.0
112,Inf..Services,20031224,24200.0,23678.0,23688.0,1648573938,69595,50,D,24924.0,23688.0
113,Inf..Services,20031227,23677.0,22504.0,23121.0,660840262,29332,28,D,23688.0,23121.0
114,Inf..Services,20031228,22347.0,21965.0,22347.0,881788745,40145,39,D,23121.0,22347.0
115,Inf..Services,20031229,22179.0,21230.0,22179.0,191419170,9016,16,D,22347.0,22179.0
116,Inf..Services,20031230,21620.0,21071.0,21620.0,637508595,30255,31,D,22179.0,21620.0
117,Inf..Services,20031231,22700.0,20950.0,21863.0,3127494591,143044,150,D,21620.0,21863.0
118,Inf..Services,20040103,22956.0,22057.0,22057.0,245895682,10712,10,D,21863.0,22057.0
119,Inf..Services,20040104,23159.0,23159.0,23159.0,1554269967,67113,77,D,22057.0,23159.0
120,Inf..Services,20040105,24316.0,23159.0,23159.0,717910,30,3,D,23159.0,23159.0
121,Inf..Services,20040106,24316.0,23179.0,23179.0,25763590,1060,8,D,23159.0,23179.0
122,Inf..Services,20040107,24337.0,23287.0,23287.0,137736920,5660,17,D,23179.0,23287.0
123,Inf..Services,20040110,24451.0,23481.0,23481.0,244989320,10020,6,D,23287.0,23481.0
124,Inf..Services,20040111,24655.0,23481.0,23481.0,12562310,510,5,D,23481.0,23481.0
125,Inf..Services,20040112,24655.0,23899.0,23899.0,527806680,21408,24,D,23481.0,23899.0
126,Inf..Services,20040113,25093.0,24227.0,24227.0,414176398,16506,17,D,23899.0,24227.0
127,Inf..Services,20040114,25438.0,24529.0,24529.0,381815290,15010,17,D,24227.0,24529.0
