,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Parsian,20101114,3305.0,3300.0,3304.0,178896400000,54140000,606,D,1000.0,3305.0
1,Parsian,20101115,3436.0,3436.0,3436.0,1954809120,568920,24,D,3304.0,3436.0
2,Parsian,20101116,3573.0,3573.0,3519.0,1185342750,331750,22,D,3436.0,3573.0
3,Parsian,20101120,3659.0,3659.0,3529.0,148006550,40450,18,D,3519.0,3659.0
4,Parsian,20101121,3670.0,3670.0,3537.0,110283500,30050,16,D,3529.0,3670.0
5,Parsian,20101122,3678.0,3678.0,3559.0,320353800,87100,27,D,3537.0,3678.0
6,Parsian,20101123,3701.0,3701.0,3563.0,53331410,14410,10,D,3559.0,3701.0
7,Parsian,20101124,3705.0,3705.0,3574.0,164331570,44354,15,D,3563.0,3705.0
8,Parsian,20101127,3716.0,3716.0,3589.0,216271200,58200,26,D,3574.0,3716.0
9,Parsian,20101128,3732.0,3732.0,3614.0,355491660,95255,38,D,3589.0,3732.0
10,Parsian,20101129,3758.0,3758.0,3627.0,184893600,49200,18,D,3614.0,3758.0
11,Parsian,20101130,3772.0,3772.0,3772.0,2078372000,551000,67,D,3627.0,3772.0
12,Parsian,20101201,3922.0,3922.0,3922.0,19378954980,4941090,1161,D,3772.0,3922.0
13,Parsian,20101204,4078.0,4051.0,4078.0,112974878052,27704244,7718,D,3922.0,4078.0
14,Parsian,20101205,4160.0,3915.0,3999.0,48812650694,12205377,3765,D,4078.0,3915.0
15,Parsian,20101206,3950.0,3840.0,3862.0,10549072032,2731460,716,D,3999.0,3840.0
16,Parsian,20101207,3925.0,3759.0,3837.0,16591784607,4324237,1039,D,3862.0,3830.0
17,Parsian,20101208,3884.0,3837.0,3853.0,4712031644,1222850,336,D,3837.0,3841.0
18,Parsian,20101211,3924.0,3857.0,3894.0,6004665976,1541901,374,D,3853.0,3860.0
19,Parsian,20101212,3900.0,3775.0,3812.0,4353791657,1142277,299,D,3894.0,3790.0
20,Parsian,20101213,3899.0,3790.0,3848.0,11420024970,2967604,614,D,3812.0,3833.0
21,Parsian,20101214,3850.0,3791.0,3813.0,3501153201,918310,258,D,3848.0,3800.0
22,Parsian,20101218,3820.0,3661.0,3698.0,7499197473,2027940,481,D,3813.0,3670.0
23,Parsian,20101219,3639.0,3551.0,3565.0,11861283074,3327297,657,D,3698.0,3551.0
24,Parsian,20101220,3707.0,3471.0,3655.0,5629239620,1540082,364,D,3565.0,3707.0
25,Parsian,20101221,3750.0,3681.0,3725.0,2470765631,663334,256,D,3655.0,3720.0
26,Parsian,20101222,3738.0,3680.0,3696.0,3686908380,997474,205,D,3725.0,3683.0
27,Parsian,20101225,3800.0,3716.0,3770.0,2898095207,768715,236,D,3696.0,3778.0
28,Parsian,20101226,3800.0,3670.0,3736.0,4443634267,1189332,288,D,3770.0,3670.0
29,Parsian,20101227,3700.0,3610.0,3632.0,3828529957,1054000,269,D,3736.0,3640.0
30,Parsian,20101228,3640.0,3605.0,3612.0,3147588251,871372,257,D,3632.0,3610.0
31,Parsian,20101229,3689.0,3510.0,3587.0,11037444750,3077219,483,D,3612.0,3510.0
32,Parsian,20110101,3610.0,3519.0,3552.0,4525291653,1274108,258,D,3587.0,3535.0
33,Parsian,20110102,3618.0,3549.0,3594.0,4203107522,1169335,211,D,3552.0,3571.0
34,Parsian,20110103,3616.0,3532.0,3567.0,3586008839,1005400,248,D,3594.0,3533.0
35,Parsian,20110104,3700.0,3551.0,3638.0,8498341273,2335799,420,D,3567.0,3700.0
36,Parsian,20110105,3783.0,3700.0,3770.0,5254067523,1393785,408,D,3638.0,3783.0
37,Parsian,20110108,3850.0,3642.0,3699.0,6157670591,1664649,367,D,3770.0,3650.0
38,Parsian,20110109,3709.0,3631.0,3680.0,8726832304,2371164,430,D,3699.0,3670.0
39,Parsian,20110110,3740.0,3600.0,3647.0,5804675289,1591471,331,D,3680.0,3605.0
40,Parsian,20110111,3690.0,3600.0,3638.0,2930932640,805751,234,D,3647.0,3610.0
41,Parsian,20110112,3650.0,3605.0,3618.0,3725982649,1029839,226,D,3638.0,3616.0
42,Parsian,20110115,3645.0,3592.0,3612.0,2150544616,595338,175,D,3618.0,3610.0
43,Parsian,20110116,3660.0,3610.0,3632.0,4160410747,1145397,226,D,3612.0,3644.0
44,Parsian,20110117,3658.0,3580.0,3594.0,6558431590,1825057,281,D,3632.0,3600.0
45,Parsian,20110118,3635.0,3590.0,3603.0,3803186712,1055692,225,D,3594.0,3609.0
46,Parsian,20110119,3667.0,3610.0,3637.0,9296097999,2556040,360,D,3603.0,3650.0
47,Parsian,20110122,3782.0,3646.0,3739.0,7057647507,1887574,290,D,3637.0,3782.0
48,Parsian,20110123,3809.0,3681.0,3757.0,7592897418,2021163,392,D,3739.0,3729.0
