,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Ir.Inv.Petr.,20160425,1570.0,1516.0,1557.0,11609519750,7455098,289,D,1000.0,1561.0
1,S*Ir.Inv.Petr.,20160426,1594.0,1520.0,1559.0,22674005951,14544283,885,D,1557.0,1560.0
2,S*Ir.Inv.Petr.,20160427,1570.0,1500.0,1528.0,8507196573,5582589,516,D,1559.0,1519.0
3,S*Ir.Inv.Petr.,20160430,1550.0,1500.0,1518.0,10898518509,7180996,419,D,1528.0,1510.0
4,S*Ir.Inv.Petr.,20160501,1518.0,1491.0,1508.0,7535249429,5008436,448,D,1518.0,1491.0
5,S*Ir.Inv.Petr.,20160502,1510.0,1460.0,1488.0,11939227068,8022211,654,D,1508.0,1461.0
6,S*Ir.Inv.Petr.,20160503,1485.0,1449.0,1460.0,8823766102,6052528,543,D,1488.0,1452.0
7,S*Ir.Inv.Petr.,20160504,1477.0,1432.0,1447.0,8434279834,5836289,536,D,1460.0,1440.0
8,S*Ir.Inv.Petr.,20160507,1453.0,1401.0,1423.0,9755779015,6856292,600,D,1447.0,1411.0
9,S*Ir.Inv.Petr.,20160508,1494.0,1407.0,1479.0,23385149371,15816615,1118,D,1423.0,1494.0
10,S*Ir.Inv.Petr.,20160509,1531.0,1460.0,1496.0,9147189426,6104604,521,D,1479.0,1480.0
11,S*Ir.Inv.Petr.,20160510,1510.0,1430.0,1482.0,3145255556,2166717,326,D,1496.0,1450.0
12,S*Ir.Inv.Petr.,20160511,1468.0,1410.0,1445.0,5959728579,4194469,392,D,1482.0,1430.0
13,S*Ir.Inv.Petr.,20160514,1465.0,1410.0,1442.0,5172223949,3592224,338,D,1445.0,1431.0
14,S*Ir.Inv.Petr.,20160515,1450.0,1400.0,1408.0,11614682790,8250561,640,D,1442.0,1415.0
15,S*Ir.Inv.Petr.,20160516,1439.0,1405.0,1414.0,5925713927,4180954,268,D,1408.0,1418.0
16,S*Ir.Inv.Petr.,20160517,1448.0,1410.0,1423.0,6790211422,4758992,486,D,1414.0,1424.0
17,S*Ir.Inv.Petr.,20160518,1440.0,1412.0,1421.0,5903666327,4158518,395,D,1423.0,1423.0
18,S*Ir.Inv.Petr.,20160521,1436.0,1410.0,1416.0,8059754734,5694761,497,D,1421.0,1413.0
19,S*Ir.Inv.Petr.,20160523,1435.0,1405.0,1416.0,6219047626,4392636,505,D,1416.0,1410.0
20,S*Ir.Inv.Petr.,20160524,1429.0,1399.0,1406.0,8764332258,6238033,571,D,1416.0,1401.0
21,S*Ir.Inv.Petr.,20160525,1424.0,1390.0,1407.0,8213461878,5838420,556,D,1406.0,1408.0
22,S*Ir.Inv.Petr.,20160528,1423.0,1396.0,1406.0,3778481681,2688666,422,D,1407.0,1400.0
23,S*Ir.Inv.Petr.,20160529,1419.0,1392.0,1403.0,4442235503,3175926,369,D,1406.0,1395.0
24,S*Ir.Inv.Petr.,20160530,1420.0,1386.0,1412.0,14865319054,10529601,572,D,1403.0,1393.0
25,S*Ir.Inv.Petr.,20160531,1416.0,1383.0,1403.0,3835250024,2762451,284,D,1412.0,1385.0
26,S*Ir.Inv.Petr.,20160601,1398.0,1375.0,1388.0,6131441682,4447015,368,D,1403.0,1380.0
27,S*Ir.Inv.Petr.,20160605,1420.0,1372.0,1392.0,4541168927,3249271,323,D,1388.0,1378.0
28,S*Ir.Inv.Petr.,20160606,1405.0,1380.0,1391.0,1892498880,1366515,220,D,1392.0,1384.0
29,S*Ir.Inv.Petr.,20160607,1391.0,1361.0,1381.0,4968296304,3622297,401,D,1391.0,1363.0
30,S*Ir.Inv.Petr.,20160608,1409.0,1370.0,1394.0,16377082935,11744164,1000,D,1381.0,1400.0
31,S*Ir.Inv.Petr.,20160611,1390.0,1348.0,1380.0,4251869361,3121547,342,D,1394.0,1349.0
32,S*Ir.Inv.Petr.,20160612,1379.0,1337.0,1357.0,7228348763,5357488,372,D,1380.0,1350.0
33,S*Ir.Inv.Petr.,20160613,1369.0,1290.0,1318.0,12510780608,9495775,532,D,1357.0,1301.0
34,S*Ir.Inv.Petr.,20160614,1340.0,1267.0,1308.0,10072370022,7699181,584,D,1318.0,1311.0
35,S*Ir.Inv.Petr.,20160615,1338.0,1292.0,1312.0,3617190626,2742701,223,D,1308.0,1315.0
36,S*Ir.Inv.Petr.,20160618,1337.0,1271.0,1308.0,1747091643,1352672,237,D,1312.0,1280.0
37,S*Ir.Inv.Petr.,20160619,1289.0,1258.0,1300.0,2034308320,1600172,280,D,1308.0,1267.0
38,S*Ir.Inv.Petr.,20160620,1299.0,1235.0,1252.0,8528004515,6839435,532,D,1300.0,1246.0
39,S*Ir.Inv.Petr.,20160621,1285.0,1237.0,1257.0,3955695397,3129574,258,D,1252.0,1262.0
40,S*Ir.Inv.Petr.,20160622,1319.0,1288.0,1293.0,8756300187,6744969,391,D,1257.0,1300.0
41,S*Ir.Inv.Petr.,20160625,1355.0,1290.0,1339.0,12935566749,9661146,632,D,1293.0,1338.0
42,S*Ir.Inv.Petr.,20160626,1405.0,1313.0,1402.0,92872471079,66226950,2506,D,1339.0,1380.0
43,S*Ir.Inv.Petr.,20160628,1420.0,1371.0,1401.0,29158903083,20814605,1064,D,1402.0,1385.0
44,S*Ir.Inv.Petr.,20160629,1398.0,1351.0,1373.0,10330406528,7526953,521,D,1401.0,1380.0
45,S*Ir.Inv.Petr.,20160702,1425.0,1356.0,1399.0,25087280313,17928473,944,D,1373.0,1412.0
46,S*Ir.Inv.Petr.,20160703,1444.0,1407.0,1419.0,39087947334,27542587,1374,D,1399.0,1439.0
