,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Darou,20020730,18100.0,18000.0,18040.0,8069872400,448000,469,D,18001.0,18040.0
1,Iran.Darou,20020731,18491.0,18491.0,18491.0,961532000,52000,42,D,18040.0,18491.0
2,Iran.Darou,20020803,18953.0,18953.0,18953.0,441453276,23292,23,D,18491.0,18953.0
3,Iran.Darou,20020804,19426.0,19426.0,19426.0,19426000,1000,4,D,18953.0,19426.0
4,Iran.Darou,20020805,19429.0,18941.0,19426.0,1934113288,101277,127,D,19426.0,19426.0
5,Iran.Darou,20020806,19426.0,19100.0,19203.0,770765452,40161,68,D,19426.0,19203.0
6,Iran.Darou,20020807,19189.0,18723.0,18723.0,391140768,20787,26,D,19203.0,18723.0
7,Iran.Darou,20020810,18723.0,18593.0,18720.0,535462165,28643,39,D,18723.0,18720.0
8,Iran.Darou,20020811,18710.0,18690.0,18710.0,69217000,3700,6,D,18720.0,18710.0
9,Iran.Darou,20020813,18684.0,18650.0,18667.0,201748002,10813,14,D,18710.0,18667.0
10,Iran.Darou,20020814,18649.0,18400.0,18400.0,242785704,13091,23,D,18667.0,18400.0
11,Iran.Darou,20020817,18399.0,18394.0,18394.0,27593500,1500,3,D,18400.0,18394.0
12,Iran.Darou,20020818,18004.0,18000.0,18004.0,226574374,12586,24,D,18394.0,18004.0
13,Iran.Darou,20020819,18018.0,18010.0,18018.0,157996584,8769,17,D,18004.0,18018.0
14,Iran.Darou,20020820,18374.0,18250.0,18340.0,342676970,18700,36,D,18018.0,18340.0
15,Iran.Darou,20020821,18350.0,18101.0,18101.0,150240865,8227,22,D,18340.0,18101.0
16,Iran.Darou,20020828,18102.0,18000.0,18100.0,326318792,18029,29,D,18101.0,18100.0
17,Iran.Darou,20020831,18100.0,17999.0,18000.0,371881100,20650,23,D,18100.0,18000.0
18,Iran.Darou,20020901,18000.0,17700.0,18000.0,536300665,30200,31,D,18000.0,18000.0
19,Iran.Darou,20020903,18000.0,17900.0,18000.0,326875473,18190,18,D,18000.0,18000.0
20,Iran.Darou,20020908,18000.0,17500.0,18000.0,196520741,11010,18,D,18000.0,18000.0
21,Iran.Darou,20020911,17400.0,17400.0,17400.0,12180000,700,1,D,18000.0,17400.0
22,Iran.Darou,20020914,17400.0,17299.0,17400.0,132871103,7643,10,D,17400.0,17400.0
23,Iran.Darou,20020915,17000.0,17000.0,17000.0,68000000,4000,11,D,17400.0,17000.0
24,Iran.Darou,20020917,16988.0,16150.0,16988.0,27873100,1674,4,D,17000.0,16988.0
25,Iran.Darou,20020925,17000.0,16776.0,17000.0,705181431,41586,49,D,16988.0,17000.0
26,Iran.Darou,20021006,17000.0,16996.0,17000.0,55890028,3288,7,D,17000.0,17000.0
27,Iran.Darou,20021013,17100.0,16150.0,17100.0,433773861,25635,32,D,17000.0,17100.0
28,Iran.Darou,20021014,17200.0,17099.0,17200.0,100650638,5863,5,D,17100.0,17200.0
29,Iran.Darou,20021016,17498.0,17497.0,17498.0,17497548,1000,2,D,17200.0,17498.0
30,Iran.Darou,20021019,17497.0,17497.0,17497.0,34994000,2000,4,D,17498.0,17497.0
