,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Jaam.Darou,20010328,2083.0,2050.0,2050.0,70025034,34062,11,D,2083.0,2050.0
1,Jaam.Darou,20010331,2050.0,2050.0,2050.0,1611300,786,2,D,2050.0,2050.0
2,Jaam.Darou,20010407,2095.0,2050.0,2095.0,20746325,9917,3,D,2050.0,2095.0
3,Jaam.Darou,20010410,2097.0,2097.0,2097.0,1931337,921,1,D,2095.0,2097.0
4,Jaam.Darou,20010411,2098.0,2098.0,2098.0,8392000,4000,1,D,2097.0,2098.0
5,Jaam.Darou,20010415,2120.0,2120.0,2120.0,483360,228,1,D,2098.0,2120.0
6,Jaam.Darou,20010418,2135.0,2135.0,2135.0,1983415,929,1,D,2120.0,2135.0
7,Jaam.Darou,20010421,2131.0,2120.0,2120.0,4085660,1923,4,D,2135.0,2120.0
8,Jaam.Darou,20010422,2099.0,2099.0,2099.0,719957,343,3,D,2120.0,2099.0
9,Jaam.Darou,20010423,2099.0,2099.0,2099.0,4439385,2115,4,D,2099.0,2099.0
10,Jaam.Darou,20010424,2135.0,2099.0,2134.0,10212593,4837,8,D,2099.0,2134.0
11,Jaam.Darou,20010429,2135.0,2134.0,2134.0,9097232,4262,5,D,2134.0,2134.0
12,Jaam.Darou,20010430,2133.0,2133.0,2133.0,1092096,512,2,D,2134.0,2133.0
13,Jaam.Darou,20010501,2134.0,2132.0,2134.0,16003079,7500,12,D,2133.0,2134.0
14,Jaam.Darou,20010502,2134.0,2134.0,2134.0,2479708,1162,2,D,2134.0,2134.0
15,Jaam.Darou,20010505,2134.0,2133.0,2133.0,17376348,8146,7,D,2134.0,2133.0
16,Jaam.Darou,20010507,2133.0,2133.0,2133.0,3210165,1505,3,D,2133.0,2133.0
17,Jaam.Darou,20010509,2130.0,2129.0,2129.0,1486274,698,3,D,2133.0,2129.0
18,Jaam.Darou,20010513,2200.0,2110.0,2200.0,495333801,226422,79,D,2129.0,2200.0
19,Jaam.Darou,20010516,2300.0,2300.0,2300.0,27533300,11971,3,D,2200.0,2300.0
20,Jaam.Darou,20010520,2320.0,2318.0,2318.0,3485954,1503,2,D,2300.0,2318.0
21,Jaam.Darou,20010523,2333.0,2333.0,2333.0,895872,384,1,D,2318.0,2333.0
22,Jaam.Darou,20010526,2415.0,2335.0,2415.0,15669825,6693,5,D,2333.0,2415.0
23,Jaam.Darou,20010527,2535.0,2416.0,2535.0,13158200,5200,3,D,2415.0,2535.0
24,Jaam.Darou,20010528,2661.0,2661.0,2661.0,72658605,27305,13,D,2535.0,2661.0
25,Jaam.Darou,20010529,2793.0,2666.0,2790.0,124799060,44810,26,D,2661.0,2790.0
26,Jaam.Darou,20010530,2900.0,2790.0,2791.0,36788773,13058,10,D,2790.0,2791.0
27,Jaam.Darou,20010602,2791.0,2790.0,2790.0,30472048,10921,5,D,2791.0,2790.0
28,Jaam.Darou,20010603,2800.0,2789.0,2800.0,13803762,4937,6,D,2790.0,2800.0
29,Jaam.Darou,20010606,2798.0,2797.0,2798.0,3781896,1352,3,D,2800.0,2798.0
30,Jaam.Darou,20010611,2795.0,2789.0,2789.0,1884412,675,3,D,2798.0,2789.0
31,Jaam.Darou,20010613,2780.0,2780.0,2780.0,13477440,4848,3,D,2789.0,2780.0
32,Jaam.Darou,20010618,2650.0,2650.0,2650.0,2920300,1102,1,D,2780.0,2650.0
33,Jaam.Darou,20010619,2649.0,2649.0,2649.0,52980,20,1,D,2650.0,2649.0
34,Jaam.Darou,20010620,2630.0,2629.0,2629.0,1972133,750,2,D,2649.0,2629.0
