,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Jahrom.Power.Plant,20190925,1990.0,1990.0,1990.0,2402454599820,1207263618,818287,D,1000.0,1990.0
1,Jahrom.Power.Plant,20190928,2089.0,2089.0,2089.0,1287099748,616132,515,D,1990.0,2089.0
2,Jahrom.Power.Plant,20190929,2193.0,2193.0,2193.0,1994088321,909297,720,D,2089.0,2193.0
3,Jahrom.Power.Plant,20190930,2302.0,2302.0,2302.0,3467900846,1506473,1302,D,2193.0,2302.0
4,Jahrom.Power.Plant,20191001,2417.0,2417.0,2417.0,293884905592,121590776,16018,D,2302.0,2417.0
5,Jahrom.Power.Plant,20191002,2537.0,2537.0,2537.0,35093217405,13832565,8056,D,2417.0,2537.0
6,Jahrom.Power.Plant,20191005,2663.0,2663.0,2663.0,11381914985,4274095,3220,D,2537.0,2663.0
7,Jahrom.Power.Plant,20191006,2796.0,2796.0,2796.0,84831685704,30340374,7439,D,2663.0,2796.0
8,Jahrom.Power.Plant,20191007,2935.0,2657.0,2931.0,843781506085,287915325,145420,D,2796.0,2935.0
9,Jahrom.Power.Plant,20191008,2900.0,2785.0,2834.0,186398309744,65766994,41306,D,2931.0,2785.0
10,Jahrom.Power.Plant,20191009,2693.0,2693.0,2693.0,111500522269,41403833,21469,D,2834.0,2693.0
11,Jahrom.Power.Plant,20191012,2827.0,2559.0,2768.0,398810323364,144089622,91157,D,2693.0,2827.0
12,Jahrom.Power.Plant,20191013,2906.0,2630.0,2820.0,446623786322,158396990,88386,D,2768.0,2781.0
13,Jahrom.Power.Plant,20191014,2748.0,2679.0,2694.0,257129404369,95442898,39501,D,2820.0,2679.0
14,Jahrom.Power.Plant,20191015,2733.0,2560.0,2595.0,103747392865,39979362,15937,D,2694.0,2560.0
15,Jahrom.Power.Plant,20191016,2680.0,2469.0,2506.0,201441354294,80399617,34220,D,2595.0,2490.0
16,Jahrom.Power.Plant,20191020,2560.0,2381.0,2415.0,94000728588,38928261,12031,D,2506.0,2381.0
17,Jahrom.Power.Plant,20191021,2535.0,2295.0,2432.0,338978897555,139395502,41410,D,2415.0,2535.0
18,Jahrom.Power.Plant,20191022,2553.0,2446.0,2542.0,137871750632,54241923,12988,D,2432.0,2553.0
19,Jahrom.Power.Plant,20191023,2645.0,2415.0,2522.0,154699430475,61339515,26579,D,2542.0,2532.0
20,Jahrom.Power.Plant,20191026,2522.0,2396.0,2436.0,94642912135,38852872,20502,D,2522.0,2433.0
21,Jahrom.Power.Plant,20191028,2523.0,2397.0,2477.0,96543919725,38977912,18452,D,2436.0,2494.0
22,Jahrom.Power.Plant,20191030,2530.0,2487.0,2502.0,136420327084,54526560,18832,D,2477.0,2500.0
23,Jahrom.Power.Plant,20191102,2515.0,2399.0,2434.0,142206325463,58427359,19718,D,2502.0,2420.0
