,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Yazd.Jooshkab,20030716,4603.0,4100.0,4400.0,1769338790,400000,123,D,4100.0,4400.0
1,Yazd.Jooshkab,20030719,4500.0,4500.0,4500.0,36000000,8000,5,D,4400.0,4500.0
2,Yazd.Jooshkab,20030720,4553.0,4544.0,4553.0,44381480,9760,5,D,4500.0,4553.0
3,Yazd.Jooshkab,20030721,4635.0,4610.0,4635.0,67199400,14540,9,D,4553.0,4635.0
4,Yazd.Jooshkab,20030722,4710.0,4580.0,4580.0,134649197,28742,39,D,4635.0,4580.0
5,Yazd.Jooshkab,20030723,4380.0,4360.0,4360.0,22007620,5029,4,D,4580.0,4360.0
6,Yazd.Jooshkab,20030726,4351.0,4338.0,4338.0,27948450,6440,7,D,4360.0,4338.0
7,Yazd.Jooshkab,20030727,4290.0,4226.0,4226.0,93289500,21960,16,D,4338.0,4226.0
8,Yazd.Jooshkab,20030728,4147.0,4119.0,4119.0,12410244,2996,2,D,4226.0,4119.0
9,Yazd.Jooshkab,20030729,4100.0,3914.0,4030.0,134190266,33334,17,D,4119.0,4030.0
10,Yazd.Jooshkab,20030730,4140.0,4113.0,4114.0,61742220,15000,10,D,4030.0,4114.0
11,Yazd.Jooshkab,20030803,4111.0,4111.0,4111.0,31593035,7685,7,D,4114.0,4111.0
12,Yazd.Jooshkab,20030804,4199.0,4000.0,4199.0,32690399,7928,15,D,4111.0,4199.0
13,Yazd.Jooshkab,20030805,4199.0,4199.0,4199.0,4618900,1100,10,D,4199.0,4199.0
14,Yazd.Jooshkab,20030809,4199.0,4199.0,4199.0,7675772,1828,9,D,4199.0,4199.0
15,Yazd.Jooshkab,20030810,4198.0,4198.0,4198.0,4836096,1152,11,D,4199.0,4198.0
16,Yazd.Jooshkab,20030811,4198.0,4194.0,4194.0,6594856,1572,11,D,4198.0,4194.0
17,Yazd.Jooshkab,20030812,4194.0,4187.0,4187.0,13718922,3276,17,D,4194.0,4187.0
18,Yazd.Jooshkab,20030813,4180.0,4180.0,4180.0,5225000,1250,2,D,4187.0,4180.0
19,Yazd.Jooshkab,20030816,4159.0,4159.0,4159.0,8318000,2000,1,D,4180.0,4159.0
20,Yazd.Jooshkab,20030817,4147.0,4118.0,4118.0,24138820,5844,4,D,4159.0,4118.0
21,Yazd.Jooshkab,20030818,4088.0,3999.0,4000.0,8589145,2145,3,D,4118.0,4000.0
22,Yazd.Jooshkab,20030819,4000.0,3800.0,4000.0,25595770,6500,7,D,4000.0,4000.0
23,Yazd.Jooshkab,20030820,4000.0,3802.0,4000.0,36141592,9500,4,D,4000.0,4000.0
24,Yazd.Jooshkab,20030823,4000.0,4000.0,4000.0,400000,100,1,D,4000.0,4000.0
25,Yazd.Jooshkab,20030824,4000.0,3999.0,4000.0,15706650,3927,5,D,4000.0,4000.0
26,Yazd.Jooshkab,20030825,4000.0,3998.0,4000.0,13535500,3385,4,D,4000.0,4000.0
27,Yazd.Jooshkab,20030831,4000.0,3999.0,4000.0,8370000,2093,4,D,4000.0,4000.0
28,Yazd.Jooshkab,20030902,4000.0,3999.0,4000.0,39996976,10000,4,D,4000.0,4000.0
29,Yazd.Jooshkab,20030903,4000.0,4000.0,4000.0,7980000,1995,1,D,4000.0,4000.0
30,Yazd.Jooshkab,20030906,4000.0,4000.0,4000.0,8000000,2000,1,D,4000.0,4000.0
31,Yazd.Jooshkab,20030907,4000.0,4000.0,4000.0,8000000,2000,1,D,4000.0,4000.0
32,Yazd.Jooshkab,20030908,4000.0,4000.0,4000.0,19840000,4960,2,D,4000.0,4000.0
