,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Commodity.Exch.,20190205,7500.0,7020.0,7271.0,13193077279,1814511,334,D,1000.0,7078.0
1,Commodity.Exch.,20190206,7000.0,6908.0,6909.0,7362131258,1065641,248,D,7271.0,6908.0
2,Commodity.Exch.,20190210,6564.0,6564.0,6564.0,15742191768,2398262,227,D,6909.0,6564.0
3,Commodity.Exch.,20190212,6420.0,6236.0,6272.0,34813232147,5550876,1015,D,6564.0,6237.0
4,Commodity.Exch.,20190213,6432.0,6052.0,6349.0,6711458013,1057157,389,D,6272.0,6395.0
5,Commodity.Exch.,20190216,6478.0,6100.0,6230.0,7811992044,1253892,328,D,6349.0,6200.0
6,Commodity.Exch.,20190217,6380.0,5919.0,6125.0,13696686217,2236084,647,D,6230.0,6251.0
7,Commodity.Exch.,20190218,6358.0,6120.0,6201.0,3598575047,580360,186,D,6125.0,6140.0
8,Commodity.Exch.,20190219,6511.0,6150.0,6444.0,11332917574,1758754,259,D,6201.0,6511.0
9,Commodity.Exch.,20190220,6766.0,6444.0,6716.0,11339369396,1688391,439,D,6444.0,6766.0
10,Commodity.Exch.,20190223,7051.0,6871.0,7027.0,8197833029,1166600,146,D,6716.0,7051.0
11,Commodity.Exch.,20190224,7378.0,7370.0,7378.0,9808260580,1329410,205,D,7027.0,7378.0
12,Commodity.Exch.,20190225,7746.0,7740.0,7746.0,8599496502,1110187,137,D,7378.0,7746.0
13,Commodity.Exch.,20190226,8133.0,7830.0,8080.0,23807767825,2946426,598,D,7746.0,8133.0
14,Commodity.Exch.,20190227,8484.0,8484.0,8484.0,9320420592,1098588,107,D,8080.0,8484.0
15,Commodity.Exch.,20190302,8908.0,8908.0,8860.0,3918255064,439858,70,D,8484.0,8908.0
16,Commodity.Exch.,20190303,9303.0,8600.0,9194.0,88134413089,9586389,1475,D,8860.0,9249.0
17,Commodity.Exch.,20190304,9195.0,8735.0,8841.0,29555602116,3342873,856,D,9194.0,8735.0
18,Commodity.Exch.,20190305,8841.0,8415.0,8596.0,14260540373,1658891,676,D,8841.0,8420.0
19,Commodity.Exch.,20190306,8558.0,8167.0,8241.0,16693956887,2025761,430,D,8596.0,8167.0
20,Commodity.Exch.,20190309,8653.0,8321.0,8570.0,25246066795,2945769,597,D,8241.0,8653.0
21,Commodity.Exch.,20190310,8990.0,8508.0,8749.0,20223573978,2311494,773,D,8570.0,8585.0
22,Commodity.Exch.,20190311,8700.0,8312.0,8476.0,16397185645,1934525,617,D,8749.0,8438.0
23,Commodity.Exch.,20190312,8529.0,8060.0,8156.0,10979528718,1346270,490,D,8476.0,8100.0
24,Commodity.Exch.,20190313,8520.0,8000.0,8448.0,15756893595,1865187,496,D,8156.0,8462.0
25,Commodity.Exch.,20190316,8550.0,8250.0,8340.0,6190587965,742306,482,D,8448.0,8300.0
26,Commodity.Exch.,20190317,8380.0,8113.0,8196.0,7846330072,957388,439,D,8340.0,8191.0
27,Commodity.Exch.,20190318,8295.0,8022.0,8131.0,6180015204,760025,289,D,8196.0,8170.0
28,Commodity.Exch.,20190319,8400.0,8158.0,8297.0,3363314195,403538,193,D,8131.0,8349.0
29,Commodity.Exch.,20190325,8480.0,8300.0,8357.0,3981252786,476228,181,D,8297.0,8311.0
30,Commodity.Exch.,20190326,8420.0,8241.0,8286.0,6591983157,795586,293,D,8357.0,8251.0
31,Commodity.Exch.,20190327,8398.0,8200.0,8286.0,2861340613,345333,218,D,8286.0,8280.0
32,Commodity.Exch.,20190330,8499.0,8259.0,8315.0,5207348073,626243,248,D,8286.0,8296.0
33,Commodity.Exch.,20190331,8470.0,8220.0,8274.0,5449916513,658691,275,D,8315.0,8290.0
34,Commodity.Exch.,20190406,8424.0,8259.0,8329.0,5653353119,678783,264,D,8274.0,8330.0
35,Commodity.Exch.,20190407,8450.0,8220.0,8349.0,6771162009,811039,353,D,8329.0,8240.0
36,Commodity.Exch.,20190408,8766.0,8180.0,8522.0,23001967883,2698971,559,D,8349.0,8765.0
37,Commodity.Exch.,20190409,8948.0,8663.0,8927.0,23651281424,2649490,610,D,8522.0,8948.0
38,Commodity.Exch.,20190410,9373.0,8530.0,9310.0,19773784464,2123873,413,D,8927.0,9373.0
39,Commodity.Exch.,20190413,9775.0,9353.0,9707.0,23801612436,2451902,757,D,9310.0,9400.0
40,Commodity.Exch.,20190414,9714.0,9222.0,9387.0,22524515876,2399548,771,D,9707.0,9588.0
41,Commodity.Exch.,20190415,9800.0,9563.0,9696.0,13996114132,1443560,514,D,9387.0,9565.0
42,Commodity.Exch.,20190416,10169.0,9520.0,9935.0,22947570269,2309707,551,D,9696.0,10039.0
43,Commodity.Exch.,20190417,10431.0,10180.0,10402.0,16395191904,1576225,288,D,9935.0,10431.0
44,Commodity.Exch.,20190420,10922.0,10922.0,10922.0,14594795550,1336275,196,D,10402.0,10922.0
45,Commodity.Exch.,20190422,11468.0,11390.0,11454.0,21699464353,1894562,302,D,10922.0,11468.0
