,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Alborz.Cable,20010325,15107.0,15106.0,15106.0,24926050,1650,5,D,15107.0,15106.0
1,Alborz.Cable,20010327,15107.0,15100.0,15107.0,24170500,1600,3,D,15106.0,15107.0
2,Alborz.Cable,20010328,15107.0,15107.0,15107.0,20590841,1363,3,D,15107.0,15107.0
3,Alborz.Cable,20010331,15120.0,15113.0,15120.0,7558600,500,2,D,15107.0,15120.0
4,Alborz.Cable,20010403,15121.0,15121.0,15121.0,3024200,200,1,D,15120.0,15121.0
5,Alborz.Cable,20010408,15121.0,15108.0,15121.0,10582100,700,2,D,15121.0,15121.0
6,Alborz.Cable,20010409,15400.0,15220.0,15400.0,74733375,4875,14,D,15121.0,15400.0
7,Alborz.Cable,20010410,16000.0,15500.0,16000.0,126264266,7962,12,D,15400.0,16000.0
8,Alborz.Cable,20010411,16111.0,16007.0,16111.0,33728500,2100,7,D,16000.0,16111.0
9,Alborz.Cable,20010414,16320.0,16200.0,16320.0,41138019,2536,6,D,16111.0,16320.0
10,Alborz.Cable,20010415,17136.0,16400.0,17136.0,70103285,4237,16,D,16320.0,17136.0
11,Alborz.Cable,20010416,17564.0,17564.0,17564.0,43910000,2500,5,D,17136.0,17564.0
12,Alborz.Cable,20010418,18003.0,18003.0,18003.0,20037339,1113,2,D,17564.0,18003.0
13,Alborz.Cable,20010421,18183.0,18183.0,18183.0,18383013,1011,5,D,18003.0,18183.0
14,Alborz.Cable,20010422,18364.0,18364.0,18364.0,125921948,6857,11,D,18183.0,18364.0
15,Alborz.Cable,20010423,18547.0,18547.0,18547.0,115733280,6240,11,D,18364.0,18547.0
16,Alborz.Cable,20010424,18732.0,18732.0,18732.0,239113980,12765,22,D,18547.0,18732.0
17,Alborz.Cable,20010425,18545.0,18545.0,18545.0,35365315,1907,7,D,18732.0,18545.0
18,Alborz.Cable,20010428,18556.0,18540.0,18556.0,151650815,8177,14,D,18545.0,18556.0
19,Alborz.Cable,20010429,18741.0,18556.0,18556.0,1266330572,68006,62,D,18556.0,18556.0
20,Alborz.Cable,20010430,18741.0,18741.0,18741.0,696640452,37172,45,D,18556.0,18741.0
21,Alborz.Cable,20010704,13270.0,11510.0,13270.0,281219500,22100,40,D,18741.0,13270.0
22,Alborz.Cable,20010707,13402.0,13138.0,13138.0,478057200,35882,68,D,13270.0,13138.0
23,Alborz.Cable,20010708,13155.0,13007.0,13007.0,207508012,15834,40,D,13138.0,13007.0
24,Alborz.Cable,20010709,12877.0,12877.0,12877.0,13134540,1020,2,D,13007.0,12877.0
25,Alborz.Cable,20010710,12749.0,12749.0,12749.0,33682858,2642,4,D,12877.0,12749.0
26,Alborz.Cable,20010711,12431.0,12431.0,12431.0,13400618,1078,3,D,12749.0,12431.0
27,Alborz.Cable,20010714,12431.0,12121.0,12431.0,421007294,34426,48,D,12431.0,12431.0
28,Alborz.Cable,20010715,12427.0,12196.0,12196.0,90025760,7330,27,D,12431.0,12196.0
29,Alborz.Cable,20010716,12196.0,12100.0,12100.0,40637178,3339,12,D,12196.0,12100.0
30,Alborz.Cable,20010717,12099.0,12000.0,12000.0,229930780,19100,40,D,12100.0,12000.0
31,Alborz.Cable,20010718,12300.0,12000.0,12300.0,58256217,4826,23,D,12000.0,12300.0
32,Alborz.Cable,20010722,12607.0,12607.0,12607.0,18960928,1504,5,D,12300.0,12607.0
